  I     	  II     	  LV     	  LV'		
-127.56   	-21.97   	 25.74   	-513.73		
-133.67   	-25.63   	 23.68   	-462.87		
-148.32   	-24.72   	 21.83   	-422.18		
-172.12   	-19.53   	 20.14   	-371.31		
-195.31   	-14.04   	 18.66   	-315.36		
-205.08   	-13.73   	 17.40   	-274.67		
-197.14   	-18.62   	 16.30   	-233.98		
-175.48   	-24.11   	 15.36   	-198.37		
-149.23   	-25.02   	 14.57   	-172.94		
-124.82   	-20.45   	 13.88   	-157.68		
-106.20   	-14.04   	 13.25   	-137.33		
-96.44   	-10.99   	 12.70   	-137.33		
-99.49   	-13.12   	 12.15   	-122.07		
-121.46   	-18.01   	 11.66   	-116.99		
-160.52   	-20.75   	 11.19   	-106.82		
-202.33   	-20.14   	 10.76   	 -91.56		
-231.63   	-17.70   	 10.40   	 -76.30		
-237.12   	-15.56   	 10.09   	 -66.12		
-215.15   	-15.26   	  9.83   	 -45.78		
-176.09   	-15.87   	  9.64   	 -25.43		
-141.60   	-15.87   	  9.54   	 -15.26		
-130.00   	-14.65   	  9.48   	  -5.09		
-146.18   	-13.73   	  9.46(D)	   0.00		
-175.78   	-16.17   	  9.46   	  10.17		
-197.45   	-22.28   	  9.50   	   5.09		
-197.45   	-29.60   	  9.52   	  10.17		
-178.83   	-34.48   	  9.56   	   5.09		
-156.25   	-34.18   	  9.58   	   0.00		
-142.21   	-29.30   	  9.58   	   0.00		
-137.02   	-22.58   	  9.58   	   0.00		
-130.92   	-16.17   	  9.58   	  -5.09		
-119.93   	-10.99   	  9.56   	  -5.09		
-108.64   	 -8.54   	  9.54   	  -5.09		
-99.49   	-10.38   	  9.52   	   5.09		
-91.86   	-15.56   	  9.54   	   0.00		
-89.42   	-21.36   	  9.54   	   5.09		
-94.60   	-21.97   	  9.56   	  10.17		
-111.69   	-14.04   	  9.60   	  10.17		
-143.74   	  0.92   	  9.64   	  10.17		
-180.05   	 17.40   	  9.68   	  10.17		
-198.67   	 30.21   	  9.73   	  10.17		
-184.94   	 38.45   	  9.77   	  10.17		
-147.09   	 43.64   	  9.81   	   5.09		
-108.95   	 47.91   	  9.83   	   5.09		
-95.21   	 54.32   	  9.85   	   5.09		
-112.00   	 65.61   	  9.87   	   0.00		
-142.52   	 82.40   	  9.87   	   0.00		
-159.00   	101.62   	  9.87   	   0.00		
-147.71   	115.97   	  9.87   	   0.00		
-118.71   	117.49   	  9.87   	   0.00		
-91.25   	105.59   	  9.87   	   0.00		
-71.11   	 87.89   	  9.87   	   5.09		
-56.46   	 73.55   	  9.89   	   5.09		
-47.30   	 67.44   	  9.91   	   0.00		
-49.74   	 67.14   	  9.91   	   5.09		
-73.55   	 66.53   	  9.93   	   5.09		
-115.97   	 59.51   	  9.95   	   0.00		
-152.59   	 44.86   	  9.95   	   0.00		
-159.91   	 25.63   	  9.95   	   0.00		
-139.16   	  7.93   	  9.95   	   0.00		
-113.83   	 -3.97   	  9.95   	  -5.09		
-105.59   	 -9.46   	  9.93   	  -5.09		
-115.97   	-13.43   	  9.91   	   0.00		
-128.48   	-22.28   	  9.91   	  -5.09		
-129.39   	-36.32   	  9.89   	  -5.09		
-122.99   	-48.22   	  9.87   	  -5.09		
-126.65   	-50.35   	  9.85   	   0.00		
-148.93   	-40.89   	  9.85   	   5.09		
-174.87   	-27.77   	  9.87   	   5.09		
-182.19   	-22.58   	  9.89   	  10.17		
-162.96   	-30.21   	  9.93   	  15.26		
-132.14   	-44.86   	  9.99   	  20.35		
-113.53   	-57.98   	 10.07   	  20.35		
-122.38   	-63.78   	 10.15   	  30.52		
-151.67   	-62.87   	 10.27   	  30.52		
-182.50   	-60.42   	 10.40   	  35.61		
-200.50   	-59.51   	 10.54   	  40.69		
-205.08   	-57.68   	 10.70   	  40.69		
-201.11   	-54.02   	 10.86   	  50.86		
-191.65   	-48.52   	 11.07   	  50.86		
-177.31   	-43.64   	 11.27   	  50.86		
-161.44   	-40.89   	 11.48   	  55.95		
-155.03   	-36.32   	 11.70   	  55.95		
-166.93   	-21.97   	 11.92   	  55.95		
-197.45   	  8.85   	 12.15   	  55.95		
-230.41   	 53.10   	 12.37   	  45.78		
-236.82   	 95.83   	 12.55   	  45.78		
-192.57   	118.10   	 12.74   	  40.69		
-89.72   	110.78   	 12.90   	  40.69		
 61.04   	 82.40   	 13.06   	  30.52		
231.32   	 43.95   	 13.18   	  30.52		
390.01   	 -8.54   	 13.31   	  25.43		
516.97   	-90.64   	 13.41   	  25.43		
601.20   	-205.38   	 13.51   	  20.35		
633.54(R)	-326.23   	 13.59(E)	  30.52		
603.03   	-404.66   	 13.71   	  25.43		
509.34   	-408.02   	 13.81   	  30.52		
370.79   	-350.65   	 13.94   	  30.52		
220.03   	-277.10   	 14.06   	  35.61		
 88.20   	-218.81   	 14.20   	  35.61		
 -7.02   	-173.34   	 14.34   	  45.78		
-70.80   	-121.15   	 14.53   	  55.95		
-114.75   	-56.46   	 14.75   	  66.12		
-140.99   	  0.31   	 15.02   	  86.47		
-147.40   	 25.02   	 15.36   	 106.82		
-138.55   	 15.87   	 15.79   	 142.42		
-126.34   	 -6.71   	 16.36   	 183.11		
-120.54   	-20.45   	 17.09   	 239.06		
-116.58   	-18.92   	 18.05   	 295.01		
-105.90   	-10.68   	 19.23   	 361.14		
-91.55   	 -5.49   	 20.67   	 432.35		
-90.03   	 -4.27   	 22.40   	 508.65		
-115.66   	 -2.44   	 24.44   	 579.86		
-162.05   	  3.36   	 26.75   	 651.07		
-199.89   	 10.38   	 29.36   	 722.28		
-200.81   	 14.65   	 32.25   	 783.31		
-168.15   	 12.51   	 35.38   	 844.35		
-131.53   	  6.10   	 38.76   	 890.13		
-115.05   	  0.92   	 42.32   	 920.65		
-116.58   	  1.53   	 46.00   	 935.91		
-116.27   	  7.32   	 49.75   	 925.73		
-102.23   	 12.82   	 53.45   	 900.30		
-87.89   	 14.95   	 57.05   	 844.35		
-96.74   	 13.73   	 60.43   	 778.23		
-133.97   	 13.73   	 63.54   	 701.93		
-173.65   	 17.70   	 66.35   	 620.55		
-184.63   	 23.19   	 68.83   	 554.42		
-160.22   	 25.02   	 71.05   	 493.39		
-120.54   	 21.36   	 73.02   	 452.69		
-93.38   	 15.26   	 74.83   	 422.18		
-89.72   	 12.21   	 76.52   	 417.09		
-99.79   	 16.17   	 78.19   	 417.09		
-109.86   	 25.33   	 79.86   	 427.26		
-118.71   	 35.71   	 81.57   	 432.35		
