  I     	  II     	  AO     	  AO'		  FA     	  FA'		
102.84   	 92.77   	116.07   	 340.79		118.80   	 198.37		
108.64   	 93.69   	117.44   	 269.58		119.59   	 188.20		
114.44   	 95.52   	118.51   	 172.94		120.35   	 167.85		
120.24   	 96.74   	119.21   	  81.38		121.02   	 157.68		
126.04   	 95.83   	119.53(S)	   0.00		121.65   	 137.33		
132.14   	 92.47   	119.53   	 -61.04		122.20   	 127.16		
138.24   	 87.89   	119.29   	-111.90		122.71   	 116.99		
143.43   	 83.01   	118.84   	-147.51		123.17   	 101.73		
147.09   	 79.35   	118.25   	-162.77		123.58   	  91.56		
148.93   	 76.29   	117.60   	-167.85		123.95   	  81.38		
149.84   	 72.63   	116.93   	-142.42		124.27   	  71.21		
150.76   	 68.05   	116.36   	-116.99		124.56   	  55.95		
152.89   	 62.56   	115.89   	-106.82		124.78   	  45.78		
154.42   	 56.76   	115.46   	-101.73		124.96   	  35.61		
154.11   	 50.96   	115.06   	-122.07		125.11   	  25.43		
150.15   	 45.17   	114.57   	-147.51		125.21   	  15.26		
142.52   	 38.45   	113.98   	-157.68		125.27   	   5.09		
131.53   	 30.52   	113.35   	-152.59		125.29(S)	  -5.09		
119.02   	 21.97   	112.74   	-137.33		125.27   	 -15.26		
105.90   	 14.65   	112.19   	 -96.64		125.21   	 -25.43		
 92.77   	  8.54   	111.80   	 -55.95		125.11   	 -35.61		
 79.65   	  3.66   	111.58   	 -30.52		124.96   	 -50.86		
 66.22   	 -2.14   	111.45   	 -40.69		124.76   	 -55.95		
 52.80   	-10.68   	111.29   	-101.73		124.54   	 -71.21		
 40.59   	-20.45   	110.88   	-203.46		124.25   	 -81.38		
 29.91   	-29.30   	110.07   	-330.62		123.93   	 -91.56		
 20.75   	-35.10   	108.75   	-462.87		123.56   	-106.82		
 12.21   	-38.15   	106.90   	-559.51		123.13   	-122.07		
  3.36   	-39.98   	104.66   	-595.11		122.64   	-137.33		
 -5.80   	-43.33   	102.28   	-559.51		122.10   	-152.59		
-13.12   	-47.61   	100.04   	-442.52		121.48   	-172.94		
-17.70   	-52.19   	 98.27   	-274.67		120.79   	-188.20		
-19.84   	-55.24   	 97.17   	 -81.38		120.04   	-203.46		
-20.75   	-56.46   	 96.85   	  91.56		119.23   	-223.80		
-22.58   	-56.46   	 97.21   	 198.37		118.33   	-244.15		
-26.25   	-56.76   	 98.01   	 228.89		117.35   	-259.41		
-31.74   	-57.98   	 98.92   	 183.11		116.32   	-274.67		
-36.62   	-59.51   	 99.65   	  81.38		115.22   	-279.75		
-40.28   	-60.12   	 99.98   	 -50.86		114.10   	-289.93		
-41.20   	-59.20   	 99.78   	-167.85		112.94   	-295.01		
-40.89   	-56.46   	 99.10   	-249.24		111.76   	-295.01		
-40.28   	-53.10   	 98.11   	-279.75		110.58   	-289.93		
-40.59   	-50.66   	 96.99   	-264.50		109.42   	-289.93		
-41.50   	-49.74   	 95.93   	-208.54		108.26   	-284.84		
-42.11   	-49.13   	 95.10   	-142.42		107.12   	-274.67		
-40.89   	-47.61   	 94.53   	 -76.30		106.02   	-269.58		
-39.06   	-44.56   	 94.22   	 -30.52		104.94   	-264.50		
-37.23   	-41.20   	 94.10   	 -10.17		103.89   	-259.41		
-36.93   	-38.45   	 94.06   	 -25.43		102.85   	-244.15		
-38.15   	-36.32   	 93.96   	 -50.86		101.87   	-244.15		
-39.37   	-34.18   	 93.75   	 -96.64		100.89   	-233.98		
-40.28   	-31.74   	 93.37   	-142.42		 99.96   	-223.80		
-41.20   	-29.91   	 92.80   	-172.94		 99.06   	-213.63		
-41.81   	-28.99   	 92.11   	-188.20		 98.21   	-208.54		
-42.42   	-28.69   	 91.35   	-188.20		 97.37   	-203.46		
-42.11   	-27.47   	 90.60   	-172.94		 96.56   	-193.29		
-40.89   	-24.41   	 89.91   	-152.59		 95.79   	-188.20		
-39.06   	-21.97   	 89.30   	-122.07		 95.04   	-178.03		
-38.45   	-21.67   	 88.81   	-101.73		 94.32   	-172.94		
-40.28   	-25.02   	 88.40   	 -86.47		 93.63   	-162.77		
-43.33   	-29.30   	 88.06   	 -86.47		 92.98   	-162.77		
-44.86   	-30.52   	 87.71   	 -86.47		 92.33   	-152.59		
-43.03   	-27.47   	 87.36   	 -96.64		 91.72   	-147.51		
-39.98   	-21.06   	 86.98   	-101.73		 91.13   	-142.42		
-38.15   	-16.17   	 86.57   	-116.99		 90.56   	-132.25		
-40.28   	-15.87   	 86.10   	-116.99		 90.03   	-137.33		
-45.17   	-19.53   	 85.64   	-127.16		 89.48   	-127.16		
-48.83   	-23.80   	 85.13   	-127.16		 88.97   	-122.07		
-49.44   	-25.63   	 84.62   	-116.99		 88.48   	-122.07		
-47.00   	-24.11   	 84.15   	-116.99		 88.00   	-111.90		
-43.95   	-21.06   	 83.68   	-106.82		 87.55   	-116.99		
-43.03   	-18.92   	 83.26   	-101.73		 87.08   	-106.82		
-44.56   	-18.92   	 82.85   	-101.73		 86.65   	-106.82		
-46.39   	-19.84   	 82.44   	-106.82		 86.23   	-101.73		
-47.00   	-20.45   	 82.01   	-111.90		 85.82   	-101.73		
-46.39   	-20.14   	 81.57   	-116.99		 85.41   	 -96.64		
-45.17   	-18.92   	 81.10   	-106.82		 85.03   	 -96.64		
-44.56   	-17.70   	 80.67   	-106.82		 84.64   	 -91.56		
-45.17   	-16.78   	 80.24   	 -91.56		 84.27   	 -91.56		
-46.69   	-16.17   	 79.88   	 -76.30		 83.91   	 -86.47		
-47.91   	-15.56   	 79.57   	 -71.21		 83.56   	 -86.47		
-49.13   	-14.65   	 79.29   	 -61.04		 83.21   	 -86.47		
-50.35   	-13.73   	 79.04   	 -61.04		 82.87   	 -81.38		
-52.19   	-12.82   	 78.80   	 -61.04		 82.54   	 -81.38		
-54.32   	-12.21   	 78.56   	 -66.12		 82.22   	 -76.30		
-55.85   	-11.60   	 78.29   	 -76.30		 81.91   	 -81.38		
-55.85   	-10.99   	 77.99   	 -81.38		 81.59   	 -76.30		
-54.63   	-10.99   	 77.66   	 -91.56		 81.28   	 -71.21		
-53.10   	-11.29   	 77.29   	 -91.56		 81.00   	 -76.30		
-53.41   	-12.51   	 76.93   	 -86.47		 80.69   	 -76.30		
-55.24   	-13.43   	 76.58   	 -91.56		 80.39   	 -76.30		
-57.68   	-14.65   	 76.22   	 -81.38		 80.08   	 -71.21		
-58.29   	-15.26   	 75.89   	 -76.30		 79.80   	 -71.21		
-56.46   	-15.26   	 75.58   	 -66.12		 79.51   	 -71.21		
-53.41   	-14.04   	 75.32   	 -61.04		 79.23   	 -71.21		
-51.27   	-11.90   	 75.08   	 -55.95		 78.94   	 -71.21		
-50.35   	-10.07   	 74.85   	 -50.86		 78.66   	 -71.21		
-50.35   	 -8.85   	 74.65   	 -50.86		 78.37   	 -66.12		
-50.66   	 -8.54   	 74.45   	 -50.86		 78.11   	 -71.21		
-50.05   	 -8.24   	 74.24   	 -55.95		 77.82   	 -66.12		
-49.13   	 -7.02   	 74.02   	 -71.21		 77.56   	 -66.12		
-48.22   	 -4.58   	 73.73   	 -81.38		 77.29   	 -71.21		
-48.22   	 -2.75   	 73.41   	 -86.47		 77.01   	 -66.12		
-49.74   	 -3.05   	 73.06   	-101.73		 76.74   	 -66.12		
-52.49   	 -5.19   	 72.65   	 -96.64		 76.48   	 -66.12		
-55.24   	 -7.32   	 72.27   	 -96.64		 76.22   	 -66.12		
-56.76   	 -7.93   	 71.88   	 -86.47		 75.95   	 -66.12		
-56.76   	 -7.02   	 71.54   	 -71.21		 75.69   	 -66.12		
-56.15   	 -5.80   	 71.25   	 -55.95		 75.42   	 -66.12		
-56.46   	 -6.10   	 71.03   	 -45.78		 75.16   	 -61.04		
-58.29   	 -8.24   	 70.84   	 -35.61		 74.91   	 -66.12		
-59.81   	 -9.77   	 70.70   	 -35.61		 74.65   	 -66.12		
-59.81   	 -9.46   	 70.56   	 -30.52		 74.38   	 -61.04		
-58.29   	 -6.41   	 70.44   	 -40.69		 74.14   	 -66.12		
-55.85   	 -2.14   	 70.27   	 -40.69		 73.88   	 -61.04		
-54.02   	  0.92   	 70.11   	 -55.95		 73.63   	 -66.12		
-53.41   	  1.83   	 69.89   	 -61.04		 73.37   	 -61.04		
-53.41   	  0.61   	 69.64   	 -61.04		 73.12   	 -66.12		
-53.10   	 -0.92   	 69.40   	 -66.12		 72.86   	 -61.04		
-51.27   	 -2.14   	 69.14   	 -61.04		 72.61   	 -61.04		
-49.13   	 -2.75   	 68.89   	 -55.95		 72.37   	 -61.04		
-47.00   	 -2.75   	 68.67   	 -50.86		 72.13   	 -61.04		
-46.08   	 -3.05   	 68.46   	 -40.69		 71.88   	 -66.12		
-45.47   	 -2.44   	 68.30   	 -40.69		 71.62   	 -55.95		
-45.17   	 -0.61   	 68.14   	 -35.61		 71.39   	 -61.04		
-44.56   	  0.92   	 68.00   	 -30.52		 71.15   	 -61.04		
-43.95   	  1.22   	 67.87   	 -40.69		 70.91   	 -61.04		
-43.95   	 -0.92   	 67.71   	 -40.69		 70.66   	 -55.95		
-44.56   	 -5.19   	 67.55   	 -50.86		 70.44   	 -55.95		
-45.47   	 -9.46   	 67.34   	 -50.86		 70.21   	 -61.04		
-45.78   	-11.90   	 67.14   	 -55.95		 69.97   	 -50.86		
-45.17   	-11.29   	 66.92   	 -66.12		 69.77   	 -55.95		
-44.25   	 -8.85   	 66.65   	 -66.12		 69.54   	 -55.95		
-43.95   	 -6.10   	 66.39   	 -71.21		 69.32   	 -50.86		
