  I     	  II     	  FA     	  FA'		  AO     	  AO'		
-62.26   	-48.83   	  4.70   	  -5.09		 -2.58   	   0.00		
-61.04   	-47.61   	  4.68   	 -10.17		 -2.58   	   0.00		
-60.12   	-45.78   	  4.64   	 -10.17		 -2.58   	   0.00		
-59.20   	-43.03   	  4.60   	  -5.09		 -2.58   	   0.00		
-58.29   	-39.98   	  4.58   	  -5.09		 -2.58   	 -10.17		
-57.07   	-36.62   	  4.56   	  -5.09		 -2.62   	   0.00		
-55.85   	-33.26   	  4.54   	  -5.09		 -2.62   	  -5.09		
-55.54   	-30.52   	  4.52   	  -5.09		 -2.64   	   0.00		
-56.76   	-28.08   	  4.50   	  -5.09		 -2.64   	   0.00		
-59.20   	-25.94   	  4.48   	   0.00		 -2.64   	  -5.09		
-61.65   	-23.50   	  4.48   	   5.09		 -2.67   	   0.00		
-63.17   	-19.84   	  4.50   	   0.00		 -2.67   	   0.00		
-62.87   	-14.95   	  4.50   	4206.49		 -2.67   	4659.19		
  0.00   	 37.84   	 21.32   	3636.81		 15.97   	4043.73		
 -1.53   	 34.79   	 35.87   	3138.34		 32.15   	3494.39		
 -3.36   	 31.74   	 48.42   	2700.90		 46.12   	3016.26		
 -4.88   	 30.52   	 59.23   	2329.59		 58.19   	2589.00		
 -5.49   	 31.13   	 68.55   	1993.89		 68.55   	2222.78		
 -5.49   	 32.65   	 76.52   	1709.05		 77.44   	1892.16		
 -5.19   	 33.57   	 83.36   	1454.72		 85.00   	1612.40		
 -4.88   	 32.65   	 89.18   	1241.09		 91.45   	1363.17		
 -6.41   	 30.82   	 94.14   	1042.72		 96.91   	1144.45		
 -9.46   	 28.99   	 98.31   	 885.04		101.48   	 961.34		
-13.12   	 28.08   	101.85   	 737.54		105.33   	 793.49		
-16.17   	 27.47   	104.80   	 610.37		108.50   	 651.07		
-17.40   	 26.86   	107.24   	 508.65		111.11   	 534.08		
-16.78   	 25.02   	109.28   	 417.09		113.24   	 427.26		
-16.48   	 22.89   	110.95   	 335.71		114.95   	 335.71		
-17.40   	 21.36   	112.29   	 269.58		116.30   	 269.58		
-17.40   	 21.06   	113.37   	 213.63		117.37   	 198.37		
-15.26   	 23.19   	114.22   	 167.85		118.17   	 147.51		
-11.29   	 25.94   	114.89   	 127.16		118.76   	  96.64		
 -8.54   	 27.16   	115.40   	  91.56		119.15   	  71.21		
-10.07   	 25.63   	115.77   	  61.04		119.43   	  30.52		
-13.73   	 23.50   	116.01   	  40.69		119.55   	  10.17		
-15.87   	 23.80   	116.17   	  15.26		119.59   	 -15.26		
-13.73   	 27.16   	116.24   	  -5.09		119.53   	 -35.61		
 -8.54   	 31.13   	116.22   	 -30.52		119.39   	 -40.69		
 -4.88   	 32.04   	116.09   	 -45.78		119.23   	 -61.04		
 -5.19   	 28.99   	115.91   	 -66.12		118.98   	 -76.30		
 -8.85   	 24.41   	115.65   	 -81.38		118.68   	 -81.38		
-11.90   	 22.89   	115.32   	-106.82		118.35   	 -96.64		
-11.60   	 25.33   	114.89   	-116.99		117.96   	 -96.64		
 -7.93   	 29.30   	114.42   	-132.25		117.58   	-116.99		
 -3.97   	 30.52   	113.90   	-147.51		117.11   	-116.99		
 -3.97   	 26.86   	113.31   	-147.51		116.64   	-127.16		
 -8.54   	 20.45   	112.72   	-157.68		116.13   	-137.33		
-14.04   	 15.87   	112.09   	-157.68		115.58   	-137.33		
-15.56   	 17.40   	111.45   	-157.68		115.04   	-142.42		
-10.07   	 24.72   	110.82   	-152.59		114.47   	-147.51		
 -0.92   	 33.26   	110.21   	-152.59		113.88   	-147.51		
  5.49   	 37.54   	109.60   	-147.51		113.29   	-152.59		
  4.58   	 35.40   	109.01   	-147.51		112.68   	-152.59		
 -2.14   	 29.91   	108.42   	-142.42		112.06   	-152.59		
 -8.54   	 26.55   	107.85   	-142.42		111.45   	-157.68		
 -9.46   	 28.38   	107.28   	-137.33		110.82   	-152.59		
 -5.80   	 33.87   	106.73   	-142.42		110.21   	-152.59		
 -1.22   	 37.84   	106.16   	-142.42		109.60   	-157.68		
  0.92   	 37.84   	105.59   	-142.42		108.97   	-147.51		
  0.31   	 34.48   	105.03   	-142.42		108.38   	-152.59		
 -1.53   	 31.43   	104.46   	-142.42		107.77   	-147.51		
 -3.05   	 29.60   	103.89   	-142.42		107.18   	-157.68		
 -3.36   	 29.30   	103.32   	-147.51		106.55   	-142.42		
 -3.05   	 29.30   	102.73   	-142.42		105.98   	-147.51		
 -1.22   	 29.91   	102.16   	-142.42		105.39   	-142.42		
  1.22   	 30.82   	101.59   	-147.51		104.82   	-147.51		
  3.66   	 32.35   	101.00   	-147.51		104.23   	-147.51		
  5.49   	 33.57   	100.41   	-142.42		103.64   	-147.51		
  5.49   	 32.65   	 99.84   	-147.51		103.05   	-147.51		
  3.97   	 30.52   	 99.25   	-142.42		102.46   	-147.51		
  2.44   	 28.69   	 98.68   	-142.42		101.87   	-147.51		
  1.53   	 28.38   	 98.11   	-137.33		101.28   	-147.51		
  1.53   	 28.99   	 97.56   	-137.33		100.69   	-147.51		
  1.53   	 29.91   	 97.01   	-132.25		100.10   	-147.51		
  1.83   	 29.91   	 96.48   	-127.16		 99.51   	-142.42		
  1.83   	 28.69   	 95.97   	-127.16		 98.94   	-147.51		
  1.53   	 27.16   	 95.46   	-122.07		 98.35   	-142.42		
  0.61   	 25.63   	 94.97   	-122.07		 97.78   	-142.42		
  0.31   	 24.72   	 94.49   	-116.99		 97.21   	-137.33		
  0.92   	 24.41   	 94.02   	-116.99		 96.66   	-137.33		
  3.36   	 25.33   	 93.55   	-111.90		 96.11   	-137.33		
  6.41   	 28.08   	 93.10   	-111.90		 95.56   	-137.33		
  9.16   	 31.43   	 92.65   	-111.90		 95.01   	-132.25		
  9.77   	 33.87   	 92.21   	-111.90		 94.49   	-137.33		
  8.54   	 33.87   	 91.76   	-111.90		 93.94   	-122.07		
  6.71   	 31.74   	 91.31   	-106.82		 93.45   	-127.16		
  4.27   	 28.38   	 90.88   	-106.82		 92.94   	-122.07		
  2.14   	 25.02   	 90.46   	-106.82		 92.45   	-116.99		
  0.92   	 23.80   	 90.03   	-101.73		 91.98   	-116.99		
  1.22   	 24.72   	 89.62   	 -96.64		 91.52   	-116.99		
  3.36   	 26.86   	 89.24   	 -91.56		 91.05   	-111.90		
  5.80   	 28.69   	 88.87   	 -91.56		 90.60   	 -96.64		
  6.41   	 28.38   	 88.50   	 -81.38		 90.21   	-101.73		
  4.27   	 25.63   	 88.18   	 -76.30		 89.81   	 -96.64		
  0.61   	 21.97   	 87.87   	 -76.30		 89.42   	 -81.38		
 -2.14   	 19.53   	 87.57   	 -71.21		 89.09   	 -81.38		
 -2.44   	 19.23   	 87.28   	 -66.12		 88.77   	 -76.30		
 -0.61   	 21.36   	 87.02   	 -66.12		 88.46   	 -71.21		
  2.14   	 24.11   	 86.75   	 -66.12		 88.18   	 -66.12		
  3.97   	 25.94   	 86.49   	 -71.21		 87.91   	 -61.04		
  4.58   	 26.25   	 86.21   	 -71.21		 87.67   	 -55.95		
  4.88   	 25.94   	 85.92   	 -71.21		 87.45   	 -50.86		
  5.80   	 26.25   	 85.64   	 -76.30		 87.24   	 -50.86		
  7.32   	 27.77   	 85.33   	 -81.38		 87.04   	 -50.86		
  8.85   	 29.91   	 85.00   	 -81.38		 86.84   	 -45.78		
  9.77   	 30.82   	 84.68   	 -86.47		 86.65   	 -40.69		
  9.16   	 29.91   	 84.33   	 -86.47		 86.49   	 -50.86		
  7.93   	 27.77   	 83.99   	 -91.56		 86.29   	 -50.86		
  6.71   	 25.94   	 83.62   	 -91.56		 86.08   	 -40.69		
  6.10   	 25.02   	 83.26   	 -91.56		 85.92   	 -50.86		
  5.80   	 24.41   	 82.89   	 -86.47		 85.72   	 -55.95		
  5.19   	 23.80   	 82.54   	 -86.47		 85.49   	 -50.86		
  3.97   	 22.89   	 82.20   	 -86.47		 85.29   	 -61.04		
  2.75   	 21.97   	 81.85   	 -81.38		 85.05   	 -61.04		
  2.75   	 22.58   	 81.53   	 -76.30		 84.80   	 -61.04		
  4.27   	 23.80   	 81.22   	 -76.30		 84.56   	 -66.12		
  6.71   	 25.33   	 80.92   	 -66.12		 84.29   	 -66.12		
  8.85   	 26.55   	 80.65   	 -66.12		 84.03   	 -66.12		
  9.46   	 27.16   	 80.39   	 -61.04		 83.76   	 -71.21		
  8.24   	 26.55   	 80.14   	 -61.04		 83.48   	 -66.12		
  6.41   	 25.63   	 79.90   	 -55.95		 83.21   	 -66.12		
  5.19   	 24.72   	 79.67   	 -61.04		 82.95   	 -66.12		
  5.19   	 24.41   	 79.43   	 -55.95		 82.69   	 -71.21		
  6.41   	 24.41   	 79.21   	 -61.04		 82.40   	 -66.12		
  7.63   	 24.41   	 78.96   	 -61.04		 82.14   	 -71.21		
  8.24   	 24.11   	 78.72   	 -61.04		 81.85   	 -71.21		
  8.24   	 23.80   	 78.47   	 -66.12		 81.57   	 -66.12		
  8.24   	 24.11   	 78.21   	 -66.12		 81.30   	 -71.21		
  8.85   	 25.63   	 77.94   	 -71.21		 81.02   	 -71.21		
  9.46   	 27.16   	 77.66   	 -71.21		 80.73   	 -71.21		
  8.54   	 27.16   	 77.38   	 -76.30		 80.45   	 -76.30		
  6.41   	 25.33   	 77.07   	 -76.30		 80.14   	 -76.30		
  5.49   	 23.50   	 76.76   	 -81.38		 79.84   	 -76.30		
  7.02   	 23.19   	 76.44   	 -81.38		 79.53   	 -76.30		
 10.68   	 25.02   	 76.11   	 -86.47		 79.23   	 -76.30		
 14.65   	 27.77   	 75.77   	 -86.47		 78.92   	 -81.38		
 15.87   	 29.60   	 75.42   	 -86.47		 78.60   	 -81.38		
 13.73   	 29.30   	 75.08   	 -86.47		 78.27   	 -81.38		
 10.68   	 28.08   	 74.73   	 -81.38		 77.94   	 -86.47		
  9.16   	 26.55   	 74.40   	 -86.47		 77.60   	 -81.38		
 10.07   	 25.33   	 74.06   	 -81.38		 77.27   	 -81.38		
 12.21   	 24.41   	 73.73   	 -76.30		 76.95   	 -81.38		
 13.12   	 23.50   	 73.43   	 -76.30		 76.62   	 -81.38		
 11.29   	 22.58   	 73.12   	 -66.12		 76.30   	 -76.30		
  7.93   	 21.67   	 72.86   	 -66.12		 75.99   	 -76.30		
  4.88   	 20.45   	 72.59   	 -61.04		 75.69   	 -76.30		
  3.36   	 19.53   	 72.35   	 -55.95		 75.38   	 -66.12		
  3.66   	 19.23   	 72.13   	 -45.78		 75.12   	 -66.12		
  5.19   	 20.14   	 71.94   	 -45.78		 74.85   	 -61.04		
  7.32   	 23.19   	 71.76   	 -35.61		 74.61   	 -55.95		
  9.16   	 27.16   	 71.62   	 -30.52		 74.38   	 -55.95		
 10.07   	 30.52   	 71.50   	 -25.43		 74.16   	 -50.86		
 10.38   	 31.74   	 71.39   	 -25.43		 73.96   	 -40.69		
 10.38   	 31.43   	 71.29   	 -15.26		 73.79   	 -35.61		
 10.99   	 31.74   	 71.23   	 -15.26		 73.65   	 -35.61		
 12.51   	 34.48   	 71.17   	 -15.26		 73.51   	 -35.61		
 14.95   	 41.50   	 71.11   	 -15.26		 73.37   	 -30.52		
 18.01   	 52.19   	 71.05   	 -15.26		 73.24   	 -25.43		
 20.14   	 64.70   	 70.99   	 -15.26		 73.14   	 -25.43		
 22.28   	 77.51   	 70.93   	 -20.35		 73.04   	 -25.43		
 24.41   	 87.59   	 70.84   	 -20.35		 72.94   	 -30.52		
 26.55   	 93.69   	 70.76   	 -25.43		 72.82   	 -25.43		
 28.69   	 96.13   	 70.66   	 -25.43		 72.72   	 -25.43		
 30.82   	 97.35   	 70.56   	 -25.43		 72.61   	 -30.52		
 31.74   	100.10   	 70.46   	 -30.52		 72.49   	 -30.52		
 32.65   	106.51   	 70.34   	 -30.52		 72.37   	 -30.52		
 33.87   	115.66   	 70.21   	 -30.52		 72.25   	 -35.61		
 36.32   	126.04   	 70.09   	 -30.52		 72.11   	 -30.52		
 40.28   	135.50   	 69.97   	 -25.43		 71.98   	 -40.69		
 46.08   	142.82   	 69.87   	 -25.43		 71.82   	 -30.52		
 53.71   	148.32   	 69.77   	 -20.35		 71.70   	 -30.52		
 62.26   	151.06   	 69.68   	 -20.35		 71.58   	 -35.61		
 70.19   	150.76   	 69.60   	 -20.35		 71.43   	 -35.61		
 75.68   	147.09   	 69.52   	 -20.35		 71.29   	 -35.61		
 79.04   	141.30   	 69.44   	 -25.43		 71.15   	 -35.61		
 80.57   	135.50   	 69.34   	 -25.43		 71.01   	 -35.61		
