  I     	  AOp     	  AOp'		  AO     	  AO'		
 70.19   	 87.43   	 218.72		 68.95   	  91.56		
 74.77   	 88.30   	 193.29		 69.32   	 132.25		
 79.65   	 89.07   	 157.68		 69.85   	 157.68		
 87.89   	 89.70   	 106.82		 70.48   	 193.29		
 99.49   	 90.13   	  50.86		 71.25   	 218.72		
111.69   	 90.34   	  -5.09		 72.13   	 239.06		
121.77   	 90.32   	 -50.86		 73.08   	 259.41		
129.39   	 90.11   	 -76.30		 74.12   	 264.50		
136.41   	 89.81   	 -71.21		 75.18   	 274.67		
145.57   	 89.52   	 -30.52		 76.28   	 269.58		
157.47   	 89.40   	  45.78		 77.35   	 259.41		
171.20   	 89.58   	 137.33		 78.39   	 254.32		
184.94   	 90.13   	 228.89		 79.41   	 244.15		
195.92   	 91.05   	 305.19		 80.39   	 228.89		
202.64   	 92.27   	 345.88		 81.30   	 218.72		
205.38   	 93.65   	 356.05		 82.18   	 203.46		
207.52   	 95.08   	 335.71		 82.99   	 193.29		
209.96   	 96.42   	 289.93		 83.76   	 193.29		
211.18   	 97.58   	 244.15		 84.54   	 183.11		
206.91   	 98.56   	 178.03		 85.27   	 183.11		
193.48   	 99.27   	 116.99		 86.00   	 178.03		
171.51   	 99.74   	  45.78		 86.71   	 178.03		
146.18   	 99.92(S)	 -40.69		 87.43   	 178.03		
123.29   	 99.76   	-132.25		 88.14   	 172.94		
104.68   	 99.23   	-218.72		 88.83   	 167.85		
 87.89   	 98.35   	-289.93		 89.50   	 157.68		
 69.27   	 97.19   	-310.27		 90.13   	 147.51		
 48.52   	 95.95   	-289.93		 90.72   	 137.33		
 27.47   	 94.79   	-249.24		 91.27   	 132.25		
  9.16   	 93.79   	-223.80		 91.80   	 111.90		
 -4.27   	 92.90   	-228.89		 92.25   	  96.64		
-13.73   	 91.98   	-259.41		 92.63   	  86.47		
-20.75   	 90.95   	-264.50		 92.98   	  71.21		
-27.77   	 89.89   	-218.72		 93.27   	  61.04		
-36.32   	 89.01   	-122.07		 93.51   	  55.95		
-47.30   	 88.52   	  20.35		 93.73   	  61.04		
-59.51   	 88.61   	 193.29		 93.98   	  71.21		
-69.58   	 89.38   	 376.40		 94.26   	  76.30		
-75.68   	 90.88   	 523.90		 94.57   	  91.56		
-76.29   	 92.98   	 579.86		 94.93   	 106.82		
-74.46   	 95.30   	 539.16		 95.36   	 111.90		
-72.33   	 97.46   	 381.48		 95.81   	 116.99		
-71.72   	 98.98   	 142.42		 96.28   	 116.99		
-71.72   	 99.55   	-132.25		 96.74   	 101.73		
-71.72   	 99.02   	-366.22		 97.15   	  96.64		
-71.41   	 97.56   	-523.90		 97.54   	  71.21		
-72.63   	 95.46   	-559.51		 97.82   	  61.04		
-75.99   	 93.22   	-488.30		 98.07   	  40.69		
-80.26   	 91.27   	-325.53		 98.23   	  25.43		
-82.40   	 89.97   	-137.33		 98.33   	  15.26		
-81.79   	 89.42   	  45.78		 98.39   	   5.09		
-78.13   	 89.60   	 152.59		 98.41   	   0.00		
-74.46   	 90.21   	 167.85		 98.41   	 -10.17		
-72.33   	 90.88   	  81.38		 98.37   	 -20.35		
-73.24   	 91.21   	 -86.47		 98.29   	 -25.43		
-76.29   	 90.86   	-274.67		 98.19   	 -40.69		
-79.96   	 89.77   	-432.35		 98.03   	 -50.86		
-82.09   	 88.04   	-513.73		 97.82   	 -71.21		
-81.18   	 85.98   	-483.21		 97.54   	 -81.38		
-77.51   	 84.05   	-361.14		 97.21   	 -86.47		
-72.94   	 82.60   	-172.94		 96.87   	-101.73		
-69.58   	 81.91   	  10.17		 96.46   	 -96.64		
-69.27   	 81.95   	 132.25		 96.07   	-101.73		
-72.33   	 82.48   	 167.85		 95.67   	-106.82		
-76.29   	 83.15   	 137.33		 95.24   	-116.99		
-79.04   	 83.70   	  71.21		 94.77   	-116.99		
-78.74   	 83.99   	  10.17		 94.30   	-132.25		
-75.38   	 84.03   	 -30.52		 93.77   	-137.33		
-70.50   	 83.91   	 -30.52		 93.22   	-147.51		
-65.92   	 83.78   	  -5.09		 92.63   	-147.51		
-62.87   	 83.76   	  35.61		 92.04   	-152.59		
-61.95   	 83.91   	  86.47		 91.43   	-147.51		
-62.26   	 84.25   	 147.51		 90.84   	-137.33		
-62.87   	 84.84   	 188.20		 90.29   	-122.07		
-63.48   	 85.59   	 203.46		 89.81   	-101.73		
-65.00   	 86.41   	 188.20		 89.40   	 -86.47		
-66.83   	 87.16   	 147.51		 89.05   	 -61.04		
-68.05   	 87.75   	  96.64		 88.81   	 -40.69		
-67.14   	 88.14   	  50.86		 88.65   	 -25.43		
-64.39   	 88.34   	  15.26		 88.54   	  -5.09		
-61.95   	 88.40   	 -10.17		 88.52   	   5.09		
-61.65   	 88.36   	  -5.09		 88.54   	  15.26		
-62.56   	 88.34   	  15.26		 88.61   	  25.43		
-62.26   	 88.40   	  61.04		 88.71   	  20.35		
-59.51   	 88.65   	  91.56		 88.79   	  30.52		
-54.93   	 89.01   	 122.07		 88.91   	  25.43		
-51.88   	 89.50   	 111.90		 89.01   	  30.52		
-51.88   	 89.95   	  86.47		 89.13   	  30.52		
-54.02   	 90.29   	  35.61		 89.26   	  30.52		
-55.85   	 90.44   	 -10.17		 89.38   	  25.43		
-57.07   	 90.40   	 -45.78		 89.48   	  25.43		
-58.29   	 90.21   	 -66.12		 89.58   	  25.43		
-59.81   	 89.95   	 -61.04		 89.68   	  20.35		
-61.04   	 89.70   	 -45.78		 89.77   	  20.35		
-61.65   	 89.52   	 -20.35		 89.85   	  15.26		
-61.34   	 89.44   	  -5.09		 89.91   	  10.17		
-61.34   	 89.42   	   5.09		 89.95   	  10.17		
-62.56   	 89.44   	   0.00		 89.99   	   5.09		
-63.48   	 89.44   	 -20.35		 90.01   	   5.09		
-63.17   	 89.36   	 -40.69		 90.03   	   0.00		
-60.73   	 89.20   	 -61.04		 90.03   	  -5.09		
-57.68   	 88.95   	 -81.38		 90.01   	 -10.17		
-56.46   	 88.63   	 -86.47		 89.97   	 -15.26		
-57.37   	 88.28   	 -86.47		 89.91   	 -15.26		
-59.81   	 87.93   	 -66.12		 89.85   	 -15.26		
-61.34   	 87.67   	 -55.95		 89.79   	 -25.43		
-58.90   	 87.45   	 -35.61		 89.68   	 -20.35		
-51.57   	 87.30   	 -30.52		 89.60   	 -30.52		
-41.50   	 87.18   	 -20.35		 89.48   	 -25.43		
-31.74   	 87.10   	 -30.52		 89.38   	 -25.43		
-26.55   	 86.98   	 -40.69		 89.28   	 -30.52		
-26.25   	 86.82   	 -50.86		 89.16   	 -30.52		
-27.47   	 86.61   	 -71.21		 89.03   	 -30.52		
-24.72   	 86.33   	 -76.30		 88.91   	 -30.52		
-15.87   	 86.02   	 -86.47		 88.79   	 -35.61		
 -3.36   	 85.68   	 -81.38		 88.65   	 -35.61		
  7.93   	 85.35   	 -81.38		 88.50   	 -35.61		
 14.65   	 85.03   	 -71.21		 88.36   	 -40.69		
 16.48   	 84.74   	 -66.12		 88.20   	 -40.69		
 15.87   	 84.48   	 -55.95		 88.04   	 -45.78		
 14.95   	 84.25   	 -50.86		 87.85   	 -45.78		
 14.04   	 84.05   	 -45.78		 87.67   	 -45.78		
 13.43   	 83.87   	 -45.78		 87.49   	 -50.86		
 13.43   	 83.68   	 -45.78		 87.28   	 -50.86		
 14.95   	 83.50   	 -45.78		 87.08   	 -55.95		
