  I     	  AOp     	  AOp'		  AO     	  AO'		
426.64   	 78.51   	 -30.52		 80.81   	 -25.43		
223.08   	 78.39   	 -30.52		 80.71   	 -30.52		
 35.71   	 78.27   	 -35.61		 80.59   	 -25.43		
-54.32   	 78.13   	 -35.61		 80.49   	 -25.43		
-30.82   	 77.99   	 -35.61		 80.39   	 -25.43		
 54.32   	 77.84   	 -45.78		 80.28   	 -25.43		
127.26   	 77.66   	 -45.78		 80.18   	 -20.35		
142.21   	 77.48   	 -50.86		 80.10   	 -25.43		
100.40   	 77.27   	 -55.95		 80.00   	 -30.52		
 33.87   	 77.05   	 -61.04		 79.88   	 -25.43		
-23.19   	 76.81   	 -55.95		 79.78   	 -30.52		
-53.10   	 76.58   	 -55.95		 79.65   	 -35.61		
-55.85   	 76.36   	 -50.86		 79.51   	 -35.61		
-40.28   	 76.15   	 -50.86		 79.37   	 -35.61		
-20.75   	 75.95   	 -50.86		 79.23   	 -40.69		
 -9.16   	 75.75   	 -50.86		 79.06   	 -45.78		
 -9.16   	 75.54   	 -61.04		 78.88   	 -40.69		
-13.73   	 75.30   	 -66.12		 78.72   	 -50.86		
-14.95   	 75.04   	 -76.30		 78.51   	 -50.86		
-10.07   	 74.73   	 -81.38		 78.31   	 -50.86		
 -3.05   	 74.40   	 -81.38		 78.11   	 -55.95		
  0.31   	 74.08   	 -66.12		 77.88   	 -61.04		
 -0.31   	 73.81   	 -45.78		 77.64   	 -61.04		
 -0.92   	 73.63(D)	   0.00		 77.40   	 -66.12		
  2.75   	 73.63   	  55.95		 77.13   	 -66.12		
 10.99   	 73.86   	 116.99		 76.87   	 -66.12		
 19.23   	 74.32   	 183.11		 76.60   	 -66.12		
 24.11   	 75.06   	 249.24		 76.34   	 -61.04		
 23.50   	 76.05   	 300.10		 76.09   	 -55.95		
 20.45   	 77.25   	 345.88		 75.87   	 -50.86		
 19.84   	 78.64   	 371.31		 75.67   	 -35.61		
 24.72   	 80.12   	 386.57		 75.52   	 -20.35		
 34.18   	 81.67   	 386.57		 75.44   	  -5.09		
 44.56   	 83.21   	 376.40		 75.42(D)	  20.35		
 52.80   	 84.72   	 356.05		 75.50   	  45.78		
 58.90   	 86.14   	 330.62		 75.69   	  71.21		
 64.70   	 87.47   	 289.93		 75.97   	 101.73		
 71.72   	 88.63   	 249.24		 76.38   	 137.33		
 79.96   	 89.62   	 198.37		 76.93   	 157.68		
 88.50   	 90.42   	 132.25		 77.56   	 193.29		
 95.83   	 90.95   	  50.86		 78.33   	 218.72		
102.23   	 91.15   	 -20.35		 79.21   	 239.06		
108.95   	 91.07   	 -86.47		 80.16   	 254.32		
118.71   	 90.72   	-122.07		 81.18   	 269.58		
132.45   	 90.23   	-132.25		 82.26   	 274.67		
149.23   	 89.70   	-111.90		 83.36   	 274.67		
165.10   	 89.26   	 -50.86		 84.46   	 274.67		
175.78   	 89.05   	  25.43		 85.55   	 269.58		
181.88   	 89.16   	 106.82		 86.63   	 254.32		
185.85   	 89.58   	 178.03		 87.65   	 249.24		
193.18   	 90.29   	 228.89		 88.65   	 228.89		
205.08   	 91.21   	 244.15		 89.56   	 213.63		
219.12   	 92.19   	 239.06		 90.42   	 203.46		
229.49   	 93.14   	 223.80		 91.23   	 193.29		
232.24   	 94.04   	 203.46		 92.00   	 183.11		
226.75   	 94.85   	 188.20		 92.74   	 178.03		
214.54   	 95.60   	 167.85		 93.45   	 172.94		
198.67   	 96.28   	 147.51		 94.14   	 172.94		
181.27   	 96.87   	 122.07		 94.83   	 172.94		
163.27   	 97.35   	  96.64		 95.52   	 172.94		
144.35   	 97.74   	  66.12		 96.22   	 172.94		
125.73   	 98.01   	  35.61		 96.91   	 167.85		
108.64   	 98.15(S)	   0.00		 97.58   	 162.77		
 91.86   	 98.15   	 -35.61		 98.23   	 152.59		
 75.07   	 98.01   	 -71.21		 98.84   	 137.33		
 57.37   	 97.72   	 -91.56		 99.39   	 122.07		
 39.67   	 97.35   	-101.73		 99.88   	 106.82		
 24.72   	 96.95   	-111.90		100.30   	  86.47		
 13.43   	 96.50   	-101.73		100.65   	  61.04		
  4.88   	 96.09   	 -81.38		100.89   	  40.69		
 -5.19   	 95.77   	 -55.95		101.06   	  20.35		
-18.92   	 95.54   	 -25.43		101.14   	   5.09		
-33.57   	 95.44   	   0.00		101.16(S)	 -10.17		
-45.78   	 95.44   	  25.43		101.12   	 -25.43		
-52.49   	 95.54   	  30.52		101.02   	 -25.43		
-54.93   	 95.67   	  40.69		100.92   	 -30.52		
-56.46   	 95.83   	  30.52		100.79   	 -30.52		
-58.90   	 95.95   	  15.26		100.67   	 -30.52		
-62.87   	 96.01   	  -5.09		100.55   	 -20.35		
-66.83   	 95.99   	 -25.43		100.47   	 -15.26		
-70.80   	 95.89   	 -40.69		100.41   	 -10.17		
-73.85   	 95.73   	 -50.86		100.37   	   0.00		
-74.77   	 95.52   	 -71.21		100.37   	   5.09		
-72.63   	 95.24   	 -81.38		100.39   	  10.17		
-68.66   	 94.91   	 -96.64		100.43   	  15.26		
-65.00   	 94.53   	-111.90		100.49   	  15.26		
-64.39   	 94.08   	-122.07		100.55   	  20.35		
-66.22   	 93.59   	-127.16		100.63   	  10.17		
-67.44   	 93.08   	-137.33		100.67   	  10.17		
-65.61   	 92.53   	-152.59		100.71   	   0.00		
-61.04   	 91.92   	-183.11		100.71   	 -10.17		
-56.76   	 91.19   	-218.72		100.67   	 -20.35		
-55.85   	 90.32   	-264.50		100.59   	 -30.52		
-58.29   	 89.26   	-295.01		100.47   	 -50.86		
-61.04   	 88.08   	-315.36		100.26   	 -66.12		
-62.26   	 86.82   	-300.10		100.00   	 -86.47		
-61.34   	 85.62   	-274.67		 99.65   	-106.82		
-60.42   	 84.52   	-218.72		 99.23   	-127.16		
-61.34   	 83.64   	-152.59		 98.72   	-152.59		
-64.09   	 83.03   	 -86.47		 98.11   	-167.85		
-66.53   	 82.69   	 -25.43		 97.44   	-183.11		
-65.92   	 82.58   	  30.52		 96.70   	-198.37		
-61.34   	 82.71   	  61.04		 95.91   	-203.46		
-54.02   	 82.95   	  81.38		 95.10   	-203.46		
-46.69   	 83.28   	  96.64		 94.28   	-203.46		
-43.03   	 83.66   	 106.82		 93.47   	-193.29		
-45.47   	 84.09   	 111.90		 92.70   	-183.11		
-53.10   	 84.54   	 122.07		 91.96   	-162.77		
-60.73   	 85.03   	 132.25		 91.31   	-142.42		
-64.09   	 85.55   	 142.42		 90.74   	-116.99		
-61.04   	 86.12   	 152.59		 90.27   	 -91.56		
-54.63   	 86.73   	 147.51		 89.91   	 -71.21		
-49.44   	 87.32   	 142.42		 89.62   	 -50.86		
-48.83   	 87.89   	 132.25		 89.42   	 -25.43		
-51.88   	 88.42   	 116.99		 89.32   	  -5.09		
-54.32   	 88.89   	  91.56		 89.30   	  10.17		
-54.32   	 89.26   	  76.30		 89.34   	  20.35		
-52.49   	 89.56   	  50.86		 89.42   	  30.52		
-51.27   	 89.77   	  40.69		 89.54   	  35.61		
-52.49   	 89.93   	  25.43		 89.68   	  40.69		
-54.63   	 90.03   	  20.35		 89.85   	  40.69		
-54.63   	 90.11   	  15.26		 90.01   	  40.69		
-52.19   	 90.17   	  10.17		 90.17   	  40.69		
-50.35   	 90.21   	   5.09		 90.34   	  30.52		
-52.49   	 90.23   	   0.00		 90.46   	  30.52		
-57.98   	 90.23   	  -5.09		 90.58   	  20.35		
-62.87   	 90.21   	 -15.26		 90.66   	  20.35		
-61.95   	 90.15   	 -20.35		 90.74   	  10.17		
-54.63   	 90.07   	 -30.52		 90.78   	   5.09		
-45.47   	 89.95   	 -30.52		 90.80   	   5.09		
-42.11   	 89.83   	 -30.52		 90.82   	  -5.09		
-45.78   	 89.70   	 -30.52		 90.80   	  -5.09		
-52.80   	 89.58   	 -25.43		 90.78   	  -5.09		
-58.29   	 89.48   	 -25.43		 90.76   	 -10.17		
-60.12   	 89.38   	 -25.43		 90.72   	 -10.17		
-58.59   	 89.28   	 -30.52		 90.68   	 -10.17		
-55.85   	 89.16   	 -30.52		 90.64   	 -10.17		
-53.10   	 89.03   	 -40.69		 90.60   	 -10.17		
-50.66   	 88.87   	 -45.78		 90.56   	 -15.26		
-47.00   	 88.69   	 -50.86		 90.50   	 -15.26		
-43.03   	 88.48   	 -61.04		 90.44   	 -15.26		
-39.37   	 88.24   	 -61.04		 90.38   	 -20.35		
-35.40   	 88.00   	 -66.12		 90.29   	 -20.35		
-30.52   	 87.73   	 -61.04		 90.21   	 -20.35		
-24.72   	 87.49   	 -61.04		 90.13   	 -30.52		
-18.31   	 87.24   	 -55.95		 90.01   	 -30.52		
-11.29   	 87.02   	 -55.95		 89.89   	 -30.52		
 -4.58   	 86.80   	 -55.95		 89.77   	 -35.61		
  1.53   	 86.57   	 -55.95		 89.62   	 -35.61		
  6.71   	 86.35   	 -61.04		 89.48   	 -45.78		
 10.07   	 86.10   	 -66.12		 89.30   	 -40.69		
 11.29   	 85.84   	 -66.12		 89.13   	 -45.78		
 10.99   	 85.57   	 -71.21		 88.95   	 -45.78		
 10.99   	 85.29   	 -71.21		 88.77   	 -50.86		
 14.34   	 85.00   	 -71.21		 88.57   	 -55.95		
 20.45   	 84.72   	 -66.12		 88.34   	 -50.86		
 25.94   	 84.46   	 -61.04		 88.14   	 -55.95		
 26.25   	 84.21   	 -55.95		 87.91   	 -55.95		
 18.01   	 83.99   	 -50.86		 87.69   	 -55.95		
  1.53   	 83.78   	 -45.78		 87.47   	 -61.04		
-19.23   	 83.60   	 -45.78		 87.22   	 -55.95		
-39.98   	 83.42   	 -40.69		 87.00   	 -61.04		
-58.29   	 83.26   	 -40.69		 86.75   	 -55.95		
-72.02   	 83.09   	 -35.61		 86.53   	 -61.04		
-81.48   	 82.95   	 -35.61		 86.29   	 -55.95		
-86.98   	 82.81   	 -35.61		 86.06   	 -50.86		
-90.03   	 82.66   	 -30.52		 85.86   	 -55.95		
-91.25   	 82.54   	 -35.61		 85.64   	 -50.86		
-89.11   	 82.40   	 -35.61		 85.43   	 -50.86		
-83.01   	 82.26   	 -30.52		 85.23   	 -45.78		
-73.85   	 82.14   	 -35.61		 85.05   	 -45.78		
-65.61   	 81.99   	 -35.61		 84.86   	 -45.78		
-62.26   	 81.85   	 -30.52		 84.68   	 -45.78		
-64.09   	 81.73   	 -30.52		 84.50   	 -40.69		
-68.66   	 81.61   	 -30.52		 84.33   	 -40.69		
-72.63   	 81.48   	 -25.43		 84.17   	 -40.69		
-74.77   	 81.38   	 -20.35		 84.01   	 -35.61		
-75.07   	 81.30   	 -25.43		 83.87   	 -40.69		
-75.07   	 81.20   	 -20.35		 83.70   	 -35.61		
-77.21   	 81.12   	 -25.43		 83.56   	 -35.61		
-83.62   	 81.02   	 -25.43		 83.42   	 -35.61		
-96.13   	 80.92   	 -25.43		 83.28   	 -30.52		
-115.66   	 80.81   	 -35.61		 83.15   	 -35.61		
-139.77   	 80.67   	 -35.61		 83.01   	 -30.52		
-162.05   	 80.53   	 -40.69		 82.89   	 -30.52		
-173.65   	 80.37   	 -40.69		 82.77   	 -30.52		
-163.57   	 80.20   	 -40.69		 82.64   	 -30.52		
-116.88   	 80.04   	 -35.61		 82.52   	 -30.52		
-20.14   	 79.90   	 -40.69		 82.40   	 -25.43		
131.53   	 79.74   	 -35.61		 82.30   	 -30.52		
326.23   	 79.59   	 -35.61		 82.18   	 -30.52		
528.56   	 79.45   	 -35.61		 82.05   	 -30.52		
680.54   	 79.31   	 -25.43		 81.93   	 -30.52		
726.01(R)	 79.21   	 -30.52		 81.81   	 -25.43		
645.75   	 79.08   	 -20.35		 81.71   	 -30.52		
478.21   	 79.00   	 -25.43		 81.59   	 -25.43		
303.04   	 78.90   	 -20.35		 81.48   	 -30.52		
195.62   	 78.82   	 -20.35		 81.36   	 -30.52		
176.70   	 78.74   	 -20.35		 81.24   	 -25.43		
207.82   	 78.66   	 -30.52		 81.14   	 -30.52		
230.10   	 78.53   	 -30.52		 81.02   	 -30.52		
207.52   	 78.41   	 -40.69		 80.89   	 -30.52		
143.74   	 78.25   	 -45.78		 80.77   	 -30.52		
 64.39   	 78.07   	 -45.78		 80.65   	 -35.61		
 -6.71   	 77.88   	 -40.69		 80.51   	 -35.61		
-56.46   	 77.72   	 -35.61		 80.37   	 -35.61		
-79.35   	 77.58   	 -35.61		 80.22   	 -40.69		
-77.21   	 77.44   	 -25.43		 80.06   	 -35.61		
-61.34   	 77.33   	 -20.35		 79.92   	 -40.69		
-46.39   	 77.25   	 -20.35		 79.76   	 -40.69		
-43.03   	 77.17   	 -20.35		 79.59   	 -40.69		
-49.44   	 77.09   	 -15.26		 79.43   	 -35.61		
-54.93   	 77.03(D)	   0.00		 79.29   	 -40.69		
-52.80   	 77.03   	  25.43		 79.12   	 -35.61		
-44.25   	 77.13   	  66.12		 78.98   	 -40.69		
-36.62   	 77.40   	 116.99		 78.82   	 -35.61		
-33.87   	 77.86   	 172.94		 78.68   	 -30.52		
-35.10   	 78.56   	 228.89		 78.56   	 -30.52		
-36.62   	 79.47   	 279.75		 78.43   	 -30.52		
-36.32   	 80.59   	 320.45		 78.31   	 -20.35		
-33.26   	 81.87   	 345.88		 78.23   	 -15.26		
-28.08   	 83.26   	 345.88		 78.17   	  -5.09		
-21.67   	 84.64   	 330.62		 78.15(D)	  10.17		
-15.56   	 85.96   	 305.19		 78.19   	  25.43		
-11.29   	 87.18   	 274.67		 78.29   	  45.78		
 -7.02   	 88.28   	 244.15		 78.47   	  71.21		
 -2.44   	 89.26   	 208.54		 78.76   	  91.56		
  2.44   	 90.09   	 178.03		 79.12   	 122.07		
  6.10   	 90.80   	 132.25		 79.61   	 142.42		
  7.63   	 91.33   	  86.47		 80.18   	 167.85		
  8.54   	 91.68   	  30.52		 80.85   	 193.29		
 13.43   	 91.80   	 -15.26		 81.63   	 213.63		
 24.41   	 91.74   	 -55.95		 82.48   	 228.89		
 39.98   	 91.52   	 -76.30		 83.40   	 244.15		
 54.02   	 91.21   	 -61.04		 84.37   	 249.24		
 61.95   	 90.97   	 -20.35		 85.37   	 259.41		
 64.09   	 90.88   	  61.04		 86.41   	 254.32		
 64.70   	 91.13   	 142.42		 87.43   	 254.32		
 67.75   	 91.70   	 228.89		 88.44   	 249.24		
 73.85   	 92.61   	 289.93		 89.44   	 249.24		
 82.09   	 93.77   	 305.19		 90.44   	 244.15		
 91.86   	 94.99   	 289.93		 91.41   	 239.06		
104.68   	 96.15   	 233.98		 92.37   	 239.06		
121.15   	 97.09   	 157.68		 93.33   	 239.06		
138.85   	 97.72   	  76.30		 94.28   	 239.06		
153.81   	 98.03   	   0.00		 95.24   	 233.98		
162.05   	 98.03   	 -55.95		 96.17   	 233.98		
163.27   	 97.80   	 -96.64		 97.11   	 233.98		
159.91   	 97.42   	-101.73		 98.05   	 218.72		
155.33   	 97.01   	 -81.38		 98.92   	 213.63		
149.54   	 96.68   	 -40.69		 99.78   	 198.37		
140.69   	 96.52   	  10.17		100.57   	 178.03		
127.87   	 96.56   	  71.21		101.28   	 162.77		
112.00   	 96.85   	 111.90		101.93   	 137.33		
 95.83   	 97.29   	 137.33		102.48   	 122.07		
 81.79   	 97.84   	 142.42		102.97   	 101.73		
 70.50   	 98.41   	 127.16		103.38   	  81.38		
 58.90   	 98.92   	  96.64		103.70   	  76.30		
 44.25   	 99.31   	  66.12		104.01   	  61.04		
 25.94   	 99.57   	  40.69		104.25   	  61.04		
  4.88   	 99.74   	  30.52		104.50   	  50.86		
-14.04   	 99.86   	  35.61		104.70   	  50.86		
-28.08   	100.00   	  45.78		104.90   	  50.86		
-36.62   	100.18   	  50.86		105.11   	  50.86		
-41.50   	100.39   	  35.61		105.31   	  45.78		
-46.39   	100.53(S)	 -10.17		105.49   	  50.86		
-52.80   	100.49   	 -71.21		105.70   	  40.69		
-59.81   	100.20   	-137.33		105.86   	  45.78		
-65.92   	 99.65   	-188.20		106.04   	  35.61		
-70.50   	 98.90   	-213.63		106.18   	  30.52		
-75.38   	 98.05   	-193.29		106.31   	  30.52		
-81.18   	 97.27   	-142.42		106.43   	  25.43		
-87.59   	 96.70   	 -76.30		106.53   	  20.35		
-92.16   	 96.40   	   0.00		106.61   	  10.17		
-92.47   	 96.40   	  61.04		106.65   	  15.26		
-90.33   	 96.64   	 106.82		106.71   	   5.09		
-88.50   	 97.07   	 122.07		106.73(S)	   0.00		
-89.42   	 97.56   	 111.90		106.73   	   0.00		
-92.77   	 98.01   	  91.56		106.73   	 -10.17		
-94.30   	 98.37   	  50.86		106.69   	 -10.17		
-90.33   	 98.58   	  10.17		106.65   	 -15.26		
-83.01   	 98.62   	 -25.43		106.59   	 -20.35		
-76.90   	 98.51   	 -61.04		106.51   	 -20.35		
-76.29   	 98.27   	 -81.38		106.43   	 -25.43		
-81.18   	 97.94   	 -91.56		106.33   	 -25.43		
-88.20   	 97.58   	 -96.64		106.23   	 -25.43		
-91.86   	 97.19   	-106.82		106.12   	 -30.52		
-90.03   	 96.76   	-122.07		106.00   	 -30.52		
-83.92   	 96.28   	-132.25		105.88   	 -40.69		
-77.21   	 95.75   	-147.51		105.72   	 -50.86		
-72.94   	 95.16   	-157.68		105.51   	 -55.95		
-72.02   	 94.53   	-157.68		105.29   	 -71.21		
-74.16   	 93.90   	-147.51		105.00   	 -81.38		
-76.60   	 93.31   	-127.16		104.68   	 -91.56		
-76.60   	 92.80   	-101.73		104.31   	-106.82		
-74.16   	 92.39   	 -66.12		103.89   	-122.07		
-70.19   	 92.13   	 -40.69		103.40   	-127.16		
-67.44   	 91.96   	 -15.26		102.89   	-137.33		
-66.83   	 91.90   	  -5.09		102.34   	-147.51		
-68.36   	 91.88   	   5.09		101.75   	-152.59		
-70.80   	 91.90   	   5.09		101.14   	-152.59		
-73.55   	 91.92   	   0.00		100.53   	-152.59		
-75.99   	 91.92   	  -5.09		 99.92   	-147.51		
-77.51   	 91.90   	   0.00		 99.33   	-137.33		
-77.82   	 91.90   	   5.09		 98.78   	-137.33		
-76.60   	 91.92   	  20.35		 98.23   	-122.07		
-74.46   	 92.00   	  40.69		 97.74   	-106.82		
-72.33   	 92.17   	  61.04		 97.31   	 -96.64		
-71.11   	 92.41   	  81.38		 96.93   	 -86.47		
-71.41   	 92.74   	  86.47		 96.58   	 -66.12		
-72.33   	 93.08   	  91.56		 96.32   	 -55.95		
-73.24   	 93.45   	  76.30		 96.09   	 -45.78		
-73.55   	 93.75   	  61.04		 95.91   	 -30.52		
-72.94   	 94.00   	  35.61		 95.79   	 -20.35		
-71.72   	 94.14   	  20.35		 95.71   	 -15.26		
-70.50   	 94.22   	   0.00		 95.65   	  -5.09		
-69.89   	 94.22   	   0.00		 95.63   	  -5.09		
-70.19   	 94.22   	 -10.17		 95.60   	  -5.09		
-71.41   	 94.18   	   0.00		 95.58   	   0.00		
-72.63   	 94.18   	  -5.09		 95.58   	   0.00		
-73.24   	 94.16   	   5.09		 95.58   	   0.00		
-72.33   	 94.18   	  -5.09		 95.58   	  -5.09		
-69.58   	 94.16   	  -5.09		 95.56   	   0.00		
-66.22   	 94.14   	 -20.35		 95.56   	 -10.17		
-64.09   	 94.06   	 -30.52		 95.52   	  -5.09		
-65.00   	 93.94   	 -45.78		 95.50   	 -10.17		
-68.66   	 93.75   	 -50.86		 95.46   	 -15.26		
-73.24   	 93.55   	 -61.04		 95.40   	 -20.35		
-75.07   	 93.31   	 -55.95		 95.32   	 -15.26		
-73.85   	 93.08   	 -50.86		 95.26   	 -25.43		
-70.50   	 92.88   	 -45.78		 95.16   	 -25.43		
-68.36   	 92.70   	 -35.61		 95.06   	 -25.43		
-67.75   	 92.55   	 -35.61		 94.95   	 -25.43		
-67.14   	 92.41   	 -35.61		 94.85   	 -30.52		
-63.17   	 92.27   	 -40.69		 94.73   	 -35.61		
-54.93   	 92.11   	 -45.78		 94.59   	 -30.52		
-44.25   	 91.92   	 -55.95		 94.47   	 -35.61		
-35.10   	 91.70   	 -66.12		 94.32   	 -40.69		
-28.99   	 91.43   	 -66.12		 94.16   	 -40.69		
-25.63   	 91.17   	 -71.21		 94.00   	 -40.69		
-22.28   	 90.88   	 -66.12		 93.83   	 -45.78		
-17.70   	 90.62   	 -66.12		 93.65   	 -45.78		
-12.82   	 90.36   	 -55.95		 93.47   	 -50.86		
 -8.85   	 90.13   	 -50.86		 93.27   	 -45.78		
 -7.02   	 89.93   	 -45.78		 93.08   	 -55.95		
 -5.80   	 89.75   	 -45.78		 92.86   	 -50.86		
 -3.97   	 89.56   	 -50.86		 92.65   	 -50.86		
  0.00   	 89.36   	 -50.86		 92.45   	 -55.95		
  5.80   	 89.16   	 -55.95		 92.23   	 -50.86		
 11.60   	 88.93   	 -55.95		 92.02   	 -55.95		
 14.95   	 88.71   	 -55.95		 91.80   	 -50.86		
 13.43   	 88.48   	 -55.95		 91.60   	 -50.86		
  6.71   	 88.26   	 -50.86		 91.39   	 -55.95		
 -4.27   	 88.06   	 -50.86		 91.17   	 -50.86		
-17.70   	 87.85   	 -45.78		 90.97   	 -50.86		
-33.26   	 87.67   	 -40.69		 90.76   	 -50.86		
-50.96   	 87.51   	 -40.69		 90.56   	 -50.86		
-68.36   	 87.34   	 -40.69		 90.36   	 -45.78		
-82.40   	 87.18   	 -40.69		 90.17   	 -50.86		
-89.42   	 87.02   	 -35.61		 89.97   	 -45.78		
-89.42   	 86.88   	 -45.78		 89.79   	 -45.78		
-86.67   	 86.69   	 -40.69		 89.60   	 -50.86		
-84.84   	 86.53   	 -50.86		 89.40   	 -45.78		
-85.45   	 86.33   	 -45.78		 89.22   	 -45.78		
-86.36   	 86.14   	 -55.95		 89.03   	 -45.78		
-85.45   	 85.92   	 -45.78		 88.85   	 -45.78		
-83.01   	 85.74   	 -50.86		 88.67   	 -45.78		
-81.79   	 85.53   	 -45.78		 88.48   	 -45.78		
-82.70   	 85.35   	 -45.78		 88.30   	 -45.78		
-84.23   	 85.17   	 -40.69		 88.12   	 -50.86		
-82.70   	 85.00   	 -35.61		 87.91   	 -45.78		
-77.21   	 84.86   	 -35.61		 87.73   	 -50.86		
-70.80   	 84.72   	 -30.52		 87.53   	 -50.86		
-70.19   	 84.60   	 -30.52		 87.32   	 -45.78		
-78.74   	 84.48   	 -25.43		 87.14   	 -45.78		
-95.52   	 84.37   	 -30.52		 86.96   	 -45.78		
-115.36   	 84.25   	 -30.52		 86.77   	 -45.78		
-134.89   	 84.13   	 -30.52		 86.59   	 -40.69		
-151.06   	 84.01   	 -35.61		 86.43   	 -40.69		
-161.13   	 83.87   	 -45.78		 86.27   	 -40.69		
-159.00   	 83.68   	 -45.78		 86.10   	 -40.69		
-131.84   	 83.50   	 -50.86		 85.94   	 -35.61		
-62.26   	 83.30   	 -55.95		 85.80   	 -40.69		
 61.95   	 83.07   	 -55.95		 85.64   	 -35.61		
240.17   	 82.85   	 -61.04		 85.49   	 -35.61		
452.88   	 82.60   	 -61.04		 85.35   	 -35.61		
653.38   	 82.36   	 -66.12		 85.21   	 -40.69		
777.89   	 82.10   	 -66.12		 85.05   	 -40.69		
779.11(R)	 81.83   	 -66.12		 84.88   	 -45.78		
658.87   	 81.57   	 -66.12		 84.70   	 -40.69		
478.21   	 81.30   	 -61.04		 84.54   	 -45.78		
324.71   	 81.06   	 -61.04		 84.35   	 -50.86		
257.26   	 80.81   	 -50.86		 84.15   	 -45.78		
268.25   	 80.61   	 -40.69		 83.97   	 -50.86		
299.99   	 80.45   	 -35.61		 83.76   	 -50.86		
293.58   	 80.30   	 -25.43		 83.56   	 -45.78		
231.02   	 80.20   	 -20.35		 83.38   	 -50.86		
133.97   	 80.12   	 -15.26		 83.17   	 -45.78		
 36.62   	 80.06   	 -15.26		 82.99   	 -45.78		
-36.01   	 80.00   	 -15.26		 82.81   	 -40.69		
-75.38   	 79.94   	 -10.17		 82.64   	 -40.69		
-84.84   	 79.90   	 -10.17		 82.48   	 -40.69		
-73.85   	 79.86   	  -5.09		 82.32   	 -35.61		
-56.76   	 79.84   	  -5.09		 82.18   	 -35.61		
-47.30   	 79.82   	  -5.09		 82.03   	 -30.52		
-49.13   	 79.80(D)	   5.09		 81.91   	 -30.52		
-57.07   	 79.82   	  25.43		 81.79   	 -30.52		
-61.04   	 79.92   	  55.95		 81.67   	 -30.52		
-58.59   	 80.14   	  96.64		 81.55   	 -30.52		
-54.32   	 80.53   	 152.59		 81.42   	 -25.43		
-53.41   	 81.14   	 213.63		 81.32   	 -25.43		
-56.15   	 81.99   	 259.41		 81.22   	 -25.43		
-58.90   	 83.03   	 310.27		 81.12   	 -25.43		
-57.68   	 84.27   	 335.71		 81.02   	 -15.26		
-50.96   	 85.62   	 335.71		 80.96   	 -10.17		
-41.50   	 86.96   	 320.45		 80.92(D)	   0.00		
-32.65   	 88.24   	 289.93		 80.92   	  15.26		
-26.25   	 89.40   	 254.32		 80.98   	  30.52		
-22.89   	 90.42   	 223.80		 81.10   	  50.86		
-21.97   	 91.31   	 203.46		 81.30   	  71.21		
-21.36   	 92.13   	 188.20		 81.59   	  96.64		
-18.62   	 92.88   	 167.85		 81.97   	 127.16		
-12.82   	 93.55   	 127.16		 82.48   	 147.51		
 -5.49   	 94.06   	  71.21		 83.07   	 178.03		
  1.22   	 94.34   	 -10.17		 83.78   	 193.29		
  5.80   	 94.30   	 -81.38		 84.56   	 218.72		
  9.46   	 93.98   	-132.25		 85.43   	 228.89		
 14.04   	 93.45   	-147.51		 86.35   	 244.15		
 20.45   	 92.86   	-111.90		 87.32   	 244.15		
 28.08   	 92.41   	 -40.69		 88.30   	 244.15		
 35.40   	 92.25   	  55.95		 89.28   	 239.06		
 41.81   	 92.47   	 152.59		 90.23   	 233.98		
 47.91   	 93.08   	 228.89		 91.17   	 233.98		
 54.93   	 94.00   	 274.67		 92.11   	 223.80		
 63.48   	 95.10   	 284.84		 93.00   	 223.80		
 73.85   	 96.24   	 259.41		 93.90   	 218.72		
 85.14   	 97.27   	 223.80		 94.77   	 223.80		
 96.44   	 98.17   	 183.11		 95.67   	 228.89		
105.59   	 98.90   	 137.33		 96.58   	 228.89		
113.22   	 99.45   	 111.90		 97.50   	 239.06		
119.63   	 99.90   	  86.47		 98.45   	 239.06		
125.73   	100.24   	  76.30		 99.41   	 239.06		
131.23   	100.55   	  71.21		100.37   	 233.98		
134.58   	100.83   	  81.38		101.30   	 228.89		
133.36   	101.16   	  91.56		102.22   	 218.72		
126.65   	101.53   	 106.82		103.09   	 198.37		
116.58   	101.95   	 111.90		103.89   	 183.11		
105.29   	102.40   	 111.90		104.62   	 162.77		
 93.38   	102.85   	  86.47		105.27   	 142.42		
 80.87   	103.19   	  45.78		105.84   	 122.07		
 67.14   	103.38   	  10.17		106.33   	 111.90		
 52.49   	103.42   	 -20.35		106.77   	 101.73		
 37.84   	103.34   	 -20.35		107.18   	  91.56		
 24.11   	103.25   	  -5.09		107.55   	  91.56		
 10.68   	103.23   	  20.35		107.91   	  91.56		
 -3.36   	103.32   	  45.78		108.28   	  86.47		
-18.01   	103.50   	  61.04		108.63   	  91.56		
-31.13   	103.74   	  61.04		108.99   	  86.47		
-41.50   	103.99   	  55.95		109.34   	  81.38		
-48.22   	104.21   	  40.69		109.66   	  76.30		
-52.19   	104.37   	  10.17		109.97   	  61.04		
-56.15   	104.41(S)	 -30.52		110.21   	  55.95		
-60.42   	104.29   	 -66.12		110.44   	  45.78		
-64.70   	104.03   	 -96.64		110.62   	  35.61		
-69.27   	103.64   	-106.82		110.76   	  20.35		
-73.55   	103.21   	-101.73		110.84   	  10.17		
-77.51   	102.81   	 -66.12		110.88   	   5.09		
-81.48   	102.54   	 -20.35		110.90(S)	   0.00		
-84.53   	102.46   	  20.35		110.90   	  -5.09		
-86.36   	102.54   	  61.04		110.88   	 -10.17		
