  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-285.64   	-532.53   	 43.11   	 879.96		 67.18   	 -25.43		
-339.97   	-496.22   	 46.63   	1007.12		 67.08   	 -25.43		
-357.36   	-485.23   	 50.66   	1068.15		 66.98   	 -25.43		
-353.39   	-490.11   	 54.93   	1057.98		 66.88   	 -25.43		
-346.68   	-496.83   	 59.17   	 981.68		 66.77   	 -30.52		
-347.60   	-497.44   	 63.09   	 864.70		 66.65   	 -25.43		
-355.22   	-489.50   	 66.55   	 737.54		 66.55   	 -30.52		
-359.19   	-473.94   	 69.50   	 635.81		 66.43   	 -30.52		
-350.34   	-448.91   	 72.04   	 590.03		 66.31   	 -30.52		
-323.79   	-411.07   	 74.40   	 579.86		 66.18   	 -35.61		
-281.98   	-355.83   	 76.72   	 590.03		 66.04   	 -40.69		
-230.41   	-283.51   	 79.08   	 600.20		 65.88   	 -35.61		
-174.56   	-199.89   	 81.48   	 564.60		 65.74   	 -40.69		
-120.24   	-116.27   	 83.74   	 467.95		 65.57   	 -35.61		
-72.02   	-44.25   	 85.62   	 325.53		 65.43   	 -35.61		
-35.10   	  8.24   	 86.92   	 157.68		 65.29   	 -30.52		
-11.90   	 39.98   	 87.55   	  20.35		 65.17   	 -25.43		
 -0.31   	 56.46   	 87.63   	 -30.52		 65.07   	 -25.43		
  5.19   	 65.31   	 87.51   	  45.78		 64.96   	 -20.35		
  9.16   	 71.72   	 87.69   	 239.06		 64.88   	 -20.35		
 13.73   	 77.21   	 88.65   	 523.90		 64.80   	 -20.35		
 18.62   	 81.48   	 90.74   	 783.31		 64.72   	 -20.35		
 21.97   	 83.31   	 93.88   	 946.08		 64.64   	 -15.26		
 23.80   	 82.70   	 97.66   	 920.65		 64.58   	 -20.35		
 25.33   	 81.18   	101.34   	 696.84		 64.50   	 -25.43		
 26.86   	 80.26   	104.13   	 325.53		 64.39   	 -20.35		
 28.99   	 79.35   	105.43(S)	-106.82		 64.31   	 -25.43		
 30.52   	 79.04   	105.00   	-467.95		 64.21   	 -25.43		
 31.43   	 78.43   	103.13   	-666.32		 64.11   	 -25.43		
 31.43   	 77.21   	100.47   	-645.98		 64.01   	 -20.35		
 31.13   	 75.07   	 97.88   	-437.43		 63.93   	 -15.26		
 30.82   	 71.72   	 96.13   	-127.16		 63.87   	 -10.17		
 30.52   	 68.05   	 95.63   	 147.51		 63.82   	   5.09		
 30.21   	 64.70   	 96.22   	 289.93		 63.85   	  25.43		
 29.91   	 62.26   	 97.37   	 223.80		 63.95   	  61.04		
 29.30   	 60.12   	 98.27   	 -20.35		 64.19   	 106.82		
 28.99   	 57.07   	 98.19   	-340.79		 64.62   	 183.11		
 28.69   	 53.41   	 96.83   	-620.55		 65.35   	 274.67		
 28.69   	 48.52   	 94.34   	-752.79		 66.45   	 381.48		
 27.77   	 43.33   	 91.33   	-666.32		 67.98   	 478.13		
 26.25   	 38.15   	 88.67   	-401.83		 69.89   	 554.42		
 23.80   	 32.96   	 87.06   	 -30.52		 72.11   	 615.46		
 21.36   	 28.08   	 86.94   	 335.71		 74.57   	 635.81		
 19.53   	 23.19   	 88.28   	 615.46		 77.11   	 640.89		
 18.01   	 18.01   	 90.74   	 727.36		 79.67   	 620.55		
 16.78   	 12.21   	 93.65   	 635.81		 82.16   	 595.11		
 14.34   	  5.80   	 96.19   	 320.45		 84.54   	 559.51		
 11.29   	 -1.83   	 97.48   	-172.94		 86.77   	 518.82		
  7.32   	-10.38   	 96.78   	-722.28		 88.85   	 493.39		
  3.66   	-19.84   	 93.90   	-1164.80		 90.82   	 452.69		
  0.00   	-30.21   	 89.24   	-1373.34		 92.63   	 432.35		
 -2.75   	-40.28   	 83.74   	-1276.70		 94.36   	 406.92		
 -5.19   	-49.74   	 78.64   	-895.22		 95.99   	 386.57		
 -7.32   	-58.59   	 75.06   	-371.31		 97.54   	 361.14		
 -9.16   	-66.83   	 73.57   	 147.51		 98.98   	 340.79		
-10.38   	-75.07   	 74.16   	 498.47		100.35   	 315.36		
-10.68   	-82.70   	 76.15   	 595.11		101.61   	 284.84		
-10.07   	-90.03   	 78.53   	 452.69		102.75   	 254.32		
 -8.54   	-96.44   	 80.35   	 142.42		103.76   	 228.89		
 -6.10   	-101.32   	 80.92   	-188.20		104.68   	 203.46		
 -2.44   	-104.98   	 80.16   	-422.18		105.49   	 172.94		
  2.44   	-106.51   	 78.47   	-483.21		106.18   	 152.59		
  9.46   	-106.51   	 76.54   	-350.97		106.80   	 137.33		
 18.01   	-104.37   	 75.14   	 -71.21		107.34   	 111.90		
 27.77   	-99.79   	 74.85   	 249.24		107.79   	  96.64		
 38.76   	-92.47   	 75.85   	 503.56		108.18   	  76.30		
 51.27   	-82.09   	 77.86   	 615.46		108.48   	  55.95		
 64.70   	-68.66   	 80.33   	 564.60		108.71   	  30.52		
 78.43   	-52.80   	 82.58   	 401.83		108.83   	  10.17		
 92.16   	-35.10   	 84.19   	 183.11		108.87   	 -20.35		
105.29   	-15.56   	 84.92   	 -15.26		108.79   	 -45.78		
117.49   	  5.19   	 84.86   	-132.25		108.61   	 -66.12		
128.17   	 27.47   	 84.33   	-157.68		108.34   	 -96.64		
137.33   	 50.35   	 83.70   	 -81.38		107.95   	-111.90		
145.26   	 73.55   	 83.38   	  61.04		107.51   	-137.33		
151.67   	 95.83   	 83.62   	 218.72		106.96   	-147.51		
156.86   	116.58   	 84.50   	 340.79		106.37   	-167.85		
160.22   	135.50   	 85.86   	 381.48		105.70   	-178.03		
162.05   	151.37   	 87.39   	 315.36		104.98   	-193.29		
162.35   	164.49   	 88.65   	 162.77		104.21   	-198.37		
161.44   	175.17   	 89.30   	 -30.52		103.42   	-203.46		
159.91   	184.02   	 89.18   	-198.37		102.60   	-213.63		
158.39   	191.65   	 88.38   	-295.01		101.75   	-213.63		
157.17   	198.97   	 87.20   	-295.01		100.89   	-218.72		
155.64   	205.08   	 86.02   	-208.54		100.02   	-218.72		
154.11   	209.35   	 85.19   	 -86.47		 99.15   	-213.63		
152.89   	211.79   	 84.84   	  25.43		 98.29   	-213.63		
151.67   	212.71   	 84.94   	  71.21		 97.44   	-213.63		
150.45   	213.32   	 85.23   	  35.61		 96.58   	-203.46		
149.23   	213.93   	 85.37   	 -81.38		 95.77   	-198.37		
147.71   	214.23   	 85.05   	-254.32		 94.97   	-193.29		
145.57   	213.93   	 84.03   	-478.13		 94.20   	-188.20		
143.43   	213.01   	 82.12   	-762.97		 93.45   	-172.94		
141.91   	212.10   	 79.06   	-1098.67		 92.76   	-167.85		
140.99   	210.57   	 74.67   	-1454.72		 92.09   	-157.68		
140.08   	209.35   	 68.85   	-1744.65		 91.45   	-147.51		
139.47   	207.82   	 61.87   	-1902.33		 90.86   	-137.33		
138.24   	205.99   	 54.26   	-1881.99		 90.32   	-127.16		
137.33   	204.16   	 46.73   	-1693.79		 89.81   	-122.07		
136.11   	202.33   	 39.96   	-1378.43		 89.32   	-106.82		
135.19   	200.50   	 34.45   	-996.94		 88.89   	-101.73		
133.67   	198.36   	 30.46   	-640.89		 88.48   	 -96.64		
132.14   	196.23   	 27.89   	-350.97		 88.10   	 -86.47		
130.31   	193.48   	 26.49   	-152.59		 87.75   	 -81.38		
128.48   	191.04   	 25.88   	 -50.86		 87.43   	 -76.30		
126.65   	187.99   	 25.68   	 -40.69		 87.12   	 -76.30		
125.12   	185.24   	 25.51   	 -81.38		 86.82   	 -71.21		
123.90   	182.19   	 25.19   	-157.68		 86.53   	 -71.21		
122.07   	179.14   	 24.56   	-228.89		 86.25   	 -71.21		
119.93   	175.17   	 23.64   	-274.67		 85.96   	 -71.21		
117.49   	171.20   	 22.54   	-289.93		 85.68   	 -76.30		
115.36   	166.93   	 21.38   	-264.50		 85.37   	 -76.30		
113.22   	163.27   	 20.33   	-228.89		 85.07   	 -86.47		
111.39   	160.22   	 19.41   	-178.03		 84.72   	 -86.47		
108.95   	157.78   	 18.70   	-137.33		 84.37   	 -96.64		
105.90   	155.33   	 18.15   	-106.82		 83.99   	-101.73		
102.23   	152.89   	 17.72   	 -91.56		 83.58   	-101.73		
 96.44   	149.23   	 17.35   	 -81.38		 83.17   	-106.82		
 90.94   	144.96   	 17.03   	 -71.21		 82.75   	-111.90		
 87.89   	143.13   	 16.74   	 -66.12		 82.30   	-111.90		
 87.89   	144.35   	 16.48   	 -50.86		 81.85   	-111.90		
 87.89   	147.40   	 16.28   	 -50.86		 81.40   	-111.90		
 86.36   	148.32   	 16.07   	 -40.69		 80.96   	-101.73		
 86.98   	148.32   	 15.91   	 -40.69		 80.55   	 -96.64		
 84.53   	147.40   	 15.75   	 -30.52		 80.16   	 -86.47		
 81.79   	147.09   	 15.63   	 -20.35		 79.82   	 -81.38		
 82.40   	147.71   	 15.54   	 -15.26		 79.49   	 -76.30		
 83.31   	148.93   	 15.48   	 -15.26		 79.19   	 -66.12		
 85.75   	152.89   	 15.42   	 -10.17		 78.92   	 -61.04		
 86.06   	152.89   	 15.38   	 -15.26		 78.68   	 -55.95		
 89.11   	154.11   	 15.32   	 -15.26		 78.45   	 -50.86		
 86.67   	156.86   	 15.26   	 -30.52		 78.25   	 -45.78		
 87.28   	155.64   	 15.14   	 -30.52		 78.07   	 -50.86		
 89.42   	155.94   	 15.02   	 -35.61		 77.86   	 -45.78		
 90.94   	158.69   	 14.87   	 -25.43		 77.68   	 -40.69		
 94.60   	159.30   	 14.77   	 -15.26		 77.52   	 -45.78		
 94.60   	160.22   	 14.71(D)	   0.00		 77.33   	 -40.69		
 93.38   	162.66   	 14.71   	  25.43		 77.17   	 -45.78		
 92.77   	160.83   	 14.81   	  40.69		 76.99   	 -40.69		
 91.25   	160.22   	 14.97   	  55.95		 76.83   	 -45.78		
 93.08   	162.05   	 15.20   	  71.21		 76.64   	 -40.69		
 95.83   	163.88   	 15.48   	  76.30		 76.48   	 -45.78		
 97.66   	167.24   	 15.79   	  91.56		 76.30   	 -45.78		
 96.74   	167.85   	 16.15   	  96.64		 76.11   	 -45.78		
 97.35   	169.07   	 16.54   	 101.73		 75.93   	 -45.78		
 97.96   	169.98   	 16.95   	 111.90		 75.75   	 -40.69		
 98.88   	170.59   	 17.40   	 116.99		 75.58   	 -45.78		
106.20   	175.17   	 17.86   	 111.90		 75.40   	 -40.69		
119.63   	180.36   	 18.31   	 106.82		 75.24   	 -40.69		
132.75   	188.29   	 18.74   	  86.47		 75.08   	 -35.61		
152.28   	195.92   	 19.08   	  50.86		 74.93   	 -40.69		
172.42   	198.67   	 19.29   	  15.26		 74.77   	 -35.61		
183.11   	202.33   	 19.35   	 -20.35		 74.63   	 -35.61		
193.48   	200.20   	 19.27   	 -45.78		 74.49   	 -35.61		
195.01   	200.20   	 19.08   	 -55.95		 74.34   	 -30.52		
190.73   	205.08   	 18.86   	 -55.95		 74.22   	 -30.52		
191.35   	213.01   	 18.64   	 -35.61		 74.10   	 -30.52		
196.53   	224.61   	 18.49   	 -10.17		 73.98   	 -25.43		
214.23   	235.90   	 18.45   	  20.35		 73.88   	 -30.52		
239.56   	245.67   	 18.54   	  35.61		 73.75   	 -25.43		
