  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 14.34   	-12.51   	 77.84   	 -66.12		 61.14   	 -45.78		
 15.87   	-16.17   	 77.58   	 -71.21		 60.96   	 -50.86		
 16.17   	-19.23   	 77.29   	 -66.12		 60.75   	 -40.69		
 14.65   	-20.14   	 77.03   	 -66.12		 60.59   	 -20.35		
 12.82   	-17.09   	 76.76   	 -71.21		 60.51   	 -20.35		
 14.04   	-10.99   	 76.48   	 -76.30		 60.43   	 -66.12		
 18.62   	 -4.58   	 76.17   	 -76.30		 60.16   	 -71.21		
 23.50   	 -2.14   	 75.87   	 -76.30		 59.88   	 -40.69		
 24.41   	 -4.58   	 75.56   	 -81.38		 59.71   	 -35.61		
 19.53   	-11.60   	 75.24   	 -81.38		 59.57   	 -25.43		
 11.60   	-19.23   	 74.91   	 -76.30		 59.47   	 -40.69		
  4.58   	-22.89   	 74.61   	 -81.38		 59.31   	 -45.78		
  0.61   	-21.06   	 74.28   	 -71.21		 59.12   	 -55.95		
  2.44   	-16.17   	 74.00   	 -71.21		 58.90   	 -40.69		
  9.16   	-10.07   	 73.71   	 -71.21		 58.74   	 -35.61		
 18.92   	 -5.80   	 73.43   	 -71.21		 58.60   	 -40.69		
 27.77   	 -3.97   	 73.14   	 -66.12		 58.43   	 -40.69		
 31.13   	 -3.36   	 72.88   	 -71.21		 58.27   	 -45.78		
 26.25   	 -3.66   	 72.59   	 -66.12		 58.09   	 -50.86		
 15.87   	 -6.41   	 72.33   	 -71.21		 57.88   	 -45.78		
  4.88   	-11.90   	 72.04   	 -66.12		 57.70   	 -40.69		
 -1.53   	-17.40   	 71.78   	 -71.21		 57.54   	 -35.61		
 -1.53   	-20.14   	 71.50   	 -71.21		 57.40   	 -35.61		
  2.44   	-18.62   	 71.21   	 -71.21		 57.25   	 -35.61		
  7.63   	-13.43   	 70.93   	 -71.21		 57.11   	 -40.69		
 12.51   	 -9.16   	 70.64   	 -66.12		 56.95   	 -35.61		
 16.17   	 -7.63   	 70.38   	 -66.12		 56.81   	 -35.61		
 18.31   	 -8.85   	 70.11   	 -61.04		 56.66   	 -30.52		
 19.23   	-10.38   	 69.87   	 -66.12		 56.54   	 -30.52		
 17.09   	-10.38   	 69.60   	 -61.04		 56.42   	 -35.61		
 10.99   	 -9.16   	 69.36   	 -55.95		 56.28   	 -35.61		
  3.97   	 -7.32   	 69.14   	 -61.04		 56.13   	 -40.69		
 -1.53   	 -6.41   	 68.89   	 -61.04		 55.97   	 -35.61		
 -0.92   	 -5.80   	 68.65   	 -55.95		 55.83   	 -35.61		
  6.10   	 -5.19   	 68.42   	 -61.04		 55.69   	 -40.69		
 16.17   	 -6.10   	 68.18   	 -61.04		 55.52   	 -40.69		
 23.50   	 -8.24   	 67.93   	 -61.04		 55.36   	 -35.61		
 24.41   	-10.99   	 67.69   	 -55.95		 55.22   	 -35.61		
 18.01   	-14.04   	 67.47   	 -61.04		 55.08   	 -40.69		
  7.63   	-15.87   	 67.22   	 -55.95		 54.91   	 -35.61		
 -0.31   	-16.17   	 67.00   	 -61.04		 54.77   	 -35.61		
 -1.53   	-14.65   	 66.75   	 -55.95		 54.63   	 -35.61		
  4.88   	-12.51   	 66.53   	 -55.95		 54.49   	 -40.69		
 13.73   	-10.99   	 66.31   	 -50.86		 54.32   	 -35.61		
 20.45   	-10.99   	 66.10   	 -55.95		 54.18   	 -30.52		
 22.58   	-12.21   	 65.88   	 -50.86		 54.06   	 -35.61		
 21.67   	-12.51   	 65.68   	 -50.86		 53.92   	 -25.43		
 20.45   	-10.99   	 65.47   	 -50.86		 53.81   	 -40.69		
 18.92   	 -7.93   	 65.27   	 -45.78		 53.65   	 -35.61		
 14.34   	 -5.49   	 65.09   	 -50.86		 53.51   	 -40.69		
  7.02   	 -3.05   	 64.88   	 -45.78		 53.35   	 -35.61		
  0.61   	  3.05   	 64.70   	 -45.78		 53.20   	 -35.61		
  0.92   	 16.48   	 64.52   	 -40.69		 53.06   	 -25.43		
 10.38   	 37.84   	 64.35   	 -45.78		 52.96   	 -35.61		
 23.19   	 61.34   	 64.17   	 -45.78		 52.82   	 -40.69		
 31.43   	 79.65   	 63.99   	 -40.69		 52.65   	 -40.69		
 30.52   	 88.81   	 63.82   	 -45.78		 52.49   	 -35.61		
 22.58   	 89.72   	 63.64   	 -40.69		 52.35   	 -35.61		
 13.73   	 87.59   	 63.48   	 -45.78		 52.21   	 -30.52		
  8.24   	 87.28   	 63.30   	 -45.78		 52.09   	 -30.52		
  6.10   	 90.64   	 63.11   	 -40.69		 51.96   	 -35.61		
  6.10   	 99.18   	 62.95   	 -45.78		 51.82   	 -35.61		
 10.68   	114.14   	 62.77   	 -40.69		 51.68   	 -30.52		
 22.28   	134.58   	 62.60   	 -45.78		 51.56   	 -35.61		
 40.28   	155.94   	 62.42   	 -40.69		 51.41   	 -40.69		
 58.29   	170.90   	 62.26   	 -40.69		 51.25   	 -45.78		
 68.36   	173.95   	 62.10   	 -40.69		 51.07   	 -45.78		
 68.36   	167.54   	 61.93   	 -35.61		 50.88   	 -30.52		
 63.48   	160.83   	 61.79   	 -40.69		 50.76   	 -35.61		
 59.81   	162.35   	 61.63   	 -35.61		 50.62   	 -40.69		
 59.20   	171.20   	 61.49   	 -30.52		 50.46   	 -40.69		
 57.37   	178.83   	 61.36   	 -35.61		 50.29   	 -35.61		
 49.74   	174.56   	 61.22   	 -35.61		 50.15   	 -30.52		
 37.54   	154.42   	 61.08   	 -30.52		 50.03   	   0.00		
 24.72   	120.24   	 60.96   	 -30.52		 50.03   	  45.78		
 14.04   	 78.74   	 60.83   	 -35.61		 50.21   	 -20.35		
  7.02   	 37.23   	 60.69   	 -30.52		 50.13   	-106.82		
  3.05   	  3.97   	 60.57   	 -30.52		 49.70   	 -81.38		
  1.83   	-17.40   	 60.45   	 -30.52		 49.38   	 -40.69		
  4.27   	-25.63   	 60.33   	 -30.52		 49.22   	 -20.35		
 10.38   	-25.94   	 60.20   	 -30.52		 49.14   	  -5.09		
 15.56   	-25.94   	 60.08   	 -30.52		 49.11   	  -5.09		
 17.09   	-29.30   	 59.96   	 -30.52		 49.09   	 -15.26		
 15.26   	-33.87   	 59.84   	 -30.52		 49.03   	 -25.43		
 10.99   	-38.15   	 59.71   	 -30.52		 48.93   	 -25.43		
  5.49   	-41.81   	 59.59   	 -25.43		 48.83   	 -10.17		
 -0.31   	-47.00   	 59.49   	 -30.52		 48.79   	 -20.35		
 -5.80   	-54.93   	 59.37   	 -30.52		 48.71   	 -15.26		
 -8.24   	-64.09   	 59.25   	 -30.52		 48.65   	 -10.17		
 -6.10   	-71.11   	 59.12   	 -25.43		 48.61   	   5.09		
 -0.31   	-75.68   	 59.02   	 -30.52		 48.63   	   0.00		
  4.58   	-80.57   	 58.90   	 -30.52		 48.63   	 -10.17		
  3.97   	-87.28   	 58.78   	 -25.43		 48.59   	 -30.52		
 -4.58   	-94.30   	 58.68   	 -25.43		 48.46   	 -35.61		
-18.01   	-94.60   	 58.58   	 -30.52		 48.32   	 -30.52		
-27.77   	-78.74   	 58.45   	 -25.43		 48.20   	 -15.26		
-22.28   	-33.57   	 58.35   	 -30.52		 48.14   	 -10.17		
  8.85   	 57.68   	 58.23   	 -30.52		 48.10   	 -15.26		
 68.97   	213.01   	 58.11   	 -30.52		 48.04   	 -61.04		
154.72   	446.78   	 57.99   	 -35.61		 47.79   	 -66.12		
256.04   	747.38   	 57.84   	 -35.61		 47.53   	 -50.86		
355.53   	1047.67   	 57.70   	 -76.30		 47.32   	 -35.61		
451.97   	1210.33(R)	 57.40   	 -35.61		 47.18   	 -15.26		
413.51   	945.43   	 57.25   	 -40.69		 47.12   	 -25.43		
325.32   	518.80   	 57.09   	 -35.61		 47.02   	 -45.78		
222.78   	 86.98   	 56.95   	 -30.52		 46.84   	 -45.78		
142.52   	-207.82   	 56.83   	 -35.61		 46.65   	 -35.61		
100.71   	-313.42   	 56.68   	 -30.52		 46.51   	 -20.35		
 84.53   	-272.83   	 56.56   	 -30.52		 46.43   	 -25.43		
 68.97   	-171.51   	 56.44   	 -30.52		 46.33   	 -40.69		
 39.37   	-86.36   	 56.32   	 -25.43		 46.16   	 -55.95		
  0.61   	-51.57   	 56.22   	 -25.43		 45.94   	 -45.78		
-31.13   	-60.12   	 56.11   	 -20.35		 45.76   	 -25.43		
-43.33   	-89.72   	 56.03   	 -10.17		 45.66   	   0.00		
-37.23   	-121.46   	 55.99   	  -5.09		 45.66   	 -10.17		
-22.89   	-144.35   	 55.97(D)	  15.26		 45.62   	 -25.43		
-12.51   	-155.33   	 56.03   	  25.43		 45.51   	 -30.52		
-11.60   	-158.39   	 56.13   	  40.69		 45.39   	 -10.17		
-17.70   	-158.39   	 56.30   	  66.12		 45.35   	  20.35		
-25.94   	-157.78   	 56.56   	  86.47		 45.43   	  25.43		
-30.21   	-155.33   	 56.91   	 106.82		 45.53   	 -25.43		
-28.99   	-150.45   	 57.33   	 122.07		 45.43   	 -61.04		
-25.94   	-144.65   	 57.82   	 147.51		 45.19   	 -61.04		
-26.25   	-140.38   	 58.41   	 167.85		 44.94   	 -20.35		
-29.30   	-139.16   	 59.08   	 198.37		 44.86   	  10.17		
-31.74   	-140.69   	 59.88   	 228.89		 44.90   	   5.09		
-29.60   	-143.74   	 60.79   	 269.58		 44.92   	 -40.69		
-23.50   	-148.32   	 61.87   	 305.19		 44.76   	 -76.30		
-18.31   	-152.89   	 63.09   	 330.62		 44.46   	 -50.86		
-19.84   	-156.25   	 64.41   	 345.88		 44.25(D)	  15.26		
-26.86   	-157.78   	 65.80   	 340.79		 44.31   	  55.95		
-33.87   	-155.64   	 67.16   	 330.62		 44.54   	  20.35		
