  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-19.84   	 36.01   	 44.33   	-839.26		141.71   	-386.57		
-17.70   	 36.01   	 40.98   	-768.05		140.16   	-366.22		
-17.70   	 38.45   	 37.90   	-701.93		138.70   	-350.97		
-19.23   	 41.20   	 35.10   	-630.72		137.29   	-335.71		
-19.84   	 41.20   	 32.57   	-574.77		135.95   	-325.53		
-16.17   	 36.62   	 30.27   	-518.82		134.65   	-305.19		
 -8.24   	 30.52   	 28.20   	-457.78		133.43   	-300.10		
  2.14   	 28.38   	 26.37   	-417.09		132.23   	-279.75		
 11.29   	 33.26   	 24.70   	-371.31		131.11   	-274.67		
 16.48   	 43.33   	 23.21   	-335.71		130.01   	-259.41		
 18.31   	 51.57   	 21.87   	-300.10		128.97   	-254.32		
 17.09   	 51.88   	 20.67   	-269.58		127.95   	-239.06		
 12.82   	 40.89   	 19.59   	-239.06		127.00   	-233.98		
  4.27   	 20.14   	 18.64   	-213.63		126.06   	-223.80		
 -7.63   	 -6.71   	 17.78   	-183.11		125.17   	-218.72		
-20.75   	-38.15   	 17.05   	-152.59		124.29   	-208.54		
-31.13   	-72.94   	 16.44   	-132.25		123.46   	-203.46		
-36.32   	-108.03   	 15.91   	-111.90		122.64   	-198.37		
-36.62   	-137.94   	 15.46   	 -96.64		121.85   	-188.20		
-34.48   	-157.47   	 15.08   	 -76.30		121.10   	-183.11		
-32.65   	-164.79   	 14.77   	 -66.12		120.37   	-178.03		
-32.35   	-163.57   	 14.51   	 -50.86		119.65   	-172.94		
-32.35   	-160.22   	 14.30   	 -35.61		118.96   	-167.85		
-31.74   	-159.00   	 14.16   	 -25.43		118.29   	-162.77		
-29.30   	-159.91   	 14.06   	 -10.17		117.64   	-157.68		
-27.47   	-161.13   	 14.02(D)	   5.09		117.01   	-157.68		
-27.47   	-161.44   	 14.04   	   5.09		116.38   	-147.51		
-30.82   	-162.05   	 14.06   	  15.26		115.79   	-147.51		
-34.79   	-164.18   	 14.12   	  20.35		115.20   	-142.42		
-37.23   	-167.85   	 14.20   	  10.17		114.63   	-142.42		
-36.62   	-171.20   	 14.24   	  10.17		114.06   	-137.33		
-34.18   	-172.42   	 14.28   	   5.09		113.51   	-137.33		
-32.35   	-170.90   	 14.30   	   0.00		112.96   	-137.33		
-32.35   	-166.63   	 14.30   	   0.00		112.41   	-127.16		
-33.57   	-160.52   	 14.30   	   0.00		111.90   	-132.25		
-34.48   	-154.42   	 14.30   	   0.00		111.37   	-127.16		
-34.79   	-151.37   	 14.30   	  10.17		110.86   	-127.16		
-34.48   	-152.28   	 14.34   	  20.35		110.36   	-127.16		
-34.18   	-156.25   	 14.43   	  30.52		109.85   	-122.07		
-34.18   	-159.91   	 14.55   	  40.69		109.36   	-122.07		
-33.87   	-159.91   	 14.71   	  61.04		108.87   	-116.99		
-33.26   	-155.64   	 14.95   	  76.30		108.40   	-116.99		
-32.04   	-149.23   	 15.26   	  96.64		107.93   	-116.99		
-30.52   	-144.35   	 15.65   	 106.82		107.47   	-111.90		
-29.60   	-142.21   	 16.07   	 111.90		107.02   	-116.99		
-29.60   	-142.82   	 16.52   	 106.82		106.55   	-106.82		
-31.43   	-144.35   	 16.95   	 101.73		106.12   	-111.90		
-33.87   	-144.65   	 17.35   	  91.56		105.68   	-106.82		
-35.71   	-143.13   	 17.72   	  71.21		105.25   	-106.82		
-35.40   	-139.77   	 18.01   	  61.04		104.82   	-106.82		
-32.65   	-135.80   	 18.25   	  50.86		104.39   	-101.73		
-29.60   	-132.45   	 18.45   	  30.52		103.99   	-106.82		
-27.47   	-130.62   	 18.58   	  25.43		103.56   	-101.73		
-27.16   	-130.31   	 18.68   	  10.17		103.15   	-101.73		
-28.08   	-130.00   	 18.72   	   0.00		102.75   	-106.82		
-29.60   	-128.78   	 18.72   	   0.00		102.32   	-106.82		
-30.52   	-126.34   	 18.72   	 -10.17		101.89   	-106.82		
-30.52   	-123.29   	 18.68   	 -15.26		101.46   	-106.82		
-29.30   	-120.54   	 18.62   	 -15.26		101.04   	-106.82		
-27.77   	-119.32   	 18.56   	 -20.35		100.61   	-111.90		
-26.55   	-119.32   	 18.47   	 -25.43		100.16   	-111.90		
-25.63   	-119.93   	 18.37   	 -20.35		 99.71   	-111.90		
-25.63   	-119.32   	 18.29   	 -20.35		 99.27   	-111.90		
