  I     	  II     	  AO     	  AO'		  AO     	  AO'		
-74.46   	-32.04   	127.30   	 218.72		118.98   	 279.75		
-72.33   	-20.14   	128.18   	 198.37		120.10   	 269.58		
-70.50   	 -9.77   	128.97   	 183.11		121.18   	 269.58		
-64.39   	  0.31   	129.70   	 162.77		122.26   	 264.50		
-61.34   	 11.29   	130.36   	 142.42		123.32   	 254.32		
-53.71   	 25.33   	130.93   	 127.16		124.33   	 249.24		
-42.11   	 40.89   	131.43   	 111.90		125.33   	 244.15		
-32.96   	 57.37   	131.88   	 101.73		126.31   	 233.98		
-27.47   	 72.94   	132.29   	  96.64		127.24   	 223.80		
-17.70   	 82.09   	132.67   	  86.47		128.14   	 213.63		
-11.60   	 90.33   	133.02   	  76.30		128.99   	 203.46		
-10.99   	 99.79   	133.33   	  66.12		129.81   	 193.29		
 -0.31   	109.56   	133.59   	  50.86		130.58   	 183.11		
  3.97   	115.66   	133.79   	  30.52		131.31   	 172.94		
  7.93   	122.38   	133.92   	   5.09		132.00   	 152.59		
 12.51   	124.21   	133.94(S)	 -20.35		132.61   	 142.42		
 18.92   	126.34   	133.86   	 -61.04		133.18   	 127.16		
 21.97   	129.70   	133.61   	 -91.56		133.69   	 111.90		
 24.11   	132.45   	133.24   	-132.25		134.14   	  91.56		
 29.60   	135.50   	132.72   	-167.85		134.51   	  76.30		
 30.82   	134.28   	132.04   	-208.54		134.81   	  55.95		
 33.26   	134.28   	131.21   	-239.06		135.04   	  35.61		
 31.74   	135.19   	130.25   	-284.84		135.18   	  15.26		
 32.65   	135.19   	129.11   	-320.45		135.24(S)	  -5.09		
 32.96   	136.41   	127.83   	-366.22		135.22   	 -35.61		
 31.13   	136.72   	126.37   	-406.92		135.08   	 -55.95		
 33.26   	138.55   	124.74   	-447.61		134.85   	 -81.38		
 36.01   	136.72   	122.95   	-467.95		134.53   	-111.90		
 31.13   	136.72   	121.08   	-483.21		134.08   	-137.33		
