  I     	  LVp     	  LVp'		  AO     	  AO'		
-65.61   	 13.59   	  86.47		 88.79   	  10.17		
-65.00   	 13.94   	  66.12		 88.83   	   5.09		
-65.61   	 14.20   	  50.86		 88.85   	   5.09		
-67.44   	 14.40   	  45.78		 88.87   	  -5.09		
-67.75   	 14.59   	  55.95		 88.85   	  -5.09		
-65.92   	 14.81   	  71.21		 88.83   	 -10.17		
-63.78   	 15.10   	  86.47		 88.79   	 -10.17		
-62.56   	 15.44   	 106.82		 88.75   	 -15.26		
-62.87   	 15.87   	 116.99		 88.69   	 -20.35		
-64.09   	 16.34   	 122.07		 88.61   	 -25.43		
-64.39   	 16.83   	 122.07		 88.50   	 -25.43		
-63.17   	 17.31   	 106.82		 88.40   	 -30.52		
-61.65   	 17.74   	  91.56		 88.28   	 -35.61		
-61.04   	 18.11   	  66.12		 88.14   	 -35.61		
-60.73   	 18.37   	  50.86		 88.00   	 -40.69		
-60.12   	 18.58   	  25.43		 87.83   	 -40.69		
-57.68   	 18.68   	  20.35		 87.67   	 -45.78		
-54.63   	 18.76   	  10.17		 87.49   	 -50.86		
-50.96   	 18.80   	  10.17		 87.28   	 -55.95		
-48.22   	 18.84   	  10.17		 87.06   	 -50.86		
-46.08   	 18.88   	  20.35		 86.86   	 -55.95		
-42.42   	 18.96   	  25.43		 86.63   	 -55.95		
-36.62   	 19.06   	  25.43		 86.41   	 -61.04		
-28.08   	 19.17   	  25.43		 86.16   	 -55.95		
-18.31   	 19.27   	  20.35		 85.94   	 -50.86		
 -8.54   	 19.35   	  15.26		 85.74   	 -55.95		
  1.22   	 19.41   	  10.17		 85.51   	 -55.95		
 12.21   	 19.45   	   0.00		 85.29   	 -50.86		
 24.11   	 19.45   	  -5.09		 85.09   	 -50.86		
 32.96   	 19.43   	 -10.17		 84.88   	 -50.86		
 35.10   	 19.39   	  -5.09		 84.68   	 -45.78		
 29.91   	 19.37   	  -5.09		 84.50   	 -50.86		
 21.67   	 19.35   	   0.00		 84.29   	 -45.78		
 15.56   	 19.35   	   5.09		 84.11   	 -45.78		
 14.34   	 19.37   	  15.26		 83.93   	 -40.69		
 15.56   	 19.43   	  15.26		 83.76   	 -45.78		
 12.82   	 19.49   	  20.35		 83.58   	 -45.78		
  2.75   	 19.57   	  20.35		 83.40   	 -40.69		
-14.65   	 19.65   	  25.43		 83.23   	 -40.69		
-36.01   	 19.76   	  20.35		 83.07   	 -40.69		
-55.85   	 19.84   	  15.26		 82.91   	 -40.69		
-70.19   	 19.90   	  15.26		 82.75   	 -40.69		
-78.43   	 19.96   	  10.17		 82.58   	 -35.61		
-81.48   	 20.00   	   5.09		 82.44   	 -35.61		
-81.18   	 20.02   	   5.09		 82.30   	 -40.69		
-79.65   	 20.04   	   5.09		 82.14   	 -35.61		
-78.43   	 20.06   	   5.09		 81.99   	 -35.61		
-77.21   	 20.08   	   5.09		 81.85   	 -35.61		
-75.99   	 20.10   	  10.17		 81.71   	 -35.61		
-75.99   	 20.14   	  10.17		 81.57   	 -35.61		
-77.51   	 20.18   	  15.26		 81.42   	 -30.52		
-79.04   	 20.24   	  15.26		 81.30   	 -35.61		
-78.43   	 20.31   	  20.35		 81.16   	 -30.52		
-74.16   	 20.39   	  20.35		 81.04   	 -35.61		
-68.36   	 20.47   	  25.43		 80.89   	 -30.52		
-63.78   	 20.57   	  25.43		 80.77   	 -30.52		
-64.09   	 20.67   	  35.61		 80.65   	 -30.52		
-68.97   	 20.81   	  40.69		 80.53   	 -30.52		
-77.51   	 20.98   	  45.78		 80.41   	 -30.52		
-89.72   	 21.16   	  50.86		 80.28   	 -30.52		
-105.90   	 21.36   	  50.86		 80.16   	 -30.52		
-126.04   	 21.57   	  55.95		 80.04   	 -30.52		
-148.32   	 21.79   	  55.95		 79.92   	 -30.52		
-164.49   	 22.01   	  50.86		 79.80   	 -30.52		
-164.79   	 22.22   	  40.69		 79.67   	 -35.61		
-135.19   	 22.38   	  40.69		 79.53   	 -35.61		
-61.04   	 22.54   	  35.61		 79.39   	 -35.61		
 66.83   	 22.69   	  20.35		 79.25   	 -35.61		
246.58   	 22.77   	  20.35		 79.10   	 -35.61		
458.68   	 22.85   	  15.26		 78.96   	 -40.69		
656.13   	 22.91   	  10.17		 78.80   	 -45.78		
775.45(R)	 22.95(E)	  10.17		 78.62   	 -40.69		
767.82   	 22.99   	  20.35		 78.45   	 -45.78		
635.68   	 23.07   	  25.43		 78.27   	 -45.78		
440.67   	 23.17   	  40.69		 78.09   	 -45.78		
274.96   	 23.34   	  61.04		 77.90   	 -45.78		
200.81   	 23.58   	  91.56		 77.72   	 -40.69		
213.01   	 23.95   	 122.07		 77.56   	 -45.78		
252.38   	 24.44   	 162.77		 77.38   	 -45.78		
257.57   	 25.09   	 218.72		 77.19   	 -45.78		
207.21   	 25.96   	 279.75		 77.01   	 -40.69		
119.63   	 27.08   	 361.14		 76.85   	 -40.69		
 29.91   	 28.52   	 452.69		 76.68   	 -35.61		
-36.62   	 30.34   	 554.42		 76.54   	 -35.61		
-71.41   	 32.55   	 645.98		 76.40   	 -30.52		
-77.21   	 35.14   	 742.62		 76.28   	 -30.52		
-63.48   	 38.11   	 824.00		 76.15   	 -30.52		
-44.56   	 41.40   	 910.47		 76.03   	 -25.43		
-33.26   	 45.05   	 996.94		 75.93   	 -25.43		
-34.48   	 49.03   	1098.67		 75.83   	 -20.35		
-42.72   	 53.43   	1190.23		 75.75   	 -25.43		
-49.44   	 58.19   	1271.61		 75.65   	 -20.35		
-50.05   	 63.28   	1307.22		 75.56   	 -20.35		
-46.08   	 68.50   	1302.13		 75.48   	 -15.26		
-41.81   	 73.71   	1241.09		 75.42   	 -20.35		
-38.15   	 78.68   	1154.62		 75.34   	 -10.17		
-35.40   	 83.30   	1047.81		 75.30(D)	   0.00		
-32.96   	 87.49   	 940.99		 75.30   	   5.09		
-29.91   	 91.25   	 864.70		 75.32   	  25.43		
-25.94   	 94.71   	 813.83		 75.42   	  45.78		
-20.45   	 97.97   	 793.49		 75.60   	  61.04		
-13.73   	101.14   	 788.40		 75.85   	  91.56		
 -7.02   	104.29   	 788.40		 76.22   	 122.07		
 -1.83   	107.45   	 788.40		 76.70   	 147.51		
  2.14   	110.60   	 757.88		 77.29   	 172.94		
  6.10   	113.63   	 727.36		 77.99   	 203.46		
 10.07   	116.54   	 681.58		 78.80   	 223.80		
 13.73   	119.27   	 630.72		 79.69   	 244.15		
 16.48   	121.79   	 600.20		 80.67   	 259.41		
 19.84   	124.19   	 564.60		 81.71   	 269.58		
 25.63   	126.45   	 544.25		 82.79   	 274.67		
 34.79   	128.63   	 523.90		 83.89   	 279.75		
 45.78   	130.72   	 483.21		 85.00   	 279.75		
 55.54   	132.65   	 437.43		 86.12   	 274.67		
 61.95   	134.40   	 376.40		 87.22   	 264.50		
 65.92   	135.91   	 315.36		 88.28   	 254.32		
 71.11   	137.17   	 274.67		 89.30   	 244.15		
 79.35   	138.27   	 249.24		 90.27   	 228.89		
 91.25   	139.27   	 259.41		 91.19   	 228.89		
104.68   	140.30   	 284.84		 92.11   	 213.63		
116.88   	141.44   	 325.53		 92.96   	 218.72		
127.87   	142.75   	 345.88		 93.83   	 213.63		
137.33   	144.13   	 356.05		 94.69   	 218.72		
145.26   	145.55   	 335.71		 95.56   	 213.63		
151.67   	146.90   	 305.19		 96.42   	 218.72		
156.25   	148.12   	 244.15		 97.29   	 218.72		
159.61   	149.09   	 172.94		 98.17   	 213.63		
162.35   	149.79   	  86.47		 99.02   	 208.54		
163.57   	150.13(S)	  -5.09		 99.86   	 193.29		
160.83   	150.11   	-101.73		100.63   	 172.94		
152.59   	149.70   	-172.94		101.32   	 152.59		
138.55   	149.01   	-223.80		101.93   	 127.16		
120.85   	148.12   	-244.15		102.44   	 106.82		
103.15   	147.14   	-239.06		102.87   	  81.38		
 87.28   	146.18   	-233.98		103.19   	  61.04		
 73.55   	145.25   	-223.80		103.44   	  35.61		
 59.51   	144.35   	-228.89		103.58   	  20.35		
 44.25   	143.44   	-244.15		103.66   	  10.17		
 26.86   	142.46   	-259.41		103.70   	   0.00		
  9.16   	141.42   	-279.75		103.70   	  -5.09		
 -5.49   	140.30   	-279.75		103.68   	  -5.09		
-14.95   	139.19   	-269.58		103.66   	  -5.09		
-19.84   	138.11   	-249.24		103.64   	   0.00		
-23.80   	137.11   	-223.80		103.64   	  15.26		
-30.82   	136.22   	-213.63		103.70   	  20.35		
-41.81   	135.36   	-213.63		103.78   	  25.43		
-54.93   	134.51   	-239.06		103.89   	  40.69		
-65.61   	133.55   	-284.84		104.05   	  40.69		
-72.02   	132.41   	-325.53		104.21   	  40.69		
-74.77   	131.11   	-356.05		104.37   	  40.69		
-75.99   	129.68   	-371.31		104.54   	  30.52		
-77.51   	128.20   	-361.14		104.66   	  30.52		
-79.35   	126.75   	-335.71		104.78   	  25.43		
-80.87   	125.41   	-305.19		104.88   	  15.26		
-80.87   	124.19   	-289.93		104.94   	  15.26		
-79.96   	123.03   	-300.10		105.00   	  10.17		
-79.65   	121.83   	-325.53		105.05(S)	   0.00		
-81.79   	120.53   	-386.57		105.05   	   0.00		
-85.45   	118.98   	-452.69		105.05   	 -10.17		
-88.20   	117.17   	-518.82		105.00   	 -15.26		
-88.20   	115.10   	-590.03		104.94   	 -20.35		
-83.92   	112.74   	-635.81		104.86   	 -35.61		
-78.13   	110.19   	-686.67		104.72   	 -40.69		
-72.94   	107.45   	-722.28		104.56   	 -55.95		
-70.50   	104.56   	-757.88		104.33   	 -71.21		
-69.89   	101.53   	-773.14		104.05   	 -81.38		
-69.27   	 98.43   	-783.31		103.72   	 -96.64		
-67.44   	 95.30   	-783.31		103.34   	-106.82		
-64.70   	 92.17   	-788.40		102.91   	-122.07		
-63.48   	 89.01   	-818.92		102.42   	-132.25		
-64.70   	 85.74   	-890.13		101.89   	-147.51		
-67.14   	 82.18   	-981.68		101.30   	-147.51		
-68.66   	 78.25   	-1083.41		100.71   	-157.68		
-67.14   	 73.92   	-1180.06		100.08   	-162.77		
-63.78   	 69.20   	-1251.27		 99.43   	-162.77		
-60.73   	 64.19   	-1276.70		 98.78   	-162.77		
-59.51   	 59.08   	-1276.70		 98.13   	-162.77		
-60.42   	 53.98   	-1220.75		 97.48   	-157.68		
-62.26   	 49.09   	-1144.45		 96.85   	-152.59		
-64.09   	 44.52   	-1032.55		 96.24   	-142.42		
-65.92   	 40.39   	-920.65		 95.67   	-132.25		
-67.75   	 36.70   	-798.57		 95.14   	-122.07		
-68.36   	 33.51   	-686.67		 94.65   	-111.90		
-66.22   	 30.76   	-595.11		 94.20   	 -91.56		
-62.26   	 28.38   	-523.90		 93.83   	 -81.38		
-59.20   	 26.29   	-473.04		 93.51   	 -66.12		
-59.51   	 24.39   	-432.35		 93.24   	 -50.86		
-63.48   	 22.67   	-401.83		 93.04   	 -40.69		
-67.75   	 21.06   	-376.40		 92.88   	 -30.52		
-68.66   	 19.55   	-340.79		 92.76   	 -20.35		
-65.31   	 18.19   	-300.10		 92.68   	 -10.17		
-59.20   	 16.99   	-254.32		 92.63   	 -10.17		
-54.32   	 15.97   	-198.37		 92.59   	   0.00		
-53.10   	 15.18   	-142.42		 92.59   	  10.17		
-55.24   	 14.61   	 -91.56		 92.63   	  10.17		
-59.20   	 14.24   	 -50.86		 92.68   	  15.26		
-62.56   	 14.04   	 -35.61		 92.74   	  20.35		
-64.70   	 13.90   	 -25.43		 92.82   	  20.35		
-66.22   	 13.79   	 -35.61		 92.90   	  25.43		
-67.75   	 13.65   	 -45.78		 93.00   	  20.35		
-68.97   	 13.47   	 -55.95		 93.08   	  25.43		
-68.05   	 13.25   	 -55.95		 93.18   	  20.35		
-64.70   	 13.02   	 -45.78		 93.27   	  15.26		
-58.59   	 12.84   	 -20.35		 93.33   	  10.17		
