  I     	  LVp     	  LVp'		  AO     	  AO'		
-17.40   	117.05   	-249.24		 90.99   	 -55.95		
-27.47   	116.05   	-274.67		 90.76   	 -45.78		
-35.40   	114.95   	-305.19		 90.58   	 -30.52		
-42.72   	113.73   	-325.53		 90.46   	 -20.35		
-50.96   	112.43   	-350.97		 90.38   	  -5.09		
-59.81   	111.03   	-361.14		 90.36   	   5.09		
-68.36   	109.58   	-356.05		 90.38   	   5.09		
-73.85   	108.16   	-345.88		 90.40   	  10.17		
-75.68   	106.77   	-330.62		 90.44   	  10.17		
-73.85   	105.45   	-335.71		 90.48   	   0.00		
-70.80   	104.11   	-350.97		 90.48   	   0.00		
-69.27   	102.71   	-386.57		 90.48   	 -15.26		
-71.11   	101.16   	-432.35		 90.42   	 -25.43		
-75.38   	 99.43   	-483.21		 90.32   	 -40.69		
-79.65   	 97.50   	-539.16		 90.15   	 -45.78		
-81.79   	 95.34   	-574.77		 89.97   	 -61.04		
-80.87   	 93.04   	-605.29		 89.72   	 -71.21		
-78.13   	 90.62   	-625.63		 89.44   	 -81.38		
-75.38   	 88.12   	-635.81		 89.11   	 -81.38		
-73.24   	 85.57   	-640.89		 88.79   	 -96.64		
-71.41   	 83.01   	-666.32		 88.40   	 -96.64		
-70.19   	 80.35   	-717.19		 88.02   	-101.73		
-70.80   	 77.48   	-808.75		 87.61   	-116.99		
-73.55   	 74.24   	-940.99		 87.14   	-122.07		
-76.60   	 70.48   	-1088.50		 86.65   	-132.25		
-78.13   	 66.12   	-1236.01		 86.12   	-142.42		
-77.21   	 61.18   	-1353.00		 85.55   	-147.51		
-74.46   	 55.77   	-1419.12		 84.96   	-152.59		
-71.11   	 50.09   	-1424.21		 84.35   	-152.59		
-68.66   	 44.39   	-1358.08		 83.74   	-152.59		
-67.14   	 38.96   	-1236.01		 83.13   	-142.42		
-65.31   	 34.02   	-1078.33		 82.56   	-132.25		
-62.87   	 29.70   	-915.56		 82.03   	-116.99		
-61.04   	 26.04   	-757.88		 81.57   	-101.73		
-60.12   	 23.01   	-635.81		 81.16   	 -81.38		
-60.42   	 20.47   	-554.42		 80.83   	 -55.95		
-61.34   	 18.25   	-498.47		 80.61   	 -45.78		
-61.95   	 16.26   	-478.13		 80.43   	 -20.35		
-61.65   	 14.34   	-467.95		 80.35   	  -5.09		
-59.81   	 12.47   	-447.61		 80.33   	  10.17		
-57.07   	 10.68   	-427.26		 80.37   	  20.35		
-53.71   	  8.97   	-391.66		 80.45   	  35.61		
-50.05   	  7.41   	-340.79		 80.59   	  50.86		
-47.00   	  6.04   	-284.84		 80.79   	  55.95		
-45.78   	  4.90   	-228.89		 81.02   	  61.04		
-47.91   	  3.99   	-178.03		 81.26   	  66.12		
-52.80   	  3.28   	-132.25		 81.53   	  71.21		
-58.90   	  2.75   	-101.73		 81.81   	  76.30		
-62.87   	  2.34   	 -81.38		 82.12   	  71.21		
-63.17   	  2.01   	 -76.30		 82.40   	  66.12		
-59.81   	  1.71   	 -71.21		 82.66   	  66.12		
-54.93   	  1.42   	 -71.21		 82.93   	  55.95		
-51.57   	  1.14   	 -50.86		 83.15   	  55.95		
-51.57   	  0.94   	 -20.35		 83.38   	  45.78		
-54.93   	  0.85(D)	  25.43		 83.56   	  40.69		
-58.29   	  0.96   	  86.47		 83.72   	  40.69		
-59.81   	  1.30   	 157.68		 83.89   	  35.61		
-57.98   	  1.93   	 228.89		 84.03   	  40.69		
-54.32   	  2.85   	 279.75		 84.19   	  35.61		
-51.88   	  3.97   	 305.19		 84.33   	  45.78		
-52.80   	  5.19   	 310.27		 84.52   	  40.69		
-56.76   	  6.43   	 274.67		 84.68   	  45.78		
-62.26   	  7.53   	 213.63		 84.86   	  45.78		
-66.22   	  8.38   	 142.42		 85.05   	  40.69		
-67.44   	  8.95   	  76.30		 85.21   	  30.52		
-65.00   	  9.26   	  30.52		 85.33   	  25.43		
-60.73   	  9.38   	  20.35		 85.43   	  15.26		
-55.85   	  9.46   	  35.61		 85.49   	   0.00		
-52.19   	  9.60   	  71.21		 85.49   	  -5.09		
-51.27   	  9.89   	 127.16		 85.47   	 -15.26		
-53.71   	 10.40   	 178.03		 85.41   	 -15.26		
-57.98   	 11.11   	 223.80		 85.35   	 -25.43		
-61.65   	 12.00   	 254.32		 85.25   	 -25.43		
-61.34   	 13.02   	 254.32		 85.15   	 -20.35		
-55.85   	 14.04   	 233.98		 85.07   	 -25.43		
-46.69   	 14.97   	 188.20		 84.96   	 -20.35		
-37.23   	 15.73   	 132.25		 84.88   	 -20.35		
-31.43   	 16.26   	  71.21		 84.80   	 -20.35		
-29.60   	 16.54   	  25.43		 84.72   	 -20.35		
-30.21   	 16.64   	 -15.26		 84.64   	 -25.43		
-29.91   	 16.58   	 -30.52		 84.54   	 -30.52		
-26.86   	 16.46   	 -25.43		 84.41   	 -30.52		
-20.45   	 16.36   	 -20.35		 84.29   	 -40.69		
-11.90   	 16.28   	  -5.09		 84.13   	 -40.69		
 -3.36   	 16.26   	   0.00		 83.97   	 -50.86		
  3.05   	 16.26   	  -5.09		 83.76   	 -50.86		
  7.02   	 16.24   	 -10.17		 83.56   	 -55.95		
  8.85   	 16.20   	 -25.43		 83.34   	 -61.04		
 10.99   	 16.09   	 -35.61		 83.09   	 -61.04		
 15.26   	 15.95   	 -45.78		 82.85   	 -66.12		
 21.36   	 15.77   	 -45.78		 82.58   	 -66.12		
 25.02   	 15.58   	 -35.61		 82.32   	 -66.12		
 22.89   	 15.44   	  -5.09		 82.05   	 -66.12		
 12.82   	 15.42   	  25.43		 81.79   	 -61.04		
 -4.88   	 15.52   	  66.12		 81.55   	 -61.04		
-27.16   	 15.79   	  96.64		 81.30   	 -55.95		
-49.44   	 16.17   	 116.99		 81.08   	 -50.86		
-67.14   	 16.64   	 122.07		 80.87   	 -45.78		
-77.21   	 17.13   	 111.90		 80.69   	 -45.78		
-79.35   	 17.58   	  86.47		 80.51   	 -35.61		
-76.90   	 17.92   	  71.21		 80.37   	 -30.52		
-74.77   	 18.21   	  45.78		 80.24   	 -25.43		
-76.29   	 18.39   	  45.78		 80.14   	 -20.35		
-81.18   	 18.58   	  45.78		 80.06   	 -20.35		
-85.14   	 18.76   	  55.95		 79.98   	 -15.26		
-85.45   	 18.98   	  66.12		 79.92   	 -10.17		
-80.57   	 19.25   	  71.21		 79.88   	 -10.17		
-74.77   	 19.53   	  71.21		 79.84   	  -5.09		
-71.72   	 19.82   	  55.95		 79.82   	  -5.09		
-72.63   	 20.04   	  20.35		 79.80   	  -5.09		
-74.46   	 20.12   	 -30.52		 79.78   	 -10.17		
-73.85   	 20.00   	 -76.30		 79.74   	 -15.26		
-69.58   	 19.69   	-127.16		 79.67   	 -15.26		
-65.31   	 19.19   	-167.85		 79.61   	 -20.35		
-68.66   	 18.51   	-183.11		 79.53   	 -30.52		
-84.23   	 17.78   	-178.03		 79.41   	 -40.69		
-108.95   	 17.07   	-157.68		 79.25   	 -40.69		
-136.11   	 16.44   	-106.82		 79.08   	 -50.86		
-157.78   	 16.01   	 -55.95		 78.88   	 -55.95		
-170.29   	 15.79   	   5.09		 78.66   	 -55.95		
-171.51   	 15.81   	  50.86		 78.43   	 -55.95		
-155.33   	 16.01   	  76.30		 78.21   	 -55.95		
-106.51   	 16.32   	  76.30		 77.99   	 -55.95		
 -7.93   	 16.62   	  50.86		 77.76   	 -50.86		
145.26   	 16.83   	  10.17		 77.56   	 -50.86		
336.30   	 16.87   	 -35.61		 77.35   	 -45.78		
519.71   	 16.72   	 -81.38		 77.17   	 -50.86		
630.19(R)	 16.40   	-101.73		 76.97   	 -45.78		
617.68   	 15.99   	 -91.56		 76.79   	 -50.86		
482.18   	 15.63   	 -45.78		 76.58   	 -50.86		
282.59   	 15.44(E)	  30.52		 76.38   	 -50.86		
110.47   	 15.56   	 127.16		 76.17   	 -45.78		
 35.71   	 16.07   	 228.89		 75.99   	 -40.69		
 61.04   	 16.99   	 330.62		 75.83   	 -35.61		
128.78   	 18.31   	 396.74		 75.69   	 -20.35		
169.98   	 19.90   	 427.26		 75.60   	 -15.26		
151.98   	 21.61   	 437.43		 75.54   	  -5.09		
 88.50   	 23.36   	 427.26		 75.52   	   5.09		
 14.95   	 25.07   	 422.18		 75.54   	   5.09		
-40.59   	 26.75   	 427.26		 75.56   	  10.17		
-68.36   	 28.46   	 467.95		 75.60   	  10.17		
-71.41   	 30.34   	 549.34		 75.65   	   0.00		
-59.20   	 32.53   	 640.89		 75.65   	   0.00		
-42.42   	 35.10   	 757.88		 75.65   	 -10.17		
-31.13   	 38.13   	 859.61		 75.60   	 -15.26		
-29.91   	 41.57   	 951.17		 75.54   	 -25.43		
-35.40   	 45.37   	1012.20		 75.44   	 -35.61		
-40.28   	 49.42   	1037.64		 75.30   	 -40.69		
-40.89   	 53.57   	1042.72		 75.14   	 -45.78		
-37.23   	 57.74   	1037.64		 74.95   	 -50.86		
-31.13   	 61.89   	1042.72		 74.75   	 -61.04		
-23.50   	 66.06   	1078.33		 74.51   	 -55.95		
-15.26   	 70.38   	1134.28		 74.28   	 -50.86		
 -8.85   	 74.91   	1200.40		 74.08   	 -45.78		
 -7.02   	 79.71   	1261.44		 73.90   	 -30.52		
 -9.77   	 84.76   	1286.87		 73.77   	 -10.17		
-13.73   	 89.91   	1261.44		 73.73(D)	  10.17		
-13.73   	 94.95   	1174.97		 73.77   	  45.78		
 -7.93   	 99.65   	1042.72		 73.96   	  76.30		
  0.31   	103.82   	 874.87		 74.26   	 106.82		
  7.63   	107.32   	 701.93		 74.69   	 137.33		
 12.21   	110.13   	 554.42		 75.24   	 167.85		
 15.26   	112.35   	 457.78		 75.91   	 193.29		
 20.14   	114.18   	 396.74		 76.68   	 213.63		
 28.38   	115.77   	 371.31		 77.54   	 233.98		
 37.84   	117.25   	 366.22		 78.47   	 239.06		
 45.17   	118.72   	 371.31		 79.43   	 249.24		
 49.13   	120.20   	 376.40		 80.43   	 254.32		
 50.96   	121.71   	 366.22		 81.44   	 249.24		
 54.93   	123.17   	 356.05		 82.44   	 244.15		
 63.17   	124.60   	 335.71		 83.42   	 244.15		
 75.07   	125.94   	 300.10		 84.39   	 233.98		
 88.81   	127.14   	 269.58		 85.33   	 223.80		
101.32   	128.22   	 228.89		 86.23   	 218.72		
110.78   	129.13   	 183.11		 87.10   	 203.46		
119.02   	129.87   	 142.42		 87.91   	 193.29		
127.26   	130.44   	  86.47		 88.69   	 183.11		
137.94   	130.78   	  30.52		 89.42   	 167.85		
150.45   	130.90   	 -25.43		 90.09   	 152.59		
162.96   	130.80   	 -45.78		 90.70   	 132.25		
172.42   	130.62   	 -30.52		 91.23   	 122.07		
178.53   	130.50   	  20.35		 91.72   	 106.82		
182.19   	130.58   	 106.82		 92.15   	  96.64		
184.94   	131.01   	 193.29		 92.53   	  91.56		
185.55   	131.78   	 259.41		 92.90   	  91.56		
182.19   	132.82   	 295.01		 93.27   	  91.56		
172.42   	134.00   	 279.75		 93.63   	  96.64		
156.86   	135.12   	 228.89		 94.02   	 101.73		
138.24   	136.03   	 137.33		 94.42   	 111.90		
118.41   	136.58   	  25.43		 94.87   	 111.90		
 98.88   	136.68(S)	 -91.56		 95.32   	 122.07		
 81.18   	136.32   	-178.03		 95.81   	 122.07		
 66.53   	135.60   	-239.06		 96.30   	 122.07		
 54.63   	134.65   	-249.24		 96.78   	 122.07		
 42.42   	133.65   	-223.80		 97.27   	 111.90		
 26.25   	132.76   	-183.11		 97.72   	 106.82		
  5.49   	132.02   	-132.25		 98.15   	 101.73		
-16.48   	131.49   	-106.82		 98.56   	  86.47		
-33.26   	131.07   	-106.82		 98.90   	  76.30		
-42.42   	130.64   	-152.59		 99.21   	  66.12		
-45.78   	130.03   	-213.63		 99.47   	  55.95		
-48.83   	129.18   	-295.01		 99.69   	  50.86		
-54.93   	128.00   	-376.40		 99.90   	  40.69		
-64.39   	126.49   	-432.35		100.06   	  25.43		
-73.55   	124.76   	-473.04		100.16   	  15.26		
-79.35   	122.87   	-473.04		100.22   	   5.09		
-81.18   	120.98   	-457.78		100.24(S)	  -5.09		
-81.18   	119.15   	-417.09		100.22   	 -15.26		
-81.79   	117.48   	-371.31		100.16   	 -25.43		
-83.31   	115.99   	-315.36		100.06   	 -30.52		
-84.53   	114.73   	-269.58		 99.94   	 -35.61		
-84.53   	113.65   	-249.24		 99.80   	 -35.61		
-83.92   	112.65   	-254.32		 99.65   	 -30.52		
-84.53   	111.64   	-279.75		 99.53   	 -30.52		
-86.67   	110.52   	-320.45		 99.41   	 -20.35		
-87.89   	109.24   	-376.40		 99.33   	 -10.17		
-86.06   	107.73   	-432.35		 99.29   	   0.00		
-80.57   	106.00   	-488.30		 99.29   	  10.17		
-74.77   	104.05   	-544.25		 99.33   	  20.35		
-72.33   	101.87   	-595.11		 99.41   	  20.35		
-74.16   	 99.49   	-671.41		 99.49   	  30.52		
-78.74   	 96.81   	-778.23		 99.61   	  25.43		
-83.01   	 93.69   	-915.56		 99.71   	  15.26		
-83.31   	 90.03   	-1088.50		 99.78   	   5.09		
-80.57   	 85.68   	-1246.18		 99.80   	 -20.35		
-76.29   	 80.69   	-1388.60		 99.71   	 -40.69		
-72.02   	 75.14   	-1485.24		 99.55   	 -66.12		
-69.89   	 69.20   	-1515.76		 99.29   	-101.73		
-70.50   	 63.13   	-1495.42		 98.88   	-122.07		
-72.94   	 57.15   	-1424.21		 98.39   	-157.68		
-75.99   	 51.45   	-1312.30		 97.76   	-178.03		
-77.82   	 46.21   	-1185.14		 97.05   	-198.37		
-76.90   	 41.46   	-1057.98		 96.26   	-213.63		
-73.55   	 37.23   	-925.73		 95.40   	-223.80		
-68.97   	 33.53   	-813.83		 94.51   	-223.80		
-64.70   	 30.27   	-722.28		 93.61   	-218.72		
-61.95   	 27.39   	-640.89		 92.74   	-213.63		
-60.42   	 24.82   	-590.03		 91.88   	-198.37		
-59.20   	 22.46   	-554.42		 91.09   	-178.03		
-59.20   	 20.24   	-523.90		 90.38   	-157.68		
-59.81   	 18.15   	-493.39		 89.75   	-137.33		
-61.65   	 16.17   	-452.69		 89.20   	-106.82		
-64.09   	 14.36   	-386.57		 88.77   	 -86.47		
-65.92   	 12.82   	-295.01		 88.42   	 -55.95		
-65.92   	 11.64   	-167.85		 88.20   	 -30.52		
-64.09   	 10.97   	 -25.43		 88.08   	   0.00		
-61.95   	 10.86(D)	 116.99		 88.08   	  30.52		
-60.42   	 11.33   	 233.98		 88.20   	  61.04		
-61.95   	 12.27   	 305.19		 88.44   	  86.47		
-65.92   	 13.49   	 310.27		 88.79   	 111.90		
-68.97   	 14.73   	 269.58		 89.24   	 127.16		
-68.66   	 15.81   	 183.11		 89.75   	 137.33		
-63.78   	 16.54   	  81.38		 90.29   	 147.51		
-57.98   	 16.87   	 -10.17		 90.88   	 147.51		
-56.46   	 16.83   	 -81.38		 91.47   	 137.33		
-59.81   	 16.50   	-106.82		 92.02   	 127.16		
-65.00   	 16.07   	-106.82		 92.53   	 116.99		
-67.14   	 15.65   	 -66.12		 93.00   	  96.64		
-64.09   	 15.38   	 -10.17		 93.39   	  76.30		
-58.29   	 15.34   	  40.69		 93.69   	  55.95		
-54.02   	 15.50   	  86.47		 93.92   	  35.61		
-53.71   	 15.85   	  96.64		 94.06   	  20.35		
-56.46   	 16.24   	  81.38		 94.14   	   0.00		
-59.81   	 16.56   	  55.95		 94.14   	 -20.35		
-62.26   	 16.79   	  25.43		 94.06   	 -35.61		
-63.48   	 16.89   	  -5.09		 93.92   	 -45.78		
-64.70   	 16.87   	 -20.35		 93.73   	 -55.95		
-66.22   	 16.79   	 -20.35		 93.51   	 -61.04		
-67.14   	 16.70   	  -5.09		 93.27   	 -66.12		
-67.14   	 16.68   	  20.35		 93.00   	 -71.21		
-66.53   	 16.76   	  50.86		 92.72   	 -71.21		
-66.22   	 16.97   	  76.30		 92.43   	 -66.12		
-66.53   	 17.27   	 101.73		 92.17   	 -66.12		
-67.75   	 17.68   	 111.90		 91.90   	 -66.12		
-67.75   	 18.13   	 116.99		 91.64   	 -61.04		
-65.31   	 18.60   	 101.73		 91.39   	 -61.04		
-60.42   	 19.00   	  81.38		 91.15   	 -55.95		
-54.02   	 19.33   	  55.95		 90.93   	 -55.95		
-47.30   	 19.55   	  35.61		 90.70   	 -61.04		
-42.42   	 19.69   	  15.26		 90.46   	 -61.04		
-38.45   	 19.76   	  -5.09		 90.21   	 -66.12		
-33.87   	 19.74   	 -10.17		 89.95   	 -71.21		
-26.55   	 19.69   	 -10.17		 89.66   	 -71.21		
-16.48   	 19.65   	 -10.17		 89.38   	 -76.30		
 -5.80   	 19.61   	   0.00		 89.07   	 -76.30		
  3.36   	 19.61   	   5.09		 88.77   	 -86.47		
  7.93   	 19.63   	  15.26		 88.42   	 -81.38		
  8.54   	 19.69   	  20.35		 88.10   	 -86.47		
  7.32   	 19.78   	  25.43		 87.75   	 -81.38		
  5.80   	 19.88   	  25.43		 87.43   	 -86.47		
  5.49   	 19.98   	  20.35		 87.08   	 -81.38		
  6.71   	 20.06   	  20.35		 86.75   	 -81.38		
 10.68   	 20.14   	  15.26		 86.43   	 -76.30		
 15.56   	 20.20   	  15.26		 86.12   	 -71.21		
 18.01   	 20.26   	  10.17		 85.84   	 -71.21		
 14.04   	 20.31   	  15.26		 85.55   	 -66.12		
  0.31   	 20.37   	  15.26		 85.29   	 -61.04		
-22.28   	 20.43   	  15.26		 85.05   	 -55.95		
-48.22   	 20.49   	  25.43		 84.82   	 -50.86		
-69.89   	 20.59   	  30.52		 84.62   	 -50.86		
-82.09   	 20.71   	  30.52		 84.41   	 -40.69		
-84.53   	 20.83   	  40.69		 84.25   	 -40.69		
-81.48   	 21.00   	  40.69		 84.09   	 -35.61		
-78.43   	 21.16   	  50.86		 83.95   	 -30.52		
-78.43   	 21.36   	  45.78		 83.82   	 -30.52		
-80.57   	 21.55   	  45.78		 83.70   	 -25.43		
-81.79   	 21.73   	  40.69		 83.60   	 -30.52		
-80.87   	 21.89   	  40.69		 83.48   	 -25.43		
-78.74   	 22.05   	  30.52		 83.38   	 -30.52		
-75.99   	 22.18   	  25.43		 83.26   	 -30.52		
-73.85   	 22.28   	  20.35		 83.13   	 -30.52		
-71.72   	 22.36   	  15.26		 83.01   	 -30.52		
-68.66   	 22.42   	  20.35		 82.89   	 -35.61		
-65.31   	 22.50   	  25.43		 82.75   	 -35.61		
-65.00   	 22.60   	  30.52		 82.60   	 -40.69		
-70.19   	 22.73   	  45.78		 82.44   	 -35.61		
-81.48   	 22.91   	  61.04		 82.30   	 -35.61		
-97.05   	 23.15   	  76.30		 82.16   	 -40.69		
-113.83   	 23.46   	  81.38		 81.99   	 -35.61		
-130.62   	 23.78   	  86.47		 81.85   	 -35.61		
-147.71   	 24.13   	  91.56		 81.71   	 -35.61		
-160.83   	 24.50   	  86.47		 81.57   	 -35.61		
-161.44   	 24.84   	  81.38		 81.42   	 -35.61		
-133.97   	 25.17   	  71.21		 81.28   	 -35.61		
-60.73   	 25.45   	  61.04		 81.14   	 -35.61		
 69.89   	 25.70   	  50.86		 81.00   	 -35.61		
255.43   	 25.90   	  45.78		 80.85   	 -40.69		
474.85   	 26.08   	  30.52		 80.69   	 -35.61		
680.54   	 26.21   	  25.43		 80.55   	 -40.69		
809.02   	 26.31   	  25.43		 80.39   	 -40.69		
811.16(R)	 26.41(E)	  30.52		 80.22   	 -40.69		
687.26   	 26.53   	  35.61		 80.06   	 -40.69		
496.83   	 26.67   	  50.86		 79.90   	 -45.78		
330.81   	 26.88   	  76.30		 79.71   	 -40.69		
252.08   	 27.18   	 111.90		 79.55   	 -40.69		
257.87   	 27.63   	 157.68		 79.39   	 -45.78		
290.83   	 28.26   	 218.72		 79.21   	 -40.69		
289.61   	 29.14   	 289.93		 79.04   	 -40.69		
231.63   	 30.29   	 371.31		 78.88   	 -40.69		
135.80   	 31.78   	 462.87		 78.72   	 -40.69		
 37.54   	 33.63   	 549.34		 78.56   	 -35.61		
-36.01   	 35.83   	 645.98		 78.41   	 -35.61		
-75.99   	 38.41   	 747.71		 78.27   	 -35.61		
-86.06   	 41.40   	 854.52		 78.13   	 -35.61		
-76.29   	 44.82   	 966.43		 77.99   	 -30.52		
-59.81   	 48.69   	1068.15		 77.86   	 -35.61		
-48.52   	 52.96   	1149.54		 77.72   	 -30.52		
-47.61   	 57.56   	1200.40		 77.60   	 -30.52		
-53.71   	 62.36   	1215.66		 77.48   	 -25.43		
-58.59   	 67.22   	1195.32		 77.38   	 -30.52		
-58.90   	 72.00   	1149.54		 77.25   	 -30.52		
-55.24   	 76.60   	1083.41		 77.13   	 -25.43		
-50.35   	 80.94   	1012.20		 77.03   	 -25.43		
-46.08   	 84.98   	 935.91		 76.93   	 -20.35		
-43.64   	 88.73   	 869.78		 76.85   	 -20.35		
-42.72   	 92.21   	 808.75		 76.76   	  -5.09		
-43.03   	 95.44   	 752.79		 76.74(D)	   0.00		
-43.33   	 98.45   	 712.10		 76.74   	  20.35		
-41.81   	101.30   	 676.50		 76.83   	  35.61		
-38.15   	104.01   	 625.63		 76.97   	  55.95		
-33.57   	106.51   	 574.77		 77.19   	  76.30		
-29.60   	108.81   	 498.47		 77.50   	 106.82		
-26.25   	110.80   	 401.83		 77.92   	 127.16		
-21.97   	112.41   	 284.84		 78.43   	 157.68		
-14.95   	113.55   	 162.77		 79.06   	 183.11		
 -6.10   	114.20   	  15.26		 79.80   	 198.37		
  3.05   	114.26   	-127.16		 80.59   	 223.80		
 10.07   	113.75   	-274.67		 81.48   	 233.98		
 14.34   	112.65   	-406.92		 82.42   	 249.24		
 17.09   	111.03   	-513.73		 83.42   	 254.32		
 20.75   	108.97   	-615.46		 84.44   	 259.41		
 25.94   	106.51   	-717.19		 85.47   	 259.41		
 32.04   	103.64   	-839.26		 86.51   	 259.41		
 38.76   	100.28   	-915.56		 87.55   	 254.32		
 45.78   	 96.62   	-895.22		 88.57   	 254.32		
 54.63   	 93.04   	-737.54		 89.58   	 244.15		
 65.92   	 90.09   	-447.61		 90.56   	 239.06		
 78.43   	 88.30   	 -76.30		 91.52   	 239.06		
 89.72   	 88.00   	 295.01		 92.47   	 223.80		
 97.96   	 89.18   	 584.94		 93.37   	 223.80		
103.45   	 91.52   	 722.28		 94.26   	 208.54		
108.03   	 94.40   	 701.93		 95.10   	 193.29		
114.75   	 97.21   	 549.34		 95.87   	 183.11		
122.68   	 99.41   	 320.45		 96.60   	 172.94		
128.78   	100.69   	  91.56		 97.29   	 162.77		
130.92   	101.06   	 -71.21		 97.94   	 147.51		
127.56   	100.77   	-147.51		 98.53   	 147.51		
120.54   	100.18   	-127.16		 99.12   	 137.33		
111.69   	 99.67   	 -61.04		 99.67   	 132.25		
102.84   	 99.43   	  30.52		100.20   	 132.25		
 93.99   	 99.55   	 106.82		100.73   	 127.16		
 83.62   	 99.98   	 142.42		101.24   	 122.07		
 71.11   	100.55   	 137.33		101.73   	 116.99		
 56.46   	101.10   	  96.64		102.20   	 116.99		
 40.59   	101.48   	  30.52		102.66   	 111.90		
 26.25   	101.61   	 -35.61		103.11   	 106.82		
 14.04   	101.46   	 -91.56		103.54   	 101.73		
  4.27   	101.10   	-127.16		103.95   	 101.73		
 -6.10   	100.59   	-147.51		104.35   	  91.56		
-18.01   	100.00   	-152.59		104.72   	  86.47		
-31.74   	 99.39   	-147.51		105.07   	  81.38		
-45.17   	 98.80   	-127.16		105.39   	  71.21		
-55.85   	 98.29   	 -86.47		105.68   	  66.12		
-62.56   	 97.94   	 -40.69		105.94   	  61.04		
-67.44   	 97.78   	   5.09		106.18   	  45.78		
-72.02   	 97.80   	  50.86		106.37   	  40.69		
-77.21   	 98.01   	  81.38		106.53   	  25.43		
-81.18   	 98.33   	  96.64		106.63   	  25.43		
-83.01   	 98.72   	  91.56		106.73   	  15.26		
-82.70   	 99.08   	  76.30		106.80   	  10.17		
-82.70   	 99.39   	  55.95		106.84   	  10.17		
-84.53   	 99.61   	  35.61		106.88   	   5.09		
-88.20   	 99.76   	  20.35		106.90   	   5.09		
-91.25   	 99.84   	  15.26		106.92   	  10.17		
-91.86   	 99.90   	  20.35		106.96   	   5.09		
-89.42   	 99.98   	  45.78		106.98   	   5.09		
-85.45   	100.16   	  81.38		107.00   	  10.17		
-81.79   	100.49   	 106.82		107.04   	  10.17		
-79.35   	100.92   	 122.07		107.08   	  10.17		
-79.04   	101.40   	 116.99		107.12   	   5.09		
-79.35   	101.87   	  71.21		107.14   	  10.17		
-79.65   	102.16   	  10.17		107.18   	   5.09		
-79.04   	102.20   	 -71.21		107.20   	   5.09		
-77.82   	101.91   	-167.85		107.22(S)	   0.00		
-76.60   	101.24   	-264.50		107.22   	   0.00		
-76.60   	100.18   	-350.97		107.22   	 -15.26		
-76.90   	 98.78   	-406.92		107.16   	 -20.35		
-75.38   	 97.15   	-442.52		107.08   	 -30.52		
-72.02   	 95.38   	-437.43		106.96   	 -55.95		
-68.66   	 93.63   	-391.66		106.73   	 -71.21		
-67.44   	 92.06   	-315.36		106.45   	 -96.64		
-69.27   	 90.80   	-213.63		106.06   	-122.07		
-70.80   	 89.95   	-111.90		105.57   	-152.59		
-69.89   	 89.50   	 -15.26		104.96   	-167.85		
-66.22   	 89.44   	  66.12		104.29   	-183.11		
-64.09   	 89.70   	 116.99		103.56   	-198.37		
-65.61   	 90.17   	 142.42		102.77   	-203.46		
-69.58   	 90.74   	 137.33		101.95   	-198.37		
-71.41   	 91.29   	 116.99		101.16   	-193.29		
-68.97   	 91.76   	 101.73		100.39   	-188.20		
-64.09   	 92.17   	  86.47		 99.63   	-162.77		
-60.42   	 92.51   	  71.21		 98.98   	-152.59		
-61.04   	 92.80   	  71.21		 98.37   	-127.16		
-65.31   	 93.08   	  66.12		 97.86   	-111.90		
-70.50   	 93.35   	  66.12		 97.42   	 -86.47		
-74.16   	 93.61   	  66.12		 97.07   	 -71.21		
-75.38   	 93.88   	  55.95		 96.78   	 -55.95		
-73.55   	 94.10   	  40.69		 96.56   	 -35.61		
-69.58   	 94.26   	  20.35		 96.42   	 -30.52		
-66.22   	 94.34   	   0.00		 96.30   	 -15.26		
-66.22   	 94.34   	 -15.26		 96.24   	 -10.17		
-70.19   	 94.28   	 -30.52		 96.19   	  -5.09		
-74.46   	 94.16   	 -30.52		 96.17   	   0.00		
-74.46   	 94.04   	 -30.52		 96.17   	   0.00		
-69.89   	 93.92   	 -25.43		 96.17   	   0.00		
-63.48   	 93.81   	 -15.26		 96.17   	   0.00		
-61.95   	 93.75   	 -10.17		 96.17   	   0.00		
-66.53   	 93.71   	  -5.09		 96.17   	   0.00		
-73.24   	 93.69   	  -5.09		 96.17   	  -5.09		
-76.60   	 93.67   	 -10.17		 96.15   	  -5.09		
-74.77   	 93.63   	 -20.35		 96.13   	  -5.09		
-70.19   	 93.55   	 -25.43		 96.11   	 -15.26		
-66.83   	 93.45   	 -30.52		 96.05   	 -15.26		
-66.83   	 93.33   	 -40.69		 95.99   	 -15.26		
-68.66   	 93.16   	 -40.69		 95.93   	 -25.43		
-70.19   	 93.00   	 -40.69		 95.83   	 -25.43		
-70.80   	 92.84   	 -40.69		 95.73   	 -30.52		
-70.80   	 92.68   	 -35.61		 95.60   	 -35.61		
-71.41   	 92.53   	 -40.69		 95.46   	 -35.61		
-72.02   	 92.37   	 -35.61		 95.32   	 -40.69		
-71.72   	 92.23   	 -35.61		 95.16   	 -40.69		
-70.50   	 92.09   	 -40.69		 94.99   	 -40.69		
-68.36   	 91.92   	 -40.69		 94.83   	 -45.78		
-65.61   	 91.76   	 -45.78		 94.65   	 -40.69		
-64.09   	 91.58   	 -45.78		 94.49   	 -45.78		
-63.48   	 91.39   	 -45.78		 94.30   	 -40.69		
