  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-59.51   	-119.63   	105.66   	-966.43		 86.88   	-610.37		
-58.90   	-110.17   	101.79   	-986.77		 84.44   	-528.99		
-61.65   	-105.29   	 97.84   	-996.94		 82.32   	-274.67		
-57.98   	-101.01   	 93.86   	-1012.20		 81.22   	-142.42		
-58.59   	-101.93   	 89.81   	-1032.55		 80.65   	 -66.12		
-60.73   	-105.29   	 85.68   	-1047.81		 80.39   	  35.61		
-53.41   	-100.10   	 81.48   	-1063.07		 80.53   	  15.26		
-52.49   	-97.66   	 77.23   	-1078.33		 80.59   	  20.35		
-57.98   	-96.74   	 72.92   	-1088.50		 80.67   	  81.38		
-56.46   	-95.52   	 68.57   	-1083.41		 81.00   	  50.86		
-59.51   	-101.62   	 64.23   	-1073.24		 81.20   	 -71.21		
-65.00   	-104.98   	 59.94   	-1057.98		 80.92   	-188.20		
-59.20   	-100.10   	 55.71   	-1032.55		 80.16   	-167.85		
-63.48   	-103.45   	 51.58   	-996.94		 79.49   	 -55.95		
-58.90   	-102.23   	 47.59   	-951.17		 79.27   	 -76.30		
-55.24   	-97.96   	 43.78   	-900.30		 78.96   	-239.06		
-58.29   	-101.93   	 40.18   	-849.44		 78.01   	-325.53		
-54.02   	-101.32   	 36.79   	-783.31		 76.70   	-183.11		
-57.37   	-97.66   	 33.65   	-727.36		 75.97   	  30.52		
-60.12   	-100.40   	 30.74   	-661.24		 76.09   	  35.61		
-58.90   	-101.62   	 28.10   	-595.11		 76.24   	 -61.04		
-56.46   	-100.10   	 25.72   	-539.16		 75.99   	 -30.52		
-57.37   	-103.76   	 23.56   	-483.21		 75.87   	  61.04		
-56.76   	-99.18   	 21.63   	-432.35		 76.11   	  55.95		
-52.80   	-101.32   	 19.90   	-381.48		 76.34   	  81.38		
-55.85   	-101.62   	 18.37   	-340.79		 76.66   	 101.73		
-54.02   	-102.23   	 17.01   	-310.27		 77.07   	  35.61		
-54.02   	-104.37   	 15.77   	-279.75		 77.21   	 -55.95		
-56.46   	-108.34   	 14.65   	-264.50		 76.99   	-116.99		
-56.76   	-111.08   	 13.59   	-249.24		 76.52   	-172.94		
-55.54   	-112.92   	 12.59   	-239.06		 75.83   	-213.63		
-54.63   	-112.61   	 11.64   	-233.98		 74.97   	-208.54		
-53.71   	-104.98   	 10.70   	-218.72		 74.14   	-132.25		
-52.49   	-97.66   	  9.83   	-213.63		 73.61   	 -81.38		
-54.63   	-90.03   	  8.97   	-193.29		 73.29   	 -91.56		
-54.32   	-90.33   	  8.20   	-183.11		 72.92   	 -91.56		
-54.93   	-99.18   	  7.47   	-167.85		 72.55   	 -96.64		
-58.90   	-105.90   	  6.80   	-142.42		 72.17   	 -76.30		
-57.98   	-110.47   	  6.23   	-122.07		 71.86   	 -40.69		
-59.81   	-118.41   	  5.74   	-106.82		 71.70   	 -76.30		
-60.73   	-112.61   	  5.31   	 -86.47		 71.39   	 -96.64		
-59.20   	-107.73   	  4.96   	 -71.21		 71.01   	 -81.38		
-57.07   	-106.20   	  4.68   	 -61.04		 70.68   	 -96.64		
-59.20   	-103.45   	  4.44   	 -45.78		 70.29   	 -96.64		
-55.85   	-101.01   	  4.25   	 -35.61		 69.91   	 -55.95		
-55.24   	-105.90   	  4.11   	 -30.52		 69.68   	 -50.86		
-57.68   	-116.88   	  3.99   	 -30.52		 69.48   	 -86.47		
-56.76   	-115.36   	  3.87   	 -20.35		 69.14   	 -71.21		
-55.85   	-115.36   	  3.78   	 -20.35		 68.85   	 -66.12		
-57.68   	-122.68   	  3.70   	 -15.26		 68.59   	 -71.21		
-60.12   	-121.46   	  3.64   	 -10.17		 68.30   	 -55.95		
-59.20   	-121.46   	  3.60   	  -5.09		 68.08   	 -35.61		
-60.12   	-129.39   	  3.58   	  -5.09		 67.93   	 -25.43		
-62.87   	-130.62   	  3.56(D)	   0.00		 67.83   	 -50.86		
-61.65   	-127.56   	  3.56   	   0.00		 67.63   	 -61.04		
-57.68   	-124.21   	  3.56   	   5.09		 67.39   	 -66.12		
-60.42   	-127.56   	  3.58   	   5.09		 67.12   	 -96.64		
-60.12   	-122.68   	  3.60   	   5.09		 66.73   	-111.90		
-57.68   	-115.97   	  3.62   	   5.09		 66.29   	-111.90		
-64.39   	-122.99   	  3.64   	   5.09		 65.84   	-132.25		
-63.48   	-118.71   	  3.66   	   5.09		 65.31   	-127.16		
-66.83   	-128.48   	  3.68   	   0.00		 64.80   	 -96.64		
-69.27   	-148.93   	  3.68   	  -5.09		 64.41   	 -91.56		
-68.36   	-168.76   	  3.66   	   0.00		 64.05   	 -81.38		
-77.21   	-187.68   	  3.66   	   0.00		 63.72   	 -61.04		
-69.89   	-190.43   	  3.66   	   5.09		 63.48   	 -55.95		
-67.75   	-189.21   	  3.68   	   0.00		 63.26   	 -55.95		
-65.92   	-187.07   	  3.68   	   5.09		 63.03   	 -61.04		
-58.29   	-178.22   	  3.70   	   5.09		 62.79   	 -61.04		
-55.54   	-181.88   	  3.72   	  10.17		 62.54   	 -66.12		
-50.66   	-183.72   	  3.76   	   5.09		 62.28   	 -81.38		
-41.50   	-175.78   	  3.78   	  10.17		 61.95   	 -66.12		
-14.04   	-169.68   	  3.83   	  10.17		 61.69   	 -61.04		
  1.83   	-155.94   	  3.87   	  10.17		 61.44   	 -81.38		
  9.46   	-138.85   	  3.91   	   5.09		 61.12   	 -76.30		
 18.01   	-115.05   	  3.93   	   5.09		 60.81   	 -61.04		
 -2.44   	-108.64   	  3.95   	   0.00		 60.57   	 -71.21		
-23.50   	-106.51   	  3.95   	   0.00		 60.28   	 -86.47		
-32.65   	-120.24   	  3.95   	  -5.09		 59.94   	 -86.47		
-42.11   	-130.00   	  3.93   	  -5.09		 59.59   	 -91.56		
-48.22   	-134.28   	  3.91   	  -5.09		 59.23   	 -81.38		
-46.39   	-135.19   	  3.89   	  -5.09		 58.90   	 -71.21		
-50.66   	-129.70   	  3.87   	   5.09		 58.62   	 -66.12		
-52.49   	-130.92   	  3.89   	  10.17		 58.35   	 -61.04		
-48.83   	-130.62   	  3.93   	  15.26		 58.11   	 -45.78		
