  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
 -3.66   	-57.07   	 52.17   	 -25.43		 54.00   	 -30.52		
 -2.44   	-55.54   	 52.06   	 -20.35		 53.88   	 -35.61		
  0.31   	-50.96   	 51.98   	 -25.43		 53.73   	 -30.52		
  3.36   	-40.89   	 51.88   	 -20.35		 53.61   	 -30.52		
  6.41   	-24.41   	 51.80   	 -20.35		 53.49   	 -30.52		
  7.63   	 -2.44   	 51.72   	 -25.43		 53.37   	 -25.43		
  7.32   	 20.75   	 51.62   	 -25.43		 53.27   	 -25.43		
  5.80   	 39.98   	 51.52   	 -20.35		 53.16   	 -25.43		
  4.58   	 52.49   	 51.43   	 -25.43		 53.06   	 -25.43		
  3.66   	 58.59   	 51.33   	 -20.35		 52.96   	 -25.43		
  3.36   	 62.87   	 51.25   	 -25.43		 52.86   	 -20.35		
  3.66   	 69.27   	 51.15   	 -20.35		 52.78   	 -20.35		
  4.27   	 78.43   	 51.07   	 -20.35		 52.70   	 -25.43		
  4.88   	 86.06   	 50.99   	 -20.35		 52.59   	 -20.35		
  5.49   	 86.06   	 50.91   	 -20.35		 52.51   	 -20.35		
  6.41   	 76.60   	 50.82   	 -15.26		 52.43   	 -20.35		
  7.32   	 61.95   	 50.76   	 -15.26		 52.35   	 -25.43		
  8.85   	 50.96   	 50.70   	 -20.35		 52.25   	 -15.26		
 10.99   	 50.35   	 50.62   	 -15.26		 52.19   	 -20.35		
 14.34   	 59.81   	 50.56   	 -20.35		 52.11   	 -20.35		
 18.31   	 71.11   	 50.48   	 -20.35		 52.02   	 -15.26		
 23.19   	 74.46   	 50.40   	 -20.35		 51.96   	 -15.26		
 27.16   	 64.39   	 50.32   	 -25.43		 51.90   	 -15.26		
 28.69   	 42.72   	 50.21   	 -25.43		 51.84   	 -10.17		
 26.55   	 18.01   	 50.11   	 -25.43		 51.80   	 -15.26		
 19.84   	 -2.75   	 50.01   	 -25.43		 51.74   	 -10.17		
 10.38   	-16.48   	 49.91   	 -25.43		 51.70   	 -15.26		
  0.31   	-26.86   	 49.81   	 -25.43		 51.64   	 -10.17		
 -7.32   	-38.45   	 49.70   	 -25.43		 51.60   	 -15.26		
-11.29   	-53.71   	 49.60   	 -25.43		 51.54   	 -10.17		
-11.29   	-71.41   	 49.50   	 -25.43		 51.50   	 -20.35		
 -9.77   	-87.89   	 49.40   	 -25.43		 51.41   	 -15.26		
 -7.93   	-99.79   	 49.30   	 -20.35		 51.35   	 -20.35		
 -7.63   	-107.12   	 49.22   	 -15.26		 51.27   	 -20.35		
 -7.63   	-109.86   	 49.16   	 -20.35		 51.19   	 -20.35		
 -7.93   	-109.56   	 49.07   	 -20.35		 51.11   	 -25.43		
 -7.93   	-107.73   	 48.99   	 -15.26		 51.01   	 -20.35		
 -7.93   	-105.59   	 48.93   	 -15.26		 50.93   	 -25.43		
 -8.54   	-104.06   	 48.87   	 -15.26		 50.82   	 -25.43		
 -9.46   	-103.76   	 48.81   	 -20.35		 50.72   	 -20.35		
-10.07   	-103.76   	 48.73   	 -15.26		 50.64   	 -25.43		
-10.07   	-103.76   	 48.67   	 -15.26		 50.54   	 -20.35		
 -9.16   	-103.15   	 48.61   	 -20.35		 50.46   	 -20.35		
 -8.54   	-102.54   	 48.52   	 -20.35		 50.38   	 -20.35		
 -8.54   	-102.54   	 48.44   	 -20.35		 50.29   	 -20.35		
 -9.16   	-105.90   	 48.36   	 -15.26		 50.21   	 -20.35		
-10.68   	-111.39   	 48.30   	 -25.43		 50.13   	 -15.26		
-12.51   	-111.39   	 48.20   	 -20.35		 50.07   	 -20.35		
-13.12   	-89.72   	 48.12   	 -20.35		 49.99   	 -20.35		
-10.07   	-24.41   	 48.04   	 -20.35		 49.91   	 -20.35		
  0.92   	102.84   	 47.96   	 -20.35		 49.83   	 -15.26		
 22.89   	297.24   	 47.87   	 -25.43		 49.77   	 -20.35		
 57.98   	551.15   	 47.77   	 -20.35		 49.68   	 -20.35		
103.76   	845.64   	 47.69   	 -20.35		 49.60   	 -15.26		
152.89   	1150.82   	 47.61   	 -35.61		 49.54   	 -35.61		
214.54   	1544.49(R)	 47.47   	 -15.26		 49.40   	 -20.35		
206.60   	1460.27   	 47.41   	 -15.26		 49.32   	 -20.35		
171.51   	1137.39   	 47.34   	 -20.35		 49.24   	 -15.26		
121.15   	653.69   	 47.26   	 -15.26		 49.18   	 -20.35		
 71.41   	166.32   	 47.20   	 -15.26		 49.09   	 -15.26		
 34.79   	-171.20   	 47.14   	 -15.26		 49.03   	 -20.35		
 14.95   	-299.99   	 47.08   	 -15.26		 48.95   	 -15.26		
  6.41   	-274.35   	 47.02   	 -20.35		 48.89   	 -20.35		
  2.75   	-198.67   	 46.94   	 -15.26		 48.81   	 -20.35		
 -0.31   	-147.09   	 46.88   	 -20.35		 48.73   	 -20.35		
 -2.75   	-132.75   	 46.80   	 -15.26		 48.65   	 -15.26		
 -2.75   	-130.92   	 46.73   	 -20.35		 48.59   	 -20.35		
 -0.61   	-119.02   	 46.65   	 -25.43		 48.50   	 -20.35		
  0.61   	-95.83   	 46.55   	 -20.35		 48.42   	 -20.35		
 -0.61   	-74.16   	 46.47   	 -20.35		 48.34   	 -15.26		
 -3.97   	-62.87   	 46.39   	 -20.35		 48.28   	 -20.35		
 -7.63   	-62.26   	 46.31   	 -20.35		 48.20   	 -20.35		
 -9.16   	-66.83   	 46.23   	 -15.26		 48.12   	 -15.26		
 -9.16   	-71.11   	 46.16   	 -15.26		 48.06   	 -15.26		
 -7.93   	-70.50   	 46.10   	  -5.09		 48.00   	 -15.26		
 -7.02   	-64.39   	 46.08   	   5.09		 47.93   	 -15.26		
 -6.10   	-56.46   	 46.10   	  15.26		 47.87   	 -15.26		
 -4.58   	-50.96   	 46.16   	  30.52		 47.81   	 -10.17		
 -2.44   	-50.35   	 46.29   	  55.95		 47.77   	 -10.17		
 -0.31   	-51.88   	 46.51   	  86.47		 47.73   	 -10.17		
  0.92   	-51.88   	 46.86   	 111.90		 47.69   	   0.00		
  0.92   	-47.91   	 47.30   	 142.42		 47.69   	   0.00		
 -0.31   	-40.89   	 47.87   	 183.11		 47.69   	  10.17		
 -0.61   	-33.26   	 48.61   	 218.72		 47.73   	  25.43		
  0.61   	-26.25   	 49.48   	 259.41		 47.83   	  35.61		
  3.05   	-20.45   	 50.52   	 295.01		 47.98   	  55.95		
  5.19   	-16.17   	 51.70   	 325.53		 48.20   	  81.38		
  6.10   	-12.51   	 53.00   	 356.05		 48.52   	 106.82		
  5.49   	 -8.24   	 54.43   	 381.48		 48.95   	 132.25		
  4.27   	 -2.44   	 55.95   	 396.74		 49.48   	 167.85		
  4.27   	  4.58   	 57.54   	 412.00		 50.15   	 198.37		
  5.19   	 12.51   	 59.19   	 417.09		 50.95   	 228.89		
  6.71   	 20.14   	 60.85   	 422.18		 51.86   	 264.50		
  7.93   	 26.86   	 62.54   	 417.09		 52.92   	 289.93		
  8.24   	 32.65   	 64.21   	 406.92		 54.08   	 315.36		
  8.24   	 38.45   	 65.84   	 391.66		 55.34   	 345.88		
  8.85   	 45.17   	 67.41   	 371.31		 56.72   	 361.14		
 10.38   	 54.32   	 68.89   	 340.79		 58.17   	 376.40		
 13.43   	 65.92   	 70.25   	 325.53		 59.67   	 386.57		
 17.09   	 78.43   	 71.56   	 295.01		 61.22   	 391.66		
 21.06   	 91.25   	 72.74   	 284.84		 62.79   	 396.74		
 24.11   	103.45   	 73.88   	 269.58		 64.37   	 406.92		
 26.55   	115.36   	 74.95   	 274.67		 66.00   	 406.92		
 28.38   	127.26   	 76.05   	 274.67		 67.63   	 406.92		
 30.82   	139.47   	 77.15   	 289.93		 69.26   	 417.09		
 33.87   	153.20   	 78.31   	 300.10		 70.93   	 417.09		
 37.54   	169.37   	 79.51   	 315.36		 72.59   	 422.18		
 42.42   	188.29   	 80.77   	 325.53		 74.28   	 427.26		
 47.30   	208.44   	 82.07   	 325.53		 75.99   	 422.18		
 51.88   	228.27   	 83.38   	 335.71		 77.68   	 427.26		
 56.46   	246.58   	 84.72   	 325.53		 79.39   	 422.18		
 61.04   	263.67   	 86.02   	 320.45		 81.08   	 422.18		
 65.61   	280.76   	 87.30   	 310.27		 82.77   	 412.00		
 70.50   	298.77   	 88.54   	 295.01		 84.41   	 401.83		
 75.38   	316.77   	 89.72   	 284.84		 86.02   	 391.66		
 79.65   	333.56   	 90.86   	 274.67		 87.59   	 381.48		
 83.31   	347.90   	 91.96   	 254.32		 89.11   	 366.22		
 86.36   	359.19   	 92.98   	 244.15		 90.58   	 350.97		
 89.42   	367.43   	 93.96   	 228.89		 91.98   	 330.62		
 91.86   	372.62   	 94.87   	 213.63		 93.31   	 315.36		
 93.38   	374.45   	 95.73   	 193.29		 94.57   	 295.01		
 93.38   	372.92   	 96.50   	 172.94		 95.75   	 269.58		
 91.86   	368.96   	 97.19   	 147.51		 96.83   	 254.32		
 89.11   	363.16   	 97.78   	 127.16		 97.84   	 228.89		
 85.75   	356.14   	 98.29   	 101.73		 98.76   	 203.46		
 81.79   	346.68   	 98.70   	  76.30		 99.57   	 178.03		
 76.60   	332.64   	 99.00   	  50.86		100.28   	 157.68		
 70.80   	313.11   	 99.21   	  25.43		100.92   	 137.33		
 64.70   	288.39   	 99.31(S)	   0.00		101.46   	 106.82		
 57.98   	260.31   	 99.31   	 -20.35		101.89   	  91.56		
 50.96   	230.41   	 99.23   	 -45.78		102.26   	  66.12		
 43.64   	200.81   	 99.04   	 -66.12		102.52   	  45.78		
 36.62   	172.73   	 98.78   	 -86.47		102.71   	  25.43		
 29.91   	146.18   	 98.43   	-106.82		102.81(S)	   0.00		
 24.11   	121.77   	 98.01   	-116.99		102.81   	 -15.26		
 18.62   	 98.88   	 97.54   	-137.33		102.75   	 -35.61		
 13.12   	 76.29   	 96.99   	-147.51		102.60   	 -55.95		
  7.32   	 53.71   	 96.40   	-157.68		102.38   	 -76.30		
  1.22   	 30.82   	 95.77   	-172.94		102.07   	 -96.64		
 -4.58   	  8.54   	 95.08   	-178.03		101.69   	-111.90		
 -9.16   	-11.60   	 94.36   	-183.11		101.24   	-127.16		
-12.82   	-28.69   	 93.63   	-193.29		100.73   	-142.42		
-15.56   	-42.72   	 92.86   	-193.29		100.16   	-162.77		
-18.01   	-54.63   	 92.09   	-188.20		 99.51   	-172.94		
-19.84   	-65.31   	 91.33   	-188.20		 98.82   	-183.11		
-21.67   	-74.77   	 90.58   	-183.11		 98.09   	-193.29		
-22.89   	-82.40   	 89.85   	-178.03		 97.31   	-203.46		
-23.80   	-87.89   	 89.13   	-162.77		 96.50   	-203.46		
-23.50   	-90.64   	 88.48   	-157.68		 95.69   	-208.54		
-22.58   	-92.16   	 87.85   	-142.42		 94.85   	-208.54		
-21.97   	-93.69   	 87.28   	-132.25		 94.02   	-208.54		
-21.67   	-96.13   	 86.75   	-116.99		 93.18   	-198.37		
-22.28   	-98.88   	 86.29   	-111.90		 92.39   	-198.37		
-23.19   	-101.01   	 85.84   	 -96.64		 91.60   	-188.20		
-23.80   	-101.62   	 85.45   	 -91.56		 90.84   	-183.11		
-23.50   	-100.71   	 85.09   	 -86.47		 90.11   	-172.94		
-22.89   	-99.79   	 84.74   	 -86.47		 89.42   	-157.68		
-22.58   	-98.88   	 84.39   	 -76.30		 88.79   	-152.59		
-22.58   	-98.27   	 84.09   	 -76.30		 88.18   	-142.42		
-22.89   	-97.66   	 83.78   	 -71.21		 87.61   	-132.25		
-22.89   	-97.05   	 83.50   	 -71.21		 87.08   	-122.07		
-22.28   	-95.83   	 83.21   	 -71.21		 86.59   	-116.99		
-21.97   	-94.60   	 82.93   	 -76.30		 86.12   	-101.73		
-21.67   	-93.38   	 82.62   	 -71.21		 85.72   	 -91.56		
-21.67   	-92.16   	 82.34   	 -71.21		 85.35   	 -91.56		
-21.36   	-90.94   	 82.05   	 -76.30		 84.98   	 -76.30		
-21.67   	-89.72   	 81.75   	 -71.21		 84.68   	 -76.30		
-21.67   	-88.50   	 81.46   	 -76.30		 84.37   	 -71.21		
-22.28   	-87.59   	 81.16   	 -71.21		 84.09   	 -66.12		
-22.58   	-86.67   	 80.87   	 -71.21		 83.82   	 -61.04		
-22.89   	-86.06   	 80.59   	 -71.21		 83.58   	 -61.04		
-22.58   	-85.45   	 80.30   	 -66.12		 83.34   	 -55.95		
-22.28   	-85.14   	 80.04   	 -66.12		 83.11   	 -55.95		
-22.28   	-84.53   	 79.78   	 -61.04		 82.89   	 -55.95		
-22.28   	-83.92   	 79.53   	 -55.95		 82.66   	 -55.95		
-22.58   	-83.01   	 79.31   	 -55.95		 82.44   	 -55.95		
-22.89   	-82.40   	 79.08   	 -50.86		 82.22   	 -50.86		
-23.19   	-81.79   	 78.88   	 -50.86		 82.01   	 -55.95		
-22.58   	-81.48   	 78.68   	 -45.78		 81.79   	 -50.86		
-21.97   	-81.48   	 78.49   	 -45.78		 81.59   	 -55.95		
-21.67   	-82.40   	 78.31   	 -45.78		 81.36   	 -50.86		
-21.67   	-83.92   	 78.13   	 -45.78		 81.16   	 -50.86		
-21.97   	-85.45   	 77.94   	 -50.86		 80.96   	 -50.86		
-22.28   	-86.36   	 77.74   	 -45.78		 80.75   	 -55.95		
-22.28   	-86.98   	 77.56   	 -50.86		 80.53   	 -50.86		
-22.89   	-88.20   	 77.35   	 -50.86		 80.33   	 -55.95		
-24.41   	-89.72   	 77.15   	 -50.86		 80.10   	 -55.95		
-25.63   	-91.55   	 76.95   	 -50.86		 79.88   	 -55.95		
-26.25   	-92.47   	 76.74   	 -50.86		 79.65   	 -55.95		
-25.33   	-93.08   	 76.54   	 -55.95		 79.43   	 -55.95		
-23.50   	-93.08   	 76.32   	 -50.86		 79.21   	 -55.95		
-22.89   	-93.99   	 76.11   	 -50.86		 78.98   	 -55.95		
