  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-101.32   	  6.71   	 93.75   	1388.60		 68.48   	 167.85		
-112.00   	  6.71   	 99.31   	1368.26		 69.16   	 188.20		
-108.34   	 12.21   	104.78   	1353.00		 69.91   	 208.54		
-92.77   	 14.04   	110.19   	1317.39		 70.74   	 228.89		
-93.38   	 16.17   	115.46   	1281.79		 71.66   	 249.24		
-89.11   	 16.48   	120.59   	1241.09		 72.65   	 274.67		
-94.60   	 18.92   	125.55   	1205.49		 73.75   	 295.01		
-110.78   	 18.01   	130.38   	1180.06		 74.93   	 310.27		
-99.18   	 21.36   	135.10   	1159.71		 76.17   	 325.53		
-93.69   	 29.60   	139.73   	1139.36		 77.48   	 345.88		
-93.08   	 34.48   	144.29   	1113.93		 78.86   	 356.05		
-93.38   	 36.01   	148.75   	1083.41		 80.28   	 366.22		
-91.25   	 45.17   	153.08   	1027.46		 81.75   	 381.48		
-82.70   	 46.08   	157.19   	 951.17		 83.28   	 396.74		
-82.09   	 53.41   	161.00   	 864.70		 84.86   	 401.83		
-80.87   	 60.12   	164.46   	 773.14		 86.47   	 401.83		
-81.48   	 63.48   	167.55   	 691.76		 88.08   	 401.83		
-95.21   	 69.89   	170.31   	 645.98		 89.68   	 396.74		
-90.33   	 76.29   	172.90   	 630.72		 91.27   	 401.83		
-83.62   	 84.84   	175.42   	 671.41		 92.88   	 396.74		
-79.35   	100.71   	178.11   	 732.45		 94.47   	 417.09		
-96.13   	105.59   	181.04   	 813.83		 96.13   	 437.43		
-93.38   	119.63   	184.29   	 869.78		 97.88   	 462.87		
-85.75   	134.28   	187.77   	 895.22		 99.74   	 488.30		
-93.99   	144.35   	191.35   	 869.78		101.69   	 513.73		
-82.09   	165.10   	194.83   	 803.66		103.74   	 539.16		
-73.24   	182.80   	198.05   	 701.93		105.90   	 554.42		
-76.29   	205.38   	200.85   	 600.20		108.12   	 564.60		
-74.77   	228.27   	203.25   	 493.39		110.38   	 574.77		
-54.02   	256.04   	205.23   	 412.00		112.68   	 579.86		
-51.27   	279.85   	206.88   	 345.88		114.99   	 574.77		
-51.88   	302.43   	208.26   	 305.19		117.29   	 569.68		
-44.86   	333.25   	209.48   	 289.93		119.57   	 559.51		
-36.01   	348.51   	210.64   	 295.01		121.81   	 554.42		
-33.26   	377.20   	211.82   	 305.19		124.03   	 549.34		
-18.01   	404.36   	213.04   	 325.53		126.23   	 534.08		
 -6.10   	418.09   	214.34   	 335.71		128.36   	 523.90		
 -1.53   	436.71   	215.69   	 335.71		130.46   	 513.73		
 13.43   	444.95   	217.03   	 310.27		132.51   	 498.47		
 30.82   	451.66   	218.27   	 284.84		134.51   	 478.13		
 50.05   	456.85   	219.41   	 239.06		136.42   	 457.78		
 67.75   	461.73   	220.37   	 198.37		138.25   	 432.35		
 72.33   	458.68   	221.16   	 167.85		139.98   	 412.00		
 62.26   	440.06   	221.83   	 152.59		141.63   	 391.66		
 57.37   	416.87   	222.44   	 142.42		143.19   	 376.40		
 53.10   	393.68   	223.01   	 137.33		144.70   	 366.22		
 53.71   	362.24   	223.56   	 142.42		146.16   	 350.97		
 54.02   	327.15   	224.13   	 132.25		147.57   	 345.88		
 44.25   	291.75   	224.66   	 122.07		148.95   	 340.79		
 36.62   	246.58   	225.15   	  91.56		150.31   	 330.62		
 18.62   	205.38   	225.51   	  66.12		151.64   	 320.45		
 14.65   	169.37   	225.78   	  30.52		152.92   	 320.45		
 18.92   	136.72   	225.90(S)	  -5.09		154.20   	 310.27		
  8.54   	103.76   	225.88   	 -30.52		155.44   	 305.19		
 -4.58   	 73.55   	225.76   	 -45.78		156.66   	 295.01		
-18.01   	 53.41   	225.57   	 -66.12		157.84   	 284.84		
-33.87   	 24.72   	225.31   	 -86.47		158.98   	 279.75		
-33.26   	 14.95   	224.96   	 -96.64		160.10   	 264.50		
-42.11   	  0.00   	224.58   	-116.99		161.16   	 249.24		
-40.89   	-19.53   	224.11   	-142.42		162.16   	 228.89		
-39.37   	-16.48   	223.54   	-172.94		163.07   	 208.54		
-66.83   	-39.37   	222.85   	-208.54		163.91   	 188.20		
-69.89   	-45.78   	222.01   	-239.06		164.66   	 162.77		
-60.73   	-41.20   	221.06   	-284.84		165.31   	 147.51		
-68.97   	-47.61   	219.92   	-325.53		165.90   	 116.99		
-61.65   	-43.03   	218.62   	-371.31		166.37   	  91.56		
-50.96   	-43.95   	217.13   	-417.09		166.73   	  66.12		
-58.59   	-53.10   	215.46   	-457.78		167.00   	  35.61		
-63.78   	-60.12   	213.63   	-508.65		167.14   	  10.17		
-62.26   	-62.56   	211.60   	-554.42		167.18(S)	 -15.26		
-65.00   	-61.34   	209.38   	-615.46		167.12   	 -45.78		
-63.78   	-61.04   	206.92   	-671.41		166.94   	 -76.30		
-70.19   	-70.19   	204.23   	-747.71		166.63   	-106.82		
-67.44   	-72.63   	201.24   	-824.00		166.20   	-137.33		
-70.50   	-74.77   	197.94   	-895.22		165.66   	-167.85		
-65.61   	-74.46   	194.36   	-966.43		164.98   	-203.46		
-57.98   	-75.68   	190.50   	-1027.46		164.17   	-244.15		
-57.07   	-79.04   	186.39   	-1078.33		163.19   	-269.58		
-50.05   	-90.33   	182.07   	-1129.19		162.12   	-310.27		
-56.15   	-91.55   	177.56   	-1169.88		160.87   	-350.97		
-68.05   	-90.03   	172.88   	-1215.66		159.47   	-381.48		
-62.26   	-89.72   	168.02   	-1256.35		157.94   	-417.09		
-62.87   	-85.45   	162.99   	-1302.13		156.28   	-452.69		
-68.05   	-90.33   	157.78   	-1347.91		154.47   	-478.13		
-54.02   	-94.60   	152.39   	-1403.86		152.55   	-503.56		
-60.42   	-89.72   	146.77   	-1449.64		150.54   	-523.90		
-69.89   	-86.98   	140.98   	-1510.68		148.44   	-534.08		
-65.61   	-84.84   	134.93   	-1556.45		146.31   	-539.16		
-77.51   	-84.53   	128.71   	-1607.32		144.15   	-544.25		
-84.23   	-85.75   	122.28   	-1637.84		141.97   	-539.16		
-70.19   	-84.23   	115.73   	-1658.18		139.82   	-534.08		
-70.50   	-80.26   	109.09   	-1653.10		137.68   	-523.90		
-72.02   	-82.70   	102.48   	-1627.66		135.58   	-503.56		
-65.92   	-77.82   	 95.97   	-1581.89		133.57   	-493.39		
-77.21   	-76.90   	 89.64   	-1525.93		131.60   	-467.95		
-85.45   	-77.51   	 83.54   	-1454.72		129.72   	-442.52		
-83.01   	-71.41   	 77.72   	-1383.51		127.95   	-427.26		
-75.68   	-62.56   	 72.19   	-1302.13		126.25   	-412.00		
-74.77   	-64.39   	 66.98   	-1220.75		124.60   	-386.57		
-80.26   	-60.73   	 62.10   	-1144.45		123.05   	-376.40		
-77.82   	-53.71   	 57.52   	-1073.24		121.55   	-356.05		
-83.62   	-52.80   	 53.22   	-991.86		120.12   	-345.88		
-95.83   	-54.32   	 49.26   	-920.65		118.74   	-330.62		
-90.33   	-49.74   	 45.57   	-849.44		117.42   	-320.45		
-80.87   	-50.66   	 42.18   	-773.14		116.13   	-310.27		
-73.85   	-47.30   	 39.08   	-701.93		114.89   	-305.19		
-60.12   	-39.37   	 36.28   	-635.81		113.67   	-289.93		
-53.71   	-39.98   	 33.73   	-569.68		112.51   	-284.84		
-61.65   	-41.81   	 31.45   	-503.56		111.37   	-274.67		
-69.58   	-43.03   	 29.44   	-442.52		110.27   	-264.50		
-70.50   	-45.17   	 27.67   	-386.57		109.22   	-259.41		
-75.38   	-43.64   	 26.12   	-330.62		108.18   	-249.24		
-75.07   	-39.67   	 24.80   	-289.93		107.18   	-244.15		
-75.38   	-42.11   	 23.64   	-254.32		106.21   	-239.06		
-79.04   	-50.05   	 22.62   	-223.80		105.25   	-233.98		
-73.85   	-47.00   	 21.73   	-203.46		104.31   	-228.89		
-69.27   	-46.69   	 20.92   	-172.94		103.40   	-228.89		
-68.36   	-55.54   	 20.22   	-162.77		102.48   	-228.89		
-68.66   	-46.69   	 19.57   	-142.42		101.57   	-223.80		
-66.83   	-51.27   	 19.00   	-122.07		100.67   	-218.72		
-68.97   	-57.07   	 18.51   	-111.90		 99.80   	-218.72		
-64.39   	-53.71   	 18.07   	 -91.56		 98.92   	-218.72		
-49.44   	-54.32   	 17.70   	 -81.38		 98.05   	-213.63		
-45.47   	-52.49   	 17.38   	 -66.12		 97.19   	-213.63		
-50.96   	-59.51   	 17.11   	 -50.86		 96.34   	-213.63		
-59.81   	-54.93   	 16.91   	 -45.78		 95.48   	-208.54		
-79.96   	-54.32   	 16.72   	 -40.69		 94.65   	-208.54		
-89.72   	-63.48   	 16.56   	 -35.61		 93.81   	-203.46		
-72.02   	-54.93   	 16.42   	 -30.52		 93.00   	-198.37		
-55.54   	-48.83   	 16.30   	 -25.43		 92.21   	-198.37		
-45.47   	-42.11   	 16.20   	 -30.52		 91.41   	-188.20		
-25.63   	-17.40   	 16.07   	 -30.52		 90.66   	-183.11		
-31.74   	 -0.61   	 15.95   	 -30.52		 89.93   	-178.03		
-37.23   	 11.29   	 15.83   	 -25.43		 89.22   	-167.85		
-28.69   	 21.67   	 15.73   	 -30.52		 88.54   	-167.85		
-34.18   	 10.68   	 15.61   	 -20.35		 87.87   	-152.59		
-41.50   	  4.58   	 15.52   	 -25.43		 87.26   	-152.59		
-46.39   	  7.02   	 15.42   	 -15.26		 86.65   	-142.42		
-51.27   	  3.66   	 15.36   	 -15.26		 86.08   	-137.33		
-33.57   	 -0.31   	 15.30   	 -15.26		 85.53   	-132.25		
-17.40   	  0.31   	 15.24   	 -10.17		 85.00   	-127.16		
