  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-39.67   	-180.05   	  9.56(E)	  25.43		 79.59   	 -40.69		
 10.07   	-171.81   	  9.66   	  35.61		 79.43   	 -61.04		
111.39   	-92.77   	  9.81   	  35.61		 79.19   	 -45.78		
273.74   	 73.24   	  9.95   	  40.69		 79.00   	 -40.69		
489.81   	309.14   	 10.11   	  35.61		 78.84   	 -40.69		
731.81   	571.29   	 10.25   	  15.26		 78.68   	 -71.21		
954.59   	812.07   	 10.32   	   0.00		 78.39   	-172.94		
1104.74   	1105.35   	 10.32   	  45.78		 77.70   	 -76.30		
926.82   	1110.23(R)	 10.50   	 122.07		 77.40   	 -55.95		
583.80   	998.54   	 10.99   	 213.63		 77.17   	 -20.35		
166.63   	780.94   	 11.84   	 325.53		 77.09   	 -10.17		
-190.73   	505.37   	 13.14   	 432.35		 77.05   	   5.09		
-376.59   	248.11   	 14.87   	 513.73		 77.07   	  20.35		
-365.91   	 72.02   	 16.93   	 564.60		 77.15   	  10.17		
-233.76   	-10.38   	 19.19   	 600.20		 77.19   	 -10.17		
-96.13   	-34.79   	 21.59   	 651.07		 77.15   	 -25.43		
-32.04   	-45.78   	 24.19   	 762.97		 77.05   	 -25.43		
-47.30   	-66.83   	 27.24   	 834.18		 76.95   	 -25.43		
-94.60   	-93.38   	 30.58   	 834.18		 76.85   	 -91.56		
-125.43   	-111.08   	 33.92   	 915.56		 76.48   	-228.89		
-123.29   	-113.83   	 37.58   	1149.54		 75.56   	-218.72		
-103.15   	-108.64   	 42.18   	1454.72		 74.69   	 -20.35		
-86.36   	-105.59   	 48.00   	1815.86		 74.61   	  71.21		
-81.79   	-107.42   	 55.26   	2268.56		 74.89   	 -25.43		
-84.84   	-111.39   	 64.33   	2756.86		 74.79   	  35.61		
-88.50   	-114.14   	 75.36   	3199.38		 74.93   	 274.67		
-88.81   	-114.75   	 88.16   	3413.01		 76.03   	 335.71		
-86.36   	-113.22   	101.81   	3112.91		 77.38   	 376.40		
-82.40   	-110.78   	114.26   	2309.25		 78.88   	 473.04		
-79.35   	-108.03   	123.50   	1642.92		 80.77   	 498.47		
-77.21   	-105.29   	130.07   	 813.83		 82.77   	 584.94		
-75.38   	-103.15   	133.33   	-264.50		 85.11   	 625.63		
-73.24   	-100.71   	132.27   	-640.89		 87.61   	 381.48		
-71.11   	-98.27   	129.70   	-834.18		 89.13   	 254.32		
-69.27   	-95.83   	126.37   	-1164.80		 90.15   	 447.61		
-67.75   	-93.08   	121.71   	-1027.46		 91.94   	 274.67		
-65.92   	-89.72   	117.60   	-361.14		 93.04   	 137.33		
-63.48   	-85.75   	116.15   	 269.58		 93.59   	 178.03		
-60.73   	-81.48   	117.23   	 803.66		 94.30   	 -10.17		
-57.98   	-77.82   	120.45   	1612.40		 94.26   	 178.03		
-55.24   	-75.07   	126.90   	2487.27		 94.97   	 844.35		
-53.41   	-72.02   	136.85   	2843.33		 98.35   	 996.94		
-51.57   	-68.66   	148.22   	2466.93		102.34   	 666.32		
-49.74   	-64.09   	158.09   	1597.15		105.00   	 518.82		
-47.30   	-58.90   	164.48   	 564.60		107.08   	 340.79		
-44.25   	-53.71   	166.73(S)	-330.62		108.44   	 183.11		
-40.89   	-48.52   	165.41   	-1108.85		109.18   	 315.36		
-37.23   	-43.64   	160.98   	-1663.27		110.44   	 259.41		
-33.57   	-38.45   	154.32   	-1627.66		111.47   	 -96.64		
-30.21   	-33.26   	147.81   	-1103.76		111.09   	  10.17		
-26.55   	-27.77   	143.40   	-432.35		111.13   	 620.55		
-22.89   	-22.58   	141.67   	 178.03		113.61   	 630.72		
-18.92   	-16.48   	142.38   	 635.81		116.13   	  76.30		
-14.04   	 -9.46   	144.92   	1007.12		116.44   	-203.46		
 -8.24   	 -0.92   	148.95   	1327.56		115.63   	 198.37		
 -1.22   	  8.85   	154.26   	1424.21		116.42   	 651.07		
  5.80   	 18.92   	159.96   	1022.38		119.02   	 305.19		
 12.51   	 28.69   	164.05   	 289.93		120.24   	 -25.43		
 19.53   	 38.76   	165.21   	-157.68		120.14   	   5.09		
 26.86   	 49.44   	164.58   	-391.66		120.16   	-259.41		
 35.71   	 61.65   	163.01   	-615.46		119.12   	  20.35		
 46.39   	 75.07   	160.55   	-803.66		119.21   	 371.31		
 57.68   	 89.72   	157.33   	-824.00		120.69   	  35.61		
 68.97   	104.68   	154.04   	-503.56		120.83   	  91.56		
 79.35   	119.02   	152.02   	 -96.64		121.20   	 305.19		
 87.89   	132.14   	151.64   	 106.82		122.42   	 493.39		
 95.21   	143.74   	152.06   	 264.50		124.39   	 625.63		
101.93   	153.81   	153.12   	 447.61		126.90   	  96.64		
107.73   	162.66   	154.91   	 559.51		127.28   	 137.33		
112.61   	170.29   	157.15   	 422.18		127.83   	 605.29		
116.58   	177.31   	158.84   	 132.25		130.25   	 228.89		
118.41   	182.80   	159.37   	 -66.12		131.17   	-157.68		
118.10   	186.46   	159.10   	-228.89		130.54   	 106.82		
115.97   	187.38   	158.19   	-412.00		130.97   	 386.57		
112.61   	185.55   	156.54   	-518.82		132.51   	 152.59		
107.73   	180.05   	154.47   	-554.42		133.12   	  40.69		
101.62   	170.90   	152.25   	-595.11		133.29   	 244.15		
 93.69   	158.08   	149.87   	-513.73		134.26   	 162.77		
 83.92   	141.91   	147.81   	-305.19		134.91   	 -86.47		
 72.02   	122.38   	146.59   	 -25.43		134.57   	-111.90		
 59.20   	100.40   	146.49   	 218.72		134.12   	   5.09		
 45.78   	 77.21   	147.36   	 295.01		134.14   	  96.64		
 31.74   	 54.02   	148.54   	 284.84		134.53   	  76.30		
