  I     	  II     	  AOp     	  AOp'		
771.79   	704.35   	 71.52   	 -66.12		
639.34   	549.01   	 71.25   	 -66.12		
482.79   	409.55   	 70.99   	 -61.04		
326.84   	304.26   	 70.74   	 -66.12		
188.60   	226.75   	 70.48   	 -61.04		
 78.74   	155.03   	 70.23   	 -66.12		
  0.31   	 72.94   	 69.97   	 -61.04		
-48.22   	-14.04   	 69.73   	 -61.04		
-73.55   	-85.14   	 69.48   	 -61.04		
-85.14   	-126.65   	 69.24   	 -61.04		
-90.64   	-141.30   	 68.99   	 -61.04		
-93.69   	-142.52   	 68.75   	 -61.04		
-94.60   	-144.35   	 68.50   	 -55.95		
-95.52   	-151.67   	 68.28   	 -50.86		
-101.62   	-163.57   	 68.08   	 -50.86		
-114.44   	-174.26   	 67.87   	 -35.61		
-130.00   	-179.44   	 67.73   	 -30.52		
-139.77   	-177.92   	 67.61   	 -15.26		
-138.55   	-172.42   	 67.55(D)	   5.09		
-128.78   	-168.15   	 67.57   	  25.43		
-116.27   	-168.15   	 67.67   	  55.95		
-108.03   	-171.20   	 67.89   	  91.56		
-106.51   	-172.73   	 68.26   	 132.25		
-109.56   	-168.15   	 68.79   	 172.94		
-113.83   	-158.69   	 69.48   	 213.63		
-116.88   	-149.84   	 70.34   	 259.41		
-117.80   	-146.48   	 71.37   	 305.19		
-116.58   	-150.15   	 72.59   	 345.88		
-113.22   	-156.86   	 73.98   	 386.57		
-108.03   	-160.52   	 75.52   	 417.09		
-102.54   	-158.39   	 77.19   	 452.69		
-97.35   	-150.76   	 79.00   	 467.95		
-93.38   	-141.30   	 80.87   	 488.30		
-89.42   	-133.36   	 82.83   	 493.39		
-84.23   	-127.87   	 84.80   	 498.47		
-78.13   	-123.29   	 86.80   	 493.39		
-74.16   	-118.10   	 88.77   	 483.21		
-75.38   	-114.75   	 90.70   	 473.04		
-80.87   	-115.36   	 92.59   	 457.78		
-86.06   	-119.02   	 94.42   	 437.43		
-86.98   	-122.99   	 96.17   	 422.18		
-81.48   	-123.29   	 97.86   	 406.92		
-71.41   	-117.80   	 99.49   	 386.57		
-60.42   	-109.25   	101.04   	 366.22		
-51.57   	-101.93   	102.50   	 350.97		
-45.17   	-96.44   	103.91   	 330.62		
-39.06   	-90.33   	105.23   	 320.45		
-32.35   	-80.87   	106.51   	 300.10		
-25.33   	-66.83   	107.71   	 284.84		
-18.31   	-50.05   	108.85   	 274.67		
-12.51   	-34.79   	109.95   	 259.41		
 -8.85   	-22.89   	110.99   	 244.15		
 -5.19   	-15.26   	111.96   	 239.06		
  0.00   	 -9.77   	112.92   	 223.80		
  7.32   	 -5.19   	113.81   	 218.72		
 14.65   	 -1.53   	114.69   	 203.46		
 19.23   	  2.75   	115.50   	 193.29		
 19.53   	  8.85   	116.28   	 188.20		
 18.01   	 18.62   	117.03   	 178.03		
 19.23   	 32.65   	117.74   	 162.77		
 24.72   	 48.22   	118.39   	 152.59		
 32.65   	 60.42   	119.00   	 147.51		
 37.84   	 65.61   	119.59   	 127.16		
 36.93   	 63.17   	120.10   	 122.07		
 30.21   	 57.07   	120.59   	 111.90		
 22.58   	 52.49   	121.04   	  96.64		
 18.01   	 50.66   	121.42   	  86.47		
 17.40   	 50.35   	121.77   	  71.21		
 18.92   	 48.52   	122.05   	  66.12		
 18.31   	 42.72   	122.32   	  50.86		
 14.34   	 33.26   	122.52   	  40.69		
  8.24   	 23.50   	122.69   	  30.52		
