  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
 -7.02   	-39.06   	 93.98   	-1073.24		 90.32   	  45.78		
 -4.27   	-46.08   	 89.68   	-1078.33		 90.50   	  86.47		
 -7.02   	-43.33   	 85.37   	-1068.15		 90.84   	  35.61		
-21.36   	-45.78   	 81.10   	-1052.90		 90.99   	-142.42		
-32.65   	-56.46   	 76.89   	-1042.72		 90.42   	-183.11		
-21.06   	-44.56   	 72.72   	-1017.29		 89.68   	-116.99		
 -8.85   	-29.91   	 68.65   	-986.77		 89.22   	-132.25		
  1.53   	-31.13   	 64.70   	-956.25		 88.69   	-203.46		
  7.93   	-23.19   	 60.87   	-920.65		 87.87   	-244.15		
  3.66   	-24.72   	 57.19   	-879.96		 86.90   	-198.37		
 -0.61   	-42.11   	 53.67   	-839.26		 86.10   	-111.90		
 -0.31   	-46.08   	 50.32   	-793.49		 85.66   	-101.73		
 -1.53   	-46.39   	 47.14   	-752.79		 85.25   	-147.51		
-11.29   	-38.45   	 44.13   	-701.93		 84.66   	-167.85		
-21.67   	-40.89   	 41.32   	-661.24		 83.99   	-132.25		
-21.36   	-37.54   	 38.68   	-615.46		 83.46   	 -76.30		
-13.43   	-34.79   	 36.22   	-569.68		 83.15   	 -10.17		
  0.61   	-44.86   	 33.94   	-528.99		 83.11   	  61.04		
  2.14   	-47.91   	 31.82   	-488.30		 83.36   	 106.82		
-18.62   	-52.80   	 29.87   	-452.69		 83.78   	  30.52		
-16.17   	-57.07   	 28.06   	-412.00		 83.91   	 -81.38		
-10.68   	-61.65   	 26.41   	-376.40		 83.58   	-122.07		
-20.14   	-60.42   	 24.90   	-345.88		 83.09   	-106.82		
 -3.36   	-62.26   	 23.52   	-315.36		 82.66   	-111.90		
-13.12   	-67.44   	 22.26   	-284.84		 82.22   	-147.51		
-18.62   	-58.29   	 21.12   	-259.41		 81.63   	-147.51		
  7.93   	-49.44   	 20.08   	-233.98		 81.04   	-101.73		
 10.38   	-50.66   	 19.15   	-208.54		 80.63   	 -86.47		
 10.68   	-50.96   	 18.31   	-188.20		 80.28   	-132.25		
  2.14   	-57.98   	 17.56   	-162.77		 79.76   	-172.94		
-18.01   	-73.24   	 16.91   	-137.33		 79.06   	-116.99		
-20.75   	-78.74   	 16.36   	-122.07		 78.60   	 -50.86		
-13.43   	-72.63   	 15.87   	-101.73		 78.39   	 -25.43		
  7.93   	-74.46   	 15.46   	 -86.47		 78.29   	 -55.95		
 10.07   	-84.23   	 15.12   	 -71.21		 78.07   	-101.73		
