  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
 32.96   	184.63   	 63.03   	 -40.69		 61.00   	 -35.61		
 34.18   	183.41   	 62.87   	 -40.69		 60.85   	 -30.52		
 34.48   	164.79   	 62.71   	 -40.69		 60.73   	 -25.43		
 32.35   	128.78   	 62.54   	 -40.69		 60.63   	 -30.52		
 28.38   	 82.09   	 62.38   	 -40.69		 60.51   	 -35.61		
 23.50   	 32.96   	 62.22   	 -40.69		 60.37   	 -50.86		
 17.40   	-10.68   	 62.05   	 -35.61		 60.16   	 -45.78		
 10.68   	-43.33   	 61.91   	 -40.69		 59.98   	  25.43		
  3.97   	-61.34   	 61.75   	 -40.69		 60.08   	  25.43		
 -1.53   	-63.48   	 61.59   	 -35.61		 60.18   	 -66.12		
 -3.36   	-50.66   	 61.44   	 -40.69		 59.92   	-106.82		
 -0.92   	-28.08   	 61.28   	 -35.61		 59.49   	 -55.95		
  4.27   	 -5.19   	 61.14   	 -35.61		 59.27   	   0.00		
  8.85   	  7.63   	 61.00   	 -30.52		 59.27   	  20.35		
 10.68   	  2.44   	 60.87   	 -30.52		 59.35   	   5.09		
  8.24   	-18.92   	 60.75   	 -30.52		 59.37   	 -20.35		
  3.05   	-46.69   	 60.63   	 -30.52		 59.29   	 -40.69		
 -2.44   	-68.05   	 60.51   	 -25.43		 59.12   	 -50.86		
 -6.41   	-77.51   	 60.41   	 -25.43		 58.92   	 -30.52		
 -6.71   	-78.74   	 60.30   	 -25.43		 58.80   	 -15.26		
 -4.88   	-80.87   	 60.20   	 -25.43		 58.74   	 -20.35		
 -2.75   	-89.11   	 60.10   	 -20.35		 58.66   	 -25.43		
 -4.27   	-100.10   	 60.02   	 -25.43		 58.56   	 -45.78		
-10.68   	-102.54   	 59.92   	 -20.35		 58.37   	 -55.95		
-18.31   	-86.67   	 59.84   	 -30.52		 58.15   	 -45.78		
-17.70   	-40.89   	 59.71   	 -25.43		 57.97   	 -30.52		
  3.05   	 50.05   	 59.61   	 -30.52		 57.84   	 -15.26		
 52.49   	209.66   	 59.49   	 -30.52		 57.78   	 -20.35		
130.31   	459.29   	 59.37   	 -35.61		 57.70   	 -55.95		
227.05   	798.34   	 59.23   	 -35.61		 57.48   	 -76.30		
322.57   	1173.40   	 59.08   	 -76.30		 57.17   	-116.99		
407.10   	1559.75(R)	 58.78   	 -40.69		 56.70   	 -35.61		
368.65   	1383.67   	 58.62   	 -40.69		 56.56   	 -25.43		
290.83   	986.33   	 58.45   	 -40.69		 56.46   	 -35.61		
206.30   	511.78   	 58.29   	 -40.69		 56.32   	 -35.61		
144.04   	125.43   	 58.13   	 -35.61		 56.17   	 -15.26		
111.69   	-81.18   	 57.99   	 -40.69		 56.11   	  -5.09		
 93.69   	-122.99   	 57.82   	 -35.61		 56.09   	 -20.35		
 70.80   	-80.26   	 57.68   	 -35.61		 56.01   	 -45.78		
 36.93   	-33.26   	 57.54   	 -35.61		 55.83   	 -45.78		
  0.00   	-23.80   	 57.40   	 -35.61		 55.65   	 -30.52		
-25.94   	-47.61   	 57.25   	 -30.52		 55.52   	  -5.09		
-33.87   	-79.35   	 57.13   	 -30.52		 55.50   	  10.17		
-28.69   	-101.62   	 57.01   	 -30.52		 55.54   	 -10.17		
-20.75   	-114.75   	 56.89   	 -25.43		 55.50   	 -20.35		
-15.56   	-125.73   	 56.79   	 -20.35		 55.42   	 -35.61		
-15.26   	-139.47   	 56.70   	 -10.17		 55.28   	 -25.43		
-18.62   	-153.50   	 56.66   	  -5.09		 55.18   	   0.00		
-23.19   	-162.96   	 56.64   	   5.09		 55.18   	   5.09		
-25.94   	-165.71   	 56.66   	  20.35		 55.20   	 -25.43		
-25.63   	-165.41   	 56.74   	  40.69		 55.10   	 -55.95		
-22.28   	-167.85   	 56.91   	  61.04		 54.87   	 -61.04		
-18.01   	-173.03   	 57.15   	  81.38		 54.63   	 -50.86		
-16.17   	-175.78   	 57.48   	 111.90		 54.43   	 -35.61		
-18.92   	-172.12   	 57.92   	 132.25		 54.28   	 -61.04		
-24.41   	-164.79   	 58.45   	 167.85		 54.04   	 -61.04		
-29.30   	-160.52   	 59.12   	 193.29		 53.79   	  45.78		
-30.52   	-161.44   	 59.90   	 218.72		 53.98   	  61.04		
-28.99   	-164.18   	 60.77   	 244.15		 54.22   	 -81.38		
-27.77   	-164.49   	 61.75   	 264.50		 53.90   	-106.82		
-28.08   	-160.83   	 62.81   	 284.84		 53.47   	 -10.17		
-28.69   	-156.25   	 63.95   	 300.10		 53.43   	  76.30		
-27.77   	-157.47   	 65.15   	 305.19		 53.73   	  96.64		
-25.94   	-166.93   	 66.37   	 320.45		 54.12   	  91.56		
-24.41   	-181.58   	 67.65   	 315.36		 54.49   	 116.99		
-24.41   	-192.26   	 68.91   	 325.53		 54.95   	 188.20		
-25.33   	-189.82   	 70.21   	 320.45		 55.71   	 295.01		
-24.41   	-172.12   	 71.50   	 325.53		 56.89   	 391.66		
-22.58   	-148.93   	 72.80   	 325.53		 58.45   	 452.69		
-23.19   	-135.19   	 74.10   	 320.45		 60.26   	 661.24		
-26.55   	-140.08   	 75.38   	 325.53		 62.91   	 798.57		
-31.74   	-160.22   	 76.68   	 325.53		 66.10   	 620.55		
-35.71   	-184.63   	 77.99   	 325.53		 68.59   	 457.78		
-37.23   	-202.64   	 79.29   	 320.45		 70.42   	 447.61		
-35.71   	-209.66   	 80.57   	 320.45		 72.21   	 478.13		
-32.96   	-205.08   	 81.85   	 320.45		 74.12   	 503.56		
-29.91   	-189.51   	 83.13   	 315.36		 76.13   	 508.65		
-26.55   	-165.10   	 84.39   	 315.36		 78.17   	 493.39		
-23.80   	-139.16   	 85.66   	 315.36		 80.14   	 493.39		
-22.89   	-121.77   	 86.92   	 310.27		 82.12   	 528.99		
-24.11   	-118.10   	 88.16   	 310.27		 84.23   	 559.51		
-27.16   	-126.34   	 89.40   	 310.27		 86.47   	 574.77		
-30.52   	-138.24   	 90.64   	 310.27		 88.77   	 564.60		
-33.87   	-145.87   	 91.88   	 295.01		 91.03   	 523.90		
-36.32   	-148.93   	 93.06   	 289.93		 93.12   	 503.56		
-36.93   	-152.28   	 94.22   	 274.67		 95.14   	 523.90		
-36.01   	-158.08   	 95.32   	 264.50		 97.23   	 544.25		
-33.57   	-161.74   	 96.38   	 244.15		 99.41   	 534.08		
-30.21   	-155.94   	 97.35   	 228.89		101.55   	 498.47		
-28.08   	-137.63   	 98.27   	 213.63		103.54   	 447.61		
-28.69   	-111.39   	 99.12   	 198.37		105.33   	 412.00		
-33.87   	-89.11   	 99.92   	 183.11		106.98   	 391.66		
-41.20   	-79.65   	100.65   	 167.85		108.54   	 366.22		
-46.69   	-82.70   	101.32   	 162.77		110.01   	 356.05		
-47.91   	-92.16   	101.97   	 152.59		111.43   	 335.71		
-45.47   	-100.71   	102.58   	 152.59		112.78   	 345.88		
-42.11   	-107.12   	103.19   	 152.59		114.16   	 381.48		
-40.89   	-114.75   	103.80   	 152.59		115.69   	 295.01		
-41.81   	-126.04   	104.41   	 152.59		116.87   	 188.20		
-43.95   	-136.11   	105.03   	 157.68		117.62   	 193.29		
-46.69   	-133.97   	105.66   	 157.68		118.39   	 223.80		
-50.66   	-113.22   	106.29   	 157.68		119.29   	 228.89		
-54.63   	-77.21   	106.92   	 152.59		120.20   	 193.29		
-56.15   	-39.98   	107.53   	 152.59		120.98   	 127.16		
-54.02   	-19.84   	108.14   	 147.51		121.48   	  71.21		
-48.52   	-25.33   	108.73   	 137.33		121.77   	  71.21		
-43.33   	-50.66   	109.28   	 132.25		122.05   	  91.56		
-39.67   	-79.35   	109.81   	 116.99		122.42   	  81.38		
-36.62   	-94.91   	110.27   	 106.82		122.75   	  20.35		
-32.35   	-90.03   	110.70   	  86.47		122.83(S)	 -35.61		
-26.25   	-69.58   	111.05   	  71.21		122.69   	 -45.78		
-21.06   	-45.17   	111.33   	  50.86		122.50   	 -25.43		
-17.70   	-29.30   	111.54   	  35.61		122.40   	 -20.35		
-14.65   	-29.30   	111.68   	  10.17		122.32   	 -45.78		
-10.07   	-43.33   	111.72(S)	 -10.17		122.14   	 -71.21		
 -3.97   	-61.04   	111.68   	 -30.52		121.85   	 -86.47		
  2.14   	-70.80   	111.56   	 -50.86		121.51   	-101.73		
  6.41   	-65.92   	111.35   	 -66.12		121.10   	-137.33		
  9.16   	-51.88   	111.09   	 -91.56		120.55   	-116.99		
 11.90   	-38.76   	110.72   	-101.73		120.08   	 -66.12		
 13.73   	-32.35   	110.31   	-122.07		119.82   	-132.25		
 13.43   	-29.91   	109.83   	-137.33		119.29   	-233.98		
 12.21   	-21.67   	109.28   	-157.68		118.35   	-233.98		
 12.21   	 -3.66   	108.65   	-167.85		117.42   	-193.29		
 15.56   	 15.26   	107.98   	-188.20		116.64   	-162.77		
 20.75   	 20.75   	107.22   	-198.37		115.99   	-193.29		
 23.50   	  3.66   	106.43   	-213.63		115.22   	-239.06		
 21.36   	-28.69   	105.57   	-218.72		114.26   	-279.75		
 16.78   	-57.07   	104.70   	-233.98		113.14   	-295.01		
 14.95   	-63.17   	103.76   	-239.06		111.96   	-289.93		
 17.40   	-40.89   	102.81   	-239.06		110.80   	-295.01		
 21.97   	 -1.83   	101.85   	-233.98		109.62   	-315.36		
 24.41   	 34.48   	100.92   	-233.98		108.36   	-335.71		
 21.06   	 50.96   	 99.98   	-223.80		107.02   	-340.79		
 14.65   	 43.64   	 99.08   	-208.54		105.66   	-345.88		
 10.07   	 22.28   	 98.25   	-203.46		104.27   	-345.88		
 10.38   	  1.53   	 97.44   	-188.20		102.89   	-356.05		
 14.65   	 -8.85   	 96.68   	-178.03		101.46   	-350.97		
 19.53   	-10.07   	 95.97   	-162.77		100.06   	-340.79		
 21.06   	 -9.46   	 95.32   	-152.59		 98.70   	-335.71		
 17.09   	-15.26   	 94.71   	-147.51		 97.35   	-310.27		
  9.77   	-30.21   	 94.12   	-132.25		 96.11   	-274.67		
  3.05   	-53.10   	 93.59   	-132.25		 95.01   	-254.32		
  0.92   	-79.65   	 93.06   	-122.07		 94.00   	-233.98		
  4.88   	-100.10   	 92.57   	-116.99		 93.06   	-228.89		
 12.21   	-100.40   	 92.11   	-106.82		 92.15   	-239.06		
 17.40   	-71.41   	 91.68   	-106.82		 91.19   	-244.15		
 15.87   	-19.53   	 91.25   	-101.73		 90.21   	-244.15		
  8.85   	 32.04   	 90.84   	-101.73		 89.24   	-228.89		
  1.53   	 55.54   	 90.44   	 -91.56		 88.32   	-223.80		
 -1.83   	 39.98   	 90.07   	 -96.64		 87.43   	-213.63		
 -0.61   	 -0.31   	 89.68   	 -91.56		 86.57   	-223.80		
  1.53   	-37.54   	 89.32   	 -91.56		 85.68   	-233.98		
  1.22   	-52.80   	 88.95   	 -96.64		 84.74   	-193.29		
 -1.53   	-47.00   	 88.57   	 -91.56		 83.97   	-142.42		
 -3.66   	-34.48   	 88.20   	 -91.56		 83.40   	-167.85		
 -3.05   	-29.30   	 87.83   	 -96.64		 82.73   	-198.37		
 -0.92   	-34.79   	 87.45   	 -91.56		 81.93   	-178.03		
 -0.31   	-44.25   	 87.08   	 -96.64		 81.22   	-142.42		
 -1.53   	-47.61   	 86.69   	 -96.64		 80.65   	-127.16		
 -2.14   	-40.89   	 86.31   	 -91.56		 80.14   	-122.07		
 -0.92   	-28.38   	 85.94   	 -96.64		 79.65   	-127.16		
  0.31   	-19.84   	 85.55   	 -91.56		 79.15   	-137.33		
 -0.31   	-22.58   	 85.19   	 -91.56		 78.60   	-132.25		
 -2.14   	-38.45   	 84.82   	 -86.47		 78.07   	-132.25		
 -2.14   	-61.95   	 84.48   	 -86.47		 77.54   	-111.90		
  1.53   	-81.79   	 84.13   	 -86.47		 77.09   	 -96.64		
  5.80   	-87.59   	 83.78   	 -81.38		 76.70   	 -91.56		
  5.80   	-73.85   	 83.46   	 -81.38		 76.34   	 -91.56		
 -1.22   	-42.72   	 83.13   	 -76.30		 75.97   	 -91.56		
-11.29   	 -5.49   	 82.83   	 -76.30		 75.60   	 -96.64		
-18.01   	 22.89   	 82.52   	 -76.30		 75.22   	 -86.47		
-16.17   	 31.13   	 82.22   	 -76.30		 74.87   	 -86.47		
 -7.63   	 19.84   	 81.91   	 -76.30		 74.53   	 -81.38		
  2.14   	 -0.31   	 81.61   	 -76.30		 74.20   	 -91.56		
  8.85   	-15.87   	 81.30   	 -76.30		 73.83   	 -91.56		
 10.38   	-21.06   	 81.00   	 -81.38		 73.47   	 -61.04		
  8.54   	-19.53   	 80.67   	 -76.30		 73.22   	 -30.52		
  5.49   	-18.31   	 80.37   	 -81.38		 73.10   	 -66.12		
  1.83   	-21.97   	 80.04   	 -81.38		 72.84   	-106.82		
 -2.44   	-31.13   	 79.71   	 -81.38		 72.41   	 -91.56		
 -6.71   	-42.42   	 79.39   	 -86.47		 72.04   	 -55.95		
-10.38   	-52.80   	 79.04   	 -81.38		 71.82   	 -30.52		
-10.38   	-60.73   	 78.72   	 -86.47		 71.70   	 -30.52		
 -6.71   	-65.92   	 78.37   	 -91.56		 71.58   	 -55.95		
 -0.31   	-64.70   	 78.01   	 -86.47		 71.35   	 -61.04		
  5.80   	-53.10   	 77.66   	 -86.47		 71.11   	 -55.95		
  7.63   	-30.52   	 77.31   	 -86.47		 70.88   	 -55.95		
  5.19   	 -1.83   	 76.97   	 -86.47		 70.66   	 -40.69		
  2.14   	 21.97   	 76.62   	 -81.38		 70.50   	 -30.52		
  1.22   	 30.82   	 76.30   	 -86.47		 70.38   	 -35.61		
  2.75   	 22.58   	 75.95   	 -81.38		 70.23   	 -40.69		
  4.27   	  4.58   	 75.63   	 -76.30		 70.07   	 -50.86		
  3.05   	-13.43   	 75.32   	 -81.38		 69.87   	 -50.86		
 -0.31   	-25.94   	 74.99   	 -76.30		 69.66   	 -50.86		
 -2.14   	-31.43   	 74.69   	 -71.21		 69.46   	 -45.78		
  2.14   	-31.13   	 74.40   	 -76.30		 69.28   	 -50.86		
 10.07   	-25.33   	 74.10   	 -71.21		 69.07   	 -45.78		
 15.56   	-15.56   	 73.81   	 -76.30		 68.89   	 -30.52		
 12.51   	 -6.41   	 73.51   	 -71.21		 68.77   	 -25.43		
  2.44   	 -2.44   	 73.22   	 -66.12		 68.67   	 -35.61		
 -7.63   	 -6.41   	 72.96   	 -71.21		 68.52   	 -50.86		
-10.07   	-15.87   	 72.68   	 -66.12		 68.32   	 -50.86		
 -3.05   	-25.63   	 72.41   	 -66.12		 68.12   	 -50.86		
  6.71   	-32.04   	 72.15   	 -66.12		 67.91   	 -45.78		
 11.90   	-32.96   	 71.88   	 -66.12		 67.73   	 -45.78		
  9.77   	-27.77   	 71.62   	 -66.12		 67.55   	 -45.78		
  2.75   	-18.01   	 71.35   	 -66.12		 67.36   	 -55.95		
 -3.05   	 -8.54   	 71.09   	 -61.04		 67.14   	 -55.95		
 -3.66   	 -6.10   	 70.84   	 -66.12		 66.92   	 -40.69		
  0.31   	-16.17   	 70.58   	 -71.21		 66.75   	 -45.78		
  5.80   	-34.79   	 70.29   	 -66.12		 66.57   	 -55.95		
  8.54   	-49.44   	 70.03   	 -66.12		 66.35   	 -71.21		
  6.71   	-47.30   	 69.77   	 -66.12		 66.06   	 -25.43		
  3.97   	-25.02   	 69.50   	 -71.21		 65.96   	   0.00		
  2.75   	  5.49   	 69.22   	 -66.12		 65.96   	 -55.95		
  3.66   	 26.25   	 68.95   	 -71.21		 65.74   	 -91.56		
  4.27   	 25.63   	 68.67   	 -66.12		 65.37   	 -66.12		
  2.44   	  7.63   	 68.40   	 -66.12		 65.11   	 -35.61		
 -1.53   	-13.12   	 68.14   	 -61.04		 64.96   	 -15.26		
 -3.97   	-26.55   	 67.89   	 -66.12		 64.90   	 -25.43		
 -2.44   	-32.65   	 67.63   	 -61.04		 64.80   	 -55.95		
  2.14   	-35.71   	 67.39   	 -61.04		 64.58   	 -61.04		
  7.02   	-36.01   	 67.14   	 -55.95		 64.33   	 -45.78		
 10.07   	-26.86   	 66.92   	 -55.95		 64.15   	 -35.61		
 10.99   	 -1.22   	 66.69   	 -55.95		 64.01   	 -25.43		
 10.99   	 39.06   	 66.47   	 -50.86		 63.91   	 -35.61		
 10.68   	 82.70   	 66.27   	 -50.86		 63.76   	 -45.78		
 10.07   	115.05   	 66.06   	 -45.78		 63.58   	 -50.86		
 10.38   	127.56   	 65.88   	 -45.78		 63.38   	 -50.86		
 10.68   	123.29   	 65.70   	 -50.86		 63.17   	 -61.04		
 11.29   	111.69   	 65.49   	 -45.78		 62.93   	 -50.86		
 11.90   	103.15   	 65.31   	 -45.78		 62.73   	 -40.69		
 12.82   	102.54   	 65.13   	 -45.78		 62.56   	 -40.69		
 15.26   	107.73   	 64.94   	 -50.86		 62.40   	 -35.61		
 18.92   	113.22   	 64.74   	 -45.78		 62.26   	 -35.61		
 23.19   	115.66   	 64.56   	 -50.86		 62.12   	 -40.69		
 27.77   	115.97   	 64.35   	 -50.86		 61.95   	 -45.78		
 32.35   	119.02   	 64.15   	 -50.86		 61.77   	 -50.86		
 38.15   	130.92   	 63.95   	 -50.86		 61.57   	 -40.69		
 45.78   	153.50   	 63.74   	 -50.86		 61.40   	 -20.35		
 52.49   	180.05   	 63.54   	 -50.86		 61.32   	 -15.26		
 55.24   	199.89   	 63.34   	 -50.86		 61.26   	 -45.78		
 51.57   	204.47   	 63.13   	 -50.86		 61.08   	 -61.04		
 42.42   	191.96   	 62.93   	 -50.86		 60.83   	 -45.78		
 32.35   	166.93   	 62.73   	 -45.78		 60.65   	 -20.35		
 25.33   	136.11   	 62.54   	 -50.86		 60.57   	 -20.35		
 23.80   	102.84   	 62.34   	 -45.78		 60.49   	 -35.61		
 24.41   	 68.05   	 62.16   	 -40.69		 60.35   	 -45.78		
 21.97   	 31.13   	 61.99   	 -40.69		 60.16   	 -40.69		
 15.26   	 -4.27   	 61.83   	 -40.69		 60.00   	 -35.61		
  6.71   	-32.35   	 61.67   	 -35.61		 59.86   	 -35.61		
 -0.31   	-47.30   	 61.53   	 -35.61		 59.71   	 -45.78		
 -4.88   	-48.22   	 61.38   	 -30.52		 59.53   	 -40.69		
 -7.93   	-38.15   	 61.26   	 -35.61		 59.37   	 -35.61		
-10.07   	-24.72   	 61.12   	 -25.43		 59.23   	 -35.61		
 -9.46   	-16.78   	 61.02   	 -30.52		 59.08   	 -25.43		
 -4.88   	-19.84   	 60.89   	 -30.52		 58.98   	 -35.61		
  1.22   	-32.04   	 60.77   	 -30.52		 58.84   	 -45.78		
  4.27   	-45.78   	 60.65   	 -25.43		 58.66   	 -30.52		
  2.75   	-55.54   	 60.55   	 -30.52		 58.53   	 -30.52		
 -1.83   	-61.04   	 60.43   	 -25.43		 58.41   	 -25.43		
 -5.80   	-65.00   	 60.33   	 -30.52		 58.31   	 -30.52		
 -8.24   	-72.33   	 60.20   	 -25.43		 58.19   	 -40.69		
-10.38   	-83.01   	 60.10   	 -30.52		 58.03   	 -45.78		
-14.65   	-96.74   	 59.98   	 -30.52		 57.84   	 -30.52		
-20.14   	-113.53   	 59.86   	 -35.61		 57.72   	 -15.26		
-25.94   	-129.39   	 59.71   	 -30.52		 57.66   	 -15.26		
-28.99   	-133.36   	 59.59   	 -40.69		 57.60   	 -30.52		
-25.33   	-106.81   	 59.43   	 -35.61		 57.48   	 -45.78		
 -6.41   	-28.99   	 59.29   	 -40.69		 57.29   	 -50.86		
 35.10   	118.41   	 59.12   	 -40.69		 57.09   	 -35.61		
101.93   	348.21   	 58.96   	 -40.69		 56.95   	 -35.61		
188.90   	663.15   	 58.80   	 -45.78		 56.81   	 -25.43		
282.90   	1035.77   	 58.62   	 -91.56		 56.70   	 -40.69		
407.41   	1562.81(R)	 58.25   	 -40.69		 56.54   	 -20.35		
401.61   	1483.76   	 58.09   	 -40.69		 56.46   	 -20.35		
346.07   	1133.73   	 57.92   	 -40.69		 56.38   	 -25.43		
263.06   	628.97   	 57.76   	 -35.61		 56.28   	 -40.69		
185.55   	157.17   	 57.62   	 -30.52		 56.11   	 -35.61		
137.02   	-134.89   	 57.50   	 -30.52		 55.97   	 -25.43		
115.36   	-218.20   	 57.38   	 -25.43		 55.87   	 -20.35		
 98.57   	-164.18   	 57.27   	 -20.35		 55.79   	 -15.26		
 66.83   	-73.24   	 57.19   	 -20.35		 55.73   	 -15.26		
 20.45   	-16.78   	 57.11   	 -20.35		 55.67   	 -20.35		
-22.58   	-13.73   	 57.03   	 -15.26		 55.58   	 -20.35		
-43.95   	-47.61   	 56.97   	 -15.26		 55.50   	 -35.61		
-40.89   	-95.83   	 56.91   	 -15.26		 55.36   	 -40.69		
-28.69   	-142.21   	 56.85   	 -15.26		 55.20   	 -45.78		
-23.50   	-177.00   	 56.79   	 -10.17		 55.02   	 -45.78		
-28.08   	-197.45   	 56.74   	 -10.17		 54.83   	 -40.69		
-34.48   	-206.91   	 56.70   	  -5.09		 54.67   	 -45.78		
-35.71   	-209.96   	 56.68(D)	   0.00		 54.49   	 -40.69		
-31.13   	-205.08   	 56.68   	  10.17		 54.32   	 -25.43		
-25.33   	-187.07   	 56.72   	  20.35		 54.22   	 -10.17		
-23.19   	-157.17   	 56.81   	  40.69		 54.18   	 -10.17		
-25.02   	-126.34   	 56.97   	  61.04		 54.14   	 -20.35		
-28.08   	-110.17   	 57.21   	  81.38		 54.06   	 -30.52		
-30.52   	-116.58   	 57.54   	 111.90		 53.94   	 -25.43		
-32.65   	-140.38   	 57.99   	 142.42		 53.83   	 -25.43		
-34.18   	-165.41   	 58.56   	 172.94		 53.73   	 -35.61		
-35.10   	-179.14   	 59.25   	 203.46		 53.59   	 -40.69		
-35.40   	-180.97   	 60.06   	 228.89		 53.43   	 -40.69		
-33.87   	-180.05   	 60.98   	 254.32		 53.27   	 -15.26		
-30.21   	-184.94   	 61.99   	 274.67		 53.20(D)	  30.52		
-24.41   	-195.31   	 63.09   	 295.01		 53.33   	  55.95		
-20.14   	-203.25   	 64.27   	 310.27		 53.55   	  66.12		
-21.67   	-201.72   	 65.51   	 320.45		 53.81   	  61.04		
-29.60   	-191.04   	 66.80   	 325.53		 54.06   	  81.38		
-40.59   	-177.61   	 68.10   	 335.71		 54.38   	 137.33		
-47.91   	-168.46   	 69.44   	 330.62		 54.93   	 233.98		
-47.30   	-164.49   	 70.76   	 335.71		 55.87   	 361.14		
-40.28   	-162.35   	 72.11   	 335.71		 57.31   	 493.39		
-33.57   	-160.52   	 73.45   	 330.62		 59.29   	 600.20		
-31.13   	-161.44   	 74.77   	 330.62		 61.69   	 620.55		
-33.87   	-167.24   	 76.09   	 330.62		 64.17   	 584.94		
-38.76   	-175.48   	 77.42   	 330.62		 66.51   	 539.16		
-40.89   	-177.31   	 78.74   	 325.53		 68.67   	 518.82		
-38.15   	-166.63   	 80.04   	 325.53		 70.74   	 498.47		
-32.96   	-147.71   	 81.34   	 325.53		 72.74   	 503.56		
-30.52   	-133.06   	 82.64   	 320.45		 74.75   	 513.73		
-34.79   	-133.36   	 83.93   	 315.36		 76.81   	 513.73		
-43.64   	-147.09   	 85.19   	 310.27		 78.86   	 513.73		
-50.35   	-163.57   	 86.43   	 310.27		 80.92   	 528.99		
-50.35   	-173.95   	 87.67   	 305.19		 83.03   	 544.25		
-43.95   	-177.31   	 88.89   	 300.10		 85.21   	 549.34		
-37.54   	-176.39   	 90.09   	 300.10		 87.41   	 544.25		
-35.40   	-170.90   	 91.29   	 289.93		 89.58   	 528.99		
-36.62   	-156.56   	 92.45   	 279.75		 91.70   	 559.51		
-36.01   	-132.14   	 93.57   	 269.58		 93.94   	 610.37		
-32.96   	-106.20   	 94.65   	 259.41		 96.38   	 564.60		
-29.91   	-91.25   	 95.69   	 249.24		 98.64   	 473.04		
-30.82   	-92.77   	 96.68   	 233.98		100.53   	 462.87		
-36.93   	-104.68   	 97.62   	 223.80		102.38   	 483.21		
-45.47   	-115.36   	 98.51   	 213.63		104.31   	 483.21		
-51.57   	-120.24   	 99.37   	 203.46		106.25   	 447.61		
-53.41   	-124.21   	100.18   	 193.29		108.04   	 396.74		
-52.80   	-134.28   	100.96   	 188.20		109.62   	 371.31		
-51.27   	-148.32   	101.71   	 188.20		111.11   	 350.97		
-49.13   	-151.98   	102.46   	 178.03		112.51   	 335.71		
-47.30   	-133.06   	103.17   	 172.94		113.86   	 310.27		
-46.08   	-92.77   	103.87   	 172.94		115.10   	 264.50		
-47.00   	-48.22   	104.56   	 162.77		116.15   	 244.15		
-50.66   	-22.28   	105.21   	 157.68		117.13   	 249.24		
-56.46   	-23.80   	105.84   	 152.59		118.13   	 233.98		
-62.26   	-43.33   	106.45   	 147.51		119.06   	 183.11		
-66.22   	-62.56   	107.04   	 132.25		119.80   	 127.16		
-68.36   	-70.19   	107.57   	 122.07		120.30   	 122.07		
-68.05   	-65.92   	108.06   	 111.90		120.79   	 116.99		
