  I     	  II     	  LVp     	  LVp'		
-55.85   	-117.49   	 25.31   	 691.76		
-54.32   	-115.36   	 28.08   	 742.62		
-55.24   	-112.30   	 31.05   	 778.23		
-56.46   	-108.34   	 34.16   	 803.66		
-55.24   	-102.23   	 37.38   	 813.83		
-50.35   	-94.91   	 40.63   	 818.92		
-43.95   	-89.11   	 43.91   	 813.83		
-39.67   	-86.36   	 47.16   	 803.66		
-39.67   	-87.59   	 50.38   	 783.31		
-42.72   	-90.64   	 53.51   	 768.05		
-44.56   	-91.25   	 56.58   	 737.54		
-42.11   	-88.20   	 59.53   	 717.19		
-36.93   	-81.79   	 62.40   	 686.67		
-31.74   	-73.85   	 65.15   	 666.32		
-28.99   	-66.83   	 67.81   	 635.81		
-29.30   	-61.95   	 70.36   	 610.37		
-31.13   	-59.20   	 72.80   	 590.03		
-32.96   	-57.98   	 75.16   	 564.60		
-32.65   	-57.37   	 77.42   	 539.16		
-29.30   	-55.24   	 79.57   	 513.73		
-22.89   	-49.44   	 81.63   	 488.30		
-13.43   	-39.06   	 83.58   	 467.95		
 -2.75   	-25.63   	 85.45   	 442.52		
  5.19   	-14.04   	 87.22   	 422.18		
  6.71   	 -9.46   	 88.91   	 396.74		
  1.22   	-12.82   	 90.50   	 381.48		
 -8.85   	-19.84   	 92.02   	 366.22		
-16.78   	-22.58   	 93.49   	 345.88		
-17.09   	-16.48   	 94.87   	 330.62		
 -8.85   	 -2.75   	 96.19   	 320.45		
  3.36   	 13.12   	 97.48   	 305.19		
 13.73   	 24.72   	 98.70   	 289.93		
 18.62   	 30.82   	 99.86   	 279.75		
 18.31   	 33.57   	100.98   	 269.58		
 16.17   	 35.40   	102.05   	 259.41		
 15.56   	 38.45   	103.09   	 244.15		
 17.70   	 41.81   	104.07   	 233.98		
 21.97   	 44.86   	105.00   	 218.72		
 25.63   	 47.30   	105.88   	 208.54		
 27.47   	 49.44   	106.71   	 198.37		
 27.77   	 51.57   	107.51   	 188.20		
 28.08   	 53.71   	108.26   	 172.94		
 29.30   	 54.93   	108.95   	 162.77		
 30.52   	 55.24   	109.60   	 147.51		
 30.52   	 54.63   	110.19   	 132.25		
 28.38   	 54.02   	110.72   	 122.07		
 25.94   	 54.02   	111.21   	 111.90		
 24.72   	 54.32   	111.66   	  91.56		
 25.02   	 54.02   	112.02   	  81.38		
 26.25   	 51.57   	112.35   	  61.04		
 26.55   	 47.61   	112.59   	  50.86		
 25.63   	 42.72   	112.80   	  35.61		
 23.80   	 39.06   	112.94   	  15.26		
 20.75   	 36.01   	113.00   	   0.00		
 16.17   	 32.04   	113.00   	 -20.35		
