  I     	  II     	  FA     	  FA'		  LV     	  LV'		
-65.00   	-97.35   	 73.08   	 -50.86		 11.76   	  35.61		
-77.21   	-86.36   	 72.88   	 -50.86		 11.90   	  35.61		
-80.26   	-54.02   	 72.68   	 -50.86		 12.04   	  35.61		
-58.59   	  3.36   	 72.47   	 -50.86		 12.19   	  35.61		
 -0.92   	 79.35   	 72.27   	 -50.86		 12.33   	  40.69		
 94.91   	155.94   	 72.06   	 -45.78		 12.49   	  45.78		
216.67   	220.34   	 71.88   	 -45.78		 12.68   	  45.78		
342.10   	276.49   	 71.70   	 -45.78		 12.86   	  55.95		
446.78   	343.02   	 71.52   	 -45.78		 13.08   	  61.04		
505.68   	424.50   	 71.33   	 -40.69		 13.33   	  61.04		
497.13   	498.35   	 71.17   	 -45.78		 13.57   	  66.12		
411.68   	526.43(R)	 70.99   	 -45.78		 13.84(E)	  66.12		
262.15   	480.35   	 70.80   	 -40.69		 14.10   	  61.04		
 86.98   	363.46   	 70.64   	 -45.78		 14.34   	  66.12		
-62.26   	214.84   	 70.46   	 -40.69		 14.61   	  76.30		
-146.48   	 80.87   	 70.29   	 -45.78		 14.91   	  81.38		
-160.52   	-13.73   	 70.11   	 -40.69		 15.24   	 101.73		
-130.92   	-67.75   	 69.95   	 -40.69		 15.65   	 127.16		
-94.30   	-92.47   	 69.79   	 -40.69		 16.15   	 162.77		
-71.72   	-98.57   	 69.62   	 -45.78		 16.81   	 213.63		
-64.09   	-93.08   	 69.44   	 -40.69		 17.66   	 269.58		
-61.95   	-79.04   	 69.28   	 -40.69		 18.74   	 335.71		
-58.29   	-61.95   	 69.11   	 -45.78		 20.08   	 406.92		
-54.32   	-50.35   	 68.93   	 -45.78		 21.71   	 493.39		
-52.49   	-47.91   	 68.75   	 -45.78		 23.68   	 579.86		
-52.80   	-54.02   	 68.57   	 -45.78		 26.00   	 676.50		
-52.49   	-63.17   	 68.38   	 -55.95		 28.71   	 762.97		
-49.44   	-69.27   	 68.16   	 -50.86		 31.76   	 849.44		
-45.17   	-71.11   	 67.95   	 -61.04		 35.16   	 925.73		
-42.72   	-70.19   	 67.71   	 -61.04		 38.86   	 981.68		
-42.72   	-69.27   	 67.47   	 -61.04		 42.79   	1017.29		
-42.72   	-68.66   	 67.22   	 -61.04		 46.86   	1027.46		
-43.03   	-67.44   	 66.98   	 -61.04		 50.97   	1022.38		
-43.03   	-64.39   	 66.73   	 -61.04		 55.06   	 991.86		
-43.95   	-61.34   	 66.49   	 -55.95		 59.02   	 956.25		
-46.39   	-60.73   	 66.27   	 -55.95		 62.85   	 905.39		
-48.22   	-64.09   	 66.04   	 -50.86		 66.47   	 854.52		
-46.39   	-66.83   	 65.84   	 -45.78		 69.89   	 808.75		
-40.28   	-65.00   	 65.66   	 -45.78		 73.12   	 762.97		
-32.35   	-57.98   	 65.47   	 -35.61		 76.17   	 727.36		
-26.55   	-48.22   	 65.33   	 -35.61		 79.08   	 701.93		
-27.77   	-42.72   	 65.19   	 -25.43		 81.89   	 671.41		
-35.10   	-45.78   	 65.09   	 -15.26		 84.58   	 656.15		
-43.64   	-54.32   	 65.03(D)	   0.00		 87.20   	 630.72		
-47.30   	-62.87   	 65.03   	  20.35		 89.72   	 610.37		
-43.33   	-66.22   	 65.11   	  66.12		 92.17   	 584.94		
-34.79   	-63.17   	 65.37   	 127.16		 94.51   	 559.51		
-28.08   	-56.76   	 65.88   	 213.63		 96.74   	 534.08		
-26.55   	-47.91   	 66.73   	 310.27		 98.88   	 498.47		
-27.77   	-37.84   	 67.98   	 412.00		100.87   	 462.87		
-25.94   	-26.86   	 69.62   	 513.73		102.73   	 427.26		
-18.62   	-17.40   	 71.68   	 590.03		104.43   	 401.83		
 -9.46   	-13.12   	 74.04   	 640.89		106.04   	 366.22		
 -4.27   	-15.87   	 76.60   	 681.58		107.51   	 340.79		
 -5.19   	-22.58   	 79.33   	 696.84		108.87   	 325.53		
 -8.85   	-28.69   	 82.12   	 701.93		110.17   	 310.27		
-11.60   	-30.52   	 84.92   	 696.84		111.41   	 289.93		
 -9.16   	-25.94   	 87.71   	 686.67		112.57   	 284.84		
 -1.22   	-15.87   	 90.46   	 671.41		113.71   	 274.67		
  7.63   	 -3.36   	 93.14   	 656.15		114.81   	 264.50		
 16.17   	  7.93   	 95.77   	 640.89		115.87   	 254.32		
 22.89   	 14.34   	 98.33   	 625.63		116.89   	 244.15		
 27.77   	 14.65   	100.83   	 600.20		117.86   	 239.06		
 33.57   	 13.43   	103.23   	 584.94		118.82   	 228.89		
 41.20   	 15.26   	105.57   	 564.60		119.74   	 228.89		
 48.22   	 21.06   	107.83   	 539.16		120.65   	 223.80		
 52.80   	 29.30   	109.99   	 508.65		121.55   	 223.80		
 54.02   	 36.93   	112.02   	 483.21		122.44   	 223.80		
 54.63   	 43.64   	113.96   	 452.69		123.34   	 218.72		
 57.68   	 52.19   	115.77   	 427.26		124.21   	 218.72		
 64.39   	 62.56   	117.48   	 401.83		125.09   	 218.72		
 71.72   	 72.33   	119.08   	 376.40		125.96   	 203.46		
 77.51   	 79.65   	120.59   	 356.05		126.77   	 198.37		
 80.26   	 82.70   	122.01   	 335.71		127.57   	 183.11		
 82.40   	 83.92   	123.36   	 315.36		128.30   	 167.85		
 86.36   	 86.98   	124.62   	 295.01		128.97   	 147.51		
 93.08   	 93.99   	125.80   	 279.75		129.56   	 132.25		
102.23   	103.76   	126.92   	 259.41		130.09   	 116.99		
109.25   	113.83   	127.95   	 249.24		130.56   	 106.82		
111.08   	121.77   	128.95   	 228.89		130.99   	  96.64		
107.42   	126.95   	129.87   	 213.63		131.37   	  86.47		
101.62   	130.00   	130.72   	 198.37		131.72   	  91.56		
 97.96   	131.53   	131.52   	 178.03		132.08   	  96.64		
 96.13   	130.31   	132.23   	 162.77		132.47   	  96.64		
 92.77   	123.90   	132.88   	 147.51		132.86   	  96.64		
 83.31   	111.69   	133.47   	 127.16		133.24   	  96.64		
 68.05   	 95.52   	133.98   	 111.90		133.63   	  81.38		
 51.88   	 77.82   	134.42   	  96.64		133.96   	  61.04		
 38.76   	 61.34   	134.81   	  81.38		134.20   	  45.78		
 28.08   	 47.61   	135.14   	  66.12		134.38   	  25.43		
 15.56   	 34.18   	135.40   	  50.86		134.49   	   5.09		
 -1.83   	 17.70   	135.60   	  35.61		134.51(S)	 -15.26		
-21.06   	 -0.31   	135.75   	  25.43		134.45   	 -20.35		
-34.79   	-15.56   	135.85   	  10.17		134.36   	 -35.61		
-39.37   	-24.72   	135.89(S)	   0.00		134.22   	 -45.78		
-36.62   	-25.63   	135.89   	 -15.26		134.04   	 -55.95		
-31.74   	-21.36   	135.83   	 -30.52		133.81   	 -66.12		
-30.82   	-18.62   	135.71   	 -35.61		133.55   	 -81.38		
-34.79   	-21.36   	135.56   	 -50.86		133.22   	 -91.56		
-39.67   	-27.77   	135.36   	 -66.12		132.86   	-106.82		
-42.11   	-32.96   	135.10   	 -71.21		132.43   	-122.07		
-42.42   	-34.79   	134.81   	 -86.47		131.94   	-137.33		
-42.11   	-33.87   	134.47   	 -91.56		131.39   	-157.68		
-42.72   	-34.79   	134.10   	-111.90		130.76   	-167.85		
-44.56   	-39.98   	133.65   	-116.99		130.09   	-198.37		
-46.69   	-49.13   	133.18   	-127.16		129.30   	-223.80		
-48.22   	-55.85   	132.67   	-142.42		128.40   	-264.50		
-47.91   	-55.24   	132.11   	-152.59		127.34   	-300.10		
-45.78   	-45.17   	131.49   	-167.85		126.14   	-350.97		
-42.11   	-30.82   	130.82   	-178.03		124.74   	-401.83		
-38.45   	-22.89   	130.11   	-193.29		123.13   	-452.69		
-36.93   	-26.55   	129.34   	-208.54		121.32   	-513.73		
-39.06   	-39.98   	128.50   	-223.80		119.27   	-569.68		
-43.64   	-53.41   	127.61   	-239.06		116.99   	-635.81		
-47.30   	-58.29   	126.65   	-259.41		114.45   	-701.93		
-46.69   	-52.80   	125.61   	-279.75		111.64   	-783.31		
-42.11   	-42.42   	124.50   	-295.01		108.50   	-864.70		
-36.32   	-34.48   	123.32   	-315.36		105.05   	-946.08		
-32.65   	-31.43   	122.05   	-340.79		101.26   	-1027.46		
-31.43   	-31.13   	120.69   	-356.05		 97.15   	-1088.50		
-32.35   	-32.04   	119.27   	-381.48		 92.80   	-1129.19		
-35.40   	-33.26   	117.74   	-391.66		 88.28   	-1159.71		
-39.67   	-34.18   	116.17   	-412.00		 83.64   	-1164.80		
-43.03   	-34.18   	114.53   	-417.09		 78.98   	-1149.54		
-43.33   	-32.04   	112.86   	-412.00		 74.38   	-1124.11		
-39.67   	-27.16   	111.21   	-406.92		 69.89   	-1088.50		
-33.26   	-21.97   	109.58   	-381.48		 65.53   	-1047.81		
-28.69   	-19.53   	108.06   	-366.22		 61.34   	-1017.29		
-29.60   	-20.75   	106.59   	-335.71		 57.27   	-976.60		
-34.79   	-24.41   	105.25   	-310.27		 53.37   	-940.99		
-39.06   	-27.47   	104.01   	-284.84		 49.60   	-910.47		
-39.37   	-28.38   	102.87   	-269.58		 45.96   	-869.78		
-36.01   	-26.86   	101.79   	-244.15		 42.48   	-829.09		
-31.74   	-24.72   	100.81   	-228.89		 39.17   	-773.14		
-28.38   	-24.41   	 99.90   	-213.63		 36.07   	-722.28		
-26.55   	-27.16   	 99.04   	-208.54		 33.18   	-666.32		
-25.94   	-30.82   	 98.21   	-193.29		 30.52   	-605.29		
-26.86   	-32.96   	 97.44   	-193.29		 28.10   	-554.42		
-29.60   	-31.74   	 96.66   	-183.11		 25.88   	-503.56		
-33.57   	-29.30   	 95.93   	-178.03		 23.87   	-462.87		
-38.15   	-29.60   	 95.22   	-167.85		 22.01   	-427.26		
-40.59   	-34.79   	 94.55   	-167.85		 20.31   	-401.83		
-39.37   	-40.89   	 93.88   	-162.77		 18.70   	-371.31		
-35.40   	-43.33   	 93.22   	-152.59		 17.21   	-345.88		
-31.13   	-40.89   	 92.61   	-152.59		 15.83   	-315.36		
-28.08   	-36.62   	 92.00   	-147.51		 14.57   	-289.93		
-28.38   	-36.32   	 91.41   	-137.33		 13.41   	-249.24		
-31.74   	-41.20   	 90.86   	-137.33		 12.41   	-218.72		
-34.48   	-47.00   	 90.32   	-127.16		 11.54   	-188.20		
-34.18   	-47.00   	 89.81   	-127.16		 10.78   	-152.59		
-30.52   	-40.59   	 89.30   	-122.07		 10.17   	-132.25		
-25.63   	-32.04   	 88.81   	-116.99		  9.64   	-106.82		
-23.19   	-28.38   	 88.34   	-116.99		  9.22   	 -91.56		
-25.02   	-32.96   	 87.87   	-106.82		  8.85   	 -76.30		
-30.21   	-43.64   	 87.45   	-106.82		  8.55   	 -66.12		
-36.01   	-53.71   	 87.02   	-106.82		  8.28   	 -61.04		
-41.20   	-58.59   	 86.59   	-101.73		  8.04   	 -45.78		
-44.25   	-55.85   	 86.18   	 -96.64		  7.85   	 -40.69		
-44.56   	-48.52   	 85.80   	 -96.64		  7.69   	 -35.61		
-43.33   	-42.72   	 85.41   	 -91.56		  7.55   	 -30.52		
-42.11   	-43.64   	 85.05   	 -86.47		  7.43   	 -20.35		
-43.03   	-50.66   	 84.70   	 -86.47		  7.34   	 -20.35		
-46.69   	-59.81   	 84.35   	 -86.47		  7.26   	 -20.35		
-50.35   	-63.78   	 84.01   	 -81.38		  7.18   	 -15.26		
-50.66   	-57.68   	 83.68   	 -81.38		  7.12   	 -20.35		
-45.78   	-42.42   	 83.36   	 -81.38		  7.04   	 -20.35		
-37.23   	-24.41   	 83.03   	 -76.30		  6.96   	 -20.35		
-27.47   	-10.07   	 82.73   	 -76.30		  6.88   	 -15.26		
-19.53   	 -1.83   	 82.42   	 -76.30		  6.82   	 -20.35		
-15.56   	  2.75   	 82.12   	 -76.30		  6.73   	 -10.17		
-14.34   	  7.02   	 81.81   	 -76.30		  6.69   	 -15.26		
-14.95   	 13.12   	 81.51   	 -76.30		  6.63   	 -10.17		
-16.48   	 19.23   	 81.20   	 -76.30		  6.59   	  -5.09		
-18.31   	 21.67   	 80.89   	 -71.21		  6.57   	   0.00		
-20.45   	 19.53   	 80.61   	 -76.30		  6.57   	  -5.09		
-21.36   	 16.48   	 80.30   	 -71.21		  6.55(D)	   5.09		
-17.09   	 18.62   	 80.02   	 -71.21		  6.57   	   0.00		
 -6.71   	 27.77   	 79.74   	 -71.21		  6.57   	   5.09		
  8.85   	 39.37   	 79.45   	 -71.21		  6.59   	   0.00		
 25.02   	 47.00   	 79.17   	 -66.12		  6.59   	   5.09		
 35.40   	 44.25   	 78.90   	 -71.21		  6.61   	   5.09		
 37.54   	 31.74   	 78.62   	 -66.12		  6.63   	  10.17		
 32.65   	 14.65   	 78.35   	 -66.12		  6.67   	   5.09		
 24.41   	 -1.53   	 78.09   	 -66.12		  6.69   	   0.00		
 15.26   	-13.12   	 77.82   	 -66.12		  6.69   	   5.09		
  7.63   	-18.92   	 77.56   	 -66.12		  6.71   	   5.09		
  3.05   	-18.92   	 77.29   	 -61.04		  6.73   	   5.09		
  1.83   	-16.17   	 77.05   	 -66.12		  6.75   	   0.00		
  1.22   	-17.70   	 76.79   	 -66.12		  6.75   	   5.09		
 -2.75   	-28.38   	 76.52   	 -61.04		  6.78   	   5.09		
-13.12   	-48.22   	 76.28   	 -66.12		  6.80   	   5.09		
-28.99   	-70.19   	 76.01   	 -66.12		  6.82   	   0.00		
-44.86   	-85.14   	 75.75   	 -61.04		  6.82   	  10.17		
-53.71   	-87.89   	 75.50   	 -66.12		  6.86   	   5.09		
-54.63   	-80.87   	 75.24   	 -61.04		  6.88   	  10.17		
-50.66   	-70.80   	 74.99   	 -61.04		  6.92   	  15.26		
-46.08   	-64.39   	 74.75   	 -61.04		  6.98   	  15.26		
-44.86   	-64.70   	 74.51   	 -61.04		  7.04   	  25.43		
-46.39   	-71.72   	 74.26   	 -55.95		  7.14   	  30.52		
-49.74   	-80.87   	 74.04   	 -55.95		  7.26   	  35.61		
-54.32   	-87.89   	 73.81   	 -55.95		  7.41   	  40.69		
-58.29   	-90.03   	 73.59   	 -55.95		  7.57   	  45.78		
-61.04   	-87.89   	 73.37   	 -50.86		  7.75   	  45.78		
-61.34   	-84.53   	 73.16   	 -55.95		  7.93   	  45.78		
-58.59   	-81.48   	 72.94   	 -50.86		  8.12   	  40.69		
-55.85   	-79.65   	 72.74   	 -50.86		  8.28   	  45.78		
-57.07   	-79.04   	 72.53   	 -55.95		  8.46   	  35.61		
-63.17   	-81.48   	 72.31   	 -50.86		  8.61   	  35.61		
-70.80   	-86.98   	 72.11   	 -50.86		  8.75   	  30.52		
-75.99   	-91.55   	 71.90   	 -55.95		  8.87   	  25.43		
-77.51   	-86.98   	 71.68   	 -50.86		  8.97   	  25.43		
-74.77   	-63.48   	 71.47   	 -50.86		  9.07   	  25.43		
-64.39   	-17.70   	 71.27   	 -50.86		  9.18   	  25.43		
-36.01   	 44.25   	 71.07   	 -50.86		  9.28   	  30.52		
 23.50   	110.17   	 70.86   	 -45.78		  9.40   	  25.43		
121.77   	171.51   	 70.68   	 -50.86		  9.50   	  30.52		
246.89   	227.97   	 70.48   	 -45.78		  9.62   	  35.61		
373.54   	290.53   	 70.29   	 -45.78		  9.77   	  30.52		
471.80   	373.84   	 70.11   	 -45.78		  9.89   	  40.69		
514.53   	470.89   	 69.93   	 -40.69		 10.05   	  40.69		
481.57   	549.62   	 69.77   	 -45.78		 10.21   	  40.69		
371.40   	572.81(R)	 69.58   	 -45.78		 10.38(E)	  40.69		
204.47   	516.36   	 69.40   	 -40.69		 10.54   	  50.86		
 26.55   	390.63   	 69.24   	 -40.69		 10.74   	  55.95		
-106.81   	236.82   	 69.07   	 -40.69		 10.97   	  61.04		
-161.13   	 99.49   	 68.91   	 -40.69		 11.21   	  81.38		
-142.52   	  0.61   	 68.75   	 -40.69		 11.54   	  96.64		
-93.08   	-59.20   	 68.59   	 -40.69		 11.92   	 127.16		
-57.07   	-88.50   	 68.42   	 -35.61		 12.43   	 167.85		
-53.41   	-96.13   	 68.28   	 -40.69		 13.10   	 213.63		
-71.72   	-88.50   	 68.12   	 -40.69		 13.96   	 269.58		
-87.59   	-71.72   	 67.95   	 -40.69		 15.04   	 330.62		
-86.06   	-52.49   	 67.79   	 -40.69		 16.36   	 412.00		
-67.75   	-37.84   	 67.63   	 -45.78		 18.01   	 488.30		
-44.86   	-31.13   	 67.45   	 -45.78		 19.96   	 574.77		
-28.38   	-30.52   	 67.26   	 -45.78		 22.26   	 666.32		
-24.41   	-33.87   	 67.08   	 -50.86		 24.92   	 757.88		
-32.04   	-40.28   	 66.88   	 -55.95		 27.96   	 839.26		
-45.17   	-47.30   	 66.65   	 -55.95		 31.31   	 915.56		
-57.07   	-53.10   	 66.43   	 -55.95		 34.97   	 976.60		
-62.56   	-57.07   	 66.21   	 -61.04		 38.88   	1012.20		
-60.42   	-58.59   	 65.96   	 -55.95		 42.93   	1027.46		
-53.41   	-57.37   	 65.74   	 -61.04		 47.04   	1027.46		
-45.17   	-53.71   	 65.49   	 -55.95		 51.15   	1002.03		
-37.54   	-47.91   	 65.27   	 -55.95		 55.16   	 971.51		
-32.96   	-41.50   	 65.05   	 -55.95		 59.04   	 925.73		
-31.43   	-36.32   	 64.82   	 -50.86		 62.75   	 879.96		
-31.74   	-33.87   	 64.62   	 -45.78		 66.27   	 829.09		
-31.43   	-34.18   	 64.44   	 -40.69		 69.58   	 793.49		
-31.13   	-37.23   	 64.27   	 -40.69		 72.76   	 752.79		
-33.26   	-41.20   	 64.11   	 -35.61		 75.77   	 722.28		
-37.54   	-44.25   	 63.97   	 -30.52		 78.66   	 696.84		
-42.42   	-44.86   	 63.85   	 -25.43		 81.44   	 671.41		
-43.95   	-41.81   	 63.74   	 -10.17		 84.13   	 651.07		
-39.06   	-37.23   	 63.70(D)	   5.09		 86.73   	 630.72		
-30.21   	-32.65   	 63.72   	  35.61		 89.26   	 600.20		
-22.58   	-29.30   	 63.87   	  91.56		 91.66   	 574.77		
-19.53   	-27.77   	 64.23   	 162.77		 93.96   	 544.25		
-20.45   	-26.86   	 64.88   	 259.41		 96.13   	 513.73		
-21.67   	-25.63   	 65.92   	 366.22		 98.19   	 478.13		
-21.36   	-25.33   	 67.39   	 473.04		100.10   	 442.52		
-19.23   	-25.94   	 69.28   	 559.51		101.87   	 412.00		
-16.78   	-26.86   	 71.52   	 630.72		103.52   	 381.48		
-15.26   	-25.94   	 74.04   	 676.50		105.05   	 356.05		
-14.34   	-21.36   	 76.74   	 696.84		106.47   	 325.53		
-13.43   	-12.51   	 79.53   	 707.02		107.77   	 300.10		
-11.29   	 -1.83   	 82.36   	 696.84		108.97   	 279.75		
 -6.41   	  6.71   	 85.15   	 691.76		110.09   	 264.50		
  1.53   	 10.38   	 87.91   	 671.41		111.15   	 249.24		
 10.38   	  9.16   	 90.60   	 656.15		112.15   	 244.15		
 16.78   	  6.41   	 93.22   	 635.81		113.12   	 233.98		
 19.53   	  5.49   	 95.77   	 615.46		114.06   	 233.98		
 19.84   	  8.54   	 98.23   	 595.11		114.99   	 223.80		
 21.67   	 14.95   	100.61   	 569.68		115.89   	 223.80		
 27.16   	 21.67   	102.89   	 544.25		116.78   	 218.72		
 35.40   	 27.77   	105.07   	 523.90		117.66   	 213.63		
 43.95   	 33.57   	107.16   	 493.39		118.51   	 208.54		
 50.35   	 39.98   	109.13   	 462.87		119.35   	 203.46		
 54.63   	 48.52   	110.99   	 437.43		120.16   	 193.29		
 57.37   	 57.07   	112.74   	 412.00		120.94   	 193.29		
 59.51   	 63.17   	114.38   	 386.57		121.71   	 188.20		
 62.87   	 66.53   	115.93   	 361.14		122.46   	 183.11		
 70.19   	 71.11   	117.37   	 345.88		123.19   	 183.11		
 80.26   	 78.74   	118.76   	 320.45		123.93   	 178.03		
 91.55   	 89.72   	120.04   	 310.27		124.64   	 172.94		
 99.49   	100.40   	121.28   	 289.93		125.33   	 162.77		
102.23   	108.03   	122.44   	 274.67		125.98   	 152.59		
101.93   	112.92   	123.54   	 259.41		126.59   	 137.33		
102.84   	117.80   	124.58   	 244.15		127.14   	 122.07		
105.90   	125.12   	125.55   	 228.89		127.63   	 111.90		
107.73   	133.97   	126.47   	 208.54		128.08   	 101.73		
105.59   	141.91   	127.30   	 198.37		128.48   	  91.56		
 98.27   	144.65   	128.10   	 178.03		128.85   	  81.38		
 88.81   	140.38   	128.81   	 162.77		129.18   	  71.21		
 79.35   	129.70   	129.46   	 147.51		129.46   	  66.12		
 68.97   	113.53   	130.05   	 132.25		129.72   	  55.95		
 55.85   	 95.83   	130.58   	 111.90		129.95   	  45.78		
 40.59   	 80.57   	131.03   	  96.64		130.13   	  35.61		
 26.25   	 69.27   	131.41   	  76.30		130.27   	  25.43		
 15.87   	 61.04   	131.72   	  61.04		130.38   	  10.17		
 10.38   	 53.71   	131.96   	  45.78		130.42(S)	   0.00		
  5.49   	 44.56   	132.15   	  35.61		130.42   	 -20.35		
 -2.44   	 32.96   	132.29   	  20.35		130.34   	 -25.43		
-14.34   	 19.84   	132.37   	  10.17		130.23   	 -40.69		
-27.47   	  6.41   	132.41(S)	  -5.09		130.07   	 -55.95		
-37.54   	 -5.80   	132.39   	 -10.17		129.85   	 -61.04		
-41.20   	-14.04   	132.35   	 -25.43		129.60   	 -71.21		
-39.67   	-18.01   	132.25   	 -30.52		129.32   	 -81.38		
-35.71   	-18.01   	132.13   	 -45.78		128.99   	 -96.64		
-30.82   	-15.56   	131.94   	 -50.86		128.61   	-111.90		
-26.55   	-14.04   	131.74   	 -66.12		128.16   	-122.07		
-25.02   	-15.56   	131.47   	 -81.38		127.67   	-142.42		
-25.63   	-18.31   	131.15   	 -86.47		127.10   	-162.77		
-29.91   	-20.45   	130.80   	-106.82		126.45   	-188.20		
-37.54   	-21.06   	130.38   	-111.90		125.70   	-218.72		
-46.08   	-19.84   	129.93   	-132.25		124.82   	-254.32		
-51.27   	-18.92   	129.40   	-137.33		123.80   	-300.10		
-51.27   	-18.92   	128.85   	-152.59		122.60   	-340.79		
-44.86   	-19.84   	128.24   	-167.85		121.24   	-396.74		
-36.32   	-20.75   	127.57   	-183.11		119.65   	-452.69		
-29.91   	-21.67   	126.84   	-193.29		117.84   	-508.65		
-29.60   	-24.11   	126.06   	-213.63		115.81   	-574.77		
-34.79   	-28.08   	125.21   	-228.89		113.51   	-651.07		
-40.59   	-31.13   	124.29   	-249.24		110.90   	-727.36		
-42.72   	-30.21   	123.30   	-264.50		108.00   	-818.92		
-40.59   	-24.11   	122.24   	-284.84		104.72   	-895.22		
-35.71   	-14.65   	121.10   	-305.19		101.14   	-976.60		
-32.04   	 -7.02   	119.88   	-325.53		 97.23   	-1042.72		
-30.52   	 -4.88   	118.58   	-350.97		 93.06   	-1088.50		
-30.82   	 -9.46   	117.17   	-366.22		 88.71   	-1119.02		
-32.35   	-15.56   	115.71   	-381.48		 84.23   	-1129.19		
-34.79   	-18.31   	114.18   	-396.74		 79.71   	-1129.19		
-37.84   	-16.78   	112.59   	-396.74		 75.20   	-1108.85		
-40.59   	-12.82   	111.01   	-396.74		 70.76   	-1093.59		
-39.06   	 -9.46   	109.42   	-386.57		 66.39   	-1057.98		
-32.65   	 -7.63   	107.87   	-366.22		 62.16   	-1027.46		
-23.19   	 -7.32   	106.41   	-340.79		 58.05   	-986.77		
-16.17   	 -6.71   	105.05   	-315.36		 54.10   	-951.17		
-15.56   	 -6.10   	103.78   	-295.01		 50.29   	-910.47		
-21.36   	 -5.80   	102.60   	-269.58		 46.65   	-859.61		
-28.08   	 -5.80   	101.53   	-244.15		 43.21   	-813.83		
-29.91   	 -4.88   	100.55   	-228.89		 39.96   	-762.97		
-26.86   	 -3.66   	 99.63   	-208.54		 36.91   	-707.02		
-22.28   	 -3.05   	 98.80   	-193.29		 34.08   	-651.07		
-19.23   	 -3.36   	 98.03   	-188.20		 31.47   	-600.20		
-18.62   	 -4.58   	 97.27   	-172.94		 29.07   	-554.42		
-19.23   	 -6.10   	 96.58   	-162.77		 26.86   	-508.65		
-19.23   	 -7.63   	 95.93   	-162.77		 24.82   	-478.13		
-19.53   	 -8.85   	 95.28   	-152.59		 22.91   	-437.43		
-20.75   	-10.38   	 94.67   	-147.51		 21.16   	-406.92		
-21.67   	-10.99   	 94.08   	-147.51		 19.53   	-376.40		
-21.36   	-10.38   	 93.49   	-142.42		 18.03   	-345.88		
-20.45   	-11.29   	 92.92   	-142.42		 16.64   	-315.36		
-19.84   	-14.65   	 92.35   	-137.33		 15.38   	-279.75		
-19.53   	-20.45   	 91.80   	-137.33		 14.26   	-244.15		
-19.23   	-27.16   	 91.25   	-137.33		 13.29   	-213.63		
-18.31   	-31.13   	 90.70   	-132.25		 12.43   	-188.20		
-18.01   	-31.74   	 90.17   	-127.16		 11.68   	-157.68		
-21.06   	-29.91   	 89.66   	-127.16		 11.05   	-137.33		
-27.47   	-27.16   	 89.16   	-122.07		 10.50   	-122.07		
-34.48   	-24.41   	 88.67   	-122.07		 10.01   	-101.73		
-38.15   	-22.28   	 88.18   	-116.99		  9.60   	 -86.47		
-36.62   	-21.67   	 87.71   	-116.99		  9.26   	 -71.21		
-32.04   	-23.80   	 87.24   	-106.82		  8.97   	 -66.12		
-28.08   	-28.08   	 86.82   	-106.82		  8.71   	 -50.86		
-27.47   	-32.96   	 86.39   	-101.73		  8.50   	 -35.61		
-30.82   	-36.93   	 85.98   	 -96.64		  8.36   	 -30.52		
-34.48   	-39.06   	 85.59   	 -96.64		  8.24   	 -25.43		
-36.01   	-40.28   	 85.21   	 -86.47		  8.14   	 -20.35		
-35.10   	-41.81   	 84.86   	 -86.47		  8.06   	 -15.26		
-33.26   	-43.33   	 84.52   	 -86.47		  8.00   	 -20.35		
-31.74   	-43.03   	 84.17   	 -76.30		  7.91   	 -15.26		
-31.13   	-41.20   	 83.87   	 -81.38		  7.85   	 -20.35		
-30.52   	-38.15   	 83.54   	 -76.30		  7.77   	 -15.26		
-28.99   	-34.48   	 83.23   	 -71.21		  7.71   	 -15.26		
-27.47   	-30.82   	 82.95   	 -71.21		  7.65   	 -15.26		
-26.55   	-28.38   	 82.66   	 -71.21		  7.59   	 -15.26		
-26.86   	-24.41   	 82.38   	 -71.21		  7.53   	  -5.09		
-27.47   	-15.56   	 82.10   	 -71.21		  7.51   	  -5.09		
-26.25   	 -0.92   	 81.81   	 -71.21		  7.49(D)	   0.00		
-21.36   	 18.62   	 81.53   	 -66.12		  7.49   	   5.09		
-13.73   	 36.32   	 81.26   	 -66.12		  7.51   	   5.09		
 -6.71   	 43.64   	 81.00   	 -71.21		  7.53   	  10.17		
 -3.36   	 37.54   	 80.71   	 -66.12		  7.57   	  10.17		
 -4.27   	 23.50   	 80.45   	 -66.12		  7.61   	  10.17		
 -5.49   	 12.82   	 80.18   	 -66.12		  7.65   	  15.26		
 -3.05   	 14.04   	 79.92   	 -66.12		  7.71   	  15.26		
  3.36   	 27.47   	 79.65   	 -66.12		  7.77   	  15.26		
  8.54   	 43.33   	 79.39   	 -66.12		  7.83   	  20.35		
  9.77   	 51.27   	 79.12   	 -66.12		  7.91   	  15.26		
  9.46   	 47.91   	 78.86   	 -61.04		  7.98   	  15.26		
 14.04   	 38.76   	 78.62   	 -66.12		  8.04   	  15.26		
 26.55   	 30.21   	 78.35   	 -61.04		  8.10   	  15.26		
 41.20   	 25.02   	 78.11   	 -61.04		  8.16   	  10.17		
 48.22   	 19.84   	 77.86   	 -61.04		  8.20   	  10.17		
 41.50   	 11.29   	 77.62   	 -61.04		  8.24   	   5.09		
 25.94   	  0.61   	 77.38   	 -55.95		  8.26   	   5.09		
 10.68   	 -8.85   	 77.15   	 -61.04		  8.28   	  10.17		
  1.22   	-14.65   	 76.91   	 -61.04		  8.32   	   5.09		
