  I     	  II     	  FA     	  FA'		  LV     	  LV'		
-21.97   	 22.89   	 83.09   	 -76.30		  9.01   	   0.00		
-13.12   	 28.69   	 82.79   	 -66.12		  9.01   	  10.17		
 -5.49   	 25.94   	 82.52   	 -71.21		  9.05   	  15.26		
 -2.75   	 18.92   	 82.24   	 -71.21		  9.11   	  15.26		
 -4.88   	 14.34   	 81.95   	 -66.12		  9.18   	  15.26		
 -7.02   	 17.09   	 81.69   	 -66.12		  9.24   	  20.35		
 -5.49   	 27.16   	 81.42   	 -66.12		  9.32   	  20.35		
  0.92   	 39.67   	 81.16   	 -66.12		  9.40   	  15.26		
  9.16   	 47.00   	 80.89   	 -66.12		  9.46   	  15.26		
 17.70   	 45.78   	 80.63   	 -66.12		  9.52   	  10.17		
 25.63   	 37.84   	 80.37   	 -66.12		  9.56   	  10.17		
 32.65   	 26.55   	 80.10   	 -66.12		  9.60   	  10.17		
 36.93   	 14.65   	 79.84   	 -66.12		  9.64   	   5.09		
 35.71   	  4.27   	 79.57   	 -66.12		  9.66   	   0.00		
 27.77   	 -3.36   	 79.31   	 -66.12		  9.66   	   5.09		
 14.65   	 -8.54   	 79.04   	 -66.12		  9.68   	   0.00		
  1.83   	-11.90   	 78.78   	 -66.12		  9.68   	   0.00		
 -5.80   	-15.26   	 78.51   	 -66.12		  9.68   	   0.00		
 -8.24   	-21.36   	 78.25   	 -66.12		  9.68   	   0.00		
 -9.16   	-31.43   	 77.99   	 -61.04		  9.68   	   0.00		
-13.73   	-43.33   	 77.74   	 -66.12		  9.68   	   0.00		
-23.80   	-55.54   	 77.48   	 -66.12		  9.68   	   0.00		
-36.32   	-66.53   	 77.21   	 -61.04		  9.68   	   5.09		
-45.47   	-76.29   	 76.97   	 -66.12		  9.70   	   5.09		
-48.52   	-83.92   	 76.70   	 -66.12		  9.73   	  10.17		
-46.39   	-87.59   	 76.44   	 -61.04		  9.77   	  10.17		
-41.81   	-86.98   	 76.20   	 -66.12		  9.81   	  20.35		
-38.76   	-84.23   	 75.93   	 -61.04		  9.89   	  25.43		
-39.37   	-83.01   	 75.69   	 -61.04		  9.99   	  30.52		
-43.03   	-84.53   	 75.44   	 -61.04		 10.11   	  35.61		
-46.39   	-86.98   	 75.20   	 -61.04		 10.25   	  35.61		
-48.22   	-86.36   	 74.95   	 -55.95		 10.40   	  45.78		
-46.69   	-80.26   	 74.73   	 -55.95		 10.58   	  40.69		
-44.25   	-72.02   	 74.51   	 -61.04		 10.74   	  45.78		
-44.25   	-66.83   	 74.26   	 -55.95		 10.93   	  40.69		
-48.52   	-69.89   	 74.04   	 -55.95		 11.09   	  40.69		
-54.02   	-79.35   	 73.81   	 -61.04		 11.25   	  40.69		
-56.15   	-90.33   	 73.57   	 -55.95		 11.41   	  35.61		
-55.24   	-95.83   	 73.35   	 -55.95		 11.56   	  35.61		
-55.24   	-89.72   	 73.12   	 -55.95		 11.70   	  35.61		
-59.81   	-68.97   	 72.90   	 -55.95		 11.84   	  30.52		
-65.31   	-31.13   	 72.68   	 -50.86		 11.96   	  30.52		
-57.98   	 21.67   	 72.47   	 -50.86		 12.09   	  35.61		
-18.92   	 85.45   	 72.27   	 -50.86		 12.23   	  40.69		
 62.87   	151.98   	 72.06   	 -50.86		 12.39   	  40.69		
180.66   	213.93   	 71.86   	 -45.78		 12.55   	  45.78		
312.50   	274.35   	 71.68   	 -45.78		 12.74   	  50.86		
429.08   	343.93   	 71.50   	 -40.69		 12.94   	  50.86		
502.62   	426.64   	 71.33   	 -45.78		 13.14   	  61.04		
510.25   	503.85   	 71.15   	 -40.69		 13.39   	  61.04		
442.50   	543.21(R)	 70.99   	 -40.69		 13.63(E)	  55.95		
309.14   	515.14   	 70.82   	 -40.69		 13.86   	  61.04		
141.91   	414.73   	 70.66   	 -40.69		 14.10   	  61.04		
-14.04   	271.30   	 70.50   	 -40.69		 14.34   	  61.04		
-116.58   	131.84   	 70.34   	 -35.61		 14.59   	  76.30		
-148.93   	 28.99   	 70.19   	 -35.61		 14.89   	  86.47		
-126.95   	-30.21   	 70.05   	 -35.61		 15.24   	 116.99		
-85.75   	-56.46   	 69.91   	 -35.61		 15.71   	 147.51		
-55.54   	-65.31   	 69.77   	 -40.69		 16.30   	 198.37		
-47.61   	-67.75   	 69.60   	 -35.61		 17.09   	 249.24		
-54.63   	-65.31   	 69.46   	 -35.61		 18.09   	 320.45		
-60.73   	-56.76   	 69.32   	 -35.61		 19.37   	 386.57		
-57.68   	-44.86   	 69.18   	 -40.69		 20.92   	 473.04		
-49.74   	-36.32   	 69.01   	 -45.78		 22.81   	 554.42		
-44.86   	-36.32   	 68.83   	 -45.78		 25.03   	 645.98		
-46.39   	-42.72   	 68.65   	 -50.86		 27.61   	 737.54		
-52.19   	-50.96   	 68.44   	 -55.95		 30.56   	 824.00		
-55.54   	-55.24   	 68.22   	 -55.95		 33.86   	 900.30		
-51.88   	-52.80   	 68.00   	 -61.04		 37.46   	 961.34		
-43.33   	-47.61   	 67.75   	 -61.04		 41.30   	1007.12		
-36.62   	-44.86   	 67.51   	 -61.04		 45.33   	1027.46		
-37.54   	-47.30   	 67.26   	 -61.04		 49.44   	1022.38		
-45.17   	-51.88   	 67.02   	 -61.04		 53.53   	1007.12		
-52.19   	-54.93   	 66.77   	 -61.04		 57.56   	 971.51		
-52.19   	-53.71   	 66.53   	 -55.95		 61.44   	 920.65		
-43.95   	-48.52   	 66.31   	 -50.86		 65.13   	 874.87		
-33.26   	-42.72   	 66.10   	 -50.86		 68.63   	 824.00		
-26.25   	-39.67   	 65.90   	 -45.78		 71.92   	 783.31		
-24.41   	-40.59   	 65.72   	 -40.69		 75.06   	 742.62		
-24.41   	-42.42   	 65.55   	 -35.61		 78.03   	 712.10		
-23.80   	-43.64   	 65.41   	 -30.52		 80.87   	 686.67		
-24.11   	-44.86   	 65.29   	 -20.35		 83.62   	 666.32		
-27.16   	-46.39   	 65.21   	 -10.17		 86.29   	 645.98		
-31.43   	-46.08   	 65.17(D)	  15.26		 88.87   	 620.55		
-32.04   	-41.81   	 65.23   	  45.78		 91.35   	 600.20		
-25.63   	-32.65   	 65.41   	 106.82		 93.75   	 569.68		
-16.17   	-21.97   	 65.84   	 183.11		 96.03   	 544.25		
 -9.77   	-16.17   	 66.57   	 274.67		 98.21   	 513.73		
 -9.77   	-18.01   	 67.67   	 381.48		100.26   	 478.13		
-13.73   	-22.58   	 69.20   	 483.21		102.18   	 442.52		
-16.78   	-22.89   	 71.13   	 564.60		103.95   	 406.92		
-16.17   	-16.78   	 73.39   	 630.72		105.57   	 381.48		
-12.21   	 -7.63   	 75.91   	 676.50		107.10   	 350.97		
 -6.41   	 -0.92   	 78.62   	 691.76		108.50   	 330.62		
 -0.92   	  1.22   	 81.38   	 707.02		109.83   	 315.36		
  3.36   	 -0.92   	 84.21   	 707.02		111.09   	 295.01		
  5.49   	 -4.27   	 87.04   	 691.76		112.27   	 284.84		
  5.19   	 -5.49   	 89.81   	 681.58		113.41   	 274.67		
  6.10   	 -1.53   	 92.53   	 666.32		114.51   	 259.41		
 10.07   	  7.02   	 95.20   	 651.07		115.54   	 254.32		
 16.48   	 16.78   	 97.80   	 635.81		116.56   	 244.15		
 23.50   	 23.80   	100.35   	 610.37		117.54   	 244.15		
 28.08   	 25.02   	102.79   	 595.11		118.51   	 233.98		
 31.43   	 24.11   	105.17   	 569.68		119.45   	 228.89		
 38.76   	 28.38   	107.45   	 549.34		120.37   	 228.89		
 51.88   	 41.50   	109.64   	 518.82		121.28   	 223.80		
 66.83   	 59.20   	111.72   	 493.39		122.18   	 213.63		
 76.90   	 73.24   	113.69   	 467.95		123.03   	 213.63		
 79.04   	 77.21   	115.56   	 437.43		123.89   	 208.54		
 75.38   	 74.46   	117.31   	 417.09		124.72   	 208.54		
 73.24   	 72.33   	118.98   	 391.66		125.55   	 203.46		
 78.74   	 78.74   	120.55   	 371.31		126.37   	 208.54		
 91.86   	 95.21   	122.03   	 350.97		127.20   	 198.37		
108.34   	115.05   	123.44   	 330.62		128.00   	 193.29		
121.77   	131.23   	124.76   	 310.27		128.77   	 183.11		
129.09   	140.38   	126.00   	 284.84		129.50   	 167.85		
131.23   	142.82   	127.14   	 269.58		130.17   	 147.51		
130.00   	141.60   	128.22   	 249.24		130.76   	 127.16		
127.26   	139.77   	129.22   	 233.98		131.27   	 111.90		
123.90   	138.85   	130.15   	 213.63		131.72   	  91.56		
120.24   	139.47   	131.01   	 193.29		132.08   	  81.38		
116.88   	140.99   	131.78   	 178.03		132.41   	  81.38		
113.22   	140.69   	132.49   	 162.77		132.74   	  81.38		
106.51   	136.41   	133.14   	 142.42		133.06   	  91.56		
 94.30   	126.34   	133.71   	 127.16		133.43   	  96.64		
 77.51   	111.39   	134.22   	 111.90		133.81   	  91.56		
 60.73   	 94.91   	134.67   	  91.56		134.18   	  81.38		
 47.91   	 80.26   	135.04   	  81.38		134.51   	  66.12		
 39.67   	 68.05   	135.36   	  71.21		134.77   	  40.69		
 32.65   	 56.15   	135.65   	  55.95		134.93   	  20.35		
 23.50   	 41.20   	135.87   	  45.78		135.01(S)	   0.00		
 11.29   	 22.89   	136.05   	  35.61		135.01   	 -20.35		
 -1.22   	  5.80   	136.19   	  20.35		134.93   	 -35.61		
 -9.77   	 -3.97   	136.28   	  15.26		134.79   	 -50.86		
-12.51   	 -3.36   	136.34(S)	   0.00		134.59   	 -50.86		
-13.43   	  2.75   	136.34   	 -10.17		134.38   	 -66.12		
-15.56   	  6.71   	136.30   	 -20.35		134.12   	 -76.30		
-21.06   	  2.14   	136.22   	 -35.61		133.81   	 -81.38		
-28.38   	 -9.46   	136.07   	 -45.78		133.49   	-101.73		
-32.35   	-21.97   	135.89   	 -61.04		133.08   	-111.90		
-31.13   	-29.60   	135.65   	 -71.21		132.63   	-132.25		
-26.55   	-31.43   	135.36   	 -81.38		132.11   	-147.51		
-24.11   	-32.04   	135.04   	-101.73		131.52   	-162.77		
-26.55   	-34.48   	134.63   	-111.90		130.86   	-183.11		
-32.35   	-38.15   	134.18   	-122.07		130.13   	-208.54		
-36.32   	-39.98   	133.69   	-137.33		129.30   	-239.06		
-35.40   	-37.54   	133.14   	-152.59		128.34   	-279.75		
-30.21   	-32.35   	132.53   	-162.77		127.22   	-320.45		
-23.50   	-26.86   	131.88   	-178.03		125.94   	-381.48		
-20.75   	-23.50   	131.17   	-193.29		124.41   	-432.35		
-23.80   	-23.80   	130.40   	-203.46		122.69   	-493.39		
-29.91   	-26.25   	129.58   	-223.80		120.71   	-549.34		
-35.10   	-29.30   	128.69   	-239.06		118.51   	-620.55		
-37.54   	-32.96   	127.73   	-254.32		116.03   	-691.76		
-36.32   	-35.10   	126.71   	-274.67		113.27   	-762.97		
-33.87   	-33.87   	125.61   	-295.01		110.21   	-849.44		
-31.13   	-28.38   	124.43   	-320.45		106.82   	-930.82		
-28.08   	-19.53   	123.15   	-335.71		103.09   	-1012.20		
-25.33   	-10.38   	121.81   	-361.14		 99.04   	-1078.33		
-25.02   	 -6.41   	120.37   	-381.48		 94.73   	-1129.19		
-28.38   	 -9.46   	118.84   	-396.74		 90.21   	-1159.71		
-32.04   	-16.17   	117.25   	-412.00		 85.57   	-1174.97		
-32.65   	-21.36   	115.60   	-422.18		 80.87   	-1164.80		
-28.69   	-21.06   	113.92   	-422.18		 76.22   	-1144.45		
-24.11   	-18.01   	112.23   	-412.00		 71.64   	-1113.93		
-23.50   	-16.17   	110.58   	-391.66		 67.18   	-1078.33		
-27.77   	-17.09   	109.01   	-371.31		 62.87   	-1042.72		
-32.35   	-18.62   	107.53   	-345.88		 58.70   	-1002.03		
-31.13   	-18.01   	106.14   	-320.45		 54.69   	-971.51		
-24.11   	-15.26   	104.86   	-295.01		 50.80   	-930.82		
-14.95   	-13.73   	103.68   	-274.67		 47.08   	-895.22		
 -9.46   	-16.78   	102.58   	-254.32		 43.50   	-849.44		
-10.07   	-22.28   	101.57   	-233.98		 40.10   	-803.66		
-15.26   	-25.94   	100.63   	-223.80		 36.89   	-747.71		
-21.67   	-26.25   	 99.74   	-213.63		 33.90   	-686.67		
-25.63   	-25.02   	 98.88   	-198.37		 31.15   	-625.63		
-26.25   	-24.72   	 98.09   	-193.29		 28.65   	-569.68		
-23.50   	-26.55   	 97.31   	-188.20		 26.37   	-523.90		
-19.53   	-28.69   	 96.56   	-178.03		 24.27   	-473.04		
-16.48   	-29.60   	 95.85   	-178.03		 22.38   	-437.43		
-16.78   	-30.52   	 95.14   	-167.85		 20.63   	-412.00		
-21.06   	-33.87   	 94.47   	-162.77		 18.98   	-376.40		
-29.30   	-39.98   	 93.81   	-157.68		 17.48   	-356.05		
-36.93   	-45.17   	 93.18   	-147.51		 16.05   	-320.45		
-38.15   	-45.47   	 92.59   	-147.51		 14.77   	-295.01		
-32.35   	-40.28   	 92.00   	-137.33		 13.59   	-259.41		
-22.89   	-34.48   	 91.45   	-137.33		 12.55   	-228.89		
-18.01   	-33.87   	 90.91   	-127.16		 11.64   	-193.29		
-23.19   	-40.28   	 90.40   	-127.16		 10.86   	-162.77		
-34.18   	-49.13   	 89.89   	-116.99		 10.21   	-132.25		
-41.50   	-54.32   	 89.42   	-116.99		  9.68   	-116.99		
-39.37   	-52.80   	 88.95   	-111.90		  9.22   	 -91.56		
-31.13   	-48.22   	 88.50   	-111.90		  8.85   	 -86.47		
-25.33   	-46.08   	 88.06   	-106.82		  8.50   	 -71.21		
-26.86   	-47.91   	 87.63   	-101.73		  8.22   	 -61.04		
-33.87   	-51.88   	 87.22   	-101.73		  7.98   	 -55.95		
-38.45   	-54.02   	 86.82   	 -96.64		  7.75   	 -45.78		
-37.23   	-52.49   	 86.43   	 -96.64		  7.57   	 -40.69		
-32.65   	-50.05   	 86.04   	 -91.56		  7.41   	 -35.61		
-29.91   	-50.66   	 85.68   	 -91.56		  7.26   	 -30.52		
-31.13   	-54.93   	 85.31   	 -86.47		  7.14   	 -20.35		
-32.96   	-58.90   	 84.96   	 -86.47		  7.06   	 -20.35		
-31.13   	-60.12   	 84.62   	 -81.38		  6.98   	 -15.26		
-25.63   	-56.76   	 84.29   	 -86.47		  6.92   	 -10.17		
-20.14   	-50.05   	 83.95   	 -81.38		  6.88   	 -10.17		
-19.53   	-42.11   	 83.62   	 -76.30		  6.84   	  -5.09		
-24.72   	-33.87   	 83.32   	 -81.38		  6.82   	 -10.17		
-31.43   	-23.80   	 82.99   	 -76.30		  6.78   	 -10.17		
-33.26   	-11.60   	 82.69   	 -81.38		  6.73   	  -5.09		
-27.16   	  0.92   	 82.36   	 -76.30		  6.71   	  -5.09		
-16.48   	 10.38   	 82.05   	 -76.30		  6.69   	  -5.09		
 -6.41   	 14.34   	 81.75   	 -71.21		  6.67   	   0.00		
 -1.83   	 12.51   	 81.46   	 -76.30		  6.67   	  -5.09		
 -3.36   	  8.24   	 81.16   	 -76.30		  6.65(D)	   5.09		
 -8.24   	  7.32   	 80.85   	 -71.21		  6.67   	   0.00		
-12.21   	 13.12   	 80.57   	 -76.30		  6.67   	   5.09		
-12.21   	 24.11   	 80.26   	 -71.21		  6.69   	   5.09		
 -7.63   	 34.48   	 79.98   	 -71.21		  6.71   	  10.17		
  3.36   	 38.76   	 79.69   	 -71.21		  6.75   	  10.17		
 19.84   	 35.40   	 79.41   	 -71.21		  6.80   	   5.09		
 37.23   	 26.86   	 79.12   	 -71.21		  6.82   	  10.17		
 48.83   	 18.31   	 78.84   	 -66.12		  6.86   	   5.09		
 49.13   	  9.46   	 78.58   	 -66.12		  6.88   	   5.09		
 36.62   	 -1.53   	 78.31   	 -66.12		  6.90   	   5.09		
 18.01   	-16.17   	 78.05   	 -66.12		  6.92   	   5.09		
  3.05   	-31.74   	 77.78   	 -61.04		  6.94   	   0.00		
 -2.44   	-42.72   	 77.54   	 -61.04		  6.94   	  -5.09		
  0.31   	-46.08   	 77.29   	 -61.04		  6.92   	   0.00		
  4.58   	-45.17   	 77.05   	 -61.04		  6.92   	   0.00		
