  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
-36.93   	-56.15   	134.06   	-223.80		130.66   	-188.20		
-34.48   	-61.65   	133.16   	-244.15		129.91   	-218.72		
-34.48   	-62.87   	132.19   	-254.32		129.03   	-254.32		
-33.26   	-56.76   	131.17   	-269.58		128.02   	-289.93		
-30.21   	-46.39   	130.09   	-289.93		126.86   	-315.36		
-28.08   	-38.15   	128.93   	-305.19		125.59   	-345.88		
-30.52   	-36.32   	127.71   	-325.53		124.21   	-361.14		
-36.01   	-39.67   	126.41   	-345.88		122.77   	-366.22		
-39.98   	-44.25   	125.02   	-366.22		121.30   	-371.31		
-38.76   	-47.00   	123.56   	-386.57		119.82   	-356.05		
-32.04   	-46.39   	122.01   	-406.92		118.39   	-340.79		
-24.11   	-43.03   	120.39   	-417.09		117.03   	-315.36		
-20.14   	-36.93   	118.72   	-437.43		115.77   	-295.01		
-21.06   	-29.60   	116.97   	-437.43		114.59   	-269.58		
-22.58   	-22.58   	115.22   	-437.43		113.51   	-249.24		
-22.89   	-18.62   	113.47   	-427.26		112.51   	-233.98		
-22.28   	-19.23   	111.76   	-406.92		111.58   	-223.80		
-23.80   	-22.58   	110.13   	-386.57		110.68   	-213.63		
-28.69   	-26.55   	108.59   	-356.05		109.83   	-213.63		
-33.57   	-28.69   	107.16   	-330.62		108.97   	-213.63		
-33.57   	-27.16   	105.84   	-310.27		108.12   	-213.63		
-28.08   	-22.58   	104.60   	-284.84		107.26   	-213.63		
-21.97   	-19.23   	103.46   	-264.50		106.41   	-208.54		
-20.14   	-21.97   	102.40   	-244.15		105.57   	-208.54		
-23.80   	-30.82   	101.42   	-228.89		104.74   	-198.37		
-28.69   	-42.72   	100.51   	-213.63		103.95   	-193.29		
-31.74   	-52.19   	 99.65   	-203.46		103.17   	-183.11		
-32.96   	-55.85   	 98.84   	-193.29		102.44   	-167.85		
-33.26   	-52.19   	 98.07   	-188.20		101.77   	-152.59		
-33.57   	-42.72   	 97.31   	-178.03		101.16   	-137.33		
-31.74   	-32.35   	 96.60   	-172.94		100.61   	-127.16		
-26.86   	-25.94   	 95.91   	-167.85		100.10   	-116.99		
-21.67   	-28.08   	 95.24   	-157.68		 99.63   	-111.90		
-19.84   	-39.06   	 94.61   	-157.68		 99.19   	-106.82		
-22.89   	-53.10   	 93.98   	-152.59		 98.76   	-101.73		
-27.77   	-61.65   	 93.37   	-147.51		 98.35   	-106.82		
-30.21   	-61.65   	 92.78   	-142.42		 97.92   	-106.82		
-28.08   	-56.76   	 92.21   	-137.33		 97.50   	-111.90		
-23.50   	-53.10   	 91.66   	-132.25		 97.05   	-116.99		
-21.67   	-54.63   	 91.13   	-127.16		 96.58   	-116.99		
-25.02   	-58.59   	 90.62   	-127.16		 96.11   	-122.07		
-31.13   	-60.42   	 90.11   	-116.99		 95.63   	-127.16		
-36.62   	-57.98   	 89.64   	-116.99		 95.12   	-122.07		
-39.37   	-52.80   	 89.18   	-111.90		 94.63   	-127.16		
-39.37   	-48.83   	 88.73   	-106.82		 94.12   	-122.07		
-37.23   	-48.22   	 88.30   	 -96.64		 93.63   	-116.99		
-33.57   	-49.13   	 87.91   	 -96.64		 93.16   	-116.99		
-27.47   	-50.35   	 87.53   	 -96.64		 92.70   	-116.99		
-22.28   	-52.19   	 87.14   	 -86.47		 92.23   	-111.90		
-22.58   	-56.76   	 86.80   	 -86.47		 91.78   	-111.90		
-28.69   	-63.48   	 86.45   	 -86.47		 91.33   	-111.90		
-37.23   	-70.19   	 86.10   	 -86.47		 90.88   	-111.90		
-41.81   	-72.33   	 85.76   	 -91.56		 90.44   	-111.90		
-39.37   	-68.66   	 85.39   	 -86.47		 89.99   	-122.07		
-31.74   	-61.95   	 85.05   	 -86.47		 89.50   	-122.07		
-24.41   	-55.24   	 84.70   	 -86.47		 89.01   	-127.16		
-20.75   	-48.83   	 84.35   	 -86.47		 88.50   	-132.25		
-21.67   	-40.28   	 84.01   	 -81.38		 87.98   	-127.16		
-24.41   	-27.47   	 83.68   	 -81.38		 87.47   	-132.25		
-25.94   	-12.82   	 83.36   	 -81.38		 86.94   	-127.16		
-24.41   	  0.00   	 83.03   	 -76.30		 86.43   	-122.07		
-20.75   	  5.80   	 82.73   	 -71.21		 85.94   	-122.07		
-16.78   	  3.97   	 82.44   	 -71.21		 85.45   	-111.90		
-14.95   	 -2.75   	 82.16   	 -71.21		 85.00   	-106.82		
-14.65   	 -8.54   	 81.87   	 -66.12		 84.58   	-101.73		
-10.38   	 -7.32   	 81.61   	 -66.12		 84.17   	 -96.64		
 -0.61   	  3.05   	 81.34   	 -66.12		 83.78   	 -86.47		
 11.90   	 18.31   	 81.08   	 -66.12		 83.44   	 -86.47		
 20.45   	 29.60   	 80.81   	 -61.04		 83.09   	 -81.38		
 19.84   	 29.30   	 80.57   	 -61.04		 82.77   	 -76.30		
 13.73   	 18.62   	 80.33   	 -66.12		 82.46   	 -71.21		
 10.99   	  5.19   	 80.06   	 -61.04		 82.18   	 -66.12		
 16.78   	 -4.58   	 79.82   	 -61.04		 81.91   	 -61.04		
 28.08   	 -9.46   	 79.57   	 -61.04		 81.67   	 -61.04		
 36.93   	-13.12   	 79.33   	 -66.12		 81.42   	 -55.95		
 35.71   	-17.70   	 79.06   	 -61.04		 81.20   	 -50.86		
