  I     	  II     	  LV     	  LV'		
 39.98   	 29.30   	  5.07   	  10.17		
 31.43   	 32.65   	  5.11   	  15.26		
 23.80   	 25.94   	  5.17   	  15.26		
 16.78   	 10.99   	  5.23   	  15.26		
 10.07   	 -8.24   	  5.29   	  15.26		
  4.27   	-25.63   	  5.35   	  20.35		
  0.31   	-36.93   	  5.43   	  25.43		
 -2.14   	-40.59   	  5.53   	  20.35		
 -3.36   	-39.37   	  5.62   	  30.52		
 -3.66   	-36.93   	  5.74   	  25.43		
 -3.66   	-36.01   	  5.84   	  30.52		
 -3.66   	-36.93   	  5.96   	  30.52		
 -3.97   	-38.15   	  6.08   	  30.52		
 -4.27   	-38.76   	  6.21   	  30.52		
 -4.88   	-38.15   	  6.33   	  30.52		
 -5.49   	-36.62   	  6.45   	  30.52		
 -6.41   	-35.40   	  6.57   	  30.52		
 -7.93   	-35.40   	  6.69   	  30.52		
 -9.77   	-36.32   	  6.82   	  30.52		
-11.29   	-37.54   	  6.94   	  30.52		
-11.90   	-37.54   	  7.06   	  30.52		
-11.90   	-36.32   	  7.18   	  30.52		
-11.90   	-34.18   	  7.30   	  35.61		
-11.60   	-32.96   	  7.45   	  40.69		
-10.99   	-32.96   	  7.61   	  45.78		
 -9.46   	-33.87   	  7.79   	  50.86		
 -8.54   	-35.10   	  8.00   	  50.86		
 -7.93   	-35.40   	  8.20   	  61.04		
 -8.24   	-34.48   	  8.44   	  55.95		
 -9.16   	-33.57   	  8.67   	  66.12		
 -9.46   	-32.96   	  8.93   	  61.04		
 -9.46   	-32.65   	  9.18   	  66.12		
 -9.46   	-32.96   	  9.44   	  61.04		
 -9.77   	-32.96   	  9.68   	  55.95		
-10.07   	-32.35   	  9.91   	  55.95		
 -9.16   	-31.43   	 10.13   	  55.95		
 -7.32   	-30.82   	 10.36   	  45.78		
 -4.58   	-30.82   	 10.54   	  35.61		
 -0.92   	-31.43   	 10.68   	  35.61		
  2.44   	-31.13   	 10.82   	  20.35		
  5.49   	-28.38   	 10.91   	  15.26		
  7.93   	-22.58   	 10.97   	   0.00		
 11.29   	-13.73   	 10.97   	  -5.09		
 17.40   	 -2.44   	 10.95   	 -15.26		
 29.60   	 11.60   	 10.89   	 -15.26		
 49.74   	 29.60   	 10.82   	 -25.43		
 76.90   	 55.85   	 10.72   	 -25.43		
108.64   	 95.52   	 10.62   	 -30.52		
142.82   	144.04   	 10.50   	 -25.43		
178.22   	184.02   	 10.40   	 -20.35		
213.01   	185.55   	 10.32   	 -25.43		
245.36   	122.38   	 10.21   	 -15.26		
274.05   	 -7.32   	 10.15   	 -10.17		
299.99   	-173.34   	 10.11   	 -10.17		
326.54   	-325.32   	 10.07   	  -5.09		
359.19   	-420.53   	 10.05   	   0.00		
400.39   	-448.30   	 10.05(E)	   5.09		
447.39   	-429.38   	 10.07   	  10.17		
492.25   	-400.70   	 10.11   	  15.26		
525.21   	-393.37   	 10.17   	  25.43		
538.33(R)	-413.51   	 10.27   	  30.52		
529.17   	-445.25   	 10.40   	  30.52		
502.93   	-466.92   	 10.52   	  40.69		
468.75   	-469.06   	 10.68   	  45.78		
436.40   	-462.34   	 10.86   	  50.86		
410.46   	-470.58   	 11.07   	  55.95		
393.98   	-510.56   	 11.29   	  66.12		
386.35   	-580.14   	 11.56   	  66.12		
387.27   	-660.10   	 11.82   	  81.38		
393.68   	-732.42   	 12.15   	  96.64		
400.39   	-789.49   	 12.53   	 106.82		
401.61   	-835.88   	 12.96   	 132.25		
396.12   	-877.38   	 13.49   	 157.68		
389.10   	-915.83   	 14.12   	 183.11		
386.35   	-948.18   	 14.85   	 213.63		
391.54   	-969.85   	 15.71   	 244.15		
400.70   	-978.39   	 16.68   	 274.67		
406.49   	-972.60   	 17.78   	 315.36		
401.92   	-950.32   	 19.04   	 340.79		
382.39   	-906.68   	 20.41   	 376.40		
346.68   	-834.96   	 21.91   	 406.92		
294.49   	-729.68   	 23.54   	 437.43		
227.66   	-594.79   	 25.29   	 457.78		
152.28   	-448.00   	 27.12   	 488.30		
 77.21   	-314.03   	 29.07   	 503.56		
 11.90   	-209.96   	 31.09   	 523.90		
-39.37   	-136.72   	 33.18   	 544.25		
-76.90   	-80.26   	 35.36   	 564.60		
-104.98   	-26.86   	 37.62   	 579.86		
-126.04   	 25.33   	 39.94   	 600.20		
-140.69   	 67.44   	 42.34   	 630.72		
-148.93   	 90.64   	 44.86   	 666.32		
-152.59   	 96.13   	 47.53   	 701.93		
-155.33   	 95.21   	 50.34   	 727.36		
-159.00   	 99.79   	 53.24   	 762.97		
-163.27   	112.30   	 56.30   	 768.05		
-166.63   	128.17   	 59.37   	 778.23		
-168.15   	140.08   	 62.48   	 762.97		
-168.76   	144.65   	 65.53   	 747.71		
-169.68   	144.65   	 68.52   	 717.19		
