  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
691.22(R)	662.54   	 73.73   	 -81.38		 76.17   	 -35.61		
690.92   	758.06   	 73.41   	 -81.38		 76.03   	 -30.52		
520.02   	672.61   	 73.08   	 -76.30		 75.91   	 -35.61		
236.21   	424.80   	 72.78   	 -66.12		 75.77   	 -30.52		
-63.17   	 99.49   	 72.51   	 -55.95		 75.65   	 -30.52		
-352.48   	-271.30   	 72.29   	 -45.78		 75.52   	 -35.61		
-491.64   	-547.79   	 72.11   	 -40.69		 75.38   	 -35.61		
-389.10   	-684.51   	 71.94   	 -35.61		 75.24   	 -40.69		
-257.26   	-795.90   	 71.80   	 -35.61		 75.08   	 -40.69		
-221.56   	-834.05   	 71.66   	 -40.69		 74.91   	 -40.69		
-171.51   	-788.57   	 71.50   	 -40.69		 74.75   	 -45.78		
-198.36   	-715.33   	 71.33   	 -45.78		 74.57   	 -40.69		
-299.38   	-640.26   	 71.15   	 -45.78		 74.40   	 -45.78		
-327.15   	-572.20   	 70.97   	 -45.78		 74.22   	 -45.78		
-363.46   	-543.21   	 70.78   	 -30.52		 74.04   	 -45.78		
-398.56   	-555.73   	 70.66   	 -20.35		 73.86   	 -45.78		
-421.45   	-559.69   	 70.58   	 -10.17		 73.67   	 -45.78		
-415.34   	-563.66   	 70.54   	   5.09		 73.49   	 -40.69		
-415.65   	-560.91   	 70.56   	  15.26		 73.33   	 -40.69		
-436.40   	-567.32   	 70.62   	  25.43		 73.16   	 -40.69		
-443.12   	-565.80   	 70.72   	  50.86		 73.00   	 -40.69		
-414.43   	-534.06   	 70.93   	  76.30		 72.84   	 -40.69		
-392.46   	-498.66   	 71.23   	 122.07		 72.68   	 -40.69		
-354.00   	-439.15   	 71.72   	 167.85		 72.51   	 -40.69		
-299.38   	-360.41   	 72.39   	 233.98		 72.35   	 -35.61		
-258.79   	-283.20   	 73.33   	 295.01		 72.21   	 -40.69		
-208.13   	-208.74   	 74.51   	 361.14		 72.04   	 -40.69		
-171.20   	-149.23   	 75.95   	 412.00		 71.88   	 -40.69		
-140.69   	-104.37   	 77.60   	 457.78		 71.72   	 -40.69		
-127.87   	-81.79   	 79.43   	 488.30		 71.56   	 -35.61		
-123.29   	-70.50   	 81.38   	 518.82		 71.41   	 -40.69		
-112.92   	-53.41   	 83.46   	 539.16		 71.25   	 -40.69		
-110.17   	-46.69   	 85.62   	 569.68		 71.09   	 -40.69		
-102.54   	-43.03   	 87.89   	 595.11		 70.93   	 -40.69		
-98.57   	-40.28   	 90.27   	 615.46		 70.76   	 -40.69		
-98.27   	-42.11   	 92.74   	 630.72		 70.60   	 -40.69		
-93.69   	-42.72   	 95.26   	 640.89		 70.44   	 -35.61		
-92.77   	-42.72   	 97.82   	 625.63		 70.29   	 -35.61		
-86.67   	-37.23   	100.33   	 579.86		 70.15   	 -40.69		
-81.79   	-40.28   	102.64   	 498.47		 69.99   	 -35.61		
-81.18   	-43.03   	104.64   	 391.66		 69.85   	 -35.61		
-83.31   	-45.17   	106.21   	 259.41		 69.70   	 -35.61		
-85.14   	-48.22   	107.24   	 132.25		 69.56   	 -35.61		
-80.87   	-47.91   	107.77   	  35.61		 69.42   	 -30.52		
-80.26   	-52.49   	107.91(S)	 -25.43		 69.30   	 -30.52		
-78.13   	-55.54   	107.81   	 -35.61		 69.18   	 -20.35		
-76.29   	-58.90   	107.67   	 -10.17		 69.09   	 -15.26		
-84.53   	-67.75   	107.63   	  25.43		 69.03   	   5.09		
-88.20   	-69.89   	107.73   	  40.69		 69.05   	  20.35		
-88.20   	-69.27   	107.89   	   5.09		 69.14   	  61.04		
-91.25   	-72.63   	107.91   	 -81.38		 69.38   	 111.90		
-85.75   	-72.02   	107.59   	-193.29		 69.83   	 193.29		
-87.89   	-78.74   	106.82   	-295.01		 70.60   	 284.84		
-85.75   	-84.53   	105.64   	-350.97		 71.74   	 396.74		
-78.74   	-86.67   	104.23   	-330.62		 73.33   	 493.39		
-88.20   	-95.21   	102.91   	-228.89		 75.30   	 584.94		
-90.03   	-99.79   	101.99   	 -96.64		 77.64   	 640.89		
-99.18   	-104.68   	101.61   	  35.61		 80.20   	 666.32		
-109.25   	-115.66   	101.75   	  96.64		 82.87   	 676.50		
-106.51   	-125.43   	102.14   	  61.04		 85.57   	 661.24		
-106.81   	-130.92   	102.38   	 -30.52		 88.22   	 630.72		
-106.20   	-142.21   	102.26   	-142.42		 90.74   	 595.11		
-110.78   	-151.06   	101.69   	-228.89		 93.12   	 564.60		
-114.14   	-158.08   	100.77   	-274.67		 95.38   	 528.99		
-121.15   	-166.32   	 99.67   	-284.84		 97.50   	 498.47		
-119.63   	-174.26   	 98.53   	-259.41		 99.49   	 473.04		
-119.32   	-183.72   	 97.50   	-208.54		101.38   	 452.69		
-127.56   	-188.90   	 96.66   	-157.68		103.19   	 432.35		
-130.92   	-198.67   	 96.03   	-116.99		104.92   	 406.92		
-142.21   	-207.21   	 95.56   	 -91.56		106.55   	 391.66		
-146.79   	-216.37   	 95.20   	 -81.38		108.12   	 366.22		
-144.04   	-225.52   	 94.87   	 -76.30		109.58   	 345.88		
-135.50   	-227.66   	 94.57   	 -76.30		110.97   	 320.45		
-124.21   	-226.14   	 94.26   	 -61.04		112.25   	 300.10		
-119.93   	-229.80   	 94.02   	 -50.86		113.45   	 269.58		
-114.14   	-228.58   	 93.81   	 -45.78		114.53   	 244.15		
-109.56   	-227.97   	 93.63   	 -35.61		115.50   	 223.80		
-103.45   	-231.93   	 93.49   	 -25.43		116.40   	 193.29		
-94.91   	-220.34   	 93.39   	  -5.09		117.17   	 162.77		
-80.57   	-207.21   	 93.37   	  45.78		117.82   	 137.33		
-70.80   	-196.53   	 93.55   	 116.99		118.37   	 106.82		
-60.42   	-182.80   	 94.02   	 183.11		118.80   	  76.30		
-41.20   	-166.63   	 94.75   	 239.06		119.10   	  40.69		
-26.25   	-148.01   	 95.71   	 259.41		119.27   	  10.17		
-10.68   	-128.17   	 96.74   	 228.89		119.31   	 -25.43		
  4.27   	-102.54   	 97.66   	 162.77		119.21   	 -55.95		
  8.85   	-80.26   	 98.31   	  81.38		118.98   	 -81.38		
  6.41   	-64.70   	 98.64   	  -5.09		118.66   	-116.99		
 12.82   	-43.03   	 98.62   	 -50.86		118.19   	-137.33		
 10.68   	-27.47   	 98.41   	 -66.12		117.64   	-162.77		
 17.70   	 -5.49   	 98.15   	 -55.95		116.99   	-178.03		
 28.38   	 12.51   	 97.92   	 -20.35		116.28   	-198.37		
 23.50   	 25.63   	 97.84   	   0.00		115.48   	-208.54		
 26.25   	 40.89   	 97.84   	  -5.09		114.65   	-218.72		
 26.86   	 48.52   	 97.82   	 -40.69		113.77   	-223.80		
 18.62   	 55.85   	 97.66   	-106.82		112.88   	-228.89		
 24.72   	 64.39   	 97.23   	-183.11		111.96   	-228.89		
 28.08   	 67.44   	 96.50   	-254.32		111.05   	-233.98		
 28.99   	 72.02   	 95.48   	-300.10		110.11   	-228.89		
 33.26   	 75.07   	 94.28   	-310.27		109.20   	-228.89		
 31.13   	 78.13   	 93.04   	-295.01		108.28   	-223.80		
 19.84   	 77.51   	 91.86   	-244.15		107.39   	-218.72		
 15.26   	 81.48   	 90.88   	-183.11		106.51   	-213.63		
 11.60   	 80.87   	 90.15   	-106.82		105.66   	-203.46		
  9.77   	 76.60   	 89.72   	 -30.52		104.84   	-198.37		
 19.23   	 83.01   	 89.60   	  45.78		104.05   	-188.20		
 20.45   	 80.26   	 89.79   	 101.73		103.30   	-183.11		
 18.92   	 79.96   	 90.19   	 142.42		102.56   	-172.94		
 16.48   	 83.62   	 90.76   	 152.59		101.87   	-167.85		
 13.12   	 85.75   	 91.37   	 137.33		101.20   	-162.77		
