  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-14.95   	-29.30   	114.81   	-289.93		131.54   	 -30.52		
-14.65   	-30.21   	113.65   	-300.10		131.41   	 -55.95		
-14.04   	-30.82   	112.45   	-310.27		131.19   	 -76.30		
-14.04   	-31.74   	111.21   	-320.45		130.88   	-101.73		
-14.04   	-32.65   	109.93   	-325.53		130.48   	-116.99		
-14.34   	-32.96   	108.63   	-335.71		130.01   	-147.51		
-14.65   	-33.26   	107.28   	-335.71		129.42   	-167.85		
-14.65   	-33.57   	105.94   	-335.71		128.75   	-193.29		
-14.34   	-33.26   	104.60   	-330.62		127.98   	-218.72		
-13.73   	-32.96   	103.28   	-320.45		127.10   	-239.06		
-14.04   	-32.35   	101.99   	-305.19		126.14   	-264.50		
-14.65   	-31.43   	100.77   	-295.01		125.09   	-284.84		
-15.87   	-29.91   	 99.59   	-269.58		123.95   	-305.19		
-17.09   	-27.77   	 98.51   	-249.24		122.73   	-320.45		
-18.01   	-25.33   	 97.52   	-228.89		121.44   	-335.71		
-18.62   	-23.50   	 96.60   	-203.46		120.10   	-345.88		
-19.23   	-22.58   	 95.79   	-188.20		118.72   	-356.05		
-19.84   	-21.97   	 95.04   	-162.77		117.29   	-361.14		
-20.14   	-21.67   	 94.38   	-152.59		115.85   	-361.14		
-20.45   	-20.75   	 93.77   	-132.25		114.40   	-366.22		
-21.06   	-19.53   	 93.24   	-116.99		112.94   	-366.22		
-22.58   	-18.92   	 92.78   	-106.82		111.47   	-361.14		
-24.72   	-19.23   	 92.35   	 -91.56		110.03   	-361.14		
-26.86   	-20.14   	 91.98   	 -81.38		108.59   	-350.97		
-28.08   	-20.75   	 91.66   	 -76.30		107.18   	-350.97		
-27.77   	-20.75   	 91.35   	 -61.04		105.78   	-340.79		
-26.86   	-19.84   	 91.11   	 -61.04		104.41   	-330.62		
-25.63   	-18.92   	 90.86   	 -61.04		103.09   	-325.53		
-25.02   	-18.31   	 90.62   	 -55.95		101.79   	-320.45		
-25.02   	-18.31   	 90.40   	 -55.95		100.51   	-305.19		
-25.02   	-18.62   	 90.17   	 -66.12		 99.29   	-305.19		
-24.72   	-19.23   	 89.91   	 -61.04		 98.07   	-289.93		
-24.11   	-19.84   	 89.66   	 -71.21		 96.91   	-279.75		
-23.80   	-20.75   	 89.38   	 -71.21		 95.79   	-274.67		
-23.80   	-21.67   	 89.09   	 -76.30		 94.69   	-269.58		
-24.72   	-22.58   	 88.79   	 -76.30		 93.61   	-254.32		
-25.33   	-23.50   	 88.48   	 -81.38		 92.59   	-249.24		
-25.94   	-23.80   	 88.16   	 -81.38		 91.60   	-233.98		
-25.33   	-23.80   	 87.83   	 -76.30		 90.66   	-233.98		
-24.41   	-24.11   	 87.53   	 -81.38		 89.72   	-218.72		
-23.50   	-24.41   	 87.20   	 -76.30		 88.85   	-213.63		
-22.58   	-25.33   	 86.90   	 -76.30		 88.00   	-208.54		
-22.28   	-26.55   	 86.59   	 -76.30		 87.16   	-198.37		
-22.28   	-27.47   	 86.29   	 -81.38		 86.37   	-188.20		
-22.28   	-28.08   	 85.96   	 -81.38		 85.62   	-183.11		
-21.97   	-28.08   	 85.64   	 -81.38		 84.88   	-172.94		
-21.67   	-27.77   	 85.31   	 -81.38		 84.19   	-172.94		
-21.97   	-27.77   	 84.98   	 -86.47		 83.50   	-157.68		
-22.28   	-28.08   	 84.64   	 -86.47		 82.87   	-157.68		
-22.28   	-28.69   	 84.29   	 -91.56		 82.24   	-147.51		
-22.28   	-29.30   	 83.93   	 -91.56		 81.65   	-147.51		
-21.67   	-29.91   	 83.56   	 -91.56		 81.06   	-132.25		
-21.06   	-30.21   	 83.19   	 -91.56		 80.53   	-132.25		
-21.06   	-30.52   	 82.83   	 -96.64		 80.00   	-127.16		
-21.06   	-30.82   	 82.44   	 -96.64		 79.49   	-122.07		
-21.06   	-31.13   	 82.05   	-101.73		 79.00   	-116.99		
-21.67   	-31.43   	 81.65   	 -96.64		 78.53   	-111.90		
-22.28   	-31.43   	 81.26   	-106.82		 78.09   	-111.90		
