  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-68.36   	-124.21   	 21.00   	 -35.61		 64.44   	 -30.52		
-54.02   	-76.90   	 20.85   	 -25.43		 64.31   	 -30.52		
 -9.46   	 66.53   	 20.75   	 -25.43		 64.19   	 -30.52		
 69.27   	332.34   	 20.65   	 -10.17		 64.07   	 -30.52		
177.31   	700.38   	 20.61   	  -5.09		 63.95   	 -30.52		
300.29   	1093.75   	 20.59(E)	  10.17		 63.82   	 -30.52		
414.43   	1396.48   	 20.63   	  50.86		 63.70   	 -61.04		
505.68   	1452.33(R)	 20.83   	  50.86		 63.46   	 -30.52		
444.95   	1250.31   	 21.04   	  71.21		 63.34   	 -30.52		
321.35   	999.45   	 21.32   	  96.64		 63.21   	 -25.43		
168.46   	757.14   	 21.71   	 127.16		 63.11   	 -25.43		
 28.99   	528.87   	 22.22   	 172.94		 63.01   	 -25.43		
-65.31   	303.96   	 22.91   	 218.72		 62.91   	 -25.43		
-108.64   	 94.91   	 23.78   	 284.84		 62.81   	 -25.43		
-115.97   	-63.78   	 24.92   	 361.14		 62.71   	 -25.43		
-107.42   	-148.62   	 26.37   	 432.35		 62.60   	 -20.35		
-95.21   	-169.07   	 28.10   	 513.73		 62.52   	 -20.35		
-82.09   	-158.08   	 30.15   	 584.94		 62.44   	 -20.35		
-66.53   	-147.09   	 32.49   	 651.07		 62.36   	 -20.35		
-50.96   	-147.40   	 35.10   	 722.28		 62.28   	 -15.26		
-40.59   	-153.81   	 37.99   	 813.83		 62.22   	 -20.35		
-36.93   	-159.00   	 41.24   	 925.73		 62.14   	 -15.26		
-37.84   	-160.52   	 44.94   	1083.41		 62.08   	 -10.17		
-39.67   	-159.30   	 49.28   	1276.70		 62.03   	 -10.17		
-39.98   	-155.94   	 54.38   	1469.98		 61.99   	  -5.09		
-39.06   	-150.76   	 60.26   	1637.84		 61.97(D)	   0.00		
-38.45   	-146.79   	 66.82   	1744.65		 61.97   	  10.17		
-37.84   	-146.79   	 73.79   	1770.08		 62.01   	  20.35		
-36.32   	-148.93   	 80.87   	1734.48		 62.10   	  45.78		
-33.87   	-149.54   	 87.81   	1658.18		 62.28   	  66.12		
-31.43   	-147.71   	 94.45   	1571.71		 62.54   	 101.73		
-30.82   	-143.43   	100.73   	1495.42		 62.95   	 137.33		
-32.65   	-138.85   	106.71   	1424.21		 63.50   	 193.29		
-35.71   	-135.19   	112.41   	1358.08		 64.27   	 244.15		
-37.84   	-132.45   	117.84   	1271.61		 65.25   	 310.27		
-36.93   	-130.00   	122.93   	1190.23		 66.49   	 371.31		
-33.87   	-127.87   	127.69   	1103.76		 67.98   	 442.52		
-31.43   	-125.73   	132.11   	1042.72		 69.75   	 513.73		
-31.13   	-123.90   	136.28   	 991.86		 71.80   	 574.77		
-33.26   	-122.68   	140.24   	 946.08		 74.10   	 635.81		
-35.10   	-120.85   	144.03   	 895.22		 76.64   	 701.93		
-33.87   	-117.80   	147.61   	 839.26		 79.45   	 752.79		
-30.52   	-112.92   	150.97   	 788.40		 82.46   	 803.66		
-26.55   	-106.20   	154.12   	 727.36		 85.68   	 844.35		
-25.02   	-99.18   	157.03   	 681.58		 89.05   	 890.13		
-26.25   	-93.99   	159.76   	 640.89		 92.61   	 920.65		
-27.77   	-91.86   	162.32   	 610.37		 96.30   	 946.08		
-27.77   	-92.47   	164.76   	 584.94		100.08   	 971.51		
-25.02   	-93.38   	167.10   	 564.60		103.97   	 986.77		
-20.75   	-90.94   	169.36   	 544.25		107.91   	1002.03		
-17.40   	-83.62   	171.54   	 528.99		111.92   	1002.03		
-15.87   	-72.02   	173.65   	 508.65		115.93   	1012.20		
-16.17   	-60.42   	175.69   	 488.30		119.98   	1002.03		
-17.40   	-53.10   	177.64   	 478.13		123.99   	1002.03		
-18.31   	-49.74   	179.55   	 467.95		128.00   	 991.86		
-17.40   	-47.91   	181.42   	 462.87		131.96   	 971.51		
-14.04   	-42.72   	183.27   	 452.69		135.85   	 961.34		
 -9.46   	-32.35   	185.09   	 447.61		139.69   	 935.91		
 -4.27   	-17.40   	186.88   	 432.35		143.44   	 915.56		
  0.00   	 -1.22   	188.61   	 401.83		147.10   	 885.04		
  3.05   	 12.82   	190.21   	 376.40		150.64   	 854.52		
  5.19   	 22.58   	191.72   	 330.62		154.06   	 824.00		
  6.41   	 28.69   	193.04   	 300.10		157.35   	 788.40		
  6.71   	 32.65   	194.24   	 259.41		160.51   	 757.88		
  6.10   	 36.32   	195.28   	 244.15		163.54   	 717.19		
  5.80   	 39.98   	196.26   	 218.72		166.41   	 686.67		
  6.71   	 43.03   	197.13   	 198.37		169.15   	 645.98		
  9.16   	 44.86   	197.92   	 178.03		171.74   	 605.29		
 12.51   	 45.78   	198.64   	 137.33		174.16   	 574.77		
 16.17   	 46.69   	199.19   	 111.90		176.46   	 534.08		
 19.53   	 48.22   	199.63   	  76.30		178.60   	 493.39		
 21.97   	 50.05   	199.94   	  61.04		180.57   	 462.87		
 23.19   	 51.57   	200.18   	  45.78		182.42   	 422.18		
 22.58   	 51.27   	200.37   	  30.52		184.11   	 386.57		
 19.84   	 49.13   	200.49   	   5.09		185.66   	 350.97		
 16.78   	 46.08   	200.51(S)	 -25.43		187.06   	 315.36		
 15.87   	 43.33   	200.41   	 -66.12		188.32   	 279.75		
 18.31   	 41.50   	200.14   	-101.73		189.44   	 244.15		
 21.36   	 39.67   	199.73   	-142.42		190.42   	 213.63		
 22.58   	 35.40   	199.17   	-183.11		191.27   	 172.94		
 20.45   	 27.16   	198.43   	-213.63		191.96   	 137.33		
 17.09   	 16.48   	197.58   	-259.41		192.51   	 106.82		
 14.65   	  6.10   	196.54   	-305.19		192.94   	  66.12		
 13.43   	 -0.92   	195.32   	-356.05		193.20   	  35.61		
 10.99   	 -3.05   	193.90   	-401.83		193.35(S)	  -5.09		
  5.49   	 -3.36   	192.29   	-447.61		193.33   	 -40.69		
 -1.83   	 -4.88   	190.50   	-488.30		193.16   	 -76.30		
 -7.02   	 -9.16   	188.54   	-523.90		192.86   	-116.99		
 -7.63   	-16.78   	186.45   	-559.51		192.39   	-147.51		
 -4.27   	-25.33   	184.21   	-590.03		191.80   	-188.20		
 -0.92   	-32.65   	181.85   	-625.63		191.05   	-228.89		
 -1.22   	-38.15   	179.35   	-656.15		190.13   	-259.41		
 -5.80   	-42.42   	176.72   	-681.58		189.09   	-295.01		
-13.73   	-45.47   	174.00   	-717.19		187.91   	-335.71		
-21.36   	-47.00   	171.13   	-752.79		186.57   	-366.22		
-26.86   	-46.69   	168.12   	-798.57		185.11   	-401.83		
-29.30   	-46.08   	164.92   	-859.61		183.50   	-432.35		
-28.38   	-47.61   	161.48   	-915.56		181.77   	-462.87		
-25.33   	-52.19   	157.82   	-986.77		179.92   	-488.30		
-22.28   	-58.59   	153.88   	-1052.90		177.96   	-513.73		
-21.67   	-62.87   	149.66   	-1113.93		175.91   	-528.99		
-25.02   	-63.48   	145.21   	-1164.80		173.79   	-549.34		
-31.43   	-61.65   	140.55   	-1215.66		171.60   	-559.51		
-37.23   	-60.73   	135.69   	-1246.18		169.36   	-569.68		
-39.37   	-62.87   	130.70   	-1276.70		167.08   	-574.77		
-36.01   	-66.22   	125.59   	-1291.96		164.78   	-574.77		
-29.30   	-67.14   	120.43   	-1307.22		162.48   	-574.77		
-24.11   	-63.78   	115.20   	-1317.39		160.18   	-569.68		
-23.19   	-57.68   	109.93   	-1317.39		157.90   	-554.42		
-25.63   	-53.41   	104.66   	-1322.48		155.69   	-549.34		
-29.60   	-54.32   	 99.37   	-1307.22		153.49   	-539.16		
-32.65   	-60.12   	 94.14   	-1302.13		151.33   	-523.90		
-34.48   	-66.22   	 88.93   	-1276.70		149.24   	-508.65		
-35.71   	-68.66   	 83.82   	-1256.35		147.20   	-493.39		
-36.93   	-67.44   	 78.80   	-1220.75		145.23   	-473.04		
-38.45   	-65.31   	 73.92   	-1190.23		143.34   	-462.87		
-38.45   	-65.61   	 69.16   	-1149.54		141.48   	-442.52		
-37.23   	-67.44   	 64.56   	-1103.76		139.71   	-427.26		
-35.71   	-67.14   	 60.14   	-1063.07		138.01   	-406.92		
-35.10   	-61.65   	 55.89   	-1007.12		136.38   	-396.74		
-35.71   	-50.35   	 51.86   	-951.17		134.79   	-376.40		
-37.54   	-37.23   	 48.06   	-890.13		133.29   	-366.22		
-39.06   	-24.72   	 44.50   	-834.18		131.82   	-345.88		
-37.84   	-13.73   	 41.16   	-768.05		130.44   	-335.71		
-33.87   	 -1.53   	 38.09   	-712.10		129.09   	-320.45		
-27.16   	 12.82   	 35.24   	-656.15		127.81   	-310.27		
-20.14   	 28.08   	 32.61   	-600.20		126.57   	-295.01		
-15.26   	 40.28   	 30.21   	-544.25		125.39   	-279.75		
-13.43   	 46.08   	 28.04   	-493.39		124.27   	-274.67		
-13.12   	 44.86   	 26.06   	-437.43		123.17   	-264.50		
-12.82   	 41.20   	 24.31   	-396.74		122.12   	-254.32		
-12.82   	 41.81   	 22.73   	-350.97		121.10   	-244.15		
-13.12   	 48.52   	 21.32   	-310.27		120.12   	-233.98		
-14.65   	 57.68   	 20.08   	-279.75		119.19   	-228.89		
-16.17   	 62.26   	 18.96   	-244.15		118.27   	-223.80		
-14.65   	 59.51   	 17.99   	-213.63		117.37   	-213.63		
 -7.93   	 55.24   	 17.13   	-193.29		116.52   	-208.54		
  2.44   	 57.37   	 16.36   	-167.85		115.69   	-198.37		
 12.51   	 68.36   	 15.69   	-152.59		114.89   	-198.37		
 18.01   	 82.40   	 15.08   	-137.33		114.10   	-188.20		
 16.17   	 88.20   	 14.53   	-122.07		113.35   	-183.11		
  9.77   	 78.74   	 14.04   	-116.99		112.61   	-178.03		
  1.53   	 54.93   	 13.57   	-106.82		111.90   	-172.94		
 -6.41   	 22.58   	 13.14   	 -91.56		111.21   	-162.77		
-13.43   	-14.04   	 12.78   	 -71.21		110.56   	-167.85		
-20.75   	-51.27   	 12.49   	 -61.04		109.89   	-157.68		
-28.99   	-86.36   	 12.25   	 -35.61		109.26   	-152.59		
-36.93   	-115.05   	 12.11   	 -25.43		108.65   	-147.51		
-42.11   	-132.45   	 12.00   	  -5.09		108.06   	-147.51		
-43.33   	-138.55   	 11.98(D)	  10.17		107.47   	-137.33		
-40.89   	-137.94   	 12.02   	  10.17		106.92   	-137.33		
-36.32   	-137.33   	 12.07   	  20.35		106.37   	-137.33		
-31.74   	-141.30   	 12.15   	  25.43		105.82   	-132.25		
-28.99   	-149.84   	 12.25   	  25.43		105.29   	-127.16		
-28.99   	-159.00   	 12.35   	  25.43		104.78   	-122.07		
-31.43   	-165.41   	 12.45   	  35.61		104.29   	-127.16		
-35.71   	-167.24   	 12.59   	  35.61		103.78   	-116.99		
-39.98   	-165.10   	 12.74   	  35.61		103.32   	-116.99		
-43.33   	-160.52   	 12.88   	  25.43		102.85   	-116.99		
-44.56   	-155.33   	 12.98   	  15.26		102.38   	-116.99		
-44.25   	-151.06   	 13.04   	  10.17		101.91   	-111.90		
-42.42   	-148.62   	 13.08   	   0.00		101.46   	-106.82		
-38.45   	-148.32   	 13.08   	   0.00		101.04   	-111.90		
-33.57   	-148.32   	 13.08   	   5.09		100.59   	-106.82		
-29.30   	-147.40   	 13.10   	   5.09		100.16   	-106.82		
-26.55   	-143.43   	 13.12   	   5.09		 99.74   	-106.82		
-26.55   	-137.33   	 13.14   	   5.09		 99.31   	-101.73		
-27.77   	-131.84   	 13.16   	   5.09		 98.90   	-106.82		
-29.30   	-130.31   	 13.18   	  10.17		 98.47   	-101.73		
-30.52   	-133.67   	 13.22   	  25.43		 98.07   	-101.73		
-31.74   	-139.47   	 13.33   	  40.69		 97.66   	 -96.64		
-33.26   	-142.82   	 13.49   	  55.95		 97.27   	-101.73		
-34.18   	-141.30   	 13.71   	  71.21		 96.87   	 -96.64		
-34.18   	-135.80   	 14.00   	  71.21		 96.48   	 -96.64		
-32.65   	-129.70   	 14.28   	  76.30		 96.09   	 -91.56		
-31.43   	-125.73   	 14.59   	  71.21		 95.73   	 -96.64		
-31.74   	-125.12   	 14.87   	  61.04		 95.34   	 -91.56		
-33.26   	-127.26   	 15.12   	  55.95		 94.97   	 -91.56		
-34.48   	-130.31   	 15.34   	  50.86		 94.61   	 -86.47		
-33.57   	-132.45   	 15.54   	  45.78		 94.26   	 -91.56		
-30.82   	-131.53   	 15.73   	  35.61		 93.90   	 -91.56		
-28.38   	-126.04   	 15.87   	  25.43		 93.53   	 -91.56		
-28.38   	-117.49   	 15.97   	  15.26		 93.16   	 -91.56		
-30.52   	-109.25   	 16.03   	   5.09		 92.80   	 -91.56		
-32.35   	-105.59   	 16.05   	   0.00		 92.43   	 -91.56		
-31.43   	-106.81   	 16.05   	 -15.26		 92.06   	 -96.64		
-27.47   	-110.47   	 15.99   	 -20.35		 91.68   	 -96.64		
-22.89   	-112.92   	 15.91   	 -25.43		 91.29   	 -96.64		
-21.97   	-112.30   	 15.81   	 -20.35		 90.91   	 -96.64		
-25.94   	-109.86   	 15.73   	 -25.43		 90.52   	 -96.64		
-31.74   	-107.12   	 15.63   	 -20.35		 90.13   	 -96.64		
-35.71   	-104.98   	 15.54   	 -20.35		 89.75   	 -96.64		
-35.10   	-104.06   	 15.46   	 -20.35		 89.36   	-101.73		
-31.13   	-104.06   	 15.38   	 -10.17		 88.95   	 -96.64		
-28.08   	-104.06   	 15.34   	 -15.26		 88.57   	 -96.64		
-28.99   	-102.84   	 15.28   	  -5.09		 88.18   	 -96.64		
-32.04   	-98.88   	 15.26   	   0.00		 87.79   	 -96.64		
-32.96   	-92.16   	 15.26   	   0.00		 87.41   	 -91.56		
-28.69   	-85.14   	 15.26(E)	   5.09		 87.04   	 -96.64		
-20.75   	-80.87   	 15.28   	  10.17		 86.65   	 -91.56		
-14.34   	-80.87   	 15.32   	  15.26		 86.29   	 -86.47		
-13.73   	-83.92   	 15.38   	  20.35		 85.94   	 -91.56		
-18.92   	-87.59   	 15.46   	  25.43		 85.57   	 -86.47		
-26.86   	-89.11   	 15.56   	  25.43		 85.23   	 -91.56		
-34.48   	-90.33   	 15.67   	  30.52		 84.86   	 -86.47		
-42.72   	-95.52   	 15.79   	  30.52		 84.52   	 -81.38		
-54.32   	-109.25   	 15.91   	  30.52		 84.19   	 -86.47		
-67.44   	-129.09   	 16.03   	  30.52		 83.85   	 -81.38		
-73.85   	-136.41   	 16.15   	  35.61		 83.52   	 -86.47		
-61.04   	-93.69   	 16.30   	  30.52		 83.17   	 -81.38		
-16.17   	 43.33   	 16.42   	  30.52		 82.85   	 -76.30		
 66.22   	302.43   	 16.54   	  30.52		 82.54   	 -81.38		
180.36   	667.42   	 16.66   	  35.61		 82.22   	 -76.30		
308.53   	1063.54   	 16.81   	  76.30		 81.91   	-147.51		
503.85   	1520.08(R)	 17.11   	  45.78		 81.32   	 -71.21		
515.14   	1478.27   	 17.29   	  50.86		 81.04   	 -66.12		
450.44   	1306.46   	 17.50   	  66.12		 80.77   	 -66.12		
323.79   	1083.98   	 17.76   	  71.21		 80.51   	 -66.12		
169.68   	860.60   	 18.05   	  91.56		 80.24   	 -61.04		
 30.82   	635.68   	 18.41   	 111.90		 80.00   	 -61.04		
-61.95   	397.95   	 18.86   	 137.33		 79.76   	 -61.04		
-103.15   	166.02   	 19.41   	 178.03		 79.51   	 -55.95		
-109.25   	-16.78   	 20.12   	 223.80		 79.29   	 -55.95		
-101.32   	-121.46   	 21.02   	 284.84		 79.06   	 -50.86		
-91.25   	-155.33   	 22.16   	 356.05		 78.86   	 -50.86		
-80.57   	-151.67   	 23.58   	 432.35		 78.66   	 -50.86		
-67.14   	-141.30   	 25.31   	 513.73		 78.45   	 -50.86		
-51.88   	-137.33   	 27.37   	 595.11		 78.25   	 -45.78		
-39.37   	-136.41   	 29.75   	 681.58		 78.07   	 -45.78		
-33.26   	-134.89   	 32.47   	 752.79		 77.88   	 -45.78		
-32.04   	-133.97   	 35.48   	 829.09		 77.70   	 -40.69		
-32.35   	-135.19   	 38.80   	 900.30		 77.54   	 -40.69		
-32.96   	-137.02   	 42.40   	 961.34		 77.38   	 -35.61		
-33.87   	-136.41   	 46.25   	1032.55		 77.23   	 -35.61		
-35.40   	-132.75   	 50.38   	1088.50		 77.09   	 -35.61		
-36.62   	-129.39   	 54.73   	1144.45		 76.95   	 -25.43		
-35.10   	-126.65   	 59.31   	1190.23		 76.85   	 -25.43		
-31.43   	-125.12   	 64.07   	1230.92		 76.74   	 -20.35		
-26.86   	-124.21   	 68.99   	1246.18		 76.66   	 -10.17		
-24.11   	-122.07   	 73.98   	1256.35		 76.62(D)	   0.00		
-24.41   	-117.80   	 79.00   	1241.09		 76.62   	  15.26		
-26.55   	-111.69   	 83.97   	1220.75		 76.68   	  25.43		
-28.08   	-105.59   	 88.85   	1200.40		 76.79   	  55.95		
-28.08   	-101.62   	 93.65   	1174.97		 77.01   	  76.30		
-26.86   	-100.40   	 98.35   	1159.71		 77.31   	 106.82		
-25.63   	-99.18   	102.99   	1129.19		 77.74   	 147.51		
-25.02   	-95.83   	107.51   	1098.67		 78.33   	 183.11		
-25.02   	-91.25   	111.90   	1047.81		 79.06   	 228.89		
-24.72   	-86.36   	116.09   	 991.86		 79.98   	 269.58		
-22.58   	-82.40   	120.06   	 935.91		 81.06   	 315.36		
-18.92   	-77.51   	123.80   	 879.96		 82.32   	 366.22		
-14.04   	-70.50   	127.32   	 834.18		 83.78   	 401.83		
-10.07   	-62.26   	130.66   	 788.40		 85.39   	 452.69		
 -8.85   	-54.32   	133.81   	 747.71		 87.20   	 493.39		
-10.99   	-49.44   	136.81   	 707.02		 89.18   	 528.99		
-14.95   	-47.00   	139.63   	 666.32		 91.29   	 564.60		
-17.70   	-44.56   	142.30   	 625.63		 93.55   	 600.20		
-17.09   	-39.06   	144.80   	 590.03		 95.95   	 630.72		
-13.43   	-29.60   	147.16   	 559.51		 98.47   	 651.07		
 -8.24   	-18.01   	149.40   	 518.82		101.08   	 676.50		
 -3.36   	 -6.10   	151.47   	 483.21		103.78   	 696.84		
  0.31   	  4.27   	153.41   	 447.61		106.57   	 712.10		
  3.36   	 13.43   	155.20   	 417.09		109.42   	 717.19		
  5.49   	 22.28   	156.87   	 391.66		112.29   	 732.45		
  6.71   	 31.43   	158.43   	 386.57		115.22   	 732.45		
  7.93   	 42.11   	159.98   	 386.57		118.15   	 732.45		
 10.07   	 53.41   	161.53   	 386.57		121.08   	 732.45		
 13.12   	 65.61   	163.07   	 376.40		124.01   	 727.36		
 16.78   	 78.13   	164.58   	 356.05		126.92   	 717.19		
 19.53   	 90.94   	166.00   	 330.62		129.79   	 707.02		
 21.06   	103.45   	167.32   	 300.10		132.61   	 696.84		
 23.19   	115.36   	168.52   	 289.93		135.40   	 681.58		
 27.47   	126.04   	169.68   	 279.75		138.13   	 666.32		
 34.48   	134.58   	170.80   	 269.58		140.79   	 645.98		
 41.20   	141.91   	171.88   	 264.50		143.38   	 625.63		
 45.47   	148.01   	172.94   	 249.24		145.88   	 605.29		
 46.08   	153.81   	173.94   	 223.80		148.30   	 584.94		
 45.47   	158.08   	174.83   	 198.37		150.64   	 564.60		
 46.08   	159.61   	175.62   	 183.11		152.90   	 534.08		
 47.91   	157.47   	176.36   	 157.68		155.03   	 513.73		
 48.83   	151.98   	176.99   	 147.51		157.09   	 488.30		
 47.30   	145.87   	177.58   	 132.25		159.04   	 457.78		
 43.95   	141.60   	178.11   	 122.07		160.87   	 432.35		
 41.20   	139.16   	178.60   	 122.07		162.60   	 406.92		
 40.28   	135.19   	179.08   	 106.82		164.23   	 381.48		
 39.06   	126.04   	179.51   	 101.73		165.76   	 356.05		
 35.10   	109.86   	179.92   	  81.38		167.18   	 325.53		
 27.16   	 89.11   	180.24   	  55.95		168.48   	 295.01		
 17.09   	 67.75   	180.47   	  25.43		169.66   	 274.67		
  8.24   	 50.05   	180.57(S)	  -5.09		170.76   	 244.15		
  3.36   	 36.32   	180.55   	 -40.69		171.74   	 213.63		
  1.22   	 25.33   	180.39   	 -76.30		172.59   	 188.20		
  0.31   	 14.95   	180.08   	-106.82		173.35   	 162.77		
 -2.14   	  3.05   	179.65   	-142.42		174.00   	 137.33		
 -7.02   	-10.38   	179.08   	-178.03		174.55   	 106.82		
-12.51   	-22.89   	178.37   	-218.72		174.97   	  81.38		
-17.09   	-31.13   	177.50   	-264.50		175.30   	  50.86		
-19.23   	-34.48   	176.44   	-310.27		175.50   	  25.43		
-19.84   	-35.10   	175.20   	-356.05		175.60(S)	   0.00		
-19.84   	-37.54   	173.77   	-412.00		175.60   	 -35.61		
-21.06   	-44.56   	172.13   	-462.87		175.46   	 -61.04		
-23.50   	-53.10   	170.27   	-518.82		175.22   	 -91.56		
-26.55   	-58.59   	168.20   	-584.94		174.85   	-122.07		
-29.60   	-58.29   	165.86   	-656.15		174.36   	-152.59		
-30.82   	-53.41   	163.23   	-737.54		173.75   	-188.20		
-30.52   	-47.91   	160.28   	-813.83		173.00   	-223.80		
-28.99   	-45.78   	157.03   	-905.39		172.11   	-254.32		
-27.77   	-47.61   	153.41   	-996.94		171.09   	-289.93		
-27.77   	-51.57   	149.42   	-1088.50		169.93   	-320.45		
-29.30   	-56.15   	145.07   	-1174.97		168.65   	-356.05		
-31.43   	-59.81   	140.37   	-1256.35		167.22   	-381.48		
-32.35   	-61.95   	135.34   	-1317.39		165.70   	-406.92		
-32.04   	-62.26   	130.07   	-1363.17		164.07   	-427.26		
-30.21   	-60.42   	124.62   	-1388.60		162.36   	-452.69		
-29.30   	-57.98   	119.06   	-1403.86		160.55   	-462.87		
-29.60   	-56.15   	113.45   	-1403.86		158.70   	-478.13		
-31.74   	-56.46   	107.83   	-1393.69		156.78   	-488.30		
-34.18   	-58.59   	102.26   	-1378.43		154.83   	-488.30		
-35.40   	-61.04   	 96.74   	-1347.91		152.88   	-493.39		
-34.79   	-63.17   	 91.35   	-1302.13		150.90   	-488.30		
-34.48   	-64.09   	 86.14   	-1246.18		148.95   	-483.21		
-34.79   	-64.39   	 81.16   	-1195.32		147.02   	-478.13		
-36.32   	-64.70   	 76.38   	-1134.28		145.11   	-467.95		
-37.23   	-64.70   	 71.84   	-1078.33		143.23   	-457.78		
-36.62   	-63.48   	 67.53   	-1032.55		141.40   	-442.52		
-34.48   	-60.12   	 63.40   	-991.86		139.63   	-432.35		
-32.35   	-53.41   	 59.43   	-956.25		137.90   	-422.18		
-31.13   	-42.72   	 55.61   	-910.47		136.22   	-406.92		
-30.82   	-27.77   	 51.96   	-874.87		134.59   	-391.66		
-30.21   	 -9.16   	 48.46   	-824.00		133.02   	-376.40		
-28.69   	 10.68   	 45.17   	-773.14		131.52   	-366.22		
-26.25   	 28.69   	 42.08   	-722.28		130.05   	-350.97		
-23.80   	 43.03   	 39.19   	-671.41		128.65   	-335.71		
-21.97   	 52.19   	 36.50   	-625.63		127.30   	-325.53		
-20.14   	 57.98   	 34.00   	-574.77		126.00   	-315.36		
-17.70   	 61.95   	 31.70   	-523.90		124.74   	-300.10		
-14.34   	 65.61   	 29.60   	-478.13		123.54   	-289.93		
-11.60   	 69.89   	 27.69   	-432.35		122.38   	-274.67		
-10.07   	 74.16   	 25.96   	-386.57		121.28   	-264.50		
-10.07   	 75.68   	 24.41   	-330.62		120.22   	-254.32		
-10.38   	 72.94   	 23.09   	-284.84		119.21   	-249.24		
 -9.77   	 66.22   	 21.95   	-244.15		118.21   	-233.98		
 -6.10   	 61.04   	 20.98   	-213.63		117.27   	-223.80		
  0.92   	 63.48   	 20.12   	-183.11		116.38   	-218.72		
 10.68   	 75.07   	 19.39   	-172.94		115.50   	-208.54		
 19.53   	 90.94   	 18.70   	-152.59		114.67   	-203.46		
 24.72   	102.54   	 18.09   	-147.51		113.86   	-193.29		
 23.19   	102.84   	 17.50   	-132.25		113.08   	-188.20		
 14.34   	 89.42   	 16.97   	-116.99		112.33   	-178.03		
  0.61   	 64.09   	 16.50   	-106.82		111.62   	-172.94		
-14.34   	 28.99   	 16.07   	 -91.56		110.93   	-167.85		
-25.63   	-11.90   	 15.71   	 -81.38		110.25   	-162.77		
-31.13   	-53.41   	 15.38   	 -71.21		109.60   	-152.59		
-30.82   	-87.89   	 15.10   	 -61.04		108.99   	-152.59		
-27.47   	-110.47   	 14.85   	 -45.78		108.38   	-142.42		
-25.63   	-120.24   	 14.67   	 -35.61		107.81   	-142.42		
-27.16   	-121.46   	 14.53   	 -25.43		107.24   	-132.25		
-30.82   	-120.24   	 14.43   	 -15.26		106.71   	-132.25		
-33.57   	-119.63   	 14.36(D)	   0.00		106.18   	-127.16		
-33.87   	-121.15   	 14.36   	  10.17		105.68   	-122.07		
-31.43   	-123.90   	 14.40   	  20.35		105.19   	-122.07		
-28.38   	-126.65   	 14.49   	  25.43		104.70   	-116.99		
-26.86   	-128.17   	 14.59   	  35.61		104.23   	-111.90		
-27.77   	-128.17   	 14.73   	  45.78		103.78   	-111.90		
-29.91   	-126.95   	 14.91   	  50.86		103.34   	-111.90		
-32.04   	-126.04   	 15.12   	  66.12		102.89   	-106.82		
-33.57   	-125.73   	 15.38   	  71.21		102.46   	-111.90		
-33.87   	-125.73   	 15.67   	  81.38		102.01   	-101.73		
-32.96   	-124.82   	 15.99   	  91.56		101.61   	-106.82		
-31.13   	-122.99   	 16.36   	  96.64		101.18   	-101.73		
-29.60   	-121.15   	 16.74   	 111.90		100.77   	-101.73		
-28.69   	-119.93   	 17.19   	 122.07		100.37   	-101.73		
-29.30   	-120.24   	 17.68   	 127.16		 99.96   	-101.73		
-30.21   	-121.15   	 18.19   	 137.33		 99.55   	 -96.64		
-30.82   	-120.54   	 18.74   	 147.51		 99.17   	 -96.64		
-29.60   	-117.19   	 19.33   	 152.59		 98.78   	 -96.64		
-27.16   	-111.08   	 19.94   	 157.68		 98.39   	 -96.64		
-25.02   	-104.37   	 20.57   	 157.68		 98.01   	 -96.64		
-25.02   	-100.40   	 21.20   	 152.59		 97.62   	 -91.56		
-26.55   	-99.79   	 21.81   	 152.59		 97.25   	 -86.47		
-28.38   	-102.54   	 22.42   	 137.33		 96.91   	 -91.56		
-28.08   	-104.68   	 22.97   	 122.07		 96.54   	 -86.47		
-25.02   	-104.68   	 23.46   	 111.90		 96.19   	 -81.38		
-21.36   	-101.62   	 23.91   	  96.64		 95.87   	 -86.47		
-18.31   	-97.05   	 24.29   	  76.30		 95.52   	 -81.38		
-18.01   	-93.08   	 24.60   	  61.04		 95.20   	 -86.47		
-19.53   	-90.33   	 24.84   	  40.69		 94.85   	 -81.38		
-22.28   	-89.11   	 25.00   	  30.52		 94.53   	 -81.38		
-24.41   	-88.20   	 25.13   	  15.26		 94.20   	 -86.47		
-25.02   	-86.98   	 25.19   	   5.09		 93.86   	 -81.38		
-23.80   	-85.75   	 25.21   	  -5.09		 93.53   	 -86.47		
-21.97   	-83.92   	 25.19   	 -15.26		 93.18   	 -81.38		
-20.75   	-82.09   	 25.13   	 -15.26		 92.86   	 -86.47		
-20.75   	-80.87   	 25.07   	 -20.35		 92.51   	 -86.47		
-22.28   	-79.35   	 24.98   	 -25.43		 92.17   	 -91.56		
-23.80   	-77.51   	 24.88   	 -25.43		 91.80   	 -86.47		
-24.11   	-74.77   	 24.78   	 -25.43		 91.45   	 -91.56		
-23.50   	-72.94   	 24.68   	 -30.52		 91.09   	 -91.56		
-22.58   	-71.72   	 24.56   	 -35.61		 90.72   	 -91.56		
-20.75   	-71.41   	 24.41   	 -45.78		 90.36   	 -91.56		
-18.01   	-70.80   	 24.23   	 -45.78		 89.99   	 -91.56		
-15.56   	-69.58   	 24.05   	 -50.86		 89.62   	 -91.56		
-14.34   	-68.36   	 23.85   	 -55.95		 89.26   	 -96.64		
