  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-82.40   	-35.40   	 34.83   	 783.31		 61.49   	   0.00		
-62.87   	-73.55   	 37.97   	 890.13		 61.49   	 -25.43		
-55.24   	-110.47   	 41.53   	 996.94		 61.38   	 -35.61		
-53.71   	-134.28   	 45.51   	1098.67		 61.24   	  -5.09		
-52.80   	-142.52   	 49.91   	1185.14		 61.22   	  30.52		
-49.74   	-141.91   	 54.65   	1276.70		 61.34   	  25.43		
-47.91   	-140.08   	 59.76   	1363.17		 61.44   	  -5.09		
-50.05   	-141.60   	 65.21   	1439.47		 61.42   	 -40.69		
-55.85   	-145.26   	 70.97   	1500.50		 61.26   	 -50.86		
-60.73   	-149.23   	 76.97   	1536.11		 61.06   	 -55.95		
-61.04   	-150.76   	 83.11   	1546.28		 60.83   	 -40.69		
-55.85   	-149.84   	 89.30   	1515.76		 60.67   	 -25.43		
-49.13   	-148.93   	 95.36   	1459.81		 60.57   	 -20.35		
-45.17   	-149.23   	101.20   	1378.43		 60.49   	   5.09		
-44.25   	-150.76   	106.71   	1276.70		 60.51   	  30.52		
-43.95   	-151.67   	111.82   	1164.80		 60.63   	  50.86		
-43.03   	-150.45   	116.48   	1047.81		 60.83   	  66.12		
-42.11   	-148.01   	120.67   	 925.73		 61.10   	 132.25		
-42.42   	-146.48   	124.37   	 808.75		 61.63   	 284.84		
-44.25   	-147.40   	127.61   	 686.67		 62.77   	 498.47		
-45.17   	-149.84   	130.36   	 569.68		 64.76   	 824.00		
-42.72   	-151.67   	132.63   	 457.78		 68.06   	1322.48		
-36.93   	-150.45   	134.47   	 340.79		 73.35   	1912.51		
-31.13   	-146.48   	135.83   	 239.06		 81.00   	2182.09		
-28.08   	-142.21   	136.78   	 147.51		 89.72   	1887.07		
-29.30   	-139.77   	137.37   	  76.30		 97.27   	1251.27		
-32.65   	-138.85   	137.68   	  45.78		102.28   	 783.31		
-35.10   	-138.55   	137.86   	  40.69		105.41   	 727.36		
-33.26   	-137.02   	138.03   	  81.38		108.32   	 844.35		
-27.77   	-134.58   	138.35   	 142.42		111.70   	 854.52		
-21.97   	-131.53   	138.92   	 228.89		115.12   	 788.40		
-18.62   	-129.39   	139.84   	 315.36		118.27   	 732.45		
-19.53   	-128.17   	141.10   	 396.74		121.20   	 778.23		
-23.50   	-127.87   	142.69   	 447.61		124.31   	1022.38		
-28.08   	-127.87   	144.48   	 483.21		128.40   	1286.87		
-30.52   	-126.95   	146.41   	 478.13		133.55   	1297.04		
-29.30   	-124.82   	148.32   	 457.78		138.74   	 966.43		
-25.33   	-120.85   	150.15   	 417.09		142.60   	 528.99		
-20.75   	-116.27   	151.82   	 350.97		144.72   	 401.83		
-16.78   	-112.00   	153.22   	 284.84		146.33   	 651.07		
-14.34   	-108.95   	154.36   	 218.72		148.93   	 793.49		
-12.82   	-106.81   	155.24   	 152.59		152.11   	 498.47		
-11.60   	-104.68   	155.85   	 101.73		154.10   	  76.30		
-10.99   	-102.23   	156.26   	  61.04		154.40   	  15.26		
-11.60   	-100.10   	156.50   	  25.43		154.47   	 228.89		
-13.73   	-98.27   	156.60(S)	  -5.09		155.38   	 386.57		
-16.17   	-96.74   	156.58   	 -20.35		156.93   	 406.92		
-18.31   	-93.69   	156.50   	 -35.61		158.55   	 315.36		
-19.84   	-88.81   	156.36   	 -45.78		159.82   	 152.59		
-21.36   	-81.79   	156.17   	 -55.95		160.43   	  91.56		
-23.19   	-73.24   	155.95   	 -66.12		160.79   	 101.73		
-24.72   	-63.78   	155.69   	 -81.38		161.20   	 132.25		
-24.41   	-54.63   	155.36   	 -91.56		161.73   	 147.51		
-21.36   	-45.17   	154.99   	-106.82		162.32   	  91.56		
-15.87   	-36.01   	154.57   	-132.25		162.69   	  15.26		
 -9.77   	-26.25   	154.04   	-157.68		162.75   	 -35.61		
 -6.10   	-16.48   	153.41   	-183.11		162.60   	 -10.17		
 -6.71   	 -6.41   	152.67   	-208.54		162.56   	  45.78		
-10.07   	  3.66   	151.84   	-233.98		162.75   	  50.86		
-12.82   	 13.12   	150.90   	-249.24		162.95   	 -10.17		
-10.68   	 22.58   	149.91   	-259.41		162.91   	 -96.64		
 -2.75   	 30.21   	148.87   	-269.58		162.52   	-178.03		
  8.85   	 35.40   	147.79   	-269.58		161.81   	-188.20		
 19.53   	 36.93   	146.71   	-274.67		161.06   	-147.51		
 25.02   	 35.40   	145.61   	-269.58		160.47   	-122.07		
 24.41   	 31.43   	144.54   	-269.58		159.98   	-167.85		
 18.62   	 25.63   	143.46   	-269.58		159.31   	-228.89		
 10.99   	 18.62   	142.38   	-274.67		158.39   	-274.67		
  4.27   	 11.90   	141.28   	-279.75		157.29   	-310.27		
  0.31   	  6.71   	140.16   	-295.01		156.05   	-335.71		
 -1.22   	  2.44   	138.98   	-315.36		154.71   	-356.05		
 -1.83   	 -1.53   	137.72   	-330.62		153.29   	-386.57		
 -2.44   	 -7.02   	136.40   	-356.05		151.74   	-427.26		
 -4.58   	-13.43   	134.97   	-376.40		150.03   	-447.61		
 -7.32   	-18.31   	133.47   	-406.92		148.24   	-462.87		
-10.99   	-19.53   	131.84   	-427.26		146.39   	-493.39		
-13.73   	-18.01   	130.13   	-457.78		144.41   	-518.82		
-14.65   	-16.48   	128.30   	-493.39		142.34   	-539.16		
-13.12   	-17.40   	126.33   	-534.08		140.18   	-539.16		
 -9.46   	-21.06   	124.19   	-590.03		138.03   	-539.16		
 -6.10   	-24.72   	121.83   	-645.98		135.87   	-554.42		
 -5.49   	-25.63   	119.25   	-722.28		133.65   	-564.60		
 -8.54   	-23.80   	116.36   	-793.49		131.39   	-579.86		
-13.43   	-20.14   	113.18   	-864.70		129.07   	-584.94		
-18.31   	-17.09   	109.72   	-930.82		126.73   	-559.51		
-19.84   	-14.95   	106.00   	-991.86		124.50   	-498.47		
-18.31   	-13.12   	102.03   	-1032.55		122.50   	-493.39		
-14.95   	-10.38   	 97.90   	-1063.07		120.53   	-523.90		
-11.90   	 -7.02   	 93.65   	-1078.33		118.43   	-503.56		
 -9.77   	 -3.66   	 89.34   	-1088.50		116.42   	-412.00		
 -8.85   	 -1.22   	 84.98   	-1078.33		114.77   	-310.27		
 -8.54   	 -0.61   	 80.67   	-1063.07		113.53   	-244.15		
 -8.85   	 -1.22   	 76.42   	-1047.81		112.55   	-208.54		
 -8.85   	 -2.44   	 72.23   	-1017.29		111.72   	-193.29		
 -5.80   	 -4.58   	 68.16   	-986.77		110.95   	-203.46		
  1.83   	 -7.63   	 64.21   	-956.25		110.13   	-203.46		
 13.43   	-11.60   	 60.39   	-920.65		109.32   	-198.37		
 23.19   	-17.09   	 56.70   	-885.04		108.52   	-193.29		
 23.50   	-25.94   	 53.16   	-844.35		107.75   	-178.03		
  6.71   	-41.50   	 49.79   	-803.66		107.04   	-152.59		
-30.52   	-68.05   	 46.57   	-762.97		106.43   	-137.33		
-86.98   	-106.20   	 43.52   	-717.19		105.88   	-147.51		
-158.08   	-149.54   	 40.65   	-676.50		105.29   	-147.51		
-236.51   	-186.16   	 37.94   	-630.72		104.70   	-142.42		
-313.11   	-203.86   	 35.42   	-584.94		104.13   	-137.33		
-378.42   	-194.70   	 33.08   	-539.16		103.58   	-137.33		
-426.64   	-158.39   	 30.93   	-493.39		103.03   	-142.42		
-460.21   	-100.71   	 28.95   	-452.69		102.46   	-142.42		
-486.45   	-28.99   	 27.14   	-412.00		101.89   	-147.51		
-513.00   	 50.66   	 25.49   	-366.22		101.30   	-132.25		
-541.99   	130.92   	 24.03   	-320.45		100.77   	-127.16		
-567.93   	202.33   	 22.75   	-279.75		100.26   	-111.90		
-582.28   	253.91   	 21.63   	-233.98		 99.82   	-101.73		
-577.70   	282.90   	 20.69   	-188.20		 99.41   	-101.73		
-551.15   	297.55   	 19.94   	-147.51		 99.00   	-101.73		
-503.54   	311.89   	 19.35   	-111.90		 98.60   	 -76.30		
-440.98   	334.17   	 18.90   	 -76.30		 98.29   	 -55.95		
-374.76   	351.87   	 18.60   	 -61.04		 98.07   	 -45.78		
-321.04   	336.91   	 18.35   	 -40.69		 97.88   	 -50.86		
-292.36   	266.72   	 18.19   	 -35.61		 97.68   	 -55.95		
-289.61   	146.79   	 18.05   	 -30.52		 97.46   	 -45.78		
-299.68   	 12.51   	 17.92   	 -20.35		 97.27   	 -50.86		
-303.34   	-90.33   	 17.84   	  -5.09		 97.07   	 -76.30		
-288.09   	-135.80   	 17.82   	  15.26		 96.76   	 -76.30		
-253.60   	-129.39   	 17.88   	  40.69		 96.46   	  45.78		
-209.35   	-100.71   	 18.05   	  66.12		 96.64   	  40.69		
