  I     	  LV     	  LV'		  AO     	  AO'		
-70.50   	103.28   	-940.99		113.57   	-116.99		
-69.58   	 99.51   	-1037.64		113.10   	-127.16		
-68.97   	 95.36   	-1144.45		112.59   	-152.59		
-68.05   	 90.78   	-1256.35		111.98   	-167.85		
-67.14   	 85.76   	-1358.08		111.31   	-183.11		
-65.92   	 80.33   	-1429.29		110.58   	-193.29		
-65.31   	 74.61   	-1469.98		109.81   	-203.46		
-65.31   	 68.73   	-1464.90		108.99   	-203.46		
-65.31   	 62.87   	-1419.12		108.18   	-198.37		
-65.31   	 57.19   	-1332.65		107.39   	-193.29		
-65.00   	 51.86   	-1210.58		106.61   	-178.03		
-64.70   	 47.02   	-1083.41		105.90   	-167.85		
-65.00   	 42.69   	-940.99		105.23   	-142.42		
-65.61   	 38.92   	-808.75		104.66   	-127.16		
-66.53   	 35.69   	-696.84		104.15   	-101.73		
-66.53   	 32.90   	-600.20		103.74   	 -86.47		
-65.61   	 30.50   	-528.99		103.40   	 -71.21		
-63.48   	 28.38   	-483.21		103.11   	 -50.86		
-61.34   	 26.45   	-447.61		102.91   	 -35.61		
-60.12   	 24.66   	-432.35		102.77   	 -25.43		
-60.42   	 22.93   	-406.92		102.66   	 -15.26		
-61.95   	 21.30   	-391.66		102.60   	   0.00		
-64.39   	 19.74   	-366.22		102.60   	   0.00		
-65.92   	 18.27   	-335.71		102.60   	  10.17		
-65.31   	 16.93   	-295.01		102.64   	  15.26		
-62.87   	 15.75   	-244.15		102.71   	  10.17		
-60.12   	 14.77   	-198.37		102.75   	  15.26		
-58.90   	 13.98   	-142.42		102.81   	  15.26		
-60.12   	 13.41   	 -96.64		102.87   	  10.17		
-62.26   	 13.02   	 -55.95		102.91   	  15.26		
-64.09   	 12.80   	 -15.26		102.97   	  10.17		
-64.39   	 12.74(D)	   5.09		103.01   	   5.09		
-63.17   	 12.76   	  25.43		103.03   	   5.09		
-61.95   	 12.86   	  30.52		103.05   	   0.00		
-61.04   	 12.98   	  30.52		103.05   	   0.00		
-60.73   	 13.10   	  35.61		103.05   	 -10.17		
-60.73   	 13.25   	  30.52		103.01   	 -10.17		
-60.12   	 13.37   	  30.52		102.97   	 -20.35		
-59.20   	 13.49   	  40.69		102.89   	 -25.43		
-58.90   	 13.65   	  50.86		102.79   	 -30.52		
-59.20   	 13.86   	  66.12		102.66   	 -35.61		
-59.51   	 14.12   	  81.38		102.52   	 -40.69		
-59.20   	 14.45   	  96.64		102.36   	 -45.78		
-57.37   	 14.83   	 111.90		102.18   	 -45.78		
-53.41   	 15.28   	 122.07		101.99   	 -50.86		
-47.91   	 15.77   	 127.16		101.79   	 -50.86		
-40.89   	 16.28   	 127.16		101.59   	 -50.86		
-33.87   	 16.79   	 127.16		101.38   	 -50.86		
-27.16   	 17.29   	 116.99		101.18   	 -55.95		
-21.06   	 17.76   	 111.90		100.96   	 -50.86		
-15.26   	 18.21   	 106.82		100.75   	 -55.95		
-10.07   	 18.64   	  91.56		100.53   	 -50.86		
 -4.88   	 19.00   	  86.47		100.33   	 -50.86		
  0.00   	 19.35   	  71.21		100.12   	 -55.95		
  4.58   	 19.63   	  66.12		 99.90   	 -50.86		
  8.85   	 19.90   	  50.86		 99.69   	 -55.95		
 12.21   	 20.10   	  40.69		 99.47   	 -55.95		
 13.43   	 20.26   	  30.52		 99.25   	 -50.86		
 13.12   	 20.39   	  20.35		 99.04   	 -61.04		
 13.43   	 20.47   	  10.17		 98.80   	 -55.95		
 15.87   	 20.51   	   5.09		 98.58   	 -55.95		
 20.14   	 20.53   	   0.00		 98.35   	 -55.95		
 24.11   	 20.53   	   0.00		 98.13   	 -61.04		
 23.50   	 20.53   	   5.09		 97.88   	 -55.95		
