  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-24.11   	-31.43   	104.82   	-920.65		123.58   	-381.48		
-24.41   	-34.18   	101.14   	-930.82		122.05   	-371.31		
-26.86   	-40.89   	 97.42   	-946.08		120.57   	-356.05		
-30.21   	-46.69   	 93.63   	-946.08		119.15   	-335.71		
-32.96   	-47.61   	 89.85   	-940.99		117.80   	-320.45		
-33.57   	-43.03   	 86.08   	-935.91		116.52   	-305.19		
-32.65   	-36.62   	 82.34   	-925.73		115.30   	-289.93		
-31.43   	-33.26   	 78.64   	-915.56		114.14   	-274.67		
-31.43   	-35.40   	 74.97   	-900.30		113.04   	-259.41		
-32.65   	-41.20   	 71.37   	-885.04		112.00   	-244.15		
-34.48   	-46.39   	 67.83   	-869.78		111.03   	-233.98		
-36.62   	-48.83   	 64.35   	-854.52		110.09   	-223.80		
-37.84   	-47.61   	 60.94   	-829.09		109.20   	-218.72		
-38.45   	-44.86   	 57.62   	-813.83		108.32   	-208.54		
-38.15   	-42.42   	 54.36   	-783.31		107.49   	-198.37		
-36.93   	-41.81   	 51.23   	-757.88		106.69   	-198.37		
-35.71   	-42.42   	 48.20   	-732.45		105.90   	-188.20		
-34.48   	-43.33   	 45.27   	-701.93		105.15   	-188.20		
-33.57   	-43.03   	 42.46   	-676.50		104.39   	-183.11		
-32.96   	-40.59   	 39.76   	-640.89		103.66   	-178.03		
-32.96   	-37.84   	 37.19   	-615.46		102.95   	-178.03		
-34.48   	-36.93   	 34.73   	-579.86		102.24   	-172.94		
-36.93   	-39.67   	 32.41   	-554.42		101.55   	-172.94		
-39.37   	-44.25   	 30.19   	-518.82		100.85   	-167.85		
-40.59   	-49.13   	 28.12   	-493.39		100.18   	-167.85		
-40.59   	-52.49   	 26.14   	-467.95		 99.51   	-162.77		
-39.98   	-54.02   	 24.27   	-432.35		 98.86   	-157.68		
-40.59   	-54.63   	 22.54   	-412.00		 98.23   	-162.77		
-41.81   	-53.71   	 20.90   	-381.48		 97.58   	-152.59		
-42.72   	-51.27   	 19.37   	-356.05		 96.97   	-152.59		
-41.81   	-47.30   	 17.94   	-335.71		 96.36   	-152.59		
-39.06   	-43.03   	 16.60   	-310.27		 95.75   	-152.59		
-36.01   	-40.59   	 15.36   	-289.93		 95.14   	-147.51		
-33.87   	-40.89   	 14.20   	-269.58		 94.55   	-147.51		
-32.96   	-42.72   	 13.12   	-249.24		 93.96   	-142.42		
-32.65   	-44.56   	 12.13   	-233.98		 93.39   	-147.51		
-32.04   	-44.56   	 11.19   	-218.72		 92.80   	-142.42		
-32.04   	-43.03   	 10.32   	-203.46		 92.23   	-142.42		
-32.35   	-40.59   	  9.50   	-188.20		 91.66   	-137.33		
-33.57   	-39.06   	  8.75   	-172.94		 91.11   	-142.42		
-35.71   	-41.20   	  8.06   	-157.68		 90.54   	-137.33		
-38.15   	-47.30   	  7.43   	-147.51		 89.99   	-132.25		
-39.98   	-55.24   	  6.84   	-137.33		 89.46   	-137.33		
-39.06   	-61.65   	  6.29   	-132.25		 88.91   	-132.25		
-35.71   	-62.87   	  5.76   	-116.99		 88.38   	-132.25		
-31.13   	-57.37   	  5.29   	-106.82		 87.85   	-127.16		
-27.77   	-48.83   	  4.86   	 -96.64		 87.34   	-127.16		
-27.47   	-42.72   	  4.48   	 -91.56		 86.84   	-122.07		
-29.91   	-43.33   	  4.11   	 -86.47		 86.35   	-122.07		
-32.96   	-50.35   	  3.76   	 -71.21		 85.86   	-116.99		
-34.48   	-59.20   	  3.48   	 -71.21		 85.39   	-116.99		
-33.57   	-63.17   	  3.19   	 -61.04		 84.92   	-116.99		
-30.82   	-58.59   	  2.95   	 -55.95		 84.46   	-111.90		
-28.99   	-48.83   	  2.73   	 -45.78		 84.01   	-106.82		
-28.99   	-40.59   	  2.54   	 -40.69		 83.58   	-111.90		
-30.82   	-38.76   	  2.38   	 -35.61		 83.13   	-101.73		
-33.26   	-44.86   	  2.24   	 -30.52		 82.73   	-106.82		
-34.48   	-54.02   	  2.12   	 -30.52		 82.30   	-101.73		
-33.87   	-60.42   	  1.99   	 -20.35		 81.89   	-101.73		
-32.35   	-60.12   	  1.91   	 -15.26		 81.48   	 -96.64		
-29.91   	-53.71   	  1.85   	 -15.26		 81.10   	-101.73		
-26.86   	-44.56   	  1.79   	 -10.17		 80.69   	 -96.64		
-23.80   	-37.84   	  1.75   	 -10.17		 80.30   	 -96.64		
-21.06   	-36.32   	  1.71   	  -5.09		 79.92   	 -96.64		
-19.84   	-39.98   	  1.69   	   0.00		 79.53   	 -91.56		
-20.45   	-46.08   	  1.69   	  -5.09		 79.17   	 -96.64		
-22.89   	-51.27   	  1.67(D)	   5.09		 78.78   	 -96.64		
-25.94   	-54.02   	  1.69   	   5.09		 78.39   	 -96.64		
-28.69   	-54.02   	  1.71   	   5.09		 78.01   	 -96.64		
-30.82   	-52.49   	  1.73   	  10.17		 77.62   	 -91.56		
-31.74   	-50.66   	  1.77   	  10.17		 77.25   	 -96.64		
-30.82   	-48.83   	  1.81   	  15.26		 76.87   	 -91.56		
-28.69   	-47.91   	  1.87   	  20.35		 76.50   	 -91.56		
-25.94   	-48.22   	  1.95   	  20.35		 76.13   	 -96.64		
-23.50   	-48.83   	  2.03   	  20.35		 75.75   	 -91.56		
-22.58   	-47.61   	  2.12   	  25.43		 75.38   	 -86.47		
-22.89   	-42.72   	  2.22   	  25.43		 75.04   	 -91.56		
-23.50   	-34.79   	  2.32   	  30.52		 74.67   	 -91.56		
-24.72   	-29.30   	  2.44   	  25.43		 74.30   	 -86.47		
-26.86   	-31.13   	  2.54   	  30.52		 73.96   	 -86.47		
-28.99   	-40.89   	  2.67   	  30.52		 73.61   	 -86.47		
-30.21   	-53.41   	  2.79   	  30.52		 73.27   	 -86.47		
-29.91   	-60.42   	  2.91   	  25.43		 72.92   	 -81.38		
-27.47   	-57.07   	  3.01   	  25.43		 72.59   	 -86.47		
-24.11   	-45.78   	  3.11   	  20.35		 72.25   	 -81.38		
-20.75   	-33.57   	  3.19   	  20.35		 71.92   	 -81.38		
