  I     	  LV     	  LV'		  RV     	  RV'		
106.20   	 64.62   	 132.25		 16.17   	 -71.21		
111.08   	 65.15   	  96.64		 15.89   	 -76.30		
114.75   	 65.53   	  71.21		 15.58   	 -81.38		
117.19   	 65.82   	  45.78		 15.26   	 -86.47		
117.80   	 66.00   	  20.35		 14.91   	 -81.38		
116.88   	 66.08   	   5.09		 14.59   	 -81.38		
113.53   	 66.10   	 -15.26		 14.26   	 -76.30		
108.64   	 66.04   	 -30.52		 13.96   	 -71.21		
104.37   	 65.92   	 -55.95		 13.67   	 -71.21		
101.62   	 65.70   	 -81.38		 13.39   	 -61.04		
 99.49   	 65.37   	-101.73		 13.14   	 -61.04		
 94.60   	 64.96   	-127.16		 12.90   	 -50.86		
 84.53   	 64.46   	-162.77		 12.70   	 -50.86		
 68.36   	 63.80   	-188.20		 12.49   	 -50.86		
 47.91   	 63.05   	-218.72		 12.29   	 -45.78		
 25.33   	 62.18   	-244.15		 12.11   	 -40.69		
  3.36   	 61.20   	-274.67		 11.94   	 -35.61		
-17.09   	 60.10   	-300.10		 11.80   	 -35.61		
-34.79   	 58.90   	-320.45		 11.66   	 -35.61		
-49.44   	 57.62   	-345.88		 11.52   	 -35.61		
-61.65   	 56.24   	-361.14		 11.37   	 -30.52		
-72.63   	 54.79   	-376.40		 11.25   	 -25.43		
-83.01   	 53.29   	-391.66		 11.15   	 -30.52		
-93.08   	 51.72   	-401.83		 11.03   	 -25.43		
-101.93   	 50.11   	-412.00		 10.93   	 -25.43		
-109.86   	 48.46   	-417.09		 10.82   	 -25.43		
-116.88   	 46.80   	-417.09		 10.72   	 -20.35		
-123.29   	 45.13   	-417.09		 10.64   	 -20.35		
-129.09   	 43.46   	-417.09		 10.56   	 -20.35		
-134.28   	 41.79   	-406.92		 10.48   	 -15.26		
-138.55   	 40.16   	-396.74		 10.42   	 -15.26		
-141.30   	 38.58   	-381.48		 10.36   	 -15.26		
-143.13   	 37.05   	-371.31		 10.29   	 -15.26		
-143.74   	 35.56   	-350.97		 10.23   	 -10.17		
-144.04   	 34.16   	-335.71		 10.19   	 -15.26		
-144.65   	 32.82   	-315.36		 10.13   	 -10.17		
-145.26   	 31.56   	-300.10		 10.09   	 -10.17		
-146.18   	 30.36   	-284.84		 10.05   	  -5.09		
-147.09   	 29.22   	-274.67		 10.03(D)	   0.00		
-148.93   	 28.12   	-264.50		 10.03   	   0.00		
-151.67   	 27.06   	-249.24		 10.03   	   5.09		
-154.11   	 26.06   	-244.15		 10.05   	  10.17		
-155.33   	 25.09   	-228.89		 10.09   	  15.26		
-154.72   	 24.17   	-218.72		 10.15   	  25.43		
-153.20   	 23.30   	-208.54		 10.25   	  25.43		
-151.67   	 22.46   	-188.20		 10.36   	  35.61		
-151.67   	 21.71   	-178.03		 10.50   	  35.61		
-152.28   	 21.00   	-162.77		 10.64   	  35.61		
-152.59   	 20.35   	-152.59		 10.78   	  35.61		
-151.67   	 19.74   	-137.33		 10.93   	  40.69		
-149.84   	 19.19   	-127.16		 11.09   	  35.61		
-148.62   	 18.68   	-111.90		 11.23   	  35.61		
-148.93   	 18.23   	-106.82		 11.37   	  35.61		
-150.15   	 17.80   	 -91.56		 11.52   	  30.52		
-151.67   	 17.44   	 -76.30		 11.64   	  40.69		
-152.59   	 17.13   	 -55.95		 11.80   	  35.61		
-151.98   	 16.91   	 -45.78		 11.94   	  45.78		
-150.45   	 16.72   	 -25.43		 12.13   	  40.69		
-147.71   	 16.62   	 -10.17		 12.29   	  45.78		
-144.96   	 16.58(D)	   0.00		 12.47   	  50.86		
-142.82   	 16.58   	  15.26		 12.68   	  50.86		
-140.99   	 16.64   	  25.43		 12.88   	  45.78		
-139.47   	 16.74   	  25.43		 13.06   	  50.86		
-137.94   	 16.85   	  35.61		 13.27   	  45.78		
-136.72   	 16.99   	  35.61		 13.45   	  50.86		
-135.19   	 17.13   	  35.61		 13.65   	  45.78		
-133.97   	 17.27   	  40.69		 13.84   	  45.78		
-133.36   	 17.44   	  45.78		 14.02   	  50.86		
-133.06   	 17.62   	  45.78		 14.22   	  45.78		
-132.75   	 17.80   	  50.86		 14.40   	  50.86		
-132.14   	 18.01   	  61.04		 14.61   	  55.95		
-130.31   	 18.25   	  66.12		 14.83   	  55.95		
-127.56   	 18.51   	  71.21		 15.06   	  55.95		
-125.12   	 18.80   	  76.30		 15.28   	  61.04		
-123.29   	 19.10   	  81.38		 15.52   	  61.04		
-123.29   	 19.43   	  81.38		 15.77   	  61.04		
-123.90   	 19.76   	  76.30		 16.01   	  61.04		
-124.21   	 20.06   	  66.12		 16.26   	  55.95		
-122.99   	 20.33   	  55.95		 16.48   	  50.86		
-120.54   	 20.55   	  40.69		 16.68   	  45.78		
-117.49   	 20.71   	  30.52		 16.87   	  35.61		
-114.75   	 20.83   	  10.17		 17.01   	  30.52		
-113.22   	 20.87   	  -5.09		 17.13   	  25.43		
-112.61   	 20.85   	 -20.35		 17.23   	  20.35		
-112.30   	 20.77   	 -25.43		 17.31   	  15.26		
-111.69   	 20.67   	 -35.61		 17.38   	  10.17		
-111.39   	 20.53   	 -35.61		 17.42   	  10.17		
-111.08   	 20.39   	 -30.52		 17.46   	   5.09		
-111.39   	 20.26   	 -30.52		 17.48   	  10.17		
-111.39   	 20.14   	 -20.35		 17.52   	   5.09		
-110.47   	 20.06   	 -15.26		 17.54   	   5.09		
-108.64   	 20.00   	   0.00		 17.56   	   5.09		
-106.51   	 20.00   	   5.09		 17.58   	   5.09		
-104.37   	 20.02   	  10.17		 17.60   	   5.09		
-102.84   	 20.06   	  20.35		 17.62   	   0.00		
-101.32   	 20.14   	  15.26		 17.62   	   0.00		
-99.18   	 20.20   	  15.26		 17.62   	  -5.09		
-97.05   	 20.26   	   5.09		 17.60   	 -10.17		
-95.52   	 20.28   	   0.00		 17.56   	  -5.09		
-94.91   	 20.28   	  -5.09		 17.54   	 -10.17		
-94.60   	 20.26   	 -15.26		 17.50   	 -15.26		
-94.60   	 20.20   	 -20.35		 17.44   	 -15.26		
-93.69   	 20.12   	 -30.52		 17.38   	 -10.17		
-92.47   	 20.00   	 -25.43		 17.33   	 -15.26		
-91.55   	 19.90   	 -30.52		 17.27   	 -15.26		
-91.25   	 19.78   	 -25.43		 17.21   	 -15.26		
-91.86   	 19.67   	 -15.26		 17.15   	 -15.26		
-92.16   	 19.61   	 -10.17		 17.09   	 -10.17		
-92.47   	 19.57   	  -5.09		 17.05   	  -5.09		
-91.86   	 19.55   	  10.17		 17.03   	  -5.09		
-90.94   	 19.59   	  15.26		 17.01   	   0.00		
-89.42   	 19.65   	  25.43		 17.01   	  10.17		
-86.98   	 19.76   	  30.52		 17.05   	   5.09		
-84.23   	 19.88   	  35.61		 17.07   	  15.26		
-81.79   	 20.02   	  35.61		 17.13   	  15.26		
-80.26   	 20.16   	  30.52		 17.19   	  15.26		
-80.26   	 20.28   	  25.43		 17.25   	  20.35		
-80.87   	 20.39   	  20.35		 17.33   	  10.17		
-81.79   	 20.47   	  15.26		 17.38   	  15.26		
-81.79   	 20.53   	  10.17		 17.44   	   5.09		
-80.87   	 20.57   	  10.17		 17.46   	   5.09		
-79.35   	 20.61   	   0.00		 17.48   	   5.09		
-78.13   	 20.61   	  -5.09		 17.50   	  -5.09		
-76.90   	 20.59   	   0.00		 17.48   	   0.00		
-75.99   	 20.59   	  -5.09		 17.48   	  -5.09		
-74.77   	 20.57   	  -5.09		 17.46   	  -5.09		
-73.24   	 20.55   	   0.00		 17.44   	 -10.17		
-72.63   	 20.55   	   0.00		 17.40   	  -5.09		
-72.94   	 20.55   	   5.09		 17.38   	  -5.09		
-73.55   	 20.57   	   0.00		 17.35   	  -5.09		
-73.85   	 20.57   	  10.17		 17.33   	 -10.17		
-72.63   	 20.61   	   5.09		 17.29   	 -10.17		
-70.80   	 20.63   	  10.17		 17.25   	 -15.26		
-68.97   	 20.67   	  10.17		 17.19   	 -15.26		
-68.36   	 20.71   	  15.26		 17.13   	 -15.26		
-68.36   	 20.77   	  10.17		 17.07   	 -15.26		
-68.66   	 20.81   	  15.26		 17.01   	 -15.26		
-68.05   	 20.87   	  15.26		 16.95   	 -15.26		
-66.53   	 20.94   	  15.26		 16.89   	 -15.26		
-65.31   	 21.00   	  15.26		 16.83   	 -20.35		
-64.39   	 21.06   	  10.17		 16.74   	 -15.26		
-64.70   	 21.10   	  15.26		 16.68   	 -15.26		
-65.00   	 21.16   	  10.17		 16.62   	 -15.26		
-65.61   	 21.20   	  15.26		 16.56   	 -15.26		
-65.31   	 21.26   	   5.09		 16.50   	 -15.26		
-64.70   	 21.28   	  10.17		 16.44   	 -15.26		
-63.48   	 21.32   	   5.09		 16.38   	 -15.26		
-62.26   	 21.34   	   5.09		 16.32   	  -5.09		
-61.04   	 21.36   	   0.00		 16.30   	 -10.17		
-59.81   	 21.36   	   5.09		 16.26   	 -10.17		
-59.20   	 21.38   	   0.00		 16.22   	  -5.09		
-59.20   	 21.38   	   5.09		 16.20   	   0.00		
-59.51   	 21.40   	   5.09		 16.20   	  -5.09		
-59.81   	 21.42   	  10.17		 16.17   	  -5.09		
-59.81   	 21.46   	  10.17		 16.15   	  -5.09		
-59.51   	 21.51   	  15.26		 16.13   	   0.00		
-59.51   	 21.57   	  15.26		 16.13   	  -5.09		
-59.20   	 21.63   	  20.35		 16.11   	  -5.09		
-58.59   	 21.71   	  20.35		 16.09   	   0.00		
-57.98   	 21.79   	  20.35		 16.09   	  -5.09		
-57.07   	 21.87   	  20.35		 16.07   	   0.00		
-56.15   	 21.95   	  20.35		 16.07   	   0.00		
-55.54   	 22.03   	  15.26		 16.07   	   0.00		
-55.24   	 22.10   	  15.26		 16.07   	   0.00		
-55.54   	 22.16   	  15.26		 16.07   	   5.09		
-55.85   	 22.22   	   5.09		 16.09   	   0.00		
-55.85   	 22.24   	   5.09		 16.09   	   5.09		
-55.54   	 22.26   	   0.00		 16.11   	   0.00		
-54.32   	 22.26   	   0.00		 16.11   	   0.00		
-52.80   	 22.26   	   0.00		 16.11   	   5.09		
-51.27   	 22.26   	   0.00		 16.13   	  -5.09		
-49.74   	 22.26   	   0.00		 16.11   	   0.00		
-48.83   	 22.26   	  10.17		 16.11   	   0.00		
-48.52   	 22.30   	  10.17		 16.11   	  -5.09		
-48.52   	 22.34   	  15.26		 16.09   	   0.00		
-49.44   	 22.40   	  25.43		 16.09   	   0.00		
-50.66   	 22.50   	  25.43		 16.09   	   0.00		
-52.19   	 22.60   	  25.43		 16.09   	   5.09		
-52.49   	 22.71   	  30.52		 16.11   	   5.09		
-51.88   	 22.83   	  25.43		 16.13   	  10.17		
-50.05   	 22.93   	  25.43		 16.17   	  10.17		
-47.91   	 23.03   	  25.43		 16.22   	  10.17		
-46.69   	 23.13   	  15.26		 16.26   	   5.09		
-46.39   	 23.19   	  10.17		 16.28   	  10.17		
-47.00   	 23.23   	   5.09		 16.32   	   0.00		
-47.00   	 23.26   	   0.00		 16.32   	   5.09		
-46.08   	 23.26   	 -10.17		 16.34   	   0.00		
-44.56   	 23.21   	 -10.17		 16.34   	  -5.09		
-43.03   	 23.17   	 -10.17		 16.32   	   0.00		
-42.72   	 23.13   	 -10.17		 16.32   	  -5.09		
-43.33   	 23.09   	 -10.17		 16.30   	 -10.17		
-43.95   	 23.05   	   0.00		 16.26   	  -5.09		
-44.25   	 23.05   	   0.00		 16.24   	 -10.17		
-43.33   	 23.05   	   5.09		 16.20   	  -5.09		
-42.42   	 23.07   	  15.26		 16.17   	 -10.17		
-40.89   	 23.13   	  15.26		 16.13   	  -5.09		
-39.67   	 23.19   	  20.35		 16.11   	  -5.09		
-37.84   	 23.28   	  25.43		 16.09   	  -5.09		
-35.10   	 23.38   	  25.43		 16.07   	  -5.09		
-31.13   	 23.48   	  25.43		 16.05   	  -5.09		
-25.94   	 23.58   	  25.43		 16.03   	  -5.09		
-20.45   	 23.68   	  25.43		 16.01   	  -5.09		
-15.87   	 23.78   	  20.35		 15.99   	   0.00		
-12.51   	 23.87   	  15.26		 15.99   	  -5.09		
 -9.16   	 23.93   	  15.26		 15.97   	   0.00		
 -3.36   	 23.99   	  10.17		 15.97   	   0.00		
  6.71   	 24.03   	   5.09		 15.97   	   0.00		
 21.97   	 24.05   	   5.09		 15.97   	   0.00		
 39.06   	 24.07   	   0.00		 15.97   	   5.09		
 53.41   	 24.07   	  -5.09		 15.99   	   5.09		
 60.12   	 24.05   	 -10.17		 16.01   	   5.09		
 57.68   	 24.01   	 -10.17		 16.03   	   5.09		
 48.83   	 23.97   	 -10.17		 16.05   	   5.09		
 39.06   	 23.93   	 -10.17		 16.07   	   0.00		
 32.96   	 23.89   	  -5.09		 16.07   	   0.00		
 31.13   	 23.87   	  -5.09		 16.07   	   5.09		
 30.21   	 23.85   	   0.00		 16.09   	   0.00		
 25.63   	 23.85   	   5.09		 16.09   	   0.00		
 14.65   	 23.87   	  15.26		 16.09   	   0.00		
 -2.75   	 23.93   	  20.35		 16.09   	   0.00		
-22.28   	 24.01   	  30.52		 16.09   	   0.00		
-40.89   	 24.13   	  35.61		 16.09   	   0.00		
-54.93   	 24.27   	  40.69		 16.09   	  -5.09		
-63.17   	 24.44   	  50.86		 16.07   	  -5.09		
-65.00   	 24.64   	  55.95		 16.05   	 -10.17		
-63.48   	 24.86   	  55.95		 16.01   	  -5.09		
-60.42   	 25.09   	  66.12		 15.99   	 -10.17		
-58.59   	 25.35   	  66.12		 15.95   	  -5.09		
-57.98   	 25.62   	  66.12		 15.93   	  -5.09		
-57.98   	 25.88   	  76.30		 15.91   	   0.00		
-57.68   	 26.19   	  76.30		 15.91   	   5.09		
-56.15   	 26.49   	  81.38		 15.93   	  10.17		
-54.02   	 26.82   	  86.47		 15.97   	   5.09		
-51.88   	 27.16   	  96.64		 15.99   	  15.26		
-51.27   	 27.55   	  96.64		 16.05   	  10.17		
-54.32   	 27.93   	 106.82		 16.09   	  10.17		
-63.78   	 28.36   	 106.82		 16.13   	  10.17		
-79.65   	 28.79   	 111.90		 16.17   	  15.26		
-100.10   	 29.24   	 111.90		 16.24   	   5.09		
-121.77   	 29.68   	 106.82		 16.26   	  10.17		
-138.55   	 30.11   	  96.64		 16.30   	   5.09		
-142.82   	 30.50   	  91.56		 16.32   	   0.00		
-125.12   	 30.86   	  71.21		 16.32   	   5.09		
-70.50   	 31.15   	  55.95		 16.34   	   0.00		
 34.79   	 31.37   	  35.61		 16.34   	  -5.09		
197.45   	 31.52   	  15.26		 16.32   	   0.00		
408.94   	 31.58   	 -10.17		 16.32   	   0.00		
634.46   	 31.54   	 -20.35		 16.32   	  -5.09		
812.38   	 31.45   	 -30.52		 16.30   	   0.00		
878.91(R)	 31.33   	 -30.52		 16.30   	 -10.17		
808.11   	 31.21   	 -20.35		 16.26   	  -5.09		
634.77   	 31.13(E)	   0.00		 16.24   	 -10.17		
444.03   	 31.13   	  30.52		 16.20   	 -10.17		
318.60   	 31.25   	  81.38		 16.15   	 -10.17		
285.03   	 31.58   	 142.42		 16.11(E)	   0.00		
304.87   	 32.15   	 228.89		 16.11   	   5.09		
313.42   	 33.06   	 325.53		 16.13   	  25.43		
271.30   	 34.36   	 447.61		 16.24   	  50.86		
182.80   	 36.15   	 595.11		 16.44   	  86.47		
 80.57   	 38.53   	 762.97		 16.79   	 111.90		
 -4.58   	 41.59   	 961.34		 17.23   	 157.68		
-56.46   	 45.43   	1180.06		 17.86   	 193.29		
-75.99   	 50.15   	1393.69		 18.64   	 228.89		
-71.11   	 55.73   	1607.32		 19.55   	 269.58		
-54.93   	 62.16   	1780.26		 20.63   	 305.19		
-41.50   	 69.28   	1892.16		 21.85   	 340.79		
-39.37   	 76.85   	1932.85		 23.21   	 371.31		
-47.91   	 84.58   	1902.33		 24.70   	 391.66		
-58.90   	 92.19   	1795.52		 26.27   	 417.09		
-64.39   	 99.37   	1637.84		 27.93   	 432.35		
-61.95   	105.92   	1444.55		 29.66   	 442.52		
-54.02   	111.70   	1256.35		 31.43   	 437.43		
-45.17   	116.72   	1078.33		 33.18   	 432.35		
-39.06   	121.04   	 951.17		 34.91   	 422.18		
-37.84   	124.84   	 874.87		 36.60   	 401.83		
-40.28   	128.34   	 844.35		 38.21   	 381.48		
-43.03   	131.72   	 864.70		 39.74   	 356.05		
-42.11   	135.18   	 900.30		 41.16   	 330.62		
-37.23   	138.78   	 946.08		 42.48   	 305.19		
-30.52   	142.56   	 956.25		 43.70   	 279.75		
-25.33   	146.39   	 925.73		 44.82   	 254.32		
-22.89   	150.09   	 849.44		 45.84   	 228.89		
-22.58   	153.49   	 737.54		 46.75   	 213.63		
-21.97   	156.44   	 600.20		 47.61   	 188.20		
-19.84   	158.84   	 473.04		 48.36   	 167.85		
-15.87   	160.73   	 361.14		 49.03   	 157.68		
-10.38   	162.18   	 305.19		 49.66   	 137.33		
 -4.27   	163.40   	 284.84		 50.21   	 122.07		
  1.83   	164.54   	 310.27		 50.70   	 106.82		
  8.24   	165.78   	 371.31		 51.13   	  91.56		
 15.26   	167.26   	 452.69		 51.50   	  71.21		
 22.58   	169.07   	 528.99		 51.78   	  61.04		
 29.91   	171.19   	 590.03		 52.02   	  50.86		
 36.93   	173.55   	 605.29		 52.23   	  30.52		
 43.33   	175.97   	 554.42		 52.35   	  20.35		
 50.05   	178.19   	 457.78		 52.43   	  15.26		
 57.68   	180.02   	 300.10		 52.49   	   5.09		
 65.61   	181.22   	 111.90		 52.51   	   5.09		
 74.16   	181.67(S)	 -81.38		 52.53   	   0.00		
 83.31   	181.34   	-274.67		 52.53   	   5.09		
 92.77   	180.24   	-432.35		 52.55   	   5.09		
102.84   	178.51   	-544.25		 52.57   	  10.17		
112.61   	176.34   	-590.03		 52.61   	  10.17		
121.77   	173.98   	-579.86		 52.65   	  15.26		
128.78   	171.66   	-518.82		 52.72   	  15.26		
133.67   	169.58   	-422.18		 52.78   	  20.35		
135.50   	167.89   	-305.19		 52.86   	  25.43		
134.28   	166.67   	-183.11		 52.96   	  25.43		
129.70   	165.94   	 -86.47		 53.06   	  35.61		
122.07   	165.59   	 -40.69		 53.20   	  35.61		
112.61   	165.43   	 -35.61		 53.35   	  40.69		
101.62   	165.29   	 -91.56		 53.51   	  40.69		
 89.72   	164.92   	-183.11		 53.67   	  45.78		
 76.60   	164.19   	-305.19		 53.86   	  35.61		
 62.87   	162.97   	-432.35		 54.00   	  35.61		
 49.13   	161.24   	-544.25		 54.14   	  30.52		
 35.71   	159.06   	-635.81		 54.26   	  25.43		
 23.50   	156.52   	-696.84		 54.36   	  20.35		
 11.90   	153.73   	-727.36		 54.45   	  10.17		
  0.61   	150.82   	-722.28		 54.49   	   5.09		
-10.07   	147.93   	-696.84		 54.51(S)	  -5.09		
-19.23   	145.15   	-656.15		 54.49   	 -10.17		
-26.55   	142.52   	-615.46		 54.45   	 -15.26		
-32.35   	140.06   	-569.68		 54.38   	 -25.43		
-37.84   	137.78   	-518.82		 54.28   	 -40.69		
-43.03   	135.71   	-473.04		 54.12   	 -45.78		
-48.22   	133.81   	-437.43		 53.94   	 -61.04		
-52.19   	132.06   	-412.00		 53.69   	 -76.30		
-55.24   	130.42   	-417.09		 53.39   	 -86.47		
-57.07   	128.75   	-442.52		 53.04   	-101.73		
-57.98   	126.98   	-498.47		 52.63   	-116.99		
-58.29   	124.98   	-579.86		 52.17   	-127.16		
-57.98   	122.66   	-681.58		 51.66   	-147.51		
-57.68   	119.94   	-788.40		 51.07   	-162.77		
-57.37   	116.78   	-905.39		 50.42   	-172.94		
-57.07   	113.16   	-1002.03		 49.73   	-193.29		
-56.76   	109.16   	-1078.33		 48.95   	-203.46		
-56.46   	104.84   	-1129.19		 48.14   	-218.72		
-56.15   	100.33   	-1159.71		 47.26   	-239.06		
-55.24   	 95.69   	-1185.14		 46.31   	-249.24		
-53.10   	 90.95   	-1195.32		 45.31   	-269.58		
-50.66   	 86.16   	-1205.49		 44.23   	-289.93		
-47.91   	 81.34   	-1200.40		 43.07   	-305.19		
-46.08   	 76.54   	-1195.32		 41.85   	-330.62		
-45.17   	 71.76   	-1164.80		 40.53   	-345.88		
-44.25   	 67.10   	-1129.19		 39.15   	-366.22		
-42.42   	 62.58   	-1073.24		 37.68   	-371.31		
-39.67   	 58.29   	-1012.20		 36.20   	-386.57		
-36.93   	 54.24   	-946.08		 34.65   	-381.48		
-34.48   	 50.46   	-874.87		 33.12   	-381.48		
-32.96   	 46.96   	-813.83		 31.60   	-371.31		
-32.35   	 43.70   	-752.79		 30.11   	-361.14		
-32.96   	 40.69   	-701.93		 28.67   	-350.97		
-34.79   	 37.88   	-651.07		 27.26   	-330.62		
-36.93   	 35.28   	-605.29		 25.94   	-315.36		
-38.76   	 32.86   	-559.51		 24.68   	-305.19		
-39.06   	 30.62   	-513.73		 23.46   	-284.84		
-38.15   	 28.57   	-457.78		 22.32   	-274.67		
-36.93   	 26.73   	-412.00		 21.22   	-259.41		
-35.71   	 25.09   	-361.14		 20.18   	-244.15		
-35.71   	 23.64   	-315.36		 19.21   	-228.89		
-36.01   	 22.38   	-284.84		 18.29   	-213.63		
-37.23   	 21.24   	-254.32		 17.44   	-193.29		
-38.15   	 20.22   	-244.15		 16.66   	-188.20		
-39.06   	 19.25   	-228.89		 15.91   	-167.85		
-39.98   	 18.33   	-223.80		 15.24   	-157.68		
-40.59   	 17.44   	-218.72		 14.61   	-147.51		
-41.50   	 16.56   	-208.54		 14.02   	-132.25		
-42.42   	 15.73   	-198.37		 13.49   	-122.07		
-43.64   	 14.93   	-172.94		 13.00   	-106.82		
-44.25   	 14.24   	-147.51		 12.57   	 -91.56		
-44.56   	 13.65   	-122.07		 12.21   	 -76.30		
-44.86   	 13.16   	 -91.56		 11.90   	 -61.04		
-45.47   	 12.80   	 -61.04		 11.66   	 -45.78		
-46.39   	 12.55   	 -40.69		 11.48   	 -30.52		
-47.00   	 12.39   	 -10.17		 11.35   	 -15.26		
-47.00   	 12.35(D)	   0.00		 11.29   	  -5.09		
-47.00   	 12.35   	  15.26		 11.27(D)	   0.00		
-47.30   	 12.41   	  25.43		 11.27   	  15.26		
-47.91   	 12.51   	  30.52		 11.33   	  20.35		
-49.13   	 12.63   	  40.69		 11.41   	  20.35		
-50.35   	 12.80   	  40.69		 11.50   	  25.43		
-51.27   	 12.96   	  45.78		 11.60   	  35.61		
-51.88   	 13.14   	  50.86		 11.74   	  30.52		
-52.80   	 13.35   	  50.86		 11.86   	  40.69		
-53.41   	 13.55   	  55.95		 12.02   	  45.78		
-53.41   	 13.77   	  55.95		 12.21   	  45.78		
-52.49   	 14.00   	  66.12		 12.39   	  55.95		
-51.88   	 14.26   	  61.04		 12.61   	  45.78		
-51.88   	 14.51   	  66.12		 12.80   	  40.69		
-52.80   	 14.77   	  66.12		 12.96   	  30.52		
-53.71   	 15.04   	  71.21		 13.08   	  10.17		
-54.02   	 15.32   	  61.04		 13.12   	 -10.17		
-52.80   	 15.56   	  66.12		 13.08   	 -20.35		
-50.66   	 15.83   	  55.95		 13.00   	 -40.69		
-47.61   	 16.05   	  50.86		 12.84   	 -45.78		
-43.33   	 16.26   	  45.78		 12.66   	 -50.86		
-37.84   	 16.44   	  40.69		 12.45   	 -45.78		
-30.82   	 16.60   	  35.61		 12.27   	 -35.61		
-24.11   	 16.74   	  30.52		 12.13   	 -20.35		
-19.53   	 16.87   	  25.43		 12.04   	  -5.09		
-17.70   	 16.97   	  25.43		 12.02   	   5.09		
-15.56   	 17.07   	  20.35		 12.04   	  20.35		
-10.07   	 17.15   	  15.26		 12.13   	  30.52		
  1.22   	 17.21   	  15.26		 12.25   	  40.69		
 16.48   	 17.27   	  10.17		 12.41   	  35.61		
 30.82   	 17.31   	   0.00		 12.55   	  40.69		
 39.06   	 17.31   	   0.00		 12.72   	  30.52		
 39.37   	 17.31   	  -5.09		 12.84   	  25.43		
 32.96   	 17.29   	 -10.17		 12.94   	  15.26		
 24.11   	 17.25   	 -10.17		 13.00   	   5.09		
 16.78   	 17.21   	  -5.09		 13.02   	   0.00		
 12.82   	 17.19   	   0.00		 13.02   	   0.00		
 10.38   	 17.19   	  10.17		 13.02   	  -5.09		
  6.71   	 17.23   	  25.43		 13.00   	  -5.09		
 -1.22   	 17.33   	  35.61		 12.98   	   5.09		
-14.95   	 17.48   	  50.86		 13.00   	  10.17		
-33.26   	 17.68   	  61.04		 13.04   	  15.26		
-53.10   	 17.92   	  71.21		 13.10   	  20.35		
-70.50   	 18.21   	  76.30		 13.18   	  20.35		
-82.40   	 18.51   	  76.30		 13.27   	  20.35		
-87.59   	 18.82   	  76.30		 13.35   	  25.43		
-88.20   	 19.13   	  66.12		 13.45   	  15.26		
-86.06   	 19.39   	  55.95		 13.51   	  15.26		
-84.23   	 19.61   	  45.78		 13.57   	  15.26		
-82.70   	 19.80   	  40.69		 13.63   	  10.17		
-81.79   	 19.96   	  30.52		 13.67   	  20.35		
-80.57   	 20.08   	  20.35		 13.75   	  15.26		
-78.74   	 20.16   	  20.35		 13.81   	  30.52		
-76.90   	 20.24   	  25.43		 13.94   	  30.52		
-75.38   	 20.35   	  25.43		 14.06   	  35.61		
-74.16   	 20.45   	  35.61		 14.20   	  45.78		
-73.24   	 20.59   	  50.86		 14.38   	  50.86		
-72.63   	 20.79   	  66.12		 14.59   	  55.95		
-73.24   	 21.06   	  86.47		 14.81   	  55.95		
-76.60   	 21.40   	  96.64		 15.04   	  55.95		
-84.84   	 21.79   	 111.90		 15.26   	  61.04		
-99.79   	 22.24   	 122.07		 15.50   	  55.95		
-119.63   	 22.73   	 127.16		 15.73   	  55.95		
-142.82   	 23.23   	 116.99		 15.95   	  50.86		
-164.18   	 23.70   	 111.90		 16.15   	  50.86		
-175.78   	 24.15   	  91.56		 16.36   	  45.78		
-168.15   	 24.52   	  76.30		 16.54   	  40.69		
-126.65   	 24.82   	  55.95		 16.70   	  40.69		
-36.32   	 25.05   	  35.61		 16.87   	  35.61		
110.78   	 25.19   	  15.26		 17.01   	  35.61		
310.36   	 25.25   	  -5.09		 17.15   	  30.52		
533.75   	 25.23   	 -15.26		 17.27   	  30.52		
725.10   	 25.17   	 -25.43		 17.40   	  25.43		
818.18(R)	 25.07   	 -30.52		 17.50(E)	  25.43		
776.37   	 24.94   	 -20.35		 17.60   	  20.35		
621.34   	 24.86(E)	 -10.17		 17.68   	  15.26		
430.91   	 24.82   	  20.35		 17.74   	  20.35		
293.88   	 24.90   	  55.95		 17.82   	  15.26		
251.46   	 25.13   	 101.73		 17.88   	  20.35		
275.27   	 25.53   	 162.77		 17.97   	  25.43		
299.68   	 26.19   	 244.15		 18.07   	  35.61		
275.27   	 27.16   	 335.71		 18.21   	  45.78		
198.36   	 28.50   	 437.43		 18.39   	  55.95		
 98.27   	 30.25   	 554.42		 18.62   	  76.30		
  8.54   	 32.47   	 676.50		 18.92   	  91.56		
-51.27   	 35.18   	 793.49		 19.29   	 106.82		
-78.43   	 38.35   	 910.47		 19.72   	 132.25		
-78.74   	 41.99   	1017.29		 20.24   	 157.68		
-63.78   	 46.06   	1129.19		 20.87   	 172.94		
-48.22   	 50.58   	1236.01		 21.57   	 198.37		
-43.03   	 55.52   	1337.74		 22.36   	 218.72		
-48.22   	 60.87   	1429.29		 23.23   	 244.15		
-56.46   	 66.59   	1490.33		 24.21   	 254.32		
-58.90   	 72.55   	1531.02		 25.23   	 274.67		
-54.93   	 78.68   	1525.93		 26.33   	 289.93		
-47.91   	 84.78   	1475.07		 27.49   	 295.01		
-43.03   	 90.68   	1388.60		 28.67   	 310.27		
-41.50   	 96.24   	1266.53		 29.91   	 315.36		
-40.59   	101.30   	1119.02		 31.17   	 320.45		
-39.06   	105.78   	 976.60		 32.45   	 325.53		
-36.01   	109.68   	 834.18		 33.75   	 315.36		
