  I     	  LV     	  LV'		  RV     	  RV'		
-48.52   	135.85   	-264.50		 50.13   	 -45.78		
-53.41   	134.79   	-274.67		 49.95   	 -50.86		
-57.07   	133.69   	-320.45		 49.75   	 -55.95		
-60.12   	132.41   	-406.92		 49.52   	 -71.21		
-62.26   	130.78   	-498.47		 49.24   	 -76.30		
-63.78   	128.79   	-605.29		 48.93   	 -96.64		
-65.00   	126.37   	-696.84		 48.55   	-111.90		
-66.53   	123.58   	-778.23		 48.10   	-127.16		
-68.05   	120.47   	-834.18		 47.59   	-147.51		
-68.36   	117.13   	-869.78		 47.00   	-162.77		
-67.44   	113.65   	-885.04		 46.35   	-178.03		
-65.92   	110.11   	-874.87		 45.64   	-198.37		
-64.70   	106.61   	-854.52		 44.84   	-203.46		
-64.09   	103.19   	-818.92		 44.03   	-218.72		
-64.09   	 99.92   	-783.31		 43.15   	-223.80		
-63.17   	 96.78   	-742.62		 42.26   	-233.98		
-61.34   	 93.81   	-732.45		 41.32   	-239.06		
-58.29   	 90.88   	-762.97		 40.37   	-244.15		
-55.85   	 87.83   	-818.92		 39.39   	-249.24		
-54.02   	 84.56   	-920.65		 38.39   	-259.41		
-53.10   	 80.87   	-1037.64		 37.35   	-264.50		
-52.19   	 76.72   	-1149.54		 36.30   	-274.67		
-51.27   	 72.13   	-1251.27		 35.20   	-279.75		
-50.66   	 67.12   	-1312.30		 34.08   	-284.84		
-50.05   	 61.87   	-1337.74		 32.94   	-289.93		
-49.74   	 56.52   	-1312.30		 31.78   	-289.93		
-48.83   	 51.27   	-1236.01		 30.62   	-289.93		
-47.61   	 46.33   	-1119.02		 29.46   	-289.93		
-46.39   	 41.85   	-981.68		 28.30   	-279.75		
-46.08   	 37.92   	-824.00		 27.18   	-279.75		
-46.39   	 34.63   	-671.41		 26.06   	-269.58		
-46.69   	 31.94   	-528.99		 24.98   	-264.50		
-46.39   	 29.83   	-406.92		 23.93   	-254.32		
-45.47   	 28.20   	-325.53		 22.91   	-239.06		
-44.25   	 26.90   	-269.58		 21.95   	-233.98		
-43.95   	 25.82   	-244.15		 21.02   	-218.72		
-43.95   	 24.84   	-249.24		 20.14   	-208.54		
-44.25   	 23.85   	-269.58		 19.31   	-193.29		
-44.86   	 22.77   	-300.10		 18.54   	-183.11		
-45.47   	 21.57   	-330.62		 17.80   	-172.94		
-46.08   	 20.24   	-356.05		 17.11   	-157.68		
-47.30   	 18.82   	-361.14		 16.48   	-147.51		
-47.91   	 17.38   	-340.79		 15.89   	-132.25		
-48.22   	 16.01   	-310.27		 15.36   	-127.16		
-48.22   	 14.77   	-259.41		 14.85   	-111.90		
-48.83   	 13.73   	-193.29		 14.40   	-101.73		
-50.05   	 12.96   	-127.16		 14.00   	 -86.47		
-51.27   	 12.45   	 -61.04		 13.65   	 -81.38		
-51.57   	 12.21   	 -10.17		 13.33   	 -76.30		
-50.35   	 12.17(D)	  35.61		 13.02   	 -61.04		
-48.52   	 12.31   	  61.04		 12.78   	 -61.04		
-47.30   	 12.55   	  66.12		 12.53   	 -50.86		
-47.91   	 12.82   	  66.12		 12.33   	 -45.78		
-49.44   	 13.08   	  45.78		 12.15   	 -40.69		
-51.27   	 13.27   	  25.43		 11.98   	 -40.69		
-52.19   	 13.37   	   5.09		 11.82   	 -35.61		
-52.19   	 13.39   	 -10.17		 11.68   	 -30.52		
-51.88   	 13.35   	 -30.52		 11.56   	 -25.43		
-51.88   	 13.22   	 -35.61		 11.45   	 -20.35		
-52.49   	 13.08   	 -30.52		 11.37   	 -15.26		
-53.41   	 12.96   	 -25.43		 11.31   	 -10.17		
-54.32   	 12.86   	 -10.17		 11.27(D)	   0.00		
-54.93   	 12.82   	  10.17		 11.27   	   0.00		
-54.63   	 12.86   	  30.52		 11.27   	   5.09		
-53.41   	 12.98   	  45.78		 11.29   	  10.17		
-50.35   	 13.16   	  66.12		 11.33   	  15.26		
-45.47   	 13.43   	  81.38		 11.39   	  15.26		
-38.45   	 13.75   	  86.47		 11.45   	  15.26		
-30.52   	 14.10   	  91.56		 11.52   	  15.26		
-23.19   	 14.47   	  86.47		 11.58   	  20.35		
-17.40   	 14.81   	  81.38		 11.66   	  15.26		
-13.12   	 15.14   	  71.21		 11.72   	  20.35		
 -9.16   	 15.42   	  55.95		 11.80   	  20.35		
 -4.58   	 15.65   	  45.78		 11.88   	  20.35		
  0.31   	 15.83   	  30.52		 11.96   	  20.35		
  5.80   	 15.95   	  20.35		 12.04   	  25.43		
 10.38   	 16.03   	  10.17		 12.15   	  20.35		
 13.12   	 16.07   	   5.09		 12.23   	  20.35		
 13.73   	 16.09   	   0.00		 12.31   	  15.26		
 13.12   	 16.09   	   5.09		 12.37   	  15.26		
 12.51   	 16.11   	   5.09		 12.43   	  10.17		
 14.65   	 16.13   	  10.17		 12.47   	  10.17		
 18.92   	 16.17   	  15.26		 12.51   	  15.26		
 22.28   	 16.24   	  25.43		 12.57   	  10.17		
 20.45   	 16.34   	  35.61		 12.61   	  15.26		
  9.77   	 16.48   	  35.61		 12.68   	  25.43		
 -9.46   	 16.62   	  40.69		 12.78   	  20.35		
-33.57   	 16.79   	  45.78		 12.86   	  25.43		
-57.68   	 16.97   	  50.86		 12.96   	  30.52		
-76.29   	 17.17   	  45.78		 13.08   	  20.35		
-86.67   	 17.35   	  45.78		 13.16   	  20.35		
-89.11   	 17.54   	  40.69		 13.25   	  15.26		
-86.36   	 17.70   	  45.78		 13.31   	  10.17		
-81.79   	 17.88   	  35.61		 13.35   	  10.17		
-78.43   	 18.03   	  40.69		 13.39   	  15.26		
-76.60   	 18.19   	  30.52		 13.45   	  15.26		
-75.68   	 18.31   	  35.61		 13.51   	  20.35		
-75.07   	 18.45   	  25.43		 13.59   	  30.52		
-75.07   	 18.56   	  25.43		 13.71   	  35.61		
-75.68   	 18.66   	  25.43		 13.86   	  40.69		
-76.29   	 18.76   	  25.43		 14.02   	  40.69		
-75.99   	 18.86   	  30.52		 14.18   	  35.61		
-74.46   	 18.98   	  30.52		 14.32   	  30.52		
-72.33   	 19.10   	  40.69		 14.45   	  25.43		
-70.19   	 19.27   	  50.86		 14.55   	  20.35		
-69.27   	 19.47   	  55.95		 14.63   	  15.26		
-72.94   	 19.69   	  66.12		 14.69   	  10.17		
-86.67   	 19.96   	  71.21		 14.73   	  20.35		
-112.30   	 20.24   	  76.30		 14.81   	  20.35		
-147.71   	 20.55   	  81.38		 14.89   	  30.52		
-181.88   	 20.87   	  81.38		 15.02   	  30.52		
-199.58   	 21.20   	  81.38		 15.14   	  40.69		
-184.94   	 21.53   	  76.30		 15.30   	  35.61		
-125.73   	 21.83   	  76.30		 15.44   	  35.61		
-16.17   	 22.14   	  66.12		 15.58   	  35.61		
141.91   	 22.40   	  55.95		 15.73   	  35.61		
341.19   	 22.62   	  50.86		 15.87   	  25.43		
563.05   	 22.83   	  40.69		 15.97   	  15.26		
771.48   	 22.99   	  35.61		 16.03   	  15.26		
915.53   	 23.13   	  25.43		 16.09   	   5.09		
948.49(R)	 23.23(E)	  30.52		 16.11   	  -5.09		
