  I     	  LV     	  LV'		  AO     	  AO'		
-91.25   	 99.23   	-686.67		 95.18   	   5.09		
-90.64   	 96.48   	-737.54		 95.20   	 -15.26		
-90.94   	 93.53   	-773.14		 95.14   	 -35.61		
-91.86   	 90.44   	-808.75		 94.99   	 -71.21		
-92.16   	 87.20   	-849.44		 94.71   	 -96.64		
-91.86   	 83.80   	-895.22		 94.32   	-132.25		
-90.64   	 80.22   	-966.43		 93.79   	-152.59		
-88.50   	 76.36   	-1042.72		 93.18   	-172.94		
-87.28   	 72.19   	-1124.11		 92.49   	-178.03		
-86.67   	 67.69   	-1205.49		 91.78   	-178.03		
-86.67   	 62.87   	-1271.61		 91.07   	-167.85		
-87.28   	 57.78   	-1307.22		 90.40   	-152.59		
-87.28   	 52.55   	-1312.30		 89.79   	-127.16		
-86.67   	 47.30   	-1276.70		 89.28   	 -96.64		
-86.06   	 42.20   	-1210.58		 88.89   	 -61.04		
-85.14   	 37.35   	-1119.02		 88.65   	 -20.35		
-84.23   	 32.88   	-1017.29		 88.57   	  15.26		
-82.09   	 28.81   	-905.39		 88.63   	  50.86		
-79.96   	 25.19   	-798.57		 88.83   	  81.38		
-77.82   	 21.99   	-701.93		 89.16   	  96.64		
-76.90   	 19.19   	-605.29		 89.54   	 116.99		
-77.51   	 16.76   	-518.82		 90.01   	 122.07		
-78.43   	 14.69   	-437.43		 90.50   	 132.25		
-79.35   	 12.94   	-356.05		 91.03   	 132.25		
-78.74   	 11.52   	-289.93		 91.56   	 127.16		
-77.82   	 10.36   	-228.89		 92.06   	 122.07		
-76.60   	  9.44   	-172.94		 92.55   	 111.90		
-75.99   	  8.75   	-127.16		 93.00   	  91.56		
-76.29   	  8.24   	 -96.64		 93.37   	  76.30		
-76.29   	  7.85   	 -71.21		 93.67   	  61.04		
-76.29   	  7.57   	 -50.86		 93.92   	  35.61		
-75.68   	  7.37   	 -40.69		 94.06   	  20.35		
-75.07   	  7.20   	 -35.61		 94.14   	   0.00		
-75.38   	  7.06   	 -15.26		 94.14   	  -5.09		
-75.99   	  7.00   	  -5.09		 94.12   	 -20.35		
-76.90   	  6.98(D)	  10.17		 94.04   	 -25.43		
-77.82   	  7.02   	  20.35		 93.94   	 -35.61		
-78.74   	  7.10   	  35.61		 93.79   	 -40.69		
-79.65   	  7.24   	  40.69		 93.63   	 -55.95		
-80.26   	  7.41   	  50.86		 93.41   	 -66.12		
-80.57   	  7.61   	  55.95		 93.14   	 -76.30		
-80.57   	  7.83   	  76.30		 92.84   	 -91.56		
-79.96   	  8.14   	  96.64		 92.47   	-106.82		
-79.35   	  8.52   	 116.99		 92.04   	-127.16		
-79.04   	  8.99   	 142.42		 91.54   	-147.51		
-79.04   	  9.56   	 162.77		 90.95   	-157.68		
-79.04   	 10.21   	 178.03		 90.32   	-172.94		
-79.35   	 10.93   	 172.94		 89.62   	-183.11		
-79.35   	 11.62   	 162.77		 88.89   	-188.20		
-79.35   	 12.27   	 137.33		 88.14   	-193.29		
-79.35   	 12.82   	 106.82		 87.36   	-188.20		
