  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
 61.34   	 17.09   	122.52   	 412.00		125.21   	 208.54		
 70.50   	 23.80   	124.17   	 396.74		126.04   	 203.46		
 75.68   	 39.06   	125.76   	 386.57		126.86   	 188.20		
 76.60   	 54.63   	127.30   	 366.22		127.61   	 178.03		
 77.21   	 66.83   	128.77   	 356.05		128.32   	 178.03		
 81.18   	 75.38   	130.19   	 330.62		129.03   	 167.85		
 87.59   	 81.79   	131.52   	 310.27		129.70   	 157.68		
 93.69   	 86.67   	132.76   	 284.84		130.34   	 152.59		
 96.13   	 89.42   	133.90   	 264.50		130.95   	 147.51		
 94.91   	 89.72   	134.95   	 239.06		131.54   	 132.25		
 92.47   	 89.42   	135.91   	 213.63		132.06   	 122.07		
 90.03   	 91.86   	136.76   	 188.20		132.55   	 101.73		
 86.67   	 97.35   	137.52   	 167.85		132.96   	  81.38		
 79.04   	101.62   	138.19   	 137.33		133.29   	  61.04		
 65.31   	100.10   	138.74   	 116.99		133.53   	  35.61		
 47.30   	 90.94   	139.21   	  91.56		133.67   	  25.43		
 30.21   	 76.60   	139.57   	  71.21		133.77   	   5.09		
 18.92   	 61.34   	139.86   	  50.86		133.79(S)	  -5.09		
 14.04   	 47.91   	140.06   	  35.61		133.77   	 -10.17		
 11.60   	 36.32   	140.20   	  10.17		133.73   	 -20.35		
  4.88   	 25.02   	140.24(S)	 -10.17		133.65   	 -30.52		
 -8.85   	 14.04   	140.20   	 -25.43		133.53   	 -30.52		
-26.86   	  4.58   	140.10   	 -45.78		133.41   	 -45.78		
-42.42   	 -1.53   	139.92   	 -66.12		133.22   	 -50.86		
-49.44   	 -4.27   	139.65   	 -71.21		133.02   	 -61.04		
-46.69   	 -6.41   	139.37   	 -86.47		132.78   	 -71.21		
-39.98   	-10.99   	139.02   	 -91.56		132.49   	 -86.47		
-36.32   	-19.84   	138.66   	 -96.64		132.15   	 -96.64		
-38.15   	-30.82   	138.27   	-106.82		131.76   	-106.82		
-43.95   	-40.89   	137.84   	-106.82		131.33   	-122.07		
-48.22   	-45.47   	137.42   	-122.07		130.84   	-132.25		
-48.52   	-41.81   	136.93   	-122.07		130.31   	-152.59		
-45.78   	-32.04   	136.44   	-137.33		129.70   	-172.94		
-44.25   	-22.28   	135.89   	-147.51		129.01   	-198.37		
-47.00   	-17.40   	135.30   	-162.77		128.22   	-233.98		
-53.10   	-20.45   	134.65   	-172.94		127.28   	-264.50		
-59.20   	-29.30   	133.96   	-188.20		126.23   	-315.36		
-61.95   	-39.67   	133.20   	-203.46		124.96   	-356.05		
-60.73   	-47.00   	132.39   	-218.72		123.54   	-406.92		
-56.15   	-49.44   	131.52   	-233.98		121.91   	-462.87		
-49.44   	-47.30   	130.58   	-259.41		120.06   	-518.82		
-42.72   	-43.33   	129.54   	-279.75		117.99   	-584.94		
-37.84   	-39.37   	128.42   	-295.01		115.65   	-645.98		
-37.54   	-37.54   	127.24   	-320.45		113.06   	-727.36		
-43.03   	-38.15   	125.96   	-340.79		110.15   	-798.57		
-51.88   	-39.98   	124.60   	-361.14		106.96   	-879.96		
-59.81   	-41.20   	123.15   	-381.48		103.44   	-946.08		
-61.65   	-40.28   	121.63   	-396.74		 99.65   	-1007.12		
-57.07   	-36.93   	120.04   	-417.09		 95.63   	-1057.98		
-48.52   	-32.65   	118.37   	-432.35		 91.39   	-1093.59		
-40.59   	-28.08   	116.64   	-442.52		 87.02   	-1119.02		
-35.71   	-25.02   	114.87   	-447.61		 82.54   	-1124.11		
-34.18   	-23.50   	113.08   	-447.61		 78.05   	-1124.11		
-36.01   	-22.58   	111.29   	-432.35		 73.55   	-1103.76		
-39.98   	-20.75   	109.56   	-412.00		 69.14   	-1083.41		
-44.86   	-20.14   	107.91   	-391.66		 64.80   	-1057.98		
-49.44   	-23.50   	106.35   	-366.22		 60.57   	-1017.29		
-50.35   	-31.74   	104.88   	-330.62		 56.50   	-981.68		
-47.00   	-42.11   	103.56   	-305.19		 52.57   	-946.08		
-39.98   	-47.91   	102.34   	-274.67		 48.79   	-900.30		
-31.74   	-42.42   	101.24   	-254.32		 45.19   	-849.44		
-25.94   	-27.77   	100.22   	-228.89		 41.79   	-808.75		
-25.33   	-13.73   	 99.31   	-213.63		 38.56   	-752.79		
-30.21   	-10.68   	 98.45   	-198.37		 35.54   	-707.02		
-37.84   	-19.84   	 97.66   	-183.11		 32.72   	-651.07		
-43.64   	-33.26   	 96.93   	-172.94		 30.11   	-600.20		
-43.64   	-39.67   	 96.24   	-162.77		 27.71   	-554.42		
-37.54   	-34.48   	 95.58   	-157.68		 25.49   	-498.47		
-29.91   	-24.72   	 94.95   	-147.51		 23.50   	-457.78		
-27.77   	-21.06   	 94.36   	-142.42		 21.67   	-417.09		
-32.65   	-27.16   	 93.79   	-132.25		 20.00   	-371.31		
-39.98   	-37.84   	 93.27   	-132.25		 18.51   	-335.71		
-42.72   	-45.17   	 92.74   	-127.16		 17.17   	-300.10		
-38.76   	-45.78   	 92.23   	-127.16		 15.97   	-269.58		
-33.26   	-43.64   	 91.72   	-127.16		 14.89   	-239.06		
-32.35   	-44.25   	 91.21   	-132.25		 13.94   	-213.63		
-38.15   	-49.13   	 90.68   	-132.25		 13.08   	-188.20		
-45.78   	-53.71   	 90.15   	-132.25		 12.33   	-162.77		
-49.74   	-53.41   	 89.62   	-132.25		 11.68   	-152.59		
-47.30   	-48.52   	 89.09   	-127.16		 11.07   	-127.16		
-41.50   	-43.64   	 88.59   	-122.07		 10.56   	-116.99		
-36.93   	-42.11   	 88.10   	-122.07		 10.09   	-101.73		
-36.93   	-44.25   	 87.61   	-116.99		  9.68   	 -86.47		
-41.20   	-48.22   	 87.14   	-111.90		  9.34   	 -76.30		
-48.22   	-51.57   	 86.69   	-106.82		  9.03   	 -61.04		
-54.32   	-54.63   	 86.27   	-101.73		  8.79   	 -55.95		
-56.46   	-57.98   	 85.86   	-101.73		  8.57   	 -50.86		
-52.80   	-61.04   	 85.45   	 -96.64		  8.36   	 -40.69		
-46.08   	-61.65   	 85.07   	 -96.64		  8.20   	 -35.61		
-41.50   	-58.59   	 84.68   	 -91.56		  8.06   	 -35.61		
-41.81   	-52.80   	 84.31   	 -96.64		  7.91   	 -35.61		
-45.47   	-45.78   	 83.93   	 -86.47		  7.77   	 -35.61		
-49.13   	-39.98   	 83.58   	 -91.56		  7.63   	 -40.69		
-49.44   	-36.01   	 83.21   	 -81.38		  7.47   	 -35.61		
-47.30   	-32.35   	 82.89   	 -76.30		  7.32   	 -35.61		
