  I     	  II     	  PW     	  PW'		
-1286.93   	-54.32   	 15.30(A)	 -81.38		
-1290.59   	-59.51   	 14.97   	-147.51		
-1287.54   	-60.42   	 14.38   	-198.37		
-1282.04   	-61.04   	 13.59   	-208.54		
-1284.18   	-67.75   	 12.76   	-183.11		
-1282.65   	-67.75   	 12.02   	-137.33		
-1284.48   	-74.16   	 11.48   	 -71.21		
-1286.62   	-75.07   	 11.19   	  -5.09		
-1289.06   	-76.29   	 11.17   	  40.69		
-1292.72   	-83.01   	 11.33   	  61.04		
-1294.25   	-85.14   	 11.58   	  45.78		
-1297.61   	-91.25   	 11.76   	  15.26		
-1300.05   	-98.57   	 11.82   	 -35.61		
-1302.80   	-104.37   	 11.68   	 -71.21		
-1303.41   	-107.73   	 11.39   	 -91.56		
-1306.15   	-113.22   	 11.03   	 -91.56		
-1310.42   	-118.10   	 10.66   	 -71.21		
-1312.56   	-120.54   	 10.38   	 -30.52		
-1317.44   	-129.39   	 10.25   	  20.35		
-1320.50   	-137.94   	 10.34   	  81.38		
-1322.94   	-144.96   	 10.66   	 122.07		
-1325.99   	-150.76   	 11.15   	 147.51		
-1333.31   	-160.52   	 11.74   	 147.51		
-1337.28   	-164.79   	 12.33   	 127.16		
-1341.25   	-172.42   	 12.84   	  86.47		
-1347.35   	-184.02   	 13.18   	  30.52		
-1345.83   	-186.16   	 13.31   	 -25.43		
-1345.21   	-190.12   	 13.20   	 -66.12		
-1344.60   	-193.79   	 12.94   	 -96.64		
-1340.33   	-192.87   	 12.55   	-106.82		
-1336.67   	-193.18   	 12.13   	 -96.64		
-1329.65   	-189.21   	 11.74   	 -76.30		
-1323.55   	-185.55   	 11.43   	 -45.78		
-1312.56   	-177.92   	 11.25   	 -20.35		
-1301.57   	-168.76   	 11.17   	  10.17		
-1293.34   	-162.96   	 11.21   	  25.43		
-1276.55   	-149.84   	 11.31   	  45.78		
-1261.29   	-136.41   	 11.50   	  55.95		
-1243.59   	-119.32   	 11.72   	  66.12		
-1225.89   	-101.62   	 11.98   	  61.04		
-1212.16   	-82.70   	 12.23   	  61.04		
-1198.73   	-62.56   	 12.47   	  55.95		
-1188.66   	-47.91   	 12.70   	  55.95		
-1177.98   	-28.08   	 12.92   	  55.95		
-1170.35   	-10.38   	 13.14   	  61.04		
-1165.77   	  4.27   	 13.39   	  76.30		
-1161.80   	 19.84   	 13.69   	  91.56		
-1166.38   	 27.77   	 14.06   	  96.64		
-1168.52   	 36.01   	 14.45   	 106.82		
-1168.82   	 44.25   	 14.87   	 111.90		
-1174.93   	 48.52   	 15.32   	 111.90		
-1174.62   	 54.02   	 15.77   	 101.73		
-1167.91   	 62.26   	 16.17   	  86.47		
-1173.40   	 60.42   	 16.52   	  66.12		
-1170.35   	 67.14   	 16.79   	  40.69		
-1166.38   	 72.94   	 16.95   	   5.09		
-1176.15   	 69.27   	 16.97   	 -35.61		
-1171.57   	 74.46   	 16.83   	 -71.21		
-1174.32   	 70.80   	 16.54   	 -86.47		
-1175.84   	 68.05   	 16.20   	 -86.47		
-1171.57   	 68.36   	 15.85   	 -40.69		
-1174.62   	 65.31   	 15.69   	  10.17		
-1172.18   	 68.05   	 15.73   	  76.30		
-1173.40   	 64.09   	 16.03   	 137.33		
-1173.40   	 62.26   	 16.58   	 167.85		
-1172.49   	 61.04   	 17.25   	 178.03		
-1171.26   	 56.76   	 17.97   	 162.77		
-1172.18   	 56.76   	 18.62   	 132.25		
-1172.79   	 56.46   	 19.15   	  81.38		
-1172.79   	 54.63   	 19.47   	  30.52		
-1177.06   	 54.02   	 19.59   	 -10.17		
-1174.93   	 53.41   	 19.55   	 -40.69		
-1174.93   	 52.19   	 19.39   	 -76.30		
-1179.50   	 50.96   	 19.08   	-101.73		
-1176.45   	 51.27   	 18.68   	-127.16		
-1176.45   	 49.13   	 18.17   	-116.99		
-1178.59   	 46.69   	 17.70   	 -81.38		
-1173.71   	 47.91   	 17.38   	 -10.17		
-1175.84   	 44.25   	 17.33   	  81.38		
-1179.50   	 42.72   	 17.66   	 167.85		
-1176.15   	 46.08   	 18.33   	 244.15		
-1179.81   	 41.50   	 19.31   	 289.93		
-1180.11   	 40.28   	 20.47   	 310.27		
-1176.76   	 44.25   	 21.71   	 289.93		
-1184.39   	 36.93   	 22.87   	 244.15		
-1184.39   	 38.15   	 23.85   	 183.11		
-1179.50   	 47.00   	 24.58   	 106.82		
-1184.39   	 42.11   	 25.00   	  35.61		
-1181.34   	 45.47   	 25.15(V)	 -20.35		
-1179.20   	 48.22   	 25.07   	 -71.21		
-1184.69   	 40.59   	 24.78   	 -96.64		
-1180.73   	 43.03   	 24.39   	-116.99		
-1178.59   	 45.78   	 23.93   	-116.99		
-1181.03   	 42.72   	 23.46   	-116.99		
-1179.20   	 43.95   	 22.99   	-101.73		
-1181.64   	 43.33   	 22.58   	 -81.38		
-1180.11   	 42.72   	 22.26   	 -45.78		
-1171.26   	 47.61   	 22.08   	 -10.17		
-1163.02   	 51.57   	 22.03   	  30.52		
-1149.90   	 58.59   	 22.16   	  61.04		
-1138.61   	 63.17   	 22.40   	  91.56		
-1124.88   	 65.92   	 22.77   	 101.73		
