  I     	  II     	  PW     	  PW'		
 53.41   	279.54   	 24.58   	 -91.56		
166.02   	384.83   	 24.21   	 -91.56		
279.54   	520.32   	 23.85   	 -81.38		
337.83   	682.07   	 23.52   	 -50.86		
380.55   	848.08   	 23.32   	 -10.17		
336.91   	897.83   	 23.28   	  35.61		
114.14   	751.95   	 23.42   	  81.38		
-187.68   	458.98   	 23.74   	 127.16		
-501.71   	 70.80   	 24.25   	 157.68		
-777.89(R)	-348.51   	 24.88   	 172.94		
-874.63   	-616.46   	 25.57   	 172.94		
-746.46   	-791.02   	 26.27   	 157.68		
-641.78   	-877.08   	 26.90   	 127.16		
-589.29   	-828.86   	 27.41   	  96.64		
-536.50   	-724.49   	 27.79   	  55.95		
-599.37   	-602.72   	 28.02   	  20.35		
-686.34   	-509.03   	 28.10(A)	 -10.17		
-696.41   	-453.49   	 28.06   	 -35.61		
-726.01   	-441.28   	 27.91   	 -61.04		
-744.63   	-446.78   	 27.67   	 -66.12		
-752.87   	-449.83   	 27.41   	 -66.12		
-744.93   	-444.64   	 27.14   	 -55.95		
-759.58   	-440.98   	 26.92   	 -30.52		
-776.37   	-447.39   	 26.80   	  -5.09		
-767.21   	-424.80   	 26.78   	  20.35		
-750.12   	-395.81   	 26.86   	  25.43		
-720.52   	-349.12   	 26.96   	  25.43		
-667.72   	-279.54   	 27.06   	  -5.09		
-618.90   	-198.06   	 27.04   	 -45.78		
-565.19   	-121.15   	 26.86   	 -96.64		
-512.08   	-52.19   	 26.47   	-137.33		
-474.24   	  3.05   	 25.92   	-172.94		
-447.08   	 35.40   	 25.23   	-188.20		
-434.57   	 56.76   	 24.48   	-183.11		
-430.30   	 66.83   	 23.74   	-147.51		
-420.23   	 75.68   	 23.15   	 -91.56		
-411.68   	 83.31   	 22.79   	 -20.35		
-408.02   	 84.84   	 22.71   	  50.86		
-401.31   	 89.72   	 22.91   	 111.90		
-399.48   	 89.72   	 23.36   	 157.68		
-400.09   	 84.84   	 23.99   	 178.03		
-397.03   	 87.28   	 24.70   	 178.03		
-395.51   	 83.62   	 25.41   	 157.68		
-394.90   	 80.26   	 26.04   	 122.07		
-393.37   	 78.74   	 26.53   	  91.56		
-388.79   	 77.21   	 26.90   	  45.78		
-389.10   	 77.21   	 27.08   	  15.26		
-388.49   	 72.02   	 27.14   	 -15.26		
-387.57   	 70.19   	 27.08   	 -35.61		
-388.79   	 66.83   	 26.94   	 -40.69		
-386.05   	 61.95   	 26.78   	 -40.69		
-384.22   	 61.95   	 26.61   	 -40.69		
-388.18   	 54.93   	 26.45   	 -35.61		
-387.57   	 49.13   	 26.31   	 -45.78		
-383.30   	 49.13   	 26.12   	 -71.21		
-387.27   	 41.81   	 25.84   	-106.82		
-383.91   	 39.67   	 25.41   	-162.77		
-384.22   	 36.32   	 24.76   	-213.63		
-393.37   	 24.41   	 23.91   	-259.41		
-395.20   	 18.31   	 22.87   	-269.58		
-397.64   	 11.90   	 21.79   	-249.24		
-398.86   	  5.49   	 20.79   	-198.37		
-402.22   	 -3.05   	 20.00   	-116.99		
-403.44   	-10.38   	 19.53   	 -30.52		
-405.27   	-18.01   	 19.41   	  55.95		
-409.85   	-29.60   	 19.63   	 127.16		
-411.07   	-39.67   	 20.14   	 178.03		
-413.51   	-48.52   	 20.85   	 193.29		
-419.31   	-58.90   	 21.63   	 188.20		
-422.06   	-67.14   	 22.38   	 147.51		
-422.06   	-72.33   	 22.97   	  91.56		
-422.97   	-81.18   	 23.34   	  25.43		
-420.23   	-89.11   	 23.44   	 -30.52		
-418.40   	-97.35   	 23.32   	 -76.30		
-416.87   	-101.01   	 23.01   	-106.82		
-410.77   	-102.54   	 22.58   	-116.99		
-404.97   	-102.23   	 22.12   	-101.73		
-398.25   	-99.79   	 21.71   	 -81.38		
-390.01   	-98.88   	 21.38   	 -40.69		
-379.64   	-91.25   	 21.22   	 -10.17		
-365.91   	-81.79   	 21.18   	  10.17		
-353.70   	-73.24   	 21.22   	  15.26		
-340.88   	-58.90   	 21.28   	  10.17		
-326.23   	-44.25   	 21.32   	  -5.09		
-313.72   	-27.47   	 21.30   	 -20.35		
-302.12   	 -6.71   	 21.22   	 -25.43		
-291.14   	 13.43   	 21.12   	 -30.52		
-278.32   	 39.37   	 21.00   	 -25.43		
-273.74   	 63.17   	 20.90   	 -30.52		
-270.08   	 85.45   	 20.77   	 -20.35		
-261.84   	110.17   	 20.69   	  -5.09		
-266.72   	123.90   	 20.67   	  10.17		
-270.69   	133.67   	 20.71   	  35.61		
-269.17   	147.40   	 20.85   	  55.95		
-271.91   	159.30   	 21.08   	  86.47		
-273.44   	167.85   	 21.42   	  96.64		
-274.66   	178.83   	 21.81   	 101.73		
-277.71   	187.38   	 22.22   	  91.56		
-282.29   	188.60   	 22.58   	  71.21		
-284.12   	192.57   	 22.87   	  40.69		
-285.95   	194.70   	 23.03   	  15.26		
-286.56   	197.14   	 23.09   	 -20.35		
-289.92   	199.58   	 23.01   	 -45.78		
-291.75   	202.94   	 22.83   	 -61.04		
-293.27   	203.25   	 22.58   	 -81.38		
-295.72   	201.11   	 22.26   	 -91.56		
-297.24   	201.42   	 21.89   	-111.90		
-298.16   	199.89   	 21.44   	-137.33		
-300.90   	198.67   	 20.90   	-157.68		
-302.73   	198.67   	 20.26   	-167.85		
-302.12   	196.84   	 19.59   	-147.51		
-305.79   	195.31   	 19.00   	-106.82		
-306.40   	193.18   	 18.58   	 -40.69		
-305.18   	193.48   	 18.41   	  40.69		
-308.23   	191.96   	 18.58   	 101.73		
-310.06   	189.21   	 18.98   	 152.59		
-308.84   	190.43   	 19.59   	 183.11		
-312.81   	187.07   	 20.33   	 188.20		
-313.72   	184.94   	 21.08   	 188.20		
-314.33   	183.11   	 21.83   	 167.85		
-317.38   	180.66   	 22.50   	 137.33		
-319.82   	177.61   	 23.05   	 111.90		
-323.18   	175.17   	 23.50   	  81.38		
-323.49   	175.48   	 23.82   	  45.78		
-328.67   	171.51   	 24.01   	   5.09		
-326.84   	174.87   	 24.03   	 -45.78		
-331.12   	171.20   	 23.85   	 -96.64		
-336.30   	169.07   	 23.46   	-122.07		
-332.03   	173.34   	 22.97   	-127.16		
-339.66   	166.32   	 22.46   	-101.73		
-339.97   	169.98   	 22.05   	 -45.78		
-338.75   	171.81   	 21.87   	  15.26		
-348.21   	164.49   	 21.93   	  71.21		
-346.07   	168.46   	 22.22   	 122.07		
-349.73   	165.71   	 22.71   	 132.25		
-354.61   	161.44   	 23.23   	 122.07		
-355.83   	162.05   	 23.72   	  81.38		
-357.97   	163.88   	 24.05   	  25.43		
-359.50   	161.74   	 24.15(V)	 -40.69		
-360.41   	162.96   	 23.99   	 -91.56		
-359.50   	165.41   	 23.62   	-137.33		
-364.99   	161.74   	 23.07   	-162.77		
-367.74   	164.18   	 22.42   	-167.85		
-368.96   	168.15   	 21.75   	-157.68		
-371.09   	169.07   	 21.12   	-142.42		
-372.01   	169.68   	 20.55   	-122.07		
-373.54   	171.20   	 20.06   	-101.73		
-376.59   	168.46   	 19.65   	 -81.38		
-379.94   	168.15   	 19.33   	 -61.04		
-380.86   	170.59   	 19.08   	 -35.61		
-379.03   	170.29   	 18.94   	 -20.35		
-377.81   	173.95   	 18.86   	   0.00		
-377.81   	175.17   	 18.86   	  20.35		
-378.11   	174.87   	 18.94   	  25.43		
-381.47   	175.48   	 19.04   	  30.52		
-383.00   	175.17   	 19.17   	  30.52		
-378.72   	177.61   	 19.29   	  15.26		
-367.74   	182.80   	 19.35   	   0.00		
-350.04   	193.48   	 19.35   	 -15.26		
-338.13   	198.67   	 19.29   	 -35.61		
-325.01   	202.94   	 19.15   	 -45.78		
-315.25   	206.30   	 18.96   	 -55.95		
-312.81   	204.77   	 18.74   	 -61.04		
-304.87   	206.91   	 18.49   	 -50.86		
-299.68   	212.10   	 18.29   	 -50.86		
-298.16   	221.86   	 18.09   	 -40.69		
-298.77   	226.14   	 17.92   	 -25.43		
-283.81   	237.12   	 17.82   	 -25.43		
-264.28   	244.75   	 17.72   	 -15.26		
-242.00   	247.80   	 17.66   	 -15.26		
-219.42   	257.57   	 17.60   	 -20.35		
-221.86   	258.18   	 17.52   	 -20.35		
-232.54   	262.76   	 17.44   	 -25.43		
-238.65   	279.54   	 17.33   	 -20.35		
-236.21   	294.80   	 17.25   	 -25.43		
-222.17   	314.33   	 17.15   	 -20.35		
-224.00   	321.66   	 17.07   	 -15.26		
-231.93   	312.50   	 17.01   	  -5.09		
-242.92   	301.21   	 16.99   	   5.09		
-269.47   	295.72   	 17.01   	  10.17		
-279.54   	303.04   	 17.05   	  10.17		
-296.02   	298.46   	 17.09   	  10.17		
-334.47   	267.64   	 17.13   	   5.09		
-370.18   	230.41   	 17.15   	 -15.26		
-401.92   	185.85   	 17.09   	 -25.43		
-429.08   	161.44   	 16.99   	 -55.95		
-448.91   	156.86   	 16.76   	 -76.30		
-451.66   	155.94   	 16.46   	 -96.64		
-447.08   	159.91   	 16.07   	-116.99		
-451.05   	154.11   	 15.61   	-122.07		
-449.83   	157.47   	 15.12   	-106.82		
-454.41   	162.05   	 14.69   	 -91.56		
-464.78   	158.08   	 14.32   	 -61.04		
-468.44   	158.39   	 14.08   	 -25.43		
-466.31   	159.00   	 13.98   	   5.09		
-463.26   	159.61   	 14.00   	  25.43		
-465.39   	160.22   	 14.10   	  35.61		
-466.31   	161.44   	 14.24   	  45.78		
-469.06   	157.47   	 14.43   	  50.86		
-470.28   	157.17   	 14.63   	  50.86		
-472.72   	156.56   	 14.83   	  61.04		
-473.33   	159.30   	 15.08   	  76.30		
-477.91   	156.86   	 15.38   	  91.56		
-479.13   	155.33   	 15.75   	 111.90		
-479.74   	155.33   	 16.20   	 132.25		
-482.79   	151.98   	 16.72   	 142.42		
-483.40   	156.86   	 17.29   	 147.51		
-491.64   	154.72   	 17.88   	 137.33		
-503.85   	148.32   	 18.43   	 116.99		
-522.16   	135.50   	 18.90   	  81.38		
-512.70   	117.80   	 19.23   	  45.78		
-468.14   	108.34   	 19.41   	  -5.09		
-393.68   	115.97   	 19.39   	 -50.86		
-289.92   	155.94   	 19.19   	 -91.56		
-172.12   	224.61   	 18.82   	-122.07		
-73.85   	302.43   	 18.33   	-137.33		
 39.67   	416.87   	 17.78   	-137.33		
138.24   	556.64   	 17.23   	-116.99		
187.38   	724.18   	 16.76   	 -76.30		
232.54   	882.57   	 16.46   	 -25.43		
180.66   	897.83   	 16.36   	  40.69		
-33.87   	709.53   	 16.52   	 101.73		
-305.79   	375.37   	 16.93   	 152.59		
-599.67   	-50.05   	 17.54   	 188.20		
-858.76(R)	-475.46   	 18.29   	 198.37		
-941.77   	-718.38   	 19.08   	 188.20		
-818.18   	-862.43   	 19.84   	 167.85		
-753.48   	-914.00   	 20.51   	 122.07		
-713.50   	-834.35   	 21.00   	  76.30		
-675.66   	-714.11   	 21.30   	  15.26		
-760.19   	-594.48   	 21.36   	 -35.61		
-830.38   	-501.40   	 21.22   	 -81.38		
-841.06   	-444.34   	 20.90   	-111.90		
-870.97   	-439.76   	 20.45   	-122.07		
-892.94   	-448.91   	 19.96   	-116.99		
-911.56   	-455.32   	 19.49   	 -91.56		
-920.72   	-454.10   	 19.13   	 -61.04		
-950.62   	-448.30   	 18.88   	 -25.43		
-981.75   	-455.02   	 18.78   	  20.35		
-981.45   	-433.65   	 18.86   	  50.86		
-963.75   	-409.55   	 19.06   	  61.04		
-937.50   	-377.81   	 19.31   	  50.86		
-873.72   	-310.67   	 19.51   	  10.17		
-820.01   	-231.63   	 19.55   	 -55.95		
-764.77   	-147.71   	 19.33   	-122.07		
-703.74   	-73.24   	 18.84   	-193.29		
-672.00   	-14.95   	 18.07   	-249.24		
-647.89   	 17.70   	 17.07   	-274.67		
-633.54   	 37.23   	 15.97   	-269.58		
-625.31   	 54.32   	 14.89   	-228.89		
-612.18   	 66.22   	 13.98   	-152.59		
-608.22   	 73.85   	 13.37   	 -50.86		
-603.33   	 76.29   	 13.16   	  71.21		
-606.38   	 73.55   	 13.45   	 188.20		
-614.62   	 66.83   	 14.20   	 284.84		
-610.96   	 69.27   	 15.34   	 340.79		
-606.99   	 74.46   	 16.70   	 361.14		
-608.83   	 71.72   	 18.15   	 330.62		
-610.05   	 70.50   	 19.47   	 264.50		
-610.35   	 66.83   	 20.53   	 172.94		
-613.10   	 63.78   	 21.22   	  66.12		
-614.32   	 62.56   	 21.49(A)	 -25.43		
-607.30   	 65.31   	 21.38   	-101.73		
-609.44   	 64.39   	 20.98   	-157.68		
-615.54   	 58.29   	 20.35   	-188.20		
-617.68   	 54.02   	 19.59   	-203.46		
-620.42   	 50.05   	 18.78   	-218.72		
-620.73   	 45.47   	 17.90   	-218.72		
-622.25   	 36.62   	 17.03   	-223.80		
-625.31   	 34.18   	 16.13   	-223.80		
-635.07   	 29.30   	 15.24   	-218.72		
-642.70   	 23.19   	 14.36   	-208.54		
-653.99   	 16.48   	 13.53   	-188.20		
-658.26   	 12.21   	 12.78   	-152.59		
-658.26   	  4.27   	 12.17   	-106.82		
-661.32   	 -5.49   	 11.74   	 -55.95		
-656.74   	 -6.10   	 11.52   	   0.00		
-654.91   	-12.82   	 11.52   	  61.04		
-661.93   	-21.06   	 11.76   	 106.82		
-669.56   	-27.16   	 12.19   	 142.42		
-678.71   	-40.89   	 12.76   	 157.68		
-683.59   	-48.83   	 13.39   	 142.42		
-692.75   	-61.65   	 13.96   	 101.73		
-697.63   	-73.24   	 14.36   	  45.78		
-699.77   	-76.29   	 14.55   	 -25.43		
-703.43   	-84.53   	 14.45   	 -96.64		
-700.38   	-86.06   	 14.06   	-157.68		
-698.55   	-90.94   	 13.43   	-203.46		
-706.18   	-100.40   	 12.61   	-223.80		
-705.57   	-101.32   	 11.72   	-233.98		
-707.40   	-111.39   	 10.78   	-218.72		
-705.26   	-109.25   	  9.91   	-188.20		
-689.09   	-103.15   	  9.16   	-142.42		
-683.90   	-104.06   	  8.59   	 -91.56		
-676.88   	-93.08   	  8.22   	 -30.52		
-663.45   	-85.14   	  8.10   	  20.35		
-654.30   	-75.07   	  8.18   	  71.21		
-642.70   	-54.63   	  8.46   	 111.90		
-632.93   	-43.03   	  8.91   	 132.25		
-615.54   	-19.84   	  9.44   	 137.33		
-601.81   	  1.22   	  9.99   	 122.07		
-592.96   	 18.62   	 10.48   	 106.82		
-578.31   	 43.03   	 10.91   	  71.21		
-574.04   	 65.00   	 11.19   	  45.78		
-574.04   	 84.84   	 11.37   	  10.17		
-572.51   	 99.79   	 11.41   	 -10.17		
-568.85   	119.02   	 11.37   	 -20.35		
-576.48   	128.48   	 11.29   	 -25.43		
-578.61   	139.47   	 11.19   	 -30.52		
-577.09   	152.59   	 11.07   	 -30.52		
-580.75   	160.83   	 10.95   	 -30.52		
-576.78   	171.20   	 10.82   	 -25.43		
-580.75   	174.56   	 10.72   	 -25.43		
-587.46   	173.65   	 10.62   	 -20.35		
-592.96   	175.78   	 10.54   	  -5.09		
-598.14   	178.53   	 10.52   	  10.17		
-600.28   	183.72   	 10.56   	  15.26		
-596.62   	189.21   	 10.62   	  20.35		
-596.92   	189.21   	 10.70   	   0.00		
-598.45   	186.77   	 10.70   	 -30.52		
-600.28   	183.11   	 10.58   	 -66.12		
-610.66   	184.33   	 10.32   	 -91.56		
-617.98   	184.94   	  9.95   	 -86.47		
-621.03   	183.41   	  9.60   	 -55.95		
-623.47   	182.19   	  9.38   	 -10.17		
-621.03   	180.36   	  9.34   	  35.61		
-620.42   	179.75   	  9.48   	  66.12		
-622.25   	176.70   	  9.75   	  86.47		
-623.78   	176.09   	 10.09   	  71.21		
-628.36   	174.56   	 10.38   	  45.78		
-632.32   	172.12   	 10.56   	 -10.17		
-635.99   	171.20   	 10.52   	 -61.04		
-636.60   	170.90   	 10.27   	-101.73		
-639.65   	165.71   	  9.87   	-106.82		
-638.43   	165.41   	  9.44   	 -81.38		
-639.04   	165.41   	  9.11   	 -30.52		
-642.40   	163.27   	  8.99   	  45.78		
-640.56   	163.27   	  9.18   	 127.16		
-639.95   	159.61   	  9.68   	 218.72		
-638.73   	155.94   	 10.56   	 289.93		
-638.43   	155.03   	 11.72   	 320.45		
-639.04   	154.42   	 13.00   	 305.19		
-638.73   	153.81   	 14.22   	 254.32		
-640.26   	151.98   	 15.24   	 162.77		
-639.95   	151.98   	 15.89   	  50.86		
-642.40   	149.23   	 16.09(V)	 -50.86		
-643.01   	150.15   	 15.89   	-147.51		
-644.53   	151.98   	 15.30   	-208.54		
-647.58   	151.37   	 14.47   	-244.15		
-647.28   	151.06   	 13.49   	-244.15		
-650.63   	147.71   	 12.51   	-223.80		
-651.55   	146.79   	 11.62   	-183.11		
-650.33   	146.48   	 10.89   	-132.25		
-650.02   	146.79   	 10.36   	 -86.47		
-649.11   	148.32   	 10.01   	 -40.69		
-648.19   	149.54   	  9.85   	  -5.09		
-651.55   	145.87   	  9.83   	  25.43		
-652.77   	147.40   	  9.93   	  35.61		
-653.38   	148.01   	 10.07   	  40.69		
-656.74   	146.18   	 10.23   	  30.52		
-654.30   	150.15   	 10.36   	  20.35		
-651.86   	150.76   	 10.44   	  10.17		
-652.77   	149.84   	 10.48   	 -10.17		
-650.94   	151.06   	 10.44   	 -20.35		
-649.41   	152.59   	 10.36   	 -25.43		
-646.67   	153.20   	 10.25   	 -30.52		
-639.04   	156.56   	 10.13   	 -20.35		
-626.83   	162.05   	 10.05   	 -10.17		
-616.46   	167.24   	 10.01   	  10.17		
-604.55   	170.59   	 10.05   	  40.69		
-592.65   	172.73   	 10.21   	  61.04		
-584.11   	175.17   	 10.46   	  86.47		
-573.43   	177.92   	 10.80   	 101.73		
-564.27   	181.88   	 11.21   	 101.73		
-564.88   	187.68   	 11.62   	 101.73		
-562.13   	195.62   	 12.02   	  96.64		
-551.76   	202.03   	 12.41   	  86.47		
-534.06   	212.71   	 12.76   	  76.30		
-507.20   	223.69   	 13.06   	  66.12		
-479.43   	230.41   	 13.33   	  55.95		
-474.85   	231.32   	 13.55   	  35.61		
-484.31   	231.93   	 13.69   	  25.43		
-480.65   	250.55   	 13.79   	   5.09		
-479.13   	269.78   	 13.81   	  -5.09		
-457.76   	297.55   	 13.79   	 -15.26		
-447.69   	314.94   	 13.73   	 -20.35		
-460.51   	303.04   	 13.65   	 -15.26		
-472.72   	287.48   	 13.59   	 -10.17		
-501.40   	276.49   	 13.55   	   0.00		
-520.94   	274.96   	 13.55   	  10.17		
-536.19   	271.00   	 13.59   	  25.43		
-565.19   	250.55   	 13.69   	  30.52		
-595.70   	215.15   	 13.81   	  35.61		
-619.20   	173.95   	 13.96   	  30.52		
-640.56   	150.76   	 14.08   	  20.35		
-657.96   	147.40   	 14.16   	   5.09		
-668.95   	144.96   	 14.18   	 -10.17		
-670.17   	144.04   	 14.14   	 -25.43		
-670.17   	137.33   	 14.04   	 -35.61		
-669.25   	133.67   	 13.90   	 -45.78		
-665.59   	138.24   	 13.71   	 -55.95		
-666.81   	142.52   	 13.49   	 -55.95		
-668.64   	144.65   	 13.27   	 -55.95		
-665.59   	143.74   	 13.04   	 -40.69		
-663.45   	143.13   	 12.88   	 -15.26		
-662.84   	141.91   	 12.82   	  15.26		
-661.01   	141.91   	 12.88   	  55.95		
-659.79   	142.21   	 13.10   	 111.90		
-657.96   	141.60   	 13.55   	 162.77		
-657.04   	141.91   	 14.20   	 218.72		
-657.04   	143.43   	 15.08   	 254.32		
-657.35   	144.04   	 16.09   	 269.58		
-655.82   	145.87   	 17.17   	 264.50		
-653.69   	145.87   	 18.23   	 223.80		
-652.16   	147.09   	 19.13   	 172.94		
-653.99   	147.09   	 19.82   	 106.82		
-656.74   	143.13   	 20.24   	  45.78		
-662.23   	142.21   	 20.43   	  -5.09		
-678.41   	133.36   	 20.41   	 -40.69		
-685.12   	117.49   	 20.24   	 -55.95		
-657.65   	105.29   	 20.02   	 -50.86		
-597.53   	102.54   	 19.82   	 -40.69		
-512.08   	122.99   	 19.65   	 -10.17		
-390.01   	185.85   	 19.61   	  15.26		
-277.10   	256.04   	 19.67   	  35.61		
-169.98   	353.09   	 19.82   	  61.04		
-43.33   	483.70   	 20.06   	  71.21		
 31.13   	637.21   	 20.35   	  86.47		
 92.77   	812.68   	 20.69   	  96.64		
115.66   	909.42   	 21.08   	 106.82		
-29.30   	801.39   	 21.51   	 127.16		
-274.96   	526.12   	 22.01   	 137.33		
-534.67   	142.82   	 22.56   	 142.42		
-796.51(R)	-313.42   	 23.13   	 137.33		
-935.06   	-627.44   	 23.68   	 116.99		
-858.15   	-794.37   	 24.15   	  91.56		
-772.71   	-895.08   	 24.52   	  66.12		
-771.79   	-847.17   	 24.78   	  40.69		
-747.99   	-727.23   	 24.94   	  25.43		
-814.21   	-620.42   	 25.05   	  20.35		
-922.55   	-520.94   	 25.13   	  25.43		
-942.38   	-457.46   	 25.23   	  30.52		
-976.87   	-437.62   	 25.35   	  40.69		
-995.79   	-439.45   	 25.51   	  45.78		
-1010.74   	-440.37   	 25.70   	  40.69		
-1013.18   	-446.78   	 25.86   	  30.52		
-1029.97   	-438.23   	 25.98   	  10.17		
-1058.65   	-446.78   	 26.02   	 -15.26		
-1074.22   	-444.34   	 25.96   	 -45.78		
-1061.71   	-421.75   	 25.78   	 -71.21		
-1034.85   	-400.39   	 25.49   	 -96.64		
-996.40   	-357.67   	 25.11   	-106.82		
-932.92   	-289.92   	 24.68   	-116.99		
-880.13   	-217.59   	 24.21   	-116.99		
-831.30   	-145.26   	 23.74   	-127.16		
-776.06   	-76.29   	 23.23   	-127.16		
-749.21   	-21.67   	 22.73   	-127.16		
-729.37   	 11.60   	 22.22   	-127.16		
-714.11   	 28.69   	 21.71   	-106.82		
-705.26   	 39.98   	 21.28   	 -71.21		
-696.72   	 47.91   	 21.00   	 -10.17		
-687.87   	 54.32   	 20.96   	  71.21		
-683.29   	 58.59   	 21.24   	 157.68		
-678.10   	 61.04   	 21.87   	 244.15		
-675.05   	 58.90   	 22.85   	 315.36		
-672.91   	 57.37   	 24.11   	 356.05		
-670.47   	 58.29   	 25.53   	 350.97		
-670.47   	 54.32   	 26.94   	 300.10		
-668.64   	 53.71   	 28.14   	 213.63		
-667.72   	 50.35   	 28.99   	 106.82		
-666.20   	 49.13   	 29.42(A)	 -15.26		
-665.89   	 47.00   	 29.36   	-122.07		
-666.81   	 43.03   	 28.87   	-203.46		
-665.89   	 41.20   	 28.06   	-269.58		
-665.59   	 37.23   	 26.98   	-295.01		
-664.98   	 33.57   	 25.80   	-300.10		
-664.06   	 29.91   	 24.60   	-284.84		
-665.89   	 26.55   	 23.46   	-254.32		
-668.64   	 21.36   	 22.44   	-198.37		
-671.08   	 16.78   	 21.65   	-152.59		
-674.74   	 10.99   	 21.04   	 -86.47		
-676.57   	  3.66   	 20.69   	 -40.69		
-675.96   	 -1.83   	 20.53   	  10.17		
-678.10   	 -5.49   	 20.57   	  45.78		
-680.24   	-10.38   	 20.75   	  71.21		
-682.37   	-16.48   	 21.04   	  91.56		
-687.26   	-23.50   	 21.40   	  96.64		
-689.70   	-30.82   	 21.79   	 101.73		
-692.44   	-40.28   	 22.20   	 101.73		
-696.11   	-49.13   	 22.60   	  91.56		
-699.77   	-56.46   	 22.97   	  71.21		
-702.21   	-65.92   	 23.26   	  55.95		
-706.18   	-75.99   	 23.48   	  30.52		
-707.40   	-84.23   	 23.60   	  10.17		
-706.18   	-93.38   	 23.64   	 -15.26		
-706.79   	-102.84   	 23.58   	 -35.61		
-706.18   	-111.69   	 23.44   	 -66.12		
-702.82   	-115.36   	 23.17   	 -91.56		
-703.13   	-120.24   	 22.81   	-122.07		
-698.85   	-122.38   	 22.32   	-137.33		
-691.83   	-119.32   	 21.77   	-142.42		
-685.12   	-119.02   	 21.20   	-132.25		
-673.22   	-115.97   	 20.67   	-101.73		
-662.54   	-110.78   	 20.26   	 -61.04		
-648.50   	-102.54   	 20.02   	 -10.17		
-632.63   	-90.64   	 19.98   	  30.52		
-618.90   	-77.21   	 20.10   	  71.21		
-603.64   	-59.51   	 20.39   	  86.47		
-589.60   	-40.28   	 20.73   	  86.47		
-578.61   	-21.97   	 21.08   	  66.12		
-566.41   	  0.00   	 21.34   	  45.78		
-555.42   	 21.97   	 21.53   	   5.09		
-545.65   	 41.20   	 21.55   	 -20.35		
-537.11   	 62.26   	 21.46   	 -45.78		
-530.09   	 82.40   	 21.28   	 -50.86		
-526.12   	 98.57   	 21.08   	 -45.78		
-525.21   	112.61   	 20.90   	 -35.61		
-523.99   	123.90   	 20.75   	 -15.26		
-523.99   	130.31   	 20.69   	  15.26		
-523.99   	139.16   	 20.75   	  35.61		
-524.29   	146.79   	 20.90   	  66.12		
-523.38   	153.20   	 21.16   	  86.47		
-523.38   	160.52   	 21.51   	  86.47		
-523.38   	163.27   	 21.85   	  71.21		
-523.38   	165.41   	 22.14   	  50.86		
-525.51   	166.63   	 22.34   	  20.35		
-526.73   	166.93   	 22.42   	 -10.17		
-529.17   	168.15   	 22.38   	 -30.52		
-530.40   	167.54   	 22.26   	 -50.86		
-530.70   	168.15   	 22.05   	 -61.04		
-531.92   	169.68   	 21.81   	 -61.04		
-531.01   	170.59   	 21.57   	 -71.21		
-530.40   	171.20   	 21.28   	 -71.21		
-531.62   	170.90   	 21.00   	 -86.47		
-533.14   	169.07   	 20.65   	 -96.64		
-533.14   	167.24   	 20.26   	 -96.64		
-532.23   	166.32   	 19.88   	 -81.38		
-530.70   	164.18   	 19.55   	 -35.61		
-529.79   	162.96   	 19.41   	  25.43		
-531.31   	159.61   	 19.51   	  86.47		
-534.97   	157.17   	 19.86   	 122.07		
-535.89   	156.86   	 20.35   	 132.25		
-535.28   	156.25   	 20.87   	  91.56		
-535.28   	155.64   	 21.24   	  25.43		
-532.84   	155.03   	 21.34   	 -61.04		
-535.28   	151.67   	 21.10   	-116.99		
-534.06   	150.45   	 20.63   	-127.16		
-533.14   	150.15   	 20.12   	 -86.47		
-534.97   	147.40   	 19.78   	   5.09		
-532.53   	147.71   	 19.80   	 127.16		
-534.97   	145.87   	 20.31   	 259.41		
-536.80   	141.91   	 21.34   	 356.05		
-534.97   	143.13   	 22.77   	 401.83		
-536.19   	142.52   	 24.37   	 376.40		
-534.97   	142.21   	 25.88   	 279.75		
-535.28   	142.52   	 27.00   	 132.25		
-534.06   	142.82   	 27.53(V)	 -30.52		
-533.75   	140.69   	 27.41   	-172.94		
-533.45   	140.69   	 26.71   	-274.67		
-532.53   	141.30   	 25.62   	-315.36		
-534.06   	140.08   	 24.35   	-305.19		
-535.28   	137.63   	 23.13   	-244.15		
-536.19   	137.63   	 22.16   	-147.51		
-535.89   	137.02   	 21.57   	 -40.69		
-533.45   	137.33   	 21.40   	  50.86		
-529.17   	140.69   	 21.61   	 122.07		
-527.34   	140.69   	 22.10   	 152.59		
-526.73   	139.16   	 22.71   	 157.68		
-528.56   	137.94   	 23.34   	 122.07		
-530.09   	138.85   	 23.82   	  71.21		
-531.62   	139.47   	 24.11   	  10.17		
-530.09   	140.69   	 24.15   	 -45.78		
-528.87   	142.52   	 23.97   	 -91.56		
-529.48   	140.69   	 23.60   	-111.90		
-527.34   	139.47   	 23.15   	-116.99		
-527.04   	138.85   	 22.69   	 -96.64		
-526.43   	140.38   	 22.30   	 -61.04		
-523.68   	140.38   	 22.05   	 -30.52		
-520.02   	142.21   	 21.93   	  10.17		
-517.27   	144.65   	 21.97   	  30.52		
-508.42   	146.48   	 22.10   	  40.69		
-495.61   	152.89   	 22.26   	  40.69		
-480.65   	159.91   	 22.42   	  20.35		
-461.73   	164.49   	 22.50   	   0.00		
-447.08   	167.54   	 22.50   	 -25.43		
-437.93   	167.85   	 22.40   	 -55.95		
-429.38   	170.29   	 22.18   	 -71.21		
