  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-256.96   	-392.15   	230.70   	 152.59		 97.05   	 132.25		
-260.01   	-398.56   	231.31   	 152.59		 97.58   	 101.73		
-261.84   	-404.66   	231.92   	 152.59		 97.99   	  71.21		
-262.76   	-409.85   	232.53   	 147.51		 98.27   	  40.69		
-263.37   	-413.82   	233.12   	 132.25		 98.43   	  20.35		
-262.15   	-415.95   	233.65   	 106.82		 98.51   	   0.00		
-259.70   	-419.01   	234.08   	  76.30		 98.51   	 -25.43		
-256.65   	-422.06   	234.38   	  30.52		 98.41   	 -40.69		
-251.16   	-422.67   	234.51   	 -15.26		 98.25   	 -61.04		
-241.09   	-421.45   	234.44   	 -71.21		 98.01   	 -71.21		
-232.85   	-419.01   	234.16   	-127.16		 97.72   	 -91.56		
-222.78   	-415.34   	233.65   	-172.94		 97.35   	 -96.64		
-208.74   	-409.55   	232.96   	-208.54		 96.97   	-106.82		
-197.45   	-403.14   	232.13   	-239.06		 96.54   	-111.90		
-181.27   	-393.37   	231.17   	-264.50		 96.09   	-122.07		
-162.35   	-380.55   	230.11   	-300.10		 95.60   	-132.25		
-143.43   	-366.82   	228.91   	-356.05		 95.08   	-142.42		
-124.82   	-353.39   	227.49   	-427.26		 94.51   	-157.68		
-105.59   	-337.52   	225.78   	-518.82		 93.88   	-167.85		
-87.59   	-320.13   	223.70   	-620.55		 93.20   	-178.03		
-71.72   	-303.04   	221.22   	-732.45		 92.49   	-188.20		
-53.71   	-284.73   	218.29   	-839.26		 91.74   	-193.29		
-41.50   	-268.55   	214.93   	-940.99		 90.97   	-193.29		
-27.77   	-251.16   	211.17   	-1037.64		 90.19   	-193.29		
-15.87   	-235.60   	207.02   	-1124.11		 89.42   	-198.37		
 -8.24   	-221.56   	202.52   	-1200.40		 88.63   	-193.29		
  0.92   	-205.69   	197.72   	-1261.44		 87.85   	-198.37		
  7.02   	-193.18   	192.67   	-1297.04		 87.06   	-198.37		
  8.24   	-184.33   	187.49   	-1312.30		 86.27   	-198.37		
 12.21   	-175.48   	182.24   	-1302.13		 85.47   	-193.29		
 14.34   	-169.37   	177.03   	-1266.53		 84.70   	-188.20		
 13.43   	-165.71   	171.96   	-1230.92		 83.95   	-183.11		
 14.95   	-159.61   	167.04   	-1190.23		 83.21   	-178.03		
 14.34   	-154.42   	162.28   	-1149.54		 82.50   	-172.94		
 12.51   	-150.76   	157.68   	-1129.19		 81.81   	-162.77		
 12.51   	-148.32   	153.16   	-1124.11		 81.16   	-157.68		
 10.68   	-147.71   	148.67   	-1134.28		 80.53   	-152.59		
  9.46   	-146.18   	144.13   	-1164.80		 79.92   	-142.42		
  8.24   	-145.57   	139.47   	-1190.23		 79.35   	-142.42		
  7.02   	-143.43   	134.71   	-1215.66		 78.78   	-132.25		
  7.63   	-142.21   	129.85   	-1225.83		 78.25   	-127.16		
  7.32   	-140.08   	124.94   	-1220.75		 77.74   	-122.07		
  7.32   	-137.63   	120.06   	-1190.23		 77.25   	-111.90		
  7.02   	-137.33   	115.30   	-1139.36		 76.81   	-106.82		
  7.32   	-135.19   	110.74   	-1068.15		 76.38   	 -96.64		
  7.93   	-136.72   	106.47   	-986.77		 75.99   	 -96.64		
  7.63   	-137.33   	102.52   	-910.47		 75.60   	 -86.47		
  8.24   	-136.72   	 98.88   	-844.35		 75.26   	 -86.47		
  8.24   	-136.11   	 95.50   	-793.49		 74.91   	 -86.47		
  6.41   	-136.41   	 92.33   	-768.05		 74.57   	 -81.38		
  3.97   	-137.33   	 89.26   	-768.05		 74.24   	 -86.47		
  0.00   	-134.58   	 86.18   	-762.97		 73.90   	 -81.38		
 -7.02   	-125.73   	 83.13   	-778.23		 73.57   	 -76.30		
 -9.77   	-113.53   	 80.02   	-778.23		 73.27   	 -71.21		
 -9.46   	-109.25   	 76.91   	-773.14		 72.98   	 -61.04		
 -6.10   	-115.97   	 73.81   	-773.14		 72.74   	 -50.86		
  3.05   	-134.89   	 70.72   	-778.23		 72.53   	 -45.78		
 18.31   	-165.41   	 67.61   	-798.57		 72.35   	 -50.86		
 44.86   	-198.36   	 64.41   	-834.18		 72.15   	 -45.78		
 72.63   	-234.99   	 61.08   	-869.78		 71.96   	 -45.78		
106.81   	-260.31   	 57.60   	-874.87		 71.78   	 -50.86		
140.38   	-261.54   	 54.10   	-869.78		 71.58   	 -50.86		
197.14   	-252.38   	 50.62   	-849.44		 71.37   	 -45.78		
276.18   	-281.37   	 47.22   	-824.00		 71.19   	 -50.86		
377.50   	-400.09   	 43.93   	-788.40		 70.99   	 -40.69		
487.67   	-604.55   	 40.77   	-737.54		 70.82   	 -40.69		
511.17   	-854.19   	 37.82   	-676.50		 70.66   	 -35.61		
550.84   	-1101.38   	 35.12   	-605.29		 70.52   	 -35.61		
577.39   	-1244.81   	 32.70   	-518.82		 70.38   	 -35.61		
567.63   	-1322.33   	 30.62   	-437.43		 70.23   	 -30.52		
684.20   	-1396.18   	 28.87   	-345.88		 70.11   	 -35.61		
875.85   	-1430.05   	 27.49   	-259.41		 69.97   	 -30.52		
1172.79   	-1443.18   	 26.45   	-183.11		 69.85   	 -30.52		
1441.04   	-1449.89   	 25.72   	-111.90		 69.73   	 -30.52		
1533.20(R)	-1440.12   	 25.27   	 -55.95		 69.60   	 -30.52		
1416.63   	-1406.56   	 25.05   	   0.00		 69.48   	 -25.43		
1011.96   	-1357.12   	 25.05   	  45.78		 69.38   	 -20.35		
579.83   	-1267.40   	 25.23   	  91.56		 69.30   	 -25.43		
277.71   	-1099.24   	 25.60   	 132.25		 69.20   	 -25.43		
 81.18   	-911.87   	 26.12   	 188.20		 69.09   	 -30.52		
-22.58   	-752.26   	 26.88   	 228.89		 68.97   	 -30.52		
-65.31   	-648.80   	 27.79   	 274.67		 68.85   	 -40.69		
-90.64   	-593.57   	 28.89   	 300.10		 68.69   	 -45.78		
-100.71   	-558.17   	 30.09   	 320.45		 68.50   	 -50.86		
-74.77   	-533.75   	 31.37   	 325.53		 68.30   	 -55.95		
-27.47   	-502.62   	 32.68   	 320.45		 68.08   	 -55.95		
 16.78   	-453.80   	 33.96   	 305.19		 67.85   	 -50.86		
  0.61   	-373.54   	 35.18   	 284.84		 67.65   	 -45.78		
-10.68   	-275.88   	 36.32   	 279.75		 67.47   	 -45.78		
-16.17   	-184.63   	 37.44   	 295.01		 67.28   	 -35.61		
-34.79   	-118.41   	 38.62   	 335.71		 67.14   	 -30.52		
-25.63   	-90.03   	 39.96   	 432.35		 67.02   	 -25.43		
-11.60   	-85.14   	 41.69   	 564.60		 66.92   	 -20.35		
-11.90   	-79.04   	 43.95   	 737.54		 66.84   	 -15.26		
-16.48   	-65.92   	 46.90   	 905.39		 66.77   	  -5.09		
-18.62   	-49.44   	 50.52   	1047.81		 66.75   	   0.00		
 -5.80   	-34.79   	 54.71   	1139.36		 66.75   	   5.09		
 15.26   	-22.58   	 59.27   	1169.88		 66.77   	   0.00		
 38.45   	-13.73   	 63.95   	1124.11		 66.77   	   0.00		
 51.57   	 -7.32   	 68.44   	1022.38		 66.77   	   0.00		
