  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-28.99   	-38.45   	 45.49   	-915.56		142.87   	-401.83		
-23.50   	-15.56   	 41.83   	-844.35		141.26   	-381.48		
-24.41   	  0.92   	 38.45   	-768.05		139.73   	-366.22		
-30.52   	  9.46   	 35.38   	-696.84		138.27   	-350.97		
-35.71   	 11.90   	 32.59   	-625.63		136.87   	-330.62		
-34.79   	 13.43   	 30.09   	-564.60		135.54   	-320.45		
-27.16   	 16.48   	 27.83   	-508.65		134.26   	-305.19		
-16.48   	 22.89   	 25.80   	-457.78		133.04   	-289.93		
 -7.93   	 33.26   	 23.97   	-406.92		131.88   	-284.84		
 -4.27   	 43.95   	 22.34   	-366.22		130.74   	-269.58		
 -4.88   	 49.44   	 20.87   	-325.53		129.66   	-254.32		
 -6.71   	 47.00   	 19.57   	-284.84		128.65   	-254.32		
 -6.41   	 37.54   	 18.43   	-254.32		127.63   	-239.06		
 -2.44   	 29.30   	 17.42   	-218.72		126.67   	-233.98		
  5.49   	 30.82   	 16.54   	-188.20		125.74   	-223.80		
 16.48   	 42.42   	 15.79   	-167.85		124.84   	-218.72		
 26.55   	 54.63   	 15.12   	-142.42		123.97   	-213.63		
 30.21   	 57.68   	 14.55   	-132.25		123.11   	-208.54		
 25.63   	 47.00   	 14.02   	-111.90		122.28   	-203.46		
 13.73   	 25.63   	 13.57   	-101.73		121.46   	-198.37		
 -1.53   	 -0.31   	 13.16   	 -91.56		120.67   	-188.20		
-15.87   	-29.30   	 12.80   	 -81.38		119.92   	-188.20		
-27.16   	-63.48   	 12.47   	 -66.12		119.17   	-183.11		
-35.10   	-101.62   	 12.21   	 -61.04		118.43   	-172.94		
-39.37   	-138.55   	 11.96   	 -50.86		117.74   	-172.94		
-38.76   	-164.49   	 11.76   	 -40.69		117.05   	-167.85		
-34.48   	-174.87   	 11.60   	 -30.52		116.38   	-157.68		
-29.30   	-172.12   	 11.48   	 -20.35		115.75   	-157.68		
-27.77   	-165.10   	 11.39   	 -15.26		115.12   	-152.59		
-31.13   	-161.74   	 11.33   	  -5.09		114.51   	-147.51		
-36.93   	-163.27   	 11.31(D)	   5.09		113.92   	-142.42		
-40.28   	-166.32   	 11.33   	  15.26		113.35   	-142.42		
-38.45   	-167.54   	 11.39   	  30.52		112.78   	-142.42		
-33.57   	-166.93   	 11.52   	  35.61		112.21   	-132.25		
-30.52   	-168.76   	 11.66   	  40.69		111.68   	-132.25		
-31.74   	-174.87   	 11.82   	  45.78		111.15   	-132.25		
-36.01   	-181.88   	 12.00   	  45.78		110.62   	-127.16		
-38.45   	-183.41   	 12.19   	  40.69		110.11   	-132.25		
-36.93   	-176.09   	 12.35   	  35.61		109.58   	-122.07		
-31.13   	-163.27   	 12.49   	  30.52		109.09   	-127.16		
-25.02   	-152.28   	 12.61   	  25.43		108.59   	-122.07		
-22.28   	-148.62   	 12.72   	  15.26		108.10   	-122.07		
-24.41   	-151.67   	 12.78   	  10.17		107.61   	-122.07		
-29.30   	-156.56   	 12.82   	   0.00		107.12   	-116.99		
-33.57   	-158.39   	 12.82   	  -5.09		106.65   	-122.07		
-35.71   	-156.56   	 12.80   	 -10.17		106.16   	-116.99		
-35.71   	-152.89   	 12.76   	 -15.26		105.70   	-122.07		
-35.40   	-150.15   	 12.70   	 -10.17		105.21   	-116.99		
-34.18   	-148.62   	 12.66   	 -10.17		104.74   	-111.90		
-31.13   	-146.48   	 12.61   	   0.00		104.29   	-116.99		
-26.55   	-143.74   	 12.61   	  10.17		103.82   	-111.90		
-21.97   	-141.30   	 12.66   	  20.35		103.38   	-111.90		
-21.06   	-141.60   	 12.74   	  35.61		102.93   	-111.90		
-25.02   	-144.65   	 12.88   	  50.86		102.48   	-106.82		
-31.13   	-147.09   	 13.08   	  61.04		102.05   	-106.82		
-33.57   	-145.26   	 13.33   	  66.12		101.63   	-106.82		
-29.30   	-137.63   	 13.59   	  71.21		101.20   	-101.73		
-21.97   	-127.87   	 13.88   	  71.21		100.79   	-106.82		
-15.87   	-121.46   	 14.16   	  66.12		100.37   	-101.73		
