  I     	  II     	  LVp     	  LVp'		
-12.82   	-118.10   	  1.65   	  -5.09		
-30.52   	-123.90   	  1.63   	   0.00		
-53.10   	-133.36   	  1.63   	   0.00		
-76.29   	-144.35   	  1.63   	  -5.09		
-95.21   	-154.11   	  1.61   	   0.00		
-106.81   	-161.44   	  1.61   	   0.00		
-112.00   	-166.02   	  1.61   	  -5.09		
-114.44   	-169.68   	  1.59   	   0.00		
-117.19   	-174.87   	  1.59   	  -5.09		
-120.24   	-180.36   	  1.57   	   0.00		
-122.07   	-182.50   	  1.57   	   0.00		
-121.15   	-178.53   	  1.57   	  -5.09		
-117.49   	-167.85   	  1.55   	   0.00		
-112.00   	-154.11   	  1.55   	   0.00		
-108.34   	-144.35   	  1.55   	   0.00		
-109.56   	-145.26   	  1.55   	  -5.09		
-115.36   	-156.56   	  1.53   	   5.09		
-119.02   	-171.51   	  1.55   	   0.00		
-106.20   	-180.97   	  1.55   	   0.00		
-57.07   	-175.78   	  1.55   	   0.00		
 44.56   	-148.62   	  1.55   	   0.00		
202.33   	-92.77   	  1.55   	   5.09		
405.88   	  1.53   	  1.57   	   0.00		
632.02   	144.04   	  1.57   	   0.00		
846.25   	332.95   	  1.57   	   5.09		
1002.20   	538.94   	  1.59   	   0.00		
1042.18   	703.13   	  1.59   	   0.00		
918.88   	763.24(R)	  1.59   	   5.09		
632.63   	689.39   	  1.61   	   0.00		
253.91   	505.37   	  1.61   	   0.00		
-97.35   	277.71   	  1.61   	   0.00		
-312.19   	 78.43   	  1.61   	   5.09		
-354.00   	-54.02   	  1.63   	   0.00		
-273.74   	-121.77   	  1.63   	   0.00		
-163.88   	-144.96   	  1.63   	   0.00		
-93.99   	-142.82   	  1.63   	  -5.09		
-79.35   	-127.87   	  1.61   	   0.00		
-95.52   	-108.95   	  1.61   	   0.00		
-112.30   	-95.52   	  1.61   	   0.00		
-119.32   	-93.99   	  1.61   	  -5.09		
-120.24   	-103.76   	  1.59   	   0.00		
-120.24   	-116.58   	  1.59   	  -5.09		
-120.54   	-123.90   	  1.57   	   0.00		
-119.02   	-124.21   	  1.57   	   0.00		
-116.58   	-120.24   	  1.57   	  -5.09		
-114.75   	-115.36   	  1.55   	   0.00		
-113.53   	-111.39   	  1.55   	   0.00		
-112.00   	-108.95   	  1.55   	   0.00		
-109.56   	-107.12   	  1.55   	   5.09		
-106.51   	-104.37   	  1.57   	   0.00		
-103.15   	-100.10   	  1.57   	   0.00		
-99.18   	-95.21   	  1.57   	   0.00		
-94.60   	-91.86   	  1.57   	  -5.09		
-88.81   	-90.33   	  1.55   	   0.00		
-83.01   	-90.03   	  1.55   	   0.00		
-77.51   	-89.11   	  1.55   	   0.00		
-72.02   	-84.53   	  1.55   	   0.00		
-67.14   	-75.99   	  1.55   	   0.00		
-62.26   	-65.61   	  1.55   	   0.00		
-57.37   	-56.76   	  1.55   	   5.09		
-52.80   	-51.88   	  1.57   	   0.00		
-47.91   	-50.35   	  1.57   	  -5.09		
-41.20   	-49.44   	  1.55   	   0.00		
-33.26   	-45.47   	  1.55   	   0.00		
-24.41   	-37.54   	  1.55   	   0.00		
-15.56   	-26.55   	  1.55   	   0.00		
 -7.63   	-15.87   	  1.55   	  -5.09		
  0.00   	 -7.02   	  1.53   	  -5.09		
  7.93   	  0.61   	  1.51   	  -5.09		
 18.62   	  8.54   	  1.49   	  -5.09		
 31.43   	 18.62   	  1.46   	  -5.09		
 45.17   	 30.52   	  1.44   	  -5.09		
 57.07   	 42.42   	  1.42   	  -5.09		
