  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 11.90   	-108.03   	112.61   	-330.62		127.26   	-208.54		
 10.07   	-104.68   	111.29   	-249.24		126.43   	-228.89		
 12.51   	-102.84   	110.29   	-162.77		125.51   	-244.15		
 18.01   	-98.57   	109.64   	 -86.47		124.54   	-259.41		
 19.23   	-94.30   	109.30   	 -10.17		123.50   	-264.50		
 20.45   	-91.55   	109.26   	  35.61		122.44   	-269.58		
 18.62   	-92.77   	109.40   	  55.95		121.36   	-264.50		
 13.12   	-90.33   	109.62   	  55.95		120.30   	-264.50		
 11.29   	-92.47   	109.85   	  20.35		119.25   	-259.41		
 14.65   	-94.91   	109.93   	 -15.26		118.21   	-244.15		
 18.01   	-93.69   	109.87   	 -66.12		117.23   	-233.98		
 20.75   	-99.49   	109.60   	-111.90		116.30   	-223.80		
 16.78   	-99.79   	109.16   	-142.42		115.40   	-208.54		
 15.87   	-96.74   	108.59   	-162.77		114.57   	-193.29		
 16.17   	-95.21   	107.93   	-162.77		113.79   	-178.03		
 18.31   	-90.03   	107.28   	-152.59		113.08   	-162.77		
 17.70   	-85.45   	106.67   	-127.16		112.43   	-152.59		
 25.02   	-79.35   	106.16   	 -96.64		111.82   	-137.33		
 17.70   	-76.90   	105.78   	 -66.12		111.27   	-127.16		
 13.73   	-76.60   	105.51   	 -40.69		110.76   	-122.07		
 21.06   	-79.96   	105.35   	 -20.35		110.27   	-106.82		
 12.82   	-89.72   	105.27   	 -20.35		109.85   	-106.82		
 13.43   	-96.13   	105.19   	 -20.35		109.42   	 -96.64		
 18.62   	-97.35   	105.11   	 -40.69		109.03   	 -91.56		
 15.26   	-98.88   	104.94   	 -66.12		108.67   	 -91.56		
 17.40   	-99.49   	104.68   	 -91.56		108.30   	 -86.47		
 16.17   	-98.27   	104.31   	-116.99		107.95   	 -86.47		
 16.78   	-96.74   	103.84   	-147.51		107.61   	 -86.47		
 17.09   	-100.40   	103.25   	-157.68		107.26   	 -86.47		
 14.34   	-102.84   	102.62   	-167.85		106.92   	 -86.47		
 10.68   	-110.17   	101.95   	-167.85		106.57   	 -91.56		
  9.16   	-117.19   	101.28   	-157.68		106.21   	 -96.64		
 11.90   	-112.92   	100.65   	-152.59		105.82   	 -91.56		
 16.48   	-106.81   	100.04   	-132.25		105.45   	-101.73		
 20.75   	-97.05   	 99.51   	-111.90		105.05   	-101.73		
 21.67   	-88.20   	 99.06   	-101.73		104.64   	-101.73		
 19.53   	-79.65   	 98.66   	 -91.56		104.23   	-106.82		
 24.41   	-65.00   	 98.29   	 -86.47		103.80   	-106.82		
 31.13   	-51.27   	 97.94   	 -86.47		103.38   	-111.90		
 41.50   	-28.69   	 97.60   	 -96.64		102.93   	-111.90		
 49.74   	 -3.05   	 97.21   	-101.73		102.48   	-111.90		
 58.90   	 16.17   	 96.81   	-116.99		102.03   	-111.90		
 66.83   	 32.65   	 96.34   	-122.07		101.59   	-111.90		
 69.27   	 48.83   	 95.85   	-137.33		101.14   	-116.99		
 69.89   	 56.15   	 95.30   	-137.33		100.67   	-116.99		
 71.72   	 58.90   	 94.75   	-142.42		100.20   	-116.99		
 70.19   	 65.92   	 94.18   	-137.33		 99.74   	-116.99		
 73.55   	 59.20   	 93.63   	-127.16		 99.27   	-111.90		
 66.53   	 35.10   	 93.12   	-116.99		 98.82   	-116.99		
 52.80   	 -2.44   	 92.65   	-106.82		 98.35   	-116.99		
 35.71   	-43.64   	 92.23   	-101.73		 97.88   	-116.99		
 23.50   	-68.97   	 91.82   	 -86.47		 97.42   	-111.90		
 18.92   	-87.89   	 91.47   	 -86.47		 96.97   	-116.99		
 19.84   	-87.59   	 91.13   	 -86.47		 96.50   	-111.90		
 24.11   	-86.36   	 90.78   	 -81.38		 96.05   	-111.90		
 13.73   	-109.56   	 90.46   	 -81.38		 95.60   	-111.90		
 12.82   	-130.62   	 90.13   	 -86.47		 95.16   	-111.90		
  7.93   	-152.28   	 89.79   	 -86.47		 94.71   	-106.82		
  1.53   	-167.24   	 89.44   	 -81.38		 94.28   	-106.82		
  6.10   	-180.97   	 89.11   	 -86.47		 93.86   	-106.82		
  6.71   	-187.68   	 88.77   	 -81.38		 93.43   	-101.73		
  5.49   	-188.90   	 88.44   	 -76.30		 93.02   	-101.73		
 13.43   	-198.97   	 88.14   	 -71.21		 92.61   	 -96.64		
 19.84   	-193.79   	 87.85   	 -66.12		 92.23   	 -96.64		
 20.75   	-185.85   	 87.59   	 -66.12		 91.84   	 -91.56		
 22.89   	-183.11   	 87.32   	 -55.95		 91.47   	 -91.56		
 23.19   	-181.27   	 87.10   	 -61.04		 91.11   	 -91.56		
 22.89   	-180.36   	 86.86   	 -55.95		 90.74   	 -86.47		
 24.72   	-180.66   	 86.63   	 -61.04		 90.40   	 -81.38		
 32.35   	-187.68   	 86.39   	 -66.12		 90.07   	 -81.38		
 32.65   	-189.51   	 86.12   	 -71.21		 89.75   	 -81.38		
 32.35   	-191.35   	 85.84   	 -76.30		 89.42   	 -81.38		
 32.35   	-195.01   	 85.53   	 -81.38		 89.09   	 -76.30		
 28.08   	-197.14   	 85.21   	 -91.56		 88.79   	 -76.30		
