  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-363.77   	-34.18   	 77.70   	 -15.26		 78.41   	 -35.61		
-365.60   	-34.48   	 77.64   	 -10.17		 78.27   	 -35.61		
-363.46   	-34.79   	 77.60   	 -10.17		 78.13   	 -35.61		
-368.35   	-36.93   	 77.56   	 -20.35		 77.99   	 -35.61		
-373.54   	-37.54   	 77.48   	 -25.43		 77.84   	 -35.61		
-373.23   	-36.01   	 77.38   	 -35.61		 77.70   	 -30.52		
-374.15   	-35.71   	 77.23   	 -45.78		 77.58   	 -35.61		
-371.09   	-32.96   	 77.05   	 -55.95		 77.44   	 -30.52		
-368.65   	-33.26   	 76.83   	 -55.95		 77.31   	 -25.43		
-368.35   	-34.79   	 76.60   	 -55.95		 77.21   	 -30.52		
-368.96   	-36.01   	 76.38   	 -61.04		 77.09   	 -25.43		
-372.92   	-37.23   	 76.13   	 -55.95		 76.99   	 -25.43		
-375.06   	-34.79   	 75.91   	 -55.95		 76.89   	 -25.43		
-376.28   	-35.40   	 75.69   	 -50.86		 76.79   	 -30.52		
-373.23   	-32.65   	 75.48   	 -50.86		 76.66   	 -25.43		
-364.69   	-29.30   	 75.28   	 -50.86		 76.56   	 -25.43		
-351.26   	-26.55   	 75.08   	 -55.95		 76.46   	 -25.43		
-336.30   	-18.31   	 74.85   	 -55.95		 76.36   	 -25.43		
-323.18   	-13.73   	 74.63   	 -55.95		 76.26   	 -30.52		
-307.01   	-10.38   	 74.40   	 -55.95		 76.13   	 -25.43		
-296.33   	 -8.54   	 74.18   	 -61.04		 76.03   	 -30.52		
-290.53   	-10.07   	 73.94   	 -61.04		 75.91   	 -30.52		
-282.90   	 -9.16   	 73.69   	 -55.95		 75.79   	 -25.43		
-282.59   	 -3.36   	 73.47   	 -50.86		 75.69   	 -30.52		
-282.90   	  5.19   	 73.27   	 -45.78		 75.56   	 -25.43		
-273.44   	 14.95   	 73.08   	 -45.78		 75.46   	 -30.52		
-258.18   	 29.91   	 72.90   	 -40.69		 75.34   	 -25.43		
-238.04   	 37.84   	 72.74   	 -35.61		 75.24   	 -25.43		
-213.32   	 43.95   	 72.59   	 -40.69		 75.14   	 -30.52		
-200.81   	 49.44   	 72.43   	 -40.69		 75.01   	 -30.52		
