  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-40.89   	-66.22   	 81.97   	-111.90		 65.00   	 -81.38		
-27.77   	-61.04   	 81.53   	-111.90		 64.68   	 -76.30		
-16.17   	-56.76   	 81.08   	-111.90		 64.37   	 -76.30		
-13.12   	-56.76   	 80.63   	-106.82		 64.07   	 -76.30		
-20.75   	-62.56   	 80.20   	-111.90		 63.76   	 -76.30		
-32.04   	-71.41   	 79.76   	-106.82		 63.46   	 -66.12		
-37.84   	-76.90   	 79.33   	-111.90		 63.19   	 -66.12		
-34.79   	-75.99   	 78.88   	-111.90		 62.93   	 -61.04		
-28.38   	-71.72   	 78.43   	-106.82		 62.69   	 -66.12		
-26.86   	-70.80   	 78.01   	-106.82		 62.42   	 -66.12		
-33.26   	-76.29   	 77.58   	-111.90		 62.16   	 -66.12		
-42.11   	-84.53   	 77.13   	-106.82		 61.89   	 -61.04		
-47.00   	-90.64   	 76.70   	-106.82		 61.65   	 -61.04		
-45.78   	-91.55   	 76.28   	-106.82		 61.40   	 -55.95		
-42.42   	-90.33   	 75.85   	-101.73		 61.18   	 -61.04		
-40.28   	-90.03   	 75.44   	-101.73		 60.94   	 -55.95		
-39.37   	-92.16   	 75.04   	-101.73		 60.71   	 -50.86		
-37.23   	-96.13   	 74.63   	 -96.64		 60.51   	 -55.95		
-32.96   	-101.01   	 74.24   	 -96.64		 60.28   	 -50.86		
-31.13   	-110.17   	 73.86   	 -96.64		 60.08   	 -55.95		
-36.32   	-124.82   	 73.47   	 -91.56		 59.86   	 -61.04		
-48.52   	-142.21   	 73.10   	 -91.56		 59.61   	 -55.95		
-60.12   	-154.11   	 72.74   	 -86.47		 59.39   	 -50.86		
-63.17   	-153.81   	 72.39   	 -91.56		 59.19   	 -45.78		
-54.32   	-140.69   	 72.02   	 -81.38		 59.00   	 -40.69		
-36.32   	-121.46   	 71.70   	 -86.47		 58.84   	 -45.78		
-15.26   	-105.90   	 71.35   	 -81.38		 58.66   	 -45.78		
  3.05   	-97.96   	 71.03   	 -81.38		 58.47   	 -45.78		
 16.48   	-93.69   	 70.70   	 -81.38		 58.29   	 -40.69		
 24.72   	-86.06   	 70.38   	 -76.30		 58.13   	 -40.69		
 26.86   	-71.72   	 70.07   	 -71.21		 57.97   	 -35.61		
 20.14   	-55.54   	 69.79   	 -71.21		 57.82   	 -35.61		
  5.19   	-44.56   	 69.50   	 -71.21		 57.68   	 -30.52		
-12.21   	-42.72   	 69.22   	 -66.12		 57.56   	 -45.78		
-23.80   	-46.08   	 68.95   	 -61.04		 57.38   	 -35.61		
-25.63   	-49.74   	 68.71   	 -61.04		 57.23   	 -40.69		
-20.75   	-50.66   	 68.46   	 -66.12		 57.07   	 -40.69		
-17.09   	-52.49   	 68.20   	 -55.95		 56.91   	 -35.61		
-21.97   	-59.51   	 67.98   	 -61.04		 56.76   	 -35.61		
-33.26   	-70.50   	 67.73   	 -61.04		 56.62   	 -30.52		
-42.72   	-79.65   	 67.49   	 -55.95		 56.50   	 -30.52		
-44.86   	-81.18   	 67.26   	 -55.95		 56.38   	 -35.61		
-39.98   	-72.94   	 67.04   	 -55.95		 56.24   	 -25.43		
-32.96   	-59.20   	 66.82   	 -50.86		 56.13   	 -25.43		
-28.69   	-46.39   	 66.61   	 -45.78		 56.03   	 -35.61		
-28.69   	-41.50   	 66.43   	 -50.86		 55.89   	 -35.61		
-31.43   	-46.08   	 66.23   	 -45.78		 55.75   	 -30.52		
-33.26   	-55.24   	 66.04   	 -45.78		 55.63   	 -35.61		
-31.13   	-60.42   	 65.86   	 -40.69		 55.48   	 -25.43		
-25.94   	-56.15   	 65.70   	 -40.69		 55.38   	 -25.43		
-19.53   	-43.95   	 65.53   	 -40.69		 55.28   	 -30.52		
-16.78   	-32.04   	 65.37   	 -45.78		 55.16   	 -30.52		
-20.75   	-29.60   	 65.19   	 -40.69		 55.04   	 -35.61		
-29.30   	-36.93   	 65.03   	 -45.78		 54.89   	 -35.61		
-37.84   	-47.61   	 64.84   	 -50.86		 54.75   	 -35.61		
-43.33   	-53.71   	 64.64   	 -55.95		 54.61   	 -30.52		
-43.64   	-52.80   	 64.41   	 -66.12		 54.49   	 -30.52		
-40.89   	-47.91   	 64.15   	 -76.30		 54.36   	 -35.61		
-36.93   	-43.33   	 63.85   	 -81.38		 54.22   	 -25.43		
-32.65   	-40.89   	 63.52   	 -91.56		 54.12   	 -35.61		
