  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-38.76   	-66.83   	103.76   	  10.17		102.56   	-101.73		
-38.76   	-66.83   	103.80   	 -66.12		102.16   	 -96.64		
-38.45   	-67.14   	103.54   	-137.33		101.77   	 -81.38		
-37.54   	-67.75   	102.99   	-213.63		101.44   	 -86.47		
-36.32   	-68.66   	102.14   	-300.10		101.10   	 -96.64		
-35.10   	-69.58   	100.94   	-376.40		100.71   	-111.90		
-35.10   	-69.89   	 99.43   	-406.92		100.26   	-122.07		
-36.01   	-70.19   	 97.80   	-366.22		 99.78   	-111.90		
-37.84   	-70.80   	 96.34   	-295.01		 99.33   	-101.73		
-39.98   	-72.02   	 95.16   	-208.54		 98.92   	-111.90		
-41.50   	-73.55   	 94.32   	-106.82		 98.47   	-116.99		
-41.81   	-75.07   	 93.90   	  20.35		 98.01   	 -81.38		
-40.89   	-75.07   	 93.98   	 106.82		 97.68   	 -50.86		
-39.67   	-74.46   	 94.40   	 137.33		 97.48   	 -61.04		
-38.45   	-73.85   	 94.95   	 132.25		 97.23   	-106.82		
-37.84   	-73.55   	 95.48   	  91.56		 96.81   	 -91.56		
-37.54   	-74.46   	 95.85   	  20.35		 96.44   	 -76.30		
-37.54   	-75.38   	 95.93   	 -66.12		 96.13   	-106.82		
-37.54   	-75.38   	 95.67   	-132.25		 95.71   	 -96.64		
-38.15   	-74.77   	 95.14   	-198.37		 95.32   	-106.82		
-39.06   	-74.16   	 94.34   	-239.06		 94.89   	-132.25		
-39.98   	-74.46   	 93.39   	-259.41		 94.36   	-101.73		
-40.59   	-75.38   	 92.35   	-249.24		 93.96   	-101.73		
-40.59   	-76.90   	 91.35   	-223.80		 93.55   	-111.90		
-39.67   	-77.51   	 90.46   	-178.03		 93.10   	-116.99		
-38.76   	-77.51   	 89.75   	-137.33		 92.63   	-101.73		
-38.15   	-77.21   	 89.20   	 -86.47		 92.23   	-101.73		
-37.54   	-76.60   	 88.85   	 -40.69		 91.82   	 -96.64		
-37.23   	-76.60   	 88.69   	 -10.17		 91.43   	 -86.47		
-36.93   	-76.29   	 88.65   	  10.17		 91.09   	 -91.56		
-36.62   	-75.68   	 88.69   	  10.17		 90.72   	 -86.47		
-36.32   	-74.16   	 88.73   	  10.17		 90.38   	 -91.56		
-36.62   	-72.63   	 88.77   	 -10.17		 90.01   	 -96.64		
-37.54   	-72.02   	 88.73   	 -35.61		 89.62   	 -76.30		
-38.76   	-72.63   	 88.59   	 -66.12		 89.32   	 -86.47		
-39.37   	-74.77   	 88.32   	-101.73		 88.97   	 -86.47		
-38.45   	-76.29   	 87.91   	-122.07		 88.63   	 -86.47		
-36.01   	-75.68   	 87.43   	-142.42		 88.28   	 -86.47		
-33.26   	-73.24   	 86.86   	-147.51		 87.93   	 -81.38		
-31.43   	-69.89   	 86.27   	-132.25		 87.61   	-111.90		
-31.43   	-67.75   	 85.74   	-122.07		 87.16   	-111.90		
-32.96   	-67.75   	 85.25   	-111.90		 86.71   	 -55.95		
-34.79   	-69.89   	 84.80   	 -86.47		 86.49   	 -71.21		
-36.93   	-72.02   	 84.46   	 -71.21		 86.21   	 -91.56		
-38.76   	-72.63   	 84.17   	 -71.21		 85.84   	 -76.30		
-39.98   	-71.72   	 83.89   	 -81.38		 85.53   	 -86.47		
-40.59   	-70.50   	 83.56   	 -86.47		 85.19   	 -86.47		
-39.98   	-69.27   	 83.21   	 -96.64		 84.84   	 -81.38		
-38.45   	-68.66   	 82.83   	-111.90		 84.52   	 -86.47		
-36.62   	-68.05   	 82.38   	-116.99		 84.17   	 -91.56		
-35.10   	-66.53   	 81.91   	-116.99		 83.80   	 -86.47		
-34.48   	-64.70   	 81.44   	-101.73		 83.46   	 -86.47		
-34.79   	-63.78   	 81.04   	 -76.30		 83.11   	 -91.56		
-36.01   	-63.78   	 80.73   	 -61.04		 82.75   	 -71.21		
-37.23   	-64.09   	 80.49   	 -40.69		 82.46   	 -66.12		
-36.62   	-63.17   	 80.33   	 -15.26		 82.20   	 -66.12		
-32.96   	-57.68   	 80.26   	 -10.17		 81.93   	 -71.21		
-25.33   	-44.25   	 80.22   	 -10.17		 81.65   	 -71.21		
-14.04   	-23.50   	 80.18   	 -15.26		 81.36   	 -61.04		
 -1.83   	  0.92   	 80.12   	 -25.43		 81.12   	 -50.86		
  9.16   	 22.58   	 80.02   	 -45.78		 80.92   	 -61.04		
 16.48   	 36.01   	 79.84   	 -50.86		 80.67   	 -66.12		
 21.97   	 39.37   	 79.63   	 -71.21		 80.41   	 -61.04		
 28.38   	 36.93   	 79.35   	 -81.38		 80.16   	 -66.12		
 37.84   	 36.01   	 79.02   	 -96.64		 79.90   	 -66.12		
 50.66   	 43.95   	 78.64   	-106.82		 79.63   	 -66.12		
 65.00   	 61.95   	 78.21   	-101.73		 79.37   	 -66.12		
 77.21   	 83.92   	 77.80   	 -96.64		 79.10   	 -66.12		
 85.45   	 99.18   	 77.42   	 -91.56		 78.84   	 -61.04		
 88.50   	101.32   	 77.05   	 -71.21		 78.60   	 -66.12		
 87.28   	 90.03   	 76.76   	 -61.04		 78.33   	 -66.12		
 83.01   	 72.63   	 76.52   	 -50.86		 78.07   	 -66.12		
 75.38   	 55.85   	 76.32   	 -40.69		 77.80   	 -50.86		
