  I     	  II     	  AOp     	  AOp'		
-35.10   	-42.72   	 90.74   	 233.98		
-33.26   	-40.59   	 91.68   	 264.50		
-32.35   	-36.93   	 92.74   	 289.93		
-30.82   	-31.13   	 93.90   	 315.36		
-27.16   	-24.11   	 95.16   	 340.79		
-20.75   	-16.78   	 96.52   	 361.14		
-12.82   	-10.07   	 97.97   	 376.40		
 -5.49   	 -1.83   	 99.47   	 391.66		
  0.31   	  8.85   	101.04   	 401.83		
  5.49   	 22.28   	102.64   	 406.92		
 11.29   	 37.54   	104.27   	 417.09		
 17.70   	 52.49   	105.94   	 422.18		
 23.50   	 65.31   	107.63   	 427.26		
 27.77   	 76.29   	109.34   	 427.26		
 30.21   	 87.28   	111.05   	 422.18		
 30.82   	100.10   	112.74   	 422.18		
 30.82   	115.36   	114.42   	 422.18		
 30.82   	132.14   	116.11   	 417.09		
 33.26   	148.32   	117.78   	 412.00		
 38.45   	161.74   	119.43   	 406.92		
 45.17   	172.42   	121.06   	 406.92		
 50.96   	180.97   	122.69   	 396.74		
 54.02   	188.60   	124.27   	 391.66		
 53.71   	194.70   	125.84   	 391.66		
 52.49   	198.67   	127.41   	 381.48		
 53.41   	200.20   	128.93   	 381.48		
 57.68   	200.20   	130.46   	 371.31		
 64.70   	198.67   	131.94   	 361.14		
 70.80   	194.70   	133.39   	 356.05		
 71.41   	185.85   	134.81   	 345.88		
 64.70   	170.90   	136.19   	 335.71		
 53.41   	152.28   	137.54   	 325.53		
 42.42   	133.97   	138.84   	 310.27		
 35.40   	118.41   	140.08   	 300.10		
 30.52   	105.59   	141.28   	 284.84		
 23.19   	 93.38   	142.42   	 269.58		
  9.77   	 79.96   	143.50   	 259.41		
 -9.16   	 64.09   	144.54   	 244.15		
-28.69   	 46.69   	145.51   	 233.98		
-45.17   	 29.30   	146.45   	 218.72		
-57.68   	 12.51   	147.32   	 208.54		
-66.53   	 -0.92   	148.16   	 193.29		
-71.11   	 -8.24   	148.93   	 178.03		
-71.11   	-10.38   	149.64   	 162.77		
-67.75   	 -9.46   	150.29   	 152.59		
-65.31   	-10.99   	150.90   	 132.25		
-67.14   	-18.01   	151.43   	 116.99		
-73.24   	-28.99   	151.90   	 106.82		
-78.13   	-37.23   	152.33   	  81.38		
-75.38   	-36.32   	152.65   	  71.21		
-65.31   	-26.25   	152.94   	  45.78		
-54.32   	-13.73   	153.12   	  30.52		
-49.74   	 -9.16   	153.24   	  15.26		
-54.32   	-15.87   	153.31(S)	 -10.17		
-64.09   	-29.60   	153.26   	 -30.52		
-70.50   	-40.28   	153.14   	 -50.86		
-69.89   	-42.72   	152.94   	 -76.30		
-64.70   	-38.45   	152.63   	 -96.64		
-60.12   	-34.48   	152.25   	-127.16		
-58.90   	-34.48   	151.74   	-152.59		
-60.12   	-36.62   	151.13   	-178.03		
-60.73   	-36.62   	150.42   	-203.46		
-60.42   	-32.96   	149.60   	-228.89		
-60.42   	-28.69   	148.69   	-254.32		
-61.04   	-26.86   	147.67   	-274.67		
-62.26   	-27.47   	146.57   	-295.01		
-60.73   	-28.08   	145.39   	-305.19		
-56.76   	-27.16   	144.17   	-315.36		
-51.57   	-25.94   	142.91   	-315.36		
-48.22   	-25.02   	141.65   	-325.53		
-48.52   	-25.02   	140.35   	-315.36		
-51.88   	-24.11   	139.08   	-315.36		
-56.46   	-20.45   	137.82   	-305.19		
-60.73   	-11.60   	136.60   	-300.10		
-63.48   	  3.05   	135.40   	-289.93		
-65.00   	 22.58   	134.24   	-284.84		
-65.92   	 42.42   	133.10   	-269.58		
-66.22   	 57.37   	132.02   	-264.50		
-65.92   	 66.22   	130.97   	-259.41		
-63.48   	 71.72   	129.93   	-249.24		
-57.98   	 78.13   	128.93   	-249.24		
-50.66   	 86.67   	127.93   	-239.06		
-42.42   	 95.52   	126.98   	-244.15		
-34.79   	104.37   	126.00   	-233.98		
-27.16   	115.36   	125.07   	-239.06		
-19.53   	130.62   	124.11   	-233.98		
-11.90   	147.09   	123.17   	-228.89		
 -6.10   	156.86   	122.26   	-233.98		
 -3.05   	155.03   	121.32   	-223.80		
 -3.05   	141.60   	120.43   	-228.89		
 -5.49   	123.29   	119.51   	-218.72		
 -9.77   	105.29   	118.64   	-218.72		
-16.17   	 86.36   	117.76   	-208.54		
-24.72   	 61.65   	116.93   	-203.46		
-34.48   	 30.82   	116.11   	-198.37		
-43.33   	 -3.66   	115.32   	-193.29		
-49.74   	-35.10   	114.55   	-183.11		
-53.41   	-58.59   	113.81   	-178.03		
-55.54   	-72.94   	113.10   	-178.03		
-57.37   	-80.26   	112.39   	-162.77		
-59.20   	-83.92   	111.74   	-162.77		
-62.26   	-87.89   	111.09   	-157.68		
-66.22   	-94.91   	110.46   	-157.68		
-69.58   	-104.06   	109.83   	-147.51		
-70.50   	-112.30   	109.24   	-147.51		
-68.36   	-114.75   	108.65   	-142.42		
-63.48   	-110.17   	108.08   	-142.42		
-58.29   	-101.93   	107.51   	-137.33		
-55.85   	-96.13   	106.96   	-132.25		
-56.15   	-96.74   	106.43   	-132.25		
-56.76   	-103.76   	105.90   	-127.16		
-55.54   	-112.92   	105.39   	-127.16		
-51.88   	-119.63   	104.88   	-116.99		
-48.52   	-121.46   	104.41   	-116.99		
-49.44   	-119.02   	103.95   	-111.90		
-55.54   	-113.83   	103.50   	-106.82		
-62.56   	-107.42   	103.07   	-106.82		
-66.22   	-101.32   	102.64   	-101.73		
-64.70   	-97.96   	102.24   	-101.73		
-60.73   	-102.23   	101.83   	 -96.64		
-59.51   	-118.71   	101.44   	-106.82		
-59.81   	-147.40   	101.02   	-101.73		
-53.41   	-177.00   	100.61   	-106.82		
-27.47   	-186.16   	100.18   	-111.90		
 26.86   	-150.15   	 99.74   	-111.90		
107.12   	-54.93   	 99.29   	-116.99		
197.14   	 95.52   	 98.82   	-122.07		
272.22   	270.39   	 98.33   	-122.07		
307.92   	419.92   	 97.84   	-122.07		
283.81   	489.50   	 97.35   	-127.16		
194.40   	445.56   	 96.85   	-127.16		
 56.46   	296.63   	 96.34   	-122.07		
-90.94   	 96.44   	 95.85   	-122.07		
-200.50   	-80.87   	 95.36   	-122.07		
-241.09   	-178.22   	 94.87   	-116.99		
-214.54   	-187.07   	 94.40   	-116.99		
-155.33   	-143.43   	 93.94   	-111.90		
-106.81   	-97.05   	 93.49   	-106.82		
-91.86   	-77.51   	 93.06   	-106.82		
-105.90   	-84.23   	 92.63   	-101.73		
-126.95   	-97.66   	 92.23   	 -96.64		
-136.11   	-101.62   	 91.84   	 -91.56		
-129.39   	-94.91   	 91.47   	 -91.56		
-115.66   	-85.45   	 91.11   	 -86.47		
-105.29   	-79.96   	 90.76   	 -81.38		
-102.23   	-79.96   	 90.44   	 -81.38		
-103.15   	-82.09   	 90.11   	 -71.21		
-103.45   	-83.01   	 89.83   	 -71.21		
-100.40   	-80.57   	 89.54   	 -61.04		
-94.91   	-73.85   	 89.30   	 -61.04		
-90.64   	-63.78   	 89.05   	 -45.78		
-89.42   	-52.19   	 88.87   	 -40.69		
-92.77   	-44.25   	 88.71   	 -25.43		
-99.79   	-43.64   	 88.61   	 -10.17		
-107.73   	-50.66   	 88.57(D)	   5.09		
-113.83   	-60.42   	 88.59   	  25.43		
-116.27   	-67.44   	 88.69   	  50.86		
-115.66   	-68.97   	 88.89   	  66.12		
-115.05   	-65.61   	 89.16   	  91.56		
-117.49   	-61.04   	 89.52   	 116.99		
-123.60   	-56.76   	 89.99   	 147.51		
-131.23   	-52.80   	 90.58   	 167.85		
-135.80   	-47.61   	 91.25   	 193.29		
-135.50   	-42.11   	 92.02   	 218.72		
-130.92   	-37.54   	 92.90   	 249.24		
-125.43   	-33.26   	 93.90   	 274.67		
-120.85   	-28.38   	 94.99   	 295.01		
-118.71   	-21.97   	 96.17   	 315.36		
-121.15   	-15.87   	 97.44   	 340.79		
-128.78   	-13.73   	 98.80   	 361.14		
-140.38   	-16.48   	100.24   	 371.31		
-148.93   	-20.14   	101.73   	 391.66		
-148.01   	-18.01   	103.30   	 396.74		
-134.89   	 -5.49   	104.88   	 412.00		
-114.44   	 15.26   	106.53   	 412.00		
-96.44   	 38.45   	108.18   	 422.18		
-87.28   	 58.29   	109.87   	 422.18		
-84.53   	 72.94   	111.56   	 427.26		
-82.70   	 83.92   	113.27   	 422.18		
-77.82   	 93.08   	114.95   	 422.18		
-69.89   	101.32   	116.64   	 422.18		
-61.95   	108.64   	118.33   	 417.09		
-56.15   	116.58   	120.00   	 412.00		
-51.88   	126.04   	121.65   	 406.92		
-47.91   	135.50   	123.28   	 401.83		
-43.33   	143.13   	124.88   	 396.74		
-40.59   	146.48   	126.47   	 391.66		
-39.98   	146.79   	128.04   	 381.48		
-39.67   	147.71   	129.56   	 371.31		
-39.06   	150.45   	131.05   	 356.05		
-39.98   	151.67   	132.47   	 350.97		
-44.56   	145.57   	133.88   	 335.71		
-56.76   	127.26   	135.22   	 325.53		
-75.68   	 97.66   	136.52   	 310.27		
-96.44   	 63.78   	137.76   	 300.10		
-112.92   	 33.57   	138.96   	 289.93		
-122.38   	  9.77   	140.12   	 274.67		
-125.73   	 -7.63   	141.22   	 264.50		
-127.56   	-22.58   	142.28   	 254.32		
-133.06   	-37.84   	143.30   	 239.06		
-144.04   	-53.10   	144.25   	 228.89		
-158.08   	-67.75   	145.17   	 218.72		
-171.51   	-80.57   	146.04   	 203.46		
-180.66   	-92.16   	146.86   	 193.29		
-184.33   	-102.84   	147.63   	 178.03		
-185.24   	-113.22   	148.34   	 167.85		
-187.38   	-122.68   	149.01   	 152.59		
-190.73   	-130.62   	149.62   	 132.25		
-194.09   	-136.41   	150.15   	 122.07		
-196.53   	-140.69   	150.64   	 106.82		
-197.45   	-143.74   	151.07   	  86.47		
-198.36   	-145.26   	151.41   	  66.12		
-202.03   	-146.79   	151.68   	  50.86		
-209.96   	-149.84   	151.88   	  30.52		
-221.25   	-157.47   	152.00   	  10.17		
-234.99   	-170.90   	152.04(S)	 -10.17		
-247.80   	-187.07   	152.00   	 -30.52		
-254.82   	-199.28   	151.88   	 -50.86		
-254.82   	-203.86   	151.68   	 -76.30		
-250.55   	-201.72   	151.37   	 -96.64		
-245.67   	-197.14   	150.99   	-122.07		
-243.23   	-194.40   	150.50   	-147.51		
-243.84   	-195.31   	149.91   	-172.94		
-245.06   	-198.97   	149.22   	-193.29		
-244.75   	-203.25   	148.44   	-213.63		
-241.70   	-205.38   	147.59   	-239.06		
-237.12   	-205.08   	146.63   	-259.41		
-234.07   	-202.64   	145.59   	-269.58		
-235.60   	-201.72   	144.52   	-284.84		
-242.92   	-205.08   	143.38   	-295.01		
-251.77   	-211.79   	142.20   	-295.01		
-255.74   	-216.67   	141.02   	-300.10		
-251.16   	-214.23   	139.82   	-300.10		
-241.09   	-203.25   	138.62   	-295.01		
-232.85   	-187.07   	137.44   	-295.01		
-232.85   	-171.51   	136.26   	-284.84		
-241.09   	-160.52   	135.12   	-274.67		
-253.30   	-155.64   	134.02   	-274.67		
-261.54   	-151.98   	132.92   	-264.50		
-257.57   	-143.13   	131.86   	-254.32		
-241.39   	-124.82   	130.84   	-249.24		
-221.56   	-101.62   	129.85   	-244.15		
-209.96   	-83.31   	128.87   	-233.98		
-214.23   	-79.35   	127.93   	-233.98		
-230.10   	-88.50   	127.00   	-233.98		
-243.53   	-98.27   	126.06   	-223.80		
-244.75   	-97.35   	125.17   	-223.80		
-235.90   	-86.36   	124.27   	-218.72		
-225.52   	-74.16   	123.40   	-213.63		
-219.12   	-67.75   	122.54   	-213.63		
-217.29   	-69.27   	121.69   	-213.63		
-217.29   	-75.99   	120.83   	-208.54		
-219.73   	-87.89   	120.00   	-203.46		
-226.75   	-107.42   	119.19   	-203.46		
-235.90   	-133.97   	118.37   	-203.46		
-241.39   	-161.44   	117.56   	-198.37		
-238.34   	-183.41   	116.76   	-193.29		
-229.80   	-199.89   	115.99   	-193.29		
-222.78   	-213.93   	115.22   	-193.29		
-222.17   	-227.97   	114.45   	-183.11		
-225.83   	-240.78   	113.71   	-183.11		
-229.19   	-248.72   	112.98   	-178.03		
-230.71   	-252.38   	112.27   	-167.85		
-233.46   	-255.74   	111.60   	-162.77		
-238.65   	-260.01   	110.95   	-152.59		
-240.17   	-260.31   	110.34   	-142.42		
-231.32   	-251.16   	109.77   	-127.16		
-213.01   	-233.76   	109.26   	-116.99		
-196.53   	-218.81   	108.79   	-111.90		
-193.48   	-216.67   	108.34   	-101.73		
-205.38   	-227.97   	107.93   	-101.73		
-221.86   	-242.61   	107.53   	-106.82		
-230.10   	-248.41   	107.10   	-111.90		
-226.44   	-240.78   	106.65   	-116.99		
-217.90   	-225.22   	106.18   	-122.07		
-210.88   	-209.35   	105.70   	-122.07		
-202.94   	-195.92   	105.21   	-111.90		
-189.21   	-181.58   	104.76   	 -96.64		
-171.20   	-166.93   	104.37   	 -71.21		
-159.61   	-156.56   	104.09   	 -40.69		
-164.18   	-159.61   	103.93   	 -15.26		
-186.77   	-183.72   	103.87   	  20.35		End----------
-219.12   	-229.49   	103.95   	  40.69		
-244.45   	-284.12   	104.11   	  61.04		
-246.28   	-323.79   	104.35   	  71.21		
-211.79   	-318.60   	104.64   	  86.47		
-138.55   	-245.06   	104.98   	  96.64		
-39.06   	-98.27   	105.37   	 101.73		
 59.20   	 94.91   	105.78   	 106.82		
125.12   	280.76   	106.21   	 116.99		
134.89   	393.37   	106.67   	 122.07		
 84.53   	386.66   	107.16   	 127.16		
 -8.85   	261.54   	107.67   	 116.99		
-113.83   	 69.89   	108.14   	 111.90		
-201.72   	-113.22   	108.59   	  81.38		
-255.74   	-229.49   	108.91   	  55.95		
-275.27   	-267.33   	109.13   	  10.17		
-273.13   	-255.13   	109.18   	 -40.69		
-261.54   	-230.71   	109.01   	 -91.56		
-245.36   	-215.76   	108.65   	-157.68		
-226.44   	-211.49   	108.02   	-208.54		
-208.74   	-212.40   	107.18   	-269.58		
-195.92   	-213.32   	106.10   	-315.36		
-189.82   	-213.62   	104.84   	-356.05		
-190.43   	-215.45   	103.42   	-391.66		
